Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-04-11,12.71,13.73,12.41,13.12,18278300,0.0,0
2014-04-14,13.48,13.6,13.15,13.57,1395000,0.0,0
2014-04-15,13.74,13.95,13.45,13.57,863200,0.0,0
2014-04-16,13.6,13.6,13.35,13.36,351100,0.0,0
2014-04-17,13.37,13.95,13.32,13.44,760200,0.0,0
2014-04-21,13.54,13.7,13.54,13.69,297400,0.0,0
2014-04-22,13.71,14.11,13.63,13.83,782300,0.0,0
2014-04-23,14.0,14.35,13.98,14.18,732300,0.0,0
2014-04-24,14.22,14.92,14.08,14.49,527800,0.0,0
2014-04-25,14.57,14.71,14.21,14.53,470300,0.0,0
2014-04-28,14.65,14.83,14.35,14.52,323400,0.0,0
2014-04-29,14.63,14.77,14.51,14.76,258300,0.0,0
2014-04-30,14.9,15.07,14.04,14.62,546300,0.0,0
2014-05-01,14.63,14.84,14.38,14.78,735300,0.0,0
2014-05-02,14.8,14.8,14.56,14.63,195000,0.0,0
2014-05-05,14.76,14.99,14.63,14.78,298000,0.0,0
2014-05-06,14.72,14.77,14.49,14.61,185900,0.0,0
2014-05-07,14.71,14.74,14.49,14.52,135000,0.0,0
2014-05-08,14.47,14.72,14.32,14.36,347000,0.0,0
2014-05-09,14.29,14.45,13.83,13.86,278000,0.0,0
2014-05-12,13.84,14.39,13.45,14.15,531700,0.0,0
2014-05-13,14.18,14.34,13.71,14.06,237100,0.0,0
2014-05-14,14.08,14.18,13.91,14.07,184100,0.0,0
2014-05-15,14.06,14.25,13.94,14.03,136300,0.0,0
2014-05-16,14.06,14.25,13.79,14.04,120300,0.0,0
2014-05-19,14.02,14.48,13.99,14.31,286700,0.0,0
2014-05-20,14.62,14.65,14.06,14.48,663600,0.0,0
2014-05-21,14.36,14.96,14.18,14.83,724800,0.0,0
2014-05-22,14.95,15.02,14.48,14.81,366000,0.0,0
2014-05-23,14.9,14.93,14.61,14.67,274300,0.0,0
2014-05-27,15.3,15.92,14.78,14.84,1001000,0.0,0
2014-05-28,14.91,15.01,14.76,14.78,413100,0.0,0
2014-05-29,14.77,14.96,14.77,14.93,209700,0.0,0
2014-05-30,15.04,15.37,14.9,15.02,466200,0.0,0
2014-06-02,15.23,15.37,14.9,15.07,243300,0.0,0
2014-06-03,15.12,15.12,14.83,14.89,221000,0.0,0
2014-06-04,14.87,15.01,14.6,14.64,250500,0.0,0
2014-06-05,14.45,14.99,14.45,14.71,213000,0.0,0
2014-06-06,14.83,14.9,14.04,14.34,490100,0.0,0
2014-06-09,14.26,14.57,14.25,14.36,235800,0.0,0
