Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,24.22,24.63,24.22,24.38,21.28,1422200,0.0,0.0
2010-01-05,24.43,24.56,24.29,24.55,21.43,1400300,0.0,0.0
2010-01-06,24.5,24.77,24.45,24.65,21.51,927800,0.0,0.0
2010-01-07,24.56,24.57,24.21,24.32,21.22,1297800,0.0,0.0
2010-01-08,24.21,24.32,23.99,24.11,21.04,1314100,0.0,0.0
2010-01-11,24.24,24.57,24.0,24.09,21.02,1464400,0.0,0.0
2010-01-12,23.97,23.97,23.64,23.77,20.75,965100,0.0,0.0
2010-01-13,23.88,23.96,23.53,23.95,20.9,884100,0.0,0.0
2010-01-14,23.9,24.21,23.77,24.17,21.09,1035100,0.0,0.0
2010-01-15,24.07,24.13,23.52,23.77,20.74,1482000,0.0,0.0
2010-01-19,23.72,24.12,23.71,24.12,21.05,1330100,0.0,0.0
2010-01-20,23.88,23.91,23.64,23.79,20.76,1658200,0.0,0.0
2010-01-21,23.76,24.08,23.44,23.55,20.56,1751900,0.0,0.0
2010-01-22,23.38,23.45,22.93,22.95,20.03,1374900,0.0,0.0
2010-01-25,23.16,23.51,23.03,23.35,20.38,2009600,0.0,0.0
2010-01-26,23.21,23.63,23.08,23.24,20.29,1505600,0.0,0.0
2010-01-27,23.25,23.38,22.86,23.34,20.37,2560000,0.0,0.0
2010-01-28,24.92,24.92,23.66,24.16,21.09,6358400,0.0,0.0
2010-01-29,24.38,24.38,23.69,23.96,20.91,3993600,0.0,0.0
2010-02-01,24.21,24.57,24.2,24.39,21.29,2299000,0.0,0.0
2010-02-02,24.83,25.2,24.33,25.15,21.95,2906100,0.0,0.0
2010-02-03,25.06,25.21,24.93,24.99,21.81,1696200,0.0,0.0
2010-02-04,24.72,24.72,23.52,23.54,20.54,4337100,0.0,0.0
2010-02-05,23.49,23.59,22.83,23.35,20.38,2763300,0.0,0.0
2010-02-08,23.39,23.5,23.05,23.06,20.13,1569700,0.0,0.0
2010-02-09,23.42,23.65,23.15,23.42,20.44,1408700,0.0,0.0
2010-02-10,23.37,23.37,22.75,23.09,20.34,1452100,0.22,0.0
2010-02-11,23.0,23.31,22.76,23.3,20.53,1675500,0.0,0.0
2010-02-12,23.03,23.43,22.9,23.41,20.62,1607700,0.0,0.0
2010-02-16,23.73,24.21,23.63,24.08,21.22,2496200,0.0,0.0
2010-02-17,24.12,24.26,24.04,24.08,21.21,3945500,0.0,0.0
2010-02-18,24.01,24.25,23.92,24.2,21.32,1269900,0.0,0.0
2010-02-19,24.07,24.62,24.04,24.56,21.64,1789700,0.0,0.0
2010-02-22,24.73,24.79,24.07,24.21,21.33,1940600,0.0,0.0
2010-02-23,24.17,24.28,23.75,23.77,20.94,1707300,0.0,0.0
2010-02-24,23.88,24.1,23.74,23.98,21.13,1677500,0.0,0.0
2010-02-25,23.7,24.01,23.43,23.95,21.1,1711500,0.0,0.0
2010-02-26,24.0,24.08,23.77,23.82,20.99,1404500,0.0,0.0
2010-03-01,23.95,24.47,23.95,24.45,21.54,1563200,0.0,0.0
2010-03-02,24.67,25.02,24.63,24.9,21.94,2728300,0.0,0.0
2010-03-03,24.96,25.19,24.96,25.15,22.16,1907900,0.0,0.0
2010-03-04,25.12,25.3,24.92,25.05,22.07,1956000,0.0,0.0
2010-03-05,25.24,25.82,25.2,25.76,22.7,2289800,0.0,0.0
2010-03-08,25.69,25.79,25.56,25.64,22.59,2088600,0.0,0.0
2010-03-09,25.55,25.81,25.47,25.79,22.72,2136200,0.0,0.0
2010-03-10,24.19,24.95,24.12,24.32,21.43,7370700,0.0,0.0
2010-03-11,23.95,24.09,23.76,23.85,21.02,18732900,0.0,0.0
2010-03-12,23.99,24.08,23.76,23.9,21.06,6330800,0.0,0.0
2010-03-15,23.89,23.92,23.2,23.68,20.86,4540500,0.0,0.0
2010-03-16,23.73,23.82,23.59,23.79,20.96,3123600,0.0,0.0
2010-03-17,23.81,23.95,23.65,23.75,20.92,2660500,0.0,0.0
2010-03-18,23.69,23.79,23.03,23.28,20.51,5611100,0.0,0.0
2010-03-19,22.71,23.38,22.45,22.71,20.01,5675700,0.0,0.0
2010-03-22,22.56,22.57,22.24,22.5,19.82,3989400,0.0,0.0
2010-03-23,22.53,22.78,22.34,22.72,20.01,2520700,0.0,0.0
2010-03-24,22.64,22.73,22.47,22.6,19.91,2345600,0.0,0.0
2010-03-25,22.69,22.81,22.18,22.22,19.57,4452700,0.0,0.0
2010-03-26,22.31,22.31,21.65,21.93,19.32,5092800,0.0,0.0
2010-03-29,22.03,22.46,21.93,22.43,19.77,2987600,0.0,0.0
2010-03-30,22.4,22.46,22.22,22.38,19.72,2496600,0.0,0.0
2010-03-31,22.34,22.54,22.19,22.32,19.66,6395800,0.0,0.0
2010-04-01,22.51,22.96,22.45,22.91,20.18,3700600,0.0,0.0
2010-04-05,22.92,23.56,22.92,23.56,20.76,3480300,0.0,0.0
2010-04-06,23.41,23.76,23.36,23.62,20.81,3596200,0.0,0.0
2010-04-07,23.53,23.7,23.38,23.63,20.82,4683000,0.0,0.0
2010-04-08,23.53,23.7,23.28,23.65,20.83,2123500,0.0,0.0
2010-04-09,24.41,24.49,23.9,24.39,21.49,4350100,0.0,0.0
2010-04-12,24.33,24.55,24.33,24.45,21.54,3753100,0.0,0.0
2010-04-13,24.4,24.53,24.18,24.32,21.43,3365300,0.0,0.0
2010-04-14,24.32,24.54,24.3,24.43,21.52,2467600,0.0,0.0
2010-04-15,24.34,24.49,24.28,24.31,21.42,2163800,0.0,0.0
2010-04-16,24.25,24.29,23.61,23.82,20.99,2561800,0.0,0.0
