Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2013-10-31,22.0,22.1,20.3,21.0,20.8,16022300,0.0,0
2013-11-01,21.4,23.0,21.1,22.53,22.32,2283500,0.0,0
2013-11-04,21.9,22.78,21.84,22.01,21.8,425800,0.0,0
2013-11-05,21.83,22.97,21.5,22.73,22.52,880100,0.0,0
2013-11-06,23.0,23.0,21.88,22.11,21.9,795500,0.0,0
2013-11-07,21.9,22.45,20.8,21.31,21.11,953500,0.0,0
2013-11-08,21.67,21.9,20.94,21.25,21.05,416300,0.0,0
2013-11-11,21.3,21.5,20.38,20.57,20.38,458000,0.0,0
2013-11-12,20.45,20.8,19.95,20.48,20.29,778100,0.0,0
2013-11-13,20.12,21.16,20.12,20.88,20.68,205500,0.0,0
2013-11-14,20.99,21.9,20.99,21.6,21.4,555500,0.0,0
2013-11-15,21.5,21.71,21.08,21.19,20.99,238400,0.0,0
2013-11-18,21.65,22.24,20.88,21.28,21.08,280200,0.0,0
2013-11-19,21.19,21.3,20.96,21.09,20.89,292500,0.0,0
2013-11-20,21.2,21.52,21.04,21.25,21.05,519400,0.0,0
2013-11-21,21.28,21.89,21.28,21.81,21.61,248100,0.0,0
2013-11-22,22.02,22.36,21.61,22.0,21.79,532800,0.0,0
2013-11-25,22.23,22.5,21.26,21.4,21.2,77800,0.0,0
2013-11-26,21.8,22.15,21.48,21.81,21.61,354600,0.0,0
2013-11-27,21.78,22.22,21.68,21.81,21.61,151500,0.0,0
2013-11-29,22.02,22.02,21.54,21.74,21.54,47700,0.0,0
2013-12-02,21.72,22.0,21.55,21.83,21.63,203900,0.0,0
2013-12-03,21.75,21.75,21.44,21.6,21.4,189100,0.0,0
2013-12-04,21.55,22.2,21.45,22.14,21.93,162600,0.0,0
2013-12-05,22.15,22.16,21.72,22.05,21.84,233000,0.0,0
2013-12-06,22.15,22.91,21.87,22.34,22.13,159900,0.0,0
2013-12-09,22.27,22.35,21.91,22.04,21.83,215200,0.0,0
2013-12-10,21.91,22.48,21.51,21.8,21.6,298300,0.0,0
2013-12-11,21.86,21.9,21.45,21.55,21.35,218000,0.0,0
2013-12-12,21.6,21.98,21.5,21.53,21.33,342300,0.0,0
2013-12-13,21.58,21.88,21.39,21.53,21.33,224600,0.0,0
2013-12-16,21.54,21.67,21.4,21.47,21.27,774400,0.0,0
2013-12-17,21.57,21.97,21.25,21.83,21.63,383600,0.0,0
2013-12-18,21.51,22.75,21.51,22.33,22.12,479900,0.0,0
2013-12-19,22.37,22.49,21.67,21.94,21.73,115400,0.0,0
2013-12-20,21.8,23.09,21.5,23.09,22.87,3088300,0.0,0
2013-12-23,23.04,23.28,22.85,23.0,22.78,389800,0.0,0
2013-12-24,23.04,23.32,22.91,23.1,22.88,104000,0.0,0
2013-12-26,23.17,23.91,23.17,23.42,23.2,197200,0.0,0
2013-12-27,23.52,23.79,23.41,23.61,23.39,206700,0.0,0
2013-12-30,23.61,23.93,23.18,23.65,23.43,169100,0.0,0
2013-12-31,23.62,24.1,23.52,24.06,23.83,232100,0.0,0
2014-01-02,23.91,24.06,23.12,23.37,23.15,199900,0.0,0
2014-01-03,23.36,24.76,23.36,24.01,23.78,411100,0.0,0
2014-01-06,24.17,24.43,23.67,23.91,23.69,236000,0.0,0
2014-01-07,23.95,24.07,23.61,23.77,23.55,180500,0.0,0
2014-01-08,23.7,23.7,23.09,23.24,23.02,170500,0.0,0
2014-01-09,23.26,23.26,22.8,23.1,22.88,286500,0.0,0
2014-01-10,23.16,23.44,22.9,23.27,23.05,155600,0.0,0
2014-01-13,23.17,23.43,23.16,23.26,23.04,136300,0.0,0
2014-01-14,23.0,24.27,22.61,23.49,23.27,701800,0.0,0
2014-01-15,23.5,24.75,23.44,24.62,24.39,267800,0.0,0
2014-01-16,24.5,24.66,23.8,24.13,23.9,339500,0.0,0
2014-01-17,24.19,25.06,24.18,24.84,24.61,232000,0.0,0
2014-01-21,25.04,25.23,24.38,24.83,24.6,129300,0.0,0
2014-01-22,24.91,25.54,24.7,25.18,24.94,178700,0.0,0
2014-01-23,25.08,25.69,24.68,24.7,24.47,261700,0.0,0
2014-01-24,24.66,24.66,23.5,24.19,23.96,199400,0.0,0
2014-01-27,24.34,24.72,23.91,24.08,23.85,184800,0.0,0
2014-01-28,24.18,24.92,24.05,24.75,24.52,392200,0.0,0
2014-01-29,24.61,25.18,24.55,24.87,24.64,364300,0.0,0
2014-01-30,25.15,25.52,24.73,24.9,24.67,125500,0.0,0
2014-01-31,24.45,25.45,24.33,25.1,24.86,113900,0.0,0
2014-02-03,25.02,25.31,24.66,24.77,24.54,177600,0.0,0
2014-02-04,24.84,25.17,24.47,24.71,24.48,167200,0.0,0
2014-02-05,24.56,24.72,23.93,24.4,24.17,141100,0.0,0
2014-02-06,24.46,24.59,24.08,24.26,24.03,125500,0.0,0
2014-02-07,24.24,24.44,24.07,24.35,24.12,186600,0.0,0
2014-02-10,24.39,24.39,23.6,23.9,23.68,228100,0.0,0
2014-02-11,23.98,24.1,23.79,23.99,23.76,264900,0.0,0
2014-02-12,24.06,24.35,23.91,24.3,24.07,225100,0.0,0
2014-02-13,24.15,24.57,23.93,24.57,24.34,199900,0.0,0
2014-02-14,24.61,24.99,24.44,24.85,24.62,46100,0.0,0
2014-02-18,24.97,26.45,24.97,25.87,25.63,257000,0.0,0
2014-02-19,25.6,25.66,23.85,24.76,24.53,805800,0.0,0
2014-02-20,23.78,25.3,23.43,25.25,25.01,810500,0.0,0
2014-02-21,24.85,25.11,24.26,24.63,24.4,260900,0.0,0
2014-02-24,24.71,24.84,24.39,24.51,24.28,178600,0.0,0
2014-02-25,24.47,24.54,24.17,24.26,24.03,87700,0.0,0
2014-02-26,24.35,24.35,23.68,23.77,23.55,406000,0.0,0
2014-02-27,23.75,24.02,23.22,23.4,23.18,327400,0.0,0
2014-02-28,23.48,23.93,23.02,23.2,22.98,275500,0.0,0
2014-03-03,23.08,23.62,22.86,23.37,23.15,286300,0.0,0
2014-03-04,23.55,24.02,23.5,23.79,23.57,376500,0.0,0
2014-03-05,23.67,23.95,23.37,23.87,23.65,112700,0.0,0
2014-03-06,24.0,24.0,23.4,23.79,23.57,166200,0.0,0
2014-03-07,24.0,24.0,23.34,23.66,23.44,210700,0.0,0
2014-03-10,23.64,23.84,23.26,23.48,23.26,133200,0.0,0
2014-03-11,23.56,23.69,22.47,22.59,22.38,323800,0.0,0
2014-03-12,22.52,23.23,21.32,23.22,23.0,1128800,0.0,0
2014-03-13,23.33,23.78,23.02,23.4,23.18,440100,0.0,0
2014-03-14,23.26,23.68,23.16,23.37,23.15,122000,0.0,0
2014-03-17,23.45,24.18,23.45,23.98,23.75,341000,0.0,0
2014-03-18,23.95,24.13,23.83,24.0,23.77,239500,0.0,0
2014-03-19,24.0,24.17,23.67,23.74,23.52,122300,0.0,0
2014-03-20,23.75,24.04,23.55,24.01,23.78,114400,0.0,0
2014-03-21,24.19,24.19,22.95,23.06,22.84,185000,0.0,0
2014-03-24,23.11,23.17,22.63,23.08,22.86,122100,0.0,0
2014-03-25,23.27,23.38,22.58,23.13,22.91,156900,0.0,0
2014-03-26,23.23,23.31,22.85,22.92,22.7,187900,0.0,0
2014-03-27,22.98,23.29,22.05,22.24,22.03,210500,0.0,0
2014-03-28,22.22,22.38,21.69,22.18,21.97,265900,0.0,0
2014-03-31,22.28,22.7,22.25,22.46,22.25,255000,0.0,0
2014-04-01,22.59,22.59,22.0,22.29,22.08,195700,0.0,0
2014-04-02,22.32,22.38,21.97,22.14,21.93,134500,0.0,0
2014-04-03,22.23,22.23,21.64,21.68,21.48,204500,0.0,0
2014-04-04,21.82,21.9,20.93,21.26,21.06,240800,0.0,0
2014-04-07,21.14,21.28,20.34,21.15,20.95,279700,0.0,0
