Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,16.65,16.88,16.52,16.8,5.69,342100,0.0,0
2010-01-05,16.85,16.9,16.71,16.86,5.71,187700,0.0,0
2010-01-06,16.97,17.04,16.84,16.96,5.75,187800,0.0,0
2010-01-07,16.99,17.09,16.96,17.06,5.78,221200,0.0,0
2010-01-08,16.99,17.34,16.99,17.33,5.87,227600,0.0,0
2010-01-11,17.3,17.32,17.05,17.1,5.79,253900,0.0,0
2010-01-12,17.0,17.08,16.82,17.0,5.76,278000,0.0,0
2010-01-13,17.1,17.16,17.0,17.08,5.79,226300,0.0,0
2010-01-14,17.19,17.19,17.08,17.15,5.81,231200,0.0,0
2010-01-15,17.06,17.14,17.01,17.09,5.79,196300,0.0,0
2010-01-19,17.15,17.3,17.1,17.1,5.79,310000,0.0,0
2010-01-20,16.96,16.98,16.62,16.92,5.89,415000,0.45,0
2010-01-21,16.93,16.99,16.79,16.87,5.87,373100,0.0,0
2010-01-22,16.74,16.87,16.63,16.79,5.84,254800,0.0,0
2010-01-25,16.81,16.85,16.61,16.67,5.8,287500,0.0,0
2010-01-26,16.71,16.89,16.58,16.61,5.78,260700,0.0,0
2010-01-27,16.55,16.56,16.31,16.37,5.7,232400,0.0,0
2010-01-28,16.39,16.56,16.16,16.3,5.67,309900,0.0,0
2010-01-29,16.44,16.5,16.09,16.23,5.65,217000,0.0,0
2010-02-01,16.3,16.39,16.13,16.29,5.67,207000,0.0,0
2010-02-02,16.33,16.33,16.18,16.24,5.65,270100,0.0,0
2010-02-03,16.22,16.44,16.1,16.33,5.68,337700,0.0,0
2010-02-04,16.3,16.3,16.0,16.08,5.6,333400,0.0,0
2010-02-05,16.06,16.19,15.9,16.18,5.63,329500,0.0,0
2010-02-08,16.29,16.38,16.14,16.17,5.63,161600,0.0,0
2010-02-09,16.21,16.42,16.17,16.33,5.68,211700,0.0,0
2010-02-10,16.33,16.52,16.27,16.47,5.73,257200,0.0,0
2010-02-11,16.5,16.5,16.36,16.38,5.7,210300,0.0,0
2010-02-12,16.35,16.48,16.26,16.46,5.73,145000,0.0,0
2010-02-16,16.5,16.7,16.3,16.39,5.7,240600,0.0,0
2010-02-17,16.44,16.47,16.32,16.39,5.7,155900,0.0,0
2010-02-18,16.31,16.4,16.3,16.34,5.69,124600,0.0,0
2010-02-19,16.29,16.4,16.22,16.35,5.69,162100,0.0,0
2010-02-22,16.53,16.53,16.3,16.35,5.69,157600,0.0,0
2010-02-23,16.35,16.42,16.2,16.22,5.64,218900,0.0,0
2010-02-24,16.27,16.37,16.27,16.33,5.68,183900,0.0,0
2010-02-25,16.23,16.45,16.22,16.45,5.72,148400,0.0,0
2010-02-26,16.49,16.64,16.47,16.53,5.75,196800,0.0,0
2010-03-01,16.52,16.63,16.48,16.52,5.75,125600,0.0,0
2010-03-02,16.54,16.61,16.49,16.5,5.74,166000,0.0,0
2010-03-03,16.48,16.48,16.36,16.43,5.72,242700,0.0,0
2010-03-04,16.41,16.45,16.36,16.38,5.7,183000,0.0,0
2010-03-05,16.43,16.47,16.36,16.41,5.71,300600,0.0,0
2010-03-08,16.44,16.48,16.37,16.44,5.72,152000,0.0,0
2010-03-09,16.41,16.56,16.4,16.52,5.75,146000,0.0,0
2010-03-10,16.47,16.59,16.46,16.55,5.76,182800,0.0,0
2010-03-11,16.52,16.59,16.45,16.51,5.75,197800,0.0,0
2010-03-12,16.53,16.59,16.53,16.53,5.75,182300,0.0,0
2010-03-15,16.61,16.62,16.51,16.56,5.76,233900,0.0,0
2010-03-16,16.53,16.74,16.53,16.64,5.79,195900,0.0,0
2010-03-17,16.65,16.76,16.62,16.69,5.81,199200,0.0,0
2010-03-18,16.71,16.78,16.63,16.66,5.8,159800,0.0,0
2010-03-19,16.61,16.72,16.56,16.61,5.78,183900,0.0,0
2010-03-22,16.59,16.76,16.56,16.73,5.82,174800,0.0,0
2010-03-23,16.79,16.84,16.73,16.84,5.86,232600,0.0,0
2010-03-24,16.84,16.96,16.81,16.93,5.89,199200,0.0,0
2010-03-25,16.95,17.0,16.86,16.9,5.88,242600,0.0,0
2010-03-26,16.98,16.98,16.8,16.86,5.87,233800,0.0,0
2010-03-29,16.87,16.92,16.8,16.82,5.85,150800,0.0,0
2010-03-30,16.88,16.88,16.7,16.75,5.83,157100,0.0,0
2010-03-31,16.69,16.93,16.69,16.91,5.88,211600,0.0,0
2010-04-01,16.93,17.05,16.88,16.95,5.9,170000,0.0,0
2010-04-05,17.08,17.08,16.82,16.85,5.86,281900,0.0,0
2010-04-06,16.86,16.94,16.74,16.77,5.84,246100,0.0,0
2010-04-07,16.78,16.79,16.61,16.66,5.8,227000,0.0,0
2010-04-08,16.56,16.8,16.54,16.77,5.84,192100,0.0,0
2010-04-09,16.76,16.79,16.67,16.71,5.81,225800,0.0,0
2010-04-12,16.7,16.89,16.69,16.89,5.88,159700,0.0,0
2010-04-13,16.8,16.88,16.7,16.88,5.87,184500,0.0,0
2010-04-14,16.9,16.99,16.71,16.9,5.88,288100,0.0,0
2010-04-15,16.78,17.05,16.78,17.02,5.92,263500,0.0,0
2010-04-16,16.97,17.07,16.64,16.79,5.84,176300,0.0,0
2010-04-19,16.75,16.9,16.71,16.9,5.88,154600,0.0,0
2010-04-20,16.99,17.0,16.88,16.9,5.88,233300,0.0,0
2010-04-21,16.57,16.8,16.35,16.6,5.93,579300,0.45,0
2010-04-22,16.53,16.71,16.46,16.7,5.97,53700,0.0,0
2010-04-23,16.63,16.76,16.63,16.7,5.97,183000,0.0,0
2010-04-26,16.8,16.86,16.48,16.63,5.95,213500,0.0,0
2010-04-27,16.57,16.63,16.44,16.45,5.88,277900,0.0,0
2010-04-28,16.58,16.64,16.52,16.59,5.93,136800,0.0,0
2010-04-29,16.71,16.73,16.61,16.65,5.95,192000,0.0,0
2010-04-30,16.74,16.74,16.44,16.44,5.88,195200,0.0,0
2010-05-03,16.51,16.61,16.46,16.53,5.91,253000,0.0,0
2010-05-04,16.5,16.5,16.4,16.44,5.88,202000,0.0,0
2010-05-05,16.4,16.4,16.2,16.35,5.85,281300,0.0,0
2010-05-06,16.23,16.34,15.71,16.3,5.83,516500,0.0,0
2010-05-07,16.11,16.3,15.8,16.17,5.78,307600,0.0,0
2010-05-10,16.51,16.8,16.38,16.5,5.9,368300,0.0,0
2010-05-11,16.4,16.49,16.25,16.25,5.81,232000,0.0,0
2010-05-12,16.28,16.44,16.26,16.4,5.86,190800,0.0,0
2010-05-13,16.35,16.47,16.3,16.41,5.87,183200,0.0,0
2010-05-14,16.31,16.4,16.16,16.19,5.79,179800,0.0,0
2010-05-17,16.19,16.33,16.0,16.24,5.81,207000,0.0,0
2010-05-18,16.28,16.37,16.04,16.12,5.76,166100,0.0,0
2010-05-19,16.04,16.1,15.85,16.0,5.72,183800,0.0,0
2010-05-20,15.73,15.9,15.65,15.7,5.61,282400,0.0,0
2010-05-21,15.68,16.2,15.19,16.06,5.74,241800,0.0,0
2010-05-24,16.08,16.08,15.68,15.7,5.61,240100,0.0,0
2010-05-25,15.5,15.54,15.07,15.39,5.5,447700,0.0,0
2010-05-26,15.5,15.82,15.46,15.5,5.54,205200,0.0,0
2010-05-27,15.65,15.83,15.55,15.72,5.62,162000,0.0,0
2010-05-28,15.84,15.95,15.75,15.84,5.66,210900,0.0,0
2010-06-01,15.75,15.94,15.4,15.47,5.53,160600,0.0,0
2010-06-02,15.57,15.94,15.57,15.88,5.68,169300,0.0,0
2010-06-03,15.92,16.12,15.91,16.11,5.76,180900,0.0,0
2010-06-04,15.9,16.11,15.9,15.98,5.71,138000,0.0,0
2010-06-07,15.98,16.04,15.9,15.91,5.69,120500,0.0,0
2010-06-08,15.99,16.16,15.92,16.12,5.76,233200,0.0,0
2010-06-09,16.16,16.24,15.95,15.96,5.71,191500,0.0,0
2010-06-10,16.02,16.09,15.94,15.95,5.7,131900,0.0,0
2010-06-11,15.91,16.18,15.91,16.15,5.77,124400,0.0,0
2010-06-14,16.21,16.24,16.05,16.05,5.74,116600,0.0,0
2010-06-15,16.1,16.19,16.06,16.15,5.77,169900,0.0,0
2010-06-16,16.12,16.18,15.95,15.98,5.71,212700,0.0,0
2010-06-17,15.99,16.11,15.95,16.11,5.76,117100,0.0,0
2010-06-18,16.15,16.32,16.12,16.32,5.83,276200,0.0,0
2010-06-21,16.32,16.39,16.16,16.21,5.8,215100,0.0,0
2010-06-22,16.14,16.32,16.14,16.2,5.79,179300,0.0,0
2010-06-23,16.2,16.28,16.16,16.19,5.79,163300,0.0,0
2010-06-24,16.22,16.26,16.01,16.01,5.72,166200,0.0,0
2010-06-25,16.08,16.3,16.02,16.25,5.81,118900,0.0,0
2010-06-28,16.31,16.44,16.26,16.33,5.84,134600,0.0,0
2010-06-29,16.17,16.18,15.83,16.02,5.73,297000,0.0,0
2010-06-30,15.98,16.17,15.97,16.03,5.73,264900,0.0,0
2010-07-01,15.97,16.02,15.75,15.87,5.67,207300,0.0,0
2010-07-02,16.0,16.0,15.75,15.82,5.66,175000,0.0,0
2010-07-06,15.92,15.98,15.69,15.79,5.64,194800,0.0,0
2010-07-07,15.72,16.08,15.72,15.83,5.66,205400,0.0,0
2010-07-08,15.86,15.9,15.71,15.75,5.63,202600,0.0,0
2010-07-09,15.78,15.84,15.7,15.74,5.63,163400,0.0,0
2010-07-12,15.74,15.74,15.61,15.65,5.59,165000,0.0,0
2010-07-13,15.72,15.84,15.69,15.69,5.61,218500,0.0,0
2010-07-14,15.66,15.84,15.65,15.77,5.64,162800,0.0,0
2010-07-15,15.72,15.97,15.65,15.97,5.71,183600,0.0,0
2010-07-16,15.92,15.95,15.72,15.76,5.63,144400,0.0,0
2010-07-19,15.85,16.0,15.62,15.93,5.7,220400,0.0,0
2010-07-20,15.74,15.96,15.74,15.93,5.7,243400,0.0,0
2010-07-21,15.58,15.58,15.32,15.44,5.68,357600,0.45,0
