Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,8.8,9.25,8.8,9.0,5100,0.0,0
2010-01-05,9.27,9.27,8.81,8.82,1500,0.0,0
2010-01-06,9.17,9.59,9.17,9.49,1600,0.0,0
2010-01-07,9.5,9.5,9.12,9.12,200,0.0,0
2010-01-08,9.37,9.61,9.27,9.35,1700,0.0,0
2010-01-11,9.62,9.63,8.85,9.63,4000,0.0,0
2010-01-12,9.95,9.95,9.95,9.95,100,0.0,0
2010-01-13,9.34,9.34,9.13,9.13,200,0.0,0
2010-01-14,9.13,9.13,9.13,9.13,0,0.0,0
2010-01-15,9.84,9.93,9.3,9.39,3300,0.0,0
2010-01-19,9.94,9.97,9.94,9.97,500,0.0,0
2010-01-20,9.72,9.95,9.72,9.95,400,0.0,0
2010-01-21,9.95,9.95,9.95,9.95,0,0.0,0
2010-01-22,9.95,9.95,9.95,9.95,0,0.0,0
2010-01-25,9.94,10.01,9.94,10.01,2100,0.0,0
2010-01-26,10.09,10.09,10.09,10.09,200,0.0,0
2010-01-27,10.09,10.09,10.09,10.09,0,0.0,0
2010-01-28,10.11,10.11,9.92,9.92,2100,0.0,0
2010-01-29,10.06,10.06,9.99,9.99,300,0.0,0
2010-02-01,9.99,9.99,9.99,9.99,0,0.0,0
2010-02-02,10.27,10.34,10.27,10.34,300,0.0,0
2010-02-03,9.81,10.34,9.81,10.34,900,0.0,0
2010-02-04,10.34,10.34,10.34,10.34,200,0.0,0
2010-02-05,10.66,10.66,10.17,10.17,400,0.0,0
2010-02-08,10.17,10.17,10.17,10.17,0,0.0,0
2010-02-09,9.27,10.28,9.27,9.64,2100,0.0,0
2010-02-10,10.42,10.42,9.85,9.98,1800,0.0,0
2010-02-11,9.98,9.98,9.98,9.98,0,0.0,0
2010-02-12,9.98,9.98,9.98,9.98,0,0.0,0
2010-02-16,10.69,10.69,10.69,10.69,100,0.0,0
2010-02-17,10.34,10.34,10.23,10.23,300,0.0,0
2010-02-18,9.99,9.99,9.99,9.99,100,0.0,0
2010-02-19,9.99,9.99,9.99,9.99,0,0.0,0
2010-02-22,9.98,9.99,9.92,9.99,1000,0.0,0
2010-02-23,9.99,9.99,9.99,9.99,0,0.0,0
2010-02-24,9.99,10.27,9.7,9.7,3800,0.0,0
2010-02-25,9.7,9.7,9.7,9.7,0,0.0,0
2010-02-26,9.67,10.64,9.67,10.64,1400,0.0,0
2010-03-01,10.32,10.32,10.09,10.09,500,0.0,0
2010-03-02,10.09,10.09,10.09,10.09,400,0.0,0
2010-03-03,9.74,10.03,9.74,9.84,1500,0.0,0
2010-03-04,10.34,10.34,9.83,9.83,600,0.0,0
2010-03-05,9.83,9.83,9.83,9.83,0,0.0,0
2010-03-08,10.69,10.7,10.66,10.69,700,0.0,0
2010-03-09,10.69,10.69,10.69,10.69,0,0.0,0
2010-03-10,10.69,10.69,10.69,10.69,0,0.0,0
2010-03-11,10.7,10.7,10.17,10.45,2000,0.0,0
2010-03-12,10.45,10.45,10.45,10.45,0,0.0,0
2010-03-15,10.45,10.45,10.45,10.45,500,0.0,0
2010-03-16,10.44,10.44,10.42,10.42,300,0.0,0
2010-03-17,10.41,10.41,9.98,9.99,5700,0.2,0
2010-03-18,10.31,10.36,10.31,10.36,2000,0.0,0
2010-03-19,10.39,10.39,9.91,9.94,1600,0.0,0
2010-03-22,10.08,10.19,9.94,10.19,2900,0.0,0
2010-03-23,9.97,11.53,9.97,10.7,1600,0.0,0
2010-03-24,10.2,11.2,9.99,11.03,8700,0.0,0
2010-03-25,11.12,11.14,10.45,10.63,4400,0.0,0
2010-03-26,10.79,10.79,10.53,10.57,400,0.0,0
2010-03-29,11.01,11.01,10.43,10.49,1300,0.0,0
2010-03-30,10.78,10.85,10.49,10.78,4300,0.0,0
2010-03-31,10.75,10.75,10.75,10.75,100,0.0,0
2010-04-01,11.0,11.21,10.37,11.21,4400,0.0,0
2010-04-05,10.49,10.6,10.39,10.53,1600,0.0,0
2010-04-06,10.53,10.53,10.53,10.53,0,0.0,0
2010-04-07,10.53,10.53,10.53,10.53,0,0.0,0
2010-04-08,10.67,10.67,10.67,10.67,200,0.0,0
2010-04-09,10.67,10.67,10.67,10.67,0,0.0,0
2010-04-12,11.34,11.36,11.23,11.23,600,0.0,0
2010-04-13,11.56,11.56,11.56,11.56,1000,0.0,0
2010-04-14,11.54,11.54,11.0,11.39,1000,0.0,0
2010-04-15,10.88,11.54,10.88,11.49,900,0.0,0
2010-04-16,10.95,11.39,10.94,11.39,900,0.0,0
2010-04-19,11.39,11.39,11.34,11.34,200,0.0,0
2010-04-20,11.39,11.47,11.39,11.47,600,0.0,0
2010-04-21,11.21,11.57,11.21,11.57,1500,0.0,0
2010-04-22,11.57,11.57,11.57,11.57,0,0.0,0
2010-04-23,11.24,11.57,11.03,11.57,700,0.0,0
2010-04-26,11.57,11.57,11.57,11.57,0,0.0,0
2010-04-27,11.22,11.39,11.21,11.38,800,0.0,0
2010-04-28,11.43,11.43,11.43,11.43,300,0.0,0
2010-04-29,11.28,11.29,11.21,11.29,500,0.0,0
2010-04-30,11.25,11.39,11.25,11.39,200,0.0,0
2010-05-03,11.43,11.43,11.43,11.43,400,0.0,0
2010-05-04,11.56,11.56,11.56,11.56,1000,0.0,0
2010-05-05,12.26,13.02,12.26,12.84,1800,0.0,0
2010-05-06,12.64,13.02,12.64,13.02,900,0.0,0
2010-05-07,13.02,13.02,13.02,13.02,200,0.0,0
2010-05-10,13.02,13.02,13.02,13.02,200,0.0,0
2010-05-11,13.02,13.02,13.02,13.02,0,0.0,0
2010-05-12,12.8,12.84,12.76,12.84,700,0.0,0
2010-05-13,13.02,13.02,13.02,13.02,300,0.0,0
2010-05-14,13.02,13.02,13.02,13.02,0,0.0,0
2010-05-17,13.02,13.02,13.02,13.02,0,0.0,0
2010-05-18,13.02,13.02,13.02,13.02,0,0.0,0
2010-05-19,13.02,13.02,13.02,13.02,0,0.0,0
2010-05-20,11.83,12.14,11.57,11.57,600,0.0,0
2010-05-21,11.6,11.6,11.58,11.58,200,0.0,0
2010-05-24,11.57,11.57,11.57,11.57,200,0.0,0
2010-05-25,11.57,11.57,11.57,11.57,400,0.0,0
2010-05-26,11.57,11.57,11.43,11.43,400,0.0,0
2010-05-27,11.43,11.43,11.43,11.43,200,0.0,0
2010-05-28,11.43,11.43,11.21,11.32,41600,0.0,0
2010-06-01,11.36,12.73,11.21,12.22,6000,0.0,0
2010-06-02,11.9,11.96,11.43,11.54,4200,0.0,0
2010-06-03,11.53,12.01,11.53,11.7,1300,0.0,0
2010-06-04,11.49,12.09,11.46,11.57,1700,0.0,0
2010-06-07,11.68,11.93,11.57,11.67,1900,0.0,0
2010-06-08,11.28,11.66,11.28,11.51,1700,0.0,0
2010-06-09,11.57,12.01,11.49,12.01,1400,0.0,0
2010-06-10,12.15,12.15,11.26,11.61,800,0.0,0
2010-06-11,11.61,11.7,11.61,11.7,400,0.0,0
2010-06-14,11.66,11.68,11.59,11.59,300,0.0,0
2010-06-15,11.58,11.58,11.54,11.54,500,0.0,0
2010-06-16,11.54,11.54,11.54,11.54,1700,0.2,0
2010-06-17,11.72,11.72,11.57,11.57,700,0.0,0
2010-06-18,11.5,11.5,11.5,11.5,200,0.0,0
2010-06-21,11.5,11.5,11.5,11.5,0,0.0,0
2010-06-22,11.43,11.43,11.24,11.28,2000,0.0,0
2010-06-23,11.24,11.28,11.24,11.27,1200,0.0,0
2010-06-24,11.27,11.27,11.27,11.27,0,0.0,0
2010-06-25,11.34,11.35,11.34,11.35,300,0.0,0
2010-06-28,11.54,11.54,11.54,11.54,300,0.0,0
2010-06-29,11.35,11.35,11.05,11.35,1700,0.0,0
2010-06-30,11.35,11.35,11.35,11.35,0,0.0,0
2010-07-01,11.54,11.72,11.5,11.72,2100,0.0,0
2010-07-02,11.72,11.72,11.72,11.72,0,0.0,0
2010-07-06,11.72,11.72,11.72,11.72,0,0.0,0
2010-07-07,11.77,12.09,11.77,12.09,1400,0.0,0
2010-07-08,11.06,11.06,10.98,10.99,400,0.0,0
2010-07-09,11.51,11.51,11.28,11.35,500,0.0,0
2010-07-12,11.35,11.35,11.35,11.35,100,0.0,0
2010-07-13,11.35,11.35,11.35,11.35,0,0.0,0
2010-07-14,11.69,11.71,11.69,11.71,200,0.0,0
2010-07-15,11.71,11.71,11.71,11.71,0,0.0,0
2010-07-16,11.71,11.71,11.71,11.71,0,0.0,0
2010-07-19,11.35,11.36,10.96,10.96,1000,0.0,0
2010-07-20,11.68,11.69,11.42,11.42,800,0.0,0
2010-07-21,10.96,11.17,10.96,10.98,800,0.0,0
2010-07-22,11.17,11.17,10.95,10.99,3300,0.0,0
2010-07-23,11.35,11.35,11.35,11.35,100,0.0,0
2010-07-26,11.35,11.35,11.35,11.35,0,0.0,0
2010-07-27,11.35,11.35,11.35,11.35,0,0.0,0
2010-07-28,11.35,11.35,11.35,11.35,0,0.0,0
2010-07-29,11.71,11.71,11.24,11.3,500,0.0,0
2010-07-30,11.35,11.35,10.99,10.99,1200,0.0,0
2010-08-02,11.32,11.32,11.32,11.32,100,0.0,0
2010-08-03,11.32,11.32,11.32,11.32,0,0.0,0
2010-08-04,11.32,11.32,11.32,11.32,0,0.0,0
2010-08-05,11.05,11.05,11.0,11.03,1000,0.0,0
2010-08-06,11.03,11.03,11.03,11.03,0,0.0,0
2010-08-09,11.12,11.43,11.12,11.43,300,0.0,0
2010-08-10,11.02,11.28,10.99,11.13,1400,0.0,0
2010-08-11,11.13,11.13,11.13,11.13,0,0.0,0
2010-08-12,11.13,11.13,11.13,11.13,0,0.0,0
2010-08-13,11.13,11.13,11.13,11.13,0,0.0,0
2010-08-16,11.13,11.13,11.13,11.13,0,0.0,0
2010-08-17,11.13,11.13,11.13,11.13,0,0.0,0
2010-08-18,11.13,11.13,11.13,11.13,200,0.0,0
2010-08-19,11.06,11.06,10.84,10.84,600,0.0,0
2010-08-20,10.84,10.84,10.84,10.84,0,0.0,0
2010-08-23,10.99,10.99,10.99,10.99,300,0.0,0
2010-08-24,10.62,10.62,10.62,10.62,200,0.0,0
2010-08-25,10.85,11.22,10.85,11.22,600,0.0,0
2010-08-26,11.31,11.35,11.29,11.35,700,0.0,0
2010-08-27,11.32,11.35,11.18,11.35,600,0.0,0
2010-08-30,11.35,11.35,11.35,11.35,0,0.0,0
2010-08-31,10.65,11.32,10.63,11.32,1300,0.0,0
2010-09-01,11.35,11.35,11.35,11.35,500,0.0,0
2010-09-02,11.33,11.35,11.33,11.35,500,0.0,0
2010-09-03,11.35,11.35,10.5,10.5,700,0.0,0
2010-09-07,10.99,10.99,10.99,10.99,200,0.0,0
2010-09-08,11.65,11.65,11.65,11.65,200,0.0,0
2010-09-09,11.65,11.65,11.65,11.65,0,0.0,0
2010-09-10,11.65,11.65,11.65,11.65,0,0.0,0
2010-09-13,11.19,11.19,11.17,11.17,700,0.0,0
2010-09-14,10.99,11.68,10.6,10.6,1600,0.0,0
2010-09-15,10.75,10.75,10.75,10.75,0,0.2,0
2010-09-16,10.75,10.75,10.75,10.75,0,0.0,0
2010-09-17,11.28,11.28,11.28,11.28,100,0.0,0
2010-09-20,11.1,11.1,11.1,11.1,200,0.0,0
2010-09-21,11.1,11.1,10.58,10.58,7900,0.0,0
2010-09-22,10.58,10.86,10.32,10.32,2100,0.0,0
2010-09-23,10.26,10.26,9.51,9.57,2800,0.0,0
2010-09-24,9.66,9.66,9.16,9.25,4900,0.0,0
2010-09-27,9.1,9.19,9.1,9.11,1900,0.0,0
2010-09-28,8.92,9.2,8.91,9.17,4300,0.0,0
2010-09-29,9.22,9.22,9.17,9.17,500,0.0,0
2010-09-30,9.13,9.66,9.1,9.66,4700,0.0,0
2010-10-01,9.66,10.4,9.66,10.26,5500,0.0,0
2010-10-04,10.35,10.35,10.35,10.35,100,0.0,0
2010-10-05,10.01,10.01,9.36,9.55,6000,0.0,0
2010-10-06,9.55,9.77,9.25,9.56,8800,0.0,0
2010-10-07,9.36,9.65,9.33,9.65,5500,0.0,0
2010-10-08,9.65,9.65,9.65,9.65,0,0.0,0
2010-10-11,9.74,9.92,9.45,9.68,500,0.0,0
2010-10-12,9.68,9.68,9.68,9.68,0,0.0,0
2010-10-13,9.67,9.92,9.29,9.3,3700,0.0,0
2010-10-14,9.28,9.4,9.28,9.4,700,0.0,0
2010-10-15,9.28,9.67,9.28,9.67,1300,0.0,0
2010-10-18,9.4,9.65,9.4,9.63,1000,0.0,0
2010-10-19,9.63,9.63,9.63,9.63,0,0.0,0
2010-10-20,9.63,9.63,9.63,9.63,0,0.0,0
2010-10-21,9.47,9.47,9.28,9.47,500,0.0,0
2010-10-22,9.47,9.65,9.47,9.65,400,0.0,0
2010-10-25,9.34,9.45,9.34,9.45,400,0.0,0
2010-10-26,9.45,9.45,9.45,9.45,0,0.0,0
2010-10-27,9.45,9.45,9.45,9.45,100,0.0,0
2010-10-28,9.32,9.53,9.32,9.53,400,0.0,0
2010-10-29,9.32,9.66,9.32,9.66,2400,0.0,0
2010-11-01,9.66,9.66,9.66,9.66,0,0.0,0
2010-11-02,9.66,9.69,9.66,9.67,1100,0.0,0
2010-11-03,9.67,9.67,9.67,9.67,0,0.0,0
2010-11-04,9.66,9.66,9.47,9.62,600,0.0,0
2010-11-05,9.69,9.69,9.47,9.66,1800,0.0,0
2010-11-08,9.65,9.66,9.65,9.66,500,0.0,0
2010-11-09,9.66,9.67,9.59,9.59,400,0.0,0
2010-11-10,9.58,9.58,9.54,9.58,600,0.0,0
2010-11-11,9.47,9.47,9.47,9.47,500,0.0,0
2010-11-12,9.47,9.58,9.47,9.58,300,0.0,0
2010-11-15,9.58,9.58,9.58,9.58,0,0.0,0
2010-11-16,9.58,9.58,9.58,9.58,0,0.0,0
2010-11-17,9.51,9.51,9.47,9.47,400,0.0,0
2010-11-18,9.32,9.58,9.32,9.58,400,0.0,0
2010-11-19,9.32,9.58,9.32,9.58,3800,0.0,0
2010-11-22,9.33,9.33,9.32,9.32,300,0.0,0
2010-11-23,9.59,9.59,9.59,9.59,100,0.0,0
2010-11-24,9.66,9.66,9.66,9.66,100,0.0,0
2010-11-26,9.66,9.66,9.66,9.66,0,0.0,0
2010-11-29,9.66,9.66,9.66,9.66,0,0.0,0
2010-11-30,9.66,9.66,9.66,9.66,0,0.0,0
2010-12-01,9.33,9.65,9.33,9.65,300,0.0,0
2010-12-02,9.33,9.65,9.33,9.65,500,0.0,0
2010-12-03,9.47,9.63,9.32,9.63,1300,0.0,0
2010-12-06,9.51,9.51,9.51,9.51,300,0.0,0
2010-12-07,9.52,9.52,9.52,9.52,600,0.0,0
2010-12-08,9.51,9.66,9.47,9.66,1500,0.0,0
