Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-11-28,19.95,19.98,19.93,19.98,10.4672,1998200,0.0,0
2012-11-29,19.98,19.98,19.95,19.98,10.4672,197500,0.0,0
2012-11-30,20.0,20.0,19.97,20.0,10.4776,269700,0.0,0
2012-12-03,20.0,20.05,19.98,20.0,10.4776,163600,0.0,0
2012-12-04,20.1,20.1,19.99,20.03,10.4934,117800,0.0,0
2012-12-05,20.0,20.05,19.97,20.01,10.4829,98200,0.0,0
2012-12-06,20.1,20.1,20.0,20.02,10.4881,116600,0.0,0
2012-12-07,20.1,20.1,19.98,20.0,10.4776,117600,0.0,0
2012-12-10,20.08,20.08,19.98,20.0,10.4776,73100,0.0,0
2012-12-11,20.0,20.05,19.99,20.03,10.4934,99000,0.0,0
2012-12-12,20.0,20.1,20.0,20.1,10.53,89600,0.0,0
2012-12-13,20.1,20.45,20.04,20.04,10.4986,113900,0.0,0
2012-12-14,20.19,20.19,19.97,20.0,10.4776,115800,0.0,0
2012-12-17,20.0,20.15,20.0,20.1,10.53,88100,0.0,0
2012-12-18,20.28,20.28,20.01,20.15,10.5562,102100,0.0,0
2012-12-19,20.2,20.4,20.1,20.25,10.6086,100700,0.0,0
2012-12-20,20.25,20.25,20.04,20.09,10.5248,101900,0.0,0
2012-12-21,20.19,20.23,20.06,20.13,10.5458,68400,0.0,0
2012-12-24,20.03,20.25,20.03,20.2,10.5824,27800,0.0,0
2012-12-26,20.25,20.45,20.07,20.4,10.6872,80700,0.0,0
2012-12-27,20.44,20.44,20.16,20.25,10.6086,33800,0.0,0
2012-12-28,20.38,20.38,20.17,20.36,10.6662,47100,0.0,0
2012-12-31,20.4,20.84,20.28,20.65,10.8182,128500,0.0,0
2013-01-02,20.79,20.87,20.55,20.57,10.7763,73000,0.0,0
2013-01-03,20.0,20.31,19.9,20.15,10.5562,516500,0.0,0
2013-01-04,20.02,20.18,20.0,20.06,10.5091,152300,0.0,0
2013-01-07,20.05,20.37,20.05,20.24,10.6034,131800,0.0,0
2013-01-08,20.32,20.32,20.01,20.02,10.4881,144200,0.0,0
2013-01-09,20.0,20.33,20.0,20.26,10.6139,208900,0.0,0
2013-01-10,20.34,20.44,20.17,20.27,10.6191,151000,0.0,0
2013-01-11,20.3,20.6,20.29,20.55,10.7658,185700,0.0,0
2013-01-14,20.47,20.55,20.25,20.34,10.6558,158800,0.0,0
2013-01-15,20.5,20.5,20.12,20.25,10.6086,229400,0.0,0
2013-01-16,20.41,20.41,20.17,20.29,10.6296,171700,0.0,0
2013-01-17,20.31,20.45,20.18,20.23,10.5981,183500,0.0,0
2013-01-18,20.15,20.4,20.15,20.31,10.64,153100,0.0,0
2013-01-22,20.3,20.3,20.15,20.26,10.6139,194000,0.0,0
2013-01-23,20.36,20.5,20.26,20.41,10.6924,240200,0.0,0
2013-01-24,20.43,20.43,20.21,20.29,10.6296,185600,0.0,0
2013-01-25,20.37,20.5,20.25,20.48,10.7291,187500,0.0,0
2013-01-28,20.5,20.69,20.34,20.49,10.7344,145800,0.0,0
2013-01-29,20.65,20.71,20.38,20.56,10.771,210100,0.0,0
2013-01-30,20.62,21.0,20.5,20.77,10.881,151300,0.0,0
2013-01-31,21.0,21.04,20.65,21.02,11.012,208200,0.0,0
2013-02-01,20.96,21.29,20.72,21.05,11.0847,37200,0.108,0
2013-02-04,21.03,21.07,20.4,20.7,10.9004,225800,0.0,0
2013-02-05,20.74,20.74,20.27,20.44,10.7635,249100,0.0,0
2013-02-06,20.45,20.61,20.31,20.57,10.8319,171900,0.0,0
2013-02-07,20.59,20.93,20.42,20.91,11.011,213600,0.0,0
2013-02-08,20.94,20.94,20.66,20.77,10.9372,155700,0.0,0
2013-02-11,20.8,20.93,20.59,20.79,10.9478,198800,0.0,0
2013-02-12,20.8,20.8,20.55,20.7,10.9004,143200,0.0,0
2013-02-13,20.66,21.15,20.65,21.01,11.0636,261200,0.0,0
2013-02-14,21.06,21.11,20.72,20.94,11.0268,202600,0.0,0
2013-02-15,21.02,21.03,20.78,20.8,10.953,162100,0.0,0
2013-02-19,20.84,20.87,20.58,20.71,10.9056,260000,0.0,0
2013-02-20,20.76,21.06,20.55,20.85,10.9794,177000,0.0,0
2013-02-21,20.88,21.09,20.44,20.77,10.9372,230000,0.0,0
2013-02-22,20.85,20.95,20.55,20.56,10.8266,189900,0.0,0
2013-02-25,20.5,20.68,20.34,20.34,10.7108,319900,0.0,0
2013-02-26,20.32,20.84,20.32,20.55,10.8214,169800,0.0,0
2013-02-27,20.51,20.92,20.51,20.67,10.8846,225700,0.0,0
2013-02-28,20.7,20.95,20.66,20.93,11.0215,221400,0.0,0
