Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-09-28,9.01,9.01,8.94,9.01,1798700,0.0,0
2011-09-29,9.0,9.01,8.98,9.01,55100,0.0,0
2011-09-30,9.01,9.01,8.98,9.01,30300,0.0,0
2011-10-03,9.01,9.01,8.98,9.01,111300,0.0,0
2011-10-04,8.99,9.01,8.96,9.01,125600,0.0,0
2011-10-05,9.01,9.01,8.96,9.01,113900,0.0,0
2011-10-06,9.01,9.07,8.98,9.01,98900,0.0,0
2011-10-07,9.01,9.07,8.99,9.01,99000,0.0,0
2011-10-10,9.01,9.01,8.98,9.01,91400,0.0,0
2011-10-11,9.05,9.05,9.01,9.01,39400,0.0,0
2011-10-12,9.01,9.03,9.01,9.01,18300,0.0,0
2011-10-13,9.01,9.05,9.0,9.03,13800,0.0,0
2011-10-14,9.06,9.07,9.04,9.07,17800,0.0,0
2011-10-17,9.06,9.09,9.06,9.09,9500,0.0,0
2011-10-18,9.19,9.19,9.1,9.15,61200,0.0,0
2011-10-19,9.16,9.25,9.1,9.14,54400,0.0,0
2011-10-20,9.22,9.22,9.03,9.12,36500,0.0,0
2011-10-21,9.23,9.23,9.13,9.14,37800,0.0,0
2011-10-24,9.19,9.23,9.17,9.18,21800,0.0,0
2011-10-25,9.28,9.28,9.05,9.12,77600,0.0,0
2011-10-26,9.1,9.11,9.01,9.06,44600,0.0,0
2011-10-27,9.1,9.1,8.99,9.02,71700,0.0,0
2011-10-28,9.01,9.02,8.98,9.01,79400,0.0,0
2011-10-31,9.01,9.02,9.0,9.01,44500,0.0,0
2011-11-01,9.02,9.04,9.01,9.03,40400,0.0,0
2011-11-02,9.03,9.16,9.01,9.05,67900,0.0,0
2011-11-03,9.06,9.16,9.01,9.12,50100,0.0,0
2011-11-04,8.98,9.07,8.91,8.96,164100,0.0,0
2011-11-07,8.96,9.01,8.92,8.96,62300,0.0,0
2011-11-08,9.01,9.07,8.97,9.01,89600,0.0,0
2011-11-09,8.96,8.96,8.85,8.96,108500,0.0,0
2011-11-10,8.97,9.02,8.97,9.01,45800,0.0,0
2011-11-11,9.03,9.03,8.96,8.99,60700,0.0,0
2011-11-14,9.02,9.02,8.71,8.76,136500,0.0,0
2011-11-15,8.81,8.97,8.77,8.92,85700,0.0,0
2011-11-16,8.92,8.99,8.86,8.89,83300,0.0,0
2011-11-17,9.01,9.01,8.91,8.92,38400,0.0,0
2011-11-18,8.91,8.96,8.83,8.94,43600,0.0,0
2011-11-21,8.98,8.98,8.67,8.77,51500,0.0,0
2011-11-22,8.67,8.98,8.67,8.87,95300,0.0,0
2011-11-23,8.8,8.97,8.8,8.94,33800,0.0,0
2011-11-25,8.91,8.92,8.76,8.84,14100,0.0,0
2011-11-28,8.86,8.92,8.69,8.75,66800,0.0,0
2011-11-29,8.68,8.81,8.67,8.78,61500,0.0,0
2011-11-30,8.96,9.0,8.83,8.93,90900,0.0,0
2011-12-01,8.95,9.01,8.88,8.97,75900,0.109,0
2011-12-02,9.03,9.03,8.94,8.98,43500,0.0,0
2011-12-05,9.06,9.06,8.94,9.03,49900,0.0,0
2011-12-06,8.98,9.09,8.93,9.08,84700,0.0,0
2011-12-07,9.05,9.08,8.97,8.99,68600,0.0,0
2011-12-08,9.05,9.09,9.01,9.03,56100,0.0,0
2011-12-09,9.09,9.09,9.0,9.06,60500,0.0,0
2011-12-12,9.06,9.09,9.01,9.05,85000,0.0,0
2011-12-13,9.07,9.11,9.05,9.09,68200,0.0,0
2011-12-14,9.11,9.12,9.05,9.1,62400,0.0,0
2011-12-15,9.09,9.12,9.02,9.1,79200,0.0,0
2011-12-16,9.1,9.1,9.06,9.06,42400,0.0,0
2011-12-19,9.06,9.13,9.06,9.08,42200,0.0,0
2011-12-20,9.1,9.19,9.02,9.17,116000,0.0,0
2011-12-21,9.16,9.33,9.11,9.26,115500,0.0,0
2011-12-22,9.19,9.33,9.15,9.23,132500,0.0,0
2011-12-23,9.22,9.38,9.21,9.21,135400,0.0,0
2011-12-27,9.24,9.32,9.11,9.21,142700,0.0,0
2011-12-28,9.23,9.28,9.06,9.12,117200,0.0,0
2011-12-29,9.14,9.26,9.13,9.17,196400,0.0,0
2011-12-30,9.21,9.25,9.17,9.22,25000,0.109,0
2012-01-03,9.33,9.45,9.25,9.41,74100,0.0,0
2012-01-04,9.34,9.54,9.34,9.51,118600,0.0,0
2012-01-05,9.43,9.67,9.42,9.65,259000,0.0,0
2012-01-06,9.62,9.76,9.58,9.6,333900,0.0,0
2012-01-09,9.6,9.6,9.48,9.51,110200,0.0,0
2012-01-10,9.56,9.56,9.34,9.34,163200,0.0,0
2012-01-11,9.33,9.48,9.33,9.37,154000,0.0,0
2012-01-12,9.29,9.44,9.28,9.44,121400,0.0,0
2012-01-13,9.42,9.49,9.33,9.48,96000,0.0,0
2012-01-17,9.56,9.56,9.38,9.55,49200,0.0,0
2012-01-18,9.55,9.61,9.49,9.52,144500,0.0,0
2012-01-19,9.54,9.58,9.47,9.52,118200,0.0,0
2012-01-20,9.47,9.55,9.42,9.46,141800,0.0,0
2012-01-23,9.43,9.64,9.43,9.64,153300,0.0,0
2012-01-24,9.59,9.7,9.54,9.56,224300,0.0,0
2012-01-25,9.63,9.63,9.52,9.54,174800,0.0,0
2012-01-26,9.6,9.63,9.54,9.54,162100,0.0,0
2012-01-27,9.48,9.62,9.48,9.6,112300,0.0,0
2012-01-30,9.52,9.71,9.52,9.67,139600,0.0,0
2012-01-31,9.65,9.82,9.62,9.79,193300,0.0,0
2012-02-01,9.78,9.93,9.75,9.78,62400,0.109,0
2012-02-02,9.77,9.94,9.74,9.82,59600,0.0,0
2012-02-03,9.82,9.9,9.65,9.68,156800,0.0,0
2012-02-06,9.66,9.77,9.61,9.65,175900,0.0,0
2012-02-07,9.65,9.87,9.64,9.86,212000,0.0,0
2012-02-08,9.81,9.84,9.7,9.75,135200,0.0,0
2012-02-09,9.75,9.85,9.7,9.8,176200,0.0,0
2012-02-10,9.85,9.86,9.74,9.77,102800,0.0,0
2012-02-13,9.83,9.84,9.68,9.7,129200,0.0,0
2012-02-14,9.7,9.78,9.64,9.67,187600,0.0,0
2012-02-15,9.67,9.75,9.65,9.69,149800,0.0,0
2012-02-16,9.7,9.84,9.7,9.82,164700,0.0,0
2012-02-17,9.86,9.93,9.8,9.83,131500,0.0,0
2012-02-21,9.87,9.92,9.75,9.79,110400,0.0,0
2012-02-22,9.83,9.84,9.73,9.77,119300,0.0,0
2012-02-23,9.77,9.82,9.73,9.81,155600,0.0,0
2012-02-24,9.77,10.0,9.77,9.95,100600,0.0,0
2012-02-27,9.91,9.96,9.85,9.85,125500,0.0,0
2012-02-28,9.84,9.96,9.84,9.88,131000,0.0,0
2012-02-29,9.94,9.96,9.83,9.94,117700,0.0,0
2012-03-01,10.02,10.07,9.95,10.04,39600,0.109,0
2012-03-02,10.07,10.11,10.03,10.1,47300,0.0,0
2012-03-05,10.13,10.13,9.91,10.03,138000,0.0,0
2012-03-06,9.97,9.97,9.84,9.87,127900,0.0,0
2012-03-07,9.91,9.91,9.79,9.83,148400,0.0,0
2012-03-08,9.92,9.94,9.85,9.88,86600,0.0,0
2012-03-09,9.87,9.99,9.87,9.95,78700,0.0,0
2012-03-12,9.95,10.05,9.94,10.04,53200,0.0,0
2012-03-13,10.02,10.09,10.02,10.08,87900,0.0,0
2012-03-14,10.05,10.08,9.93,9.95,76200,0.0,0
2012-03-15,10.02,10.02,9.89,9.92,99700,0.0,0
2012-03-16,9.98,10.05,9.9,10.02,67000,0.0,0
2012-03-19,10.03,10.15,9.98,10.07,162600,0.0,0
2012-03-20,10.09,10.09,9.98,9.99,59500,0.0,0
2012-03-21,9.93,10.03,9.9,9.92,107500,0.0,0
2012-03-22,9.81,9.91,9.67,9.68,102900,0.0,0
2012-03-23,9.74,9.76,9.68,9.73,96000,0.0,0
2012-03-26,9.73,9.79,9.69,9.7,106500,0.0,0
2012-03-27,9.81,9.81,9.72,9.8,120100,0.0,0
2012-03-28,9.79,9.79,9.66,9.73,86800,0.0,0
2012-03-29,9.72,9.76,9.68,9.76,37300,0.0,0
2012-03-30,9.82,9.82,9.71,9.79,45300,0.0,0
2012-04-02,9.73,9.88,9.73,9.83,8400,0.109,0
2012-04-03,9.89,9.89,9.78,9.85,38200,0.0,0
2012-04-04,9.76,9.84,9.71,9.79,76800,0.0,0
2012-04-05,9.79,9.83,9.74,9.82,58600,0.0,0
2012-04-09,9.78,9.8,9.73,9.75,45200,0.0,0
2012-04-10,9.73,9.77,9.54,9.54,97400,0.0,0
2012-04-11,9.59,9.66,9.47,9.52,73500,0.0,0
2012-04-12,9.59,9.67,9.48,9.62,82400,0.0,0
2012-04-13,9.65,9.67,9.54,9.59,74500,0.0,0
2012-04-16,9.66,9.66,9.57,9.58,59200,0.0,0
2012-04-17,9.57,9.72,9.57,9.68,103900,0.0,0
2012-04-18,9.7,9.7,9.6,9.67,102000,0.0,0
2012-04-19,9.7,9.74,9.61,9.66,106500,0.0,0
2012-04-20,9.72,9.76,9.68,9.69,49000,0.0,0
2012-04-23,9.65,9.72,9.6,9.72,63200,0.0,0
2012-04-24,9.67,9.78,9.66,9.74,78100,0.0,0
2012-04-25,9.8,9.86,9.74,9.8,81900,0.0,0
2012-04-26,9.79,9.83,9.71,9.82,112900,0.0,0
2012-04-27,9.82,10.01,9.82,10.0,93400,0.0,0
2012-04-30,9.94,9.98,9.93,9.97,63000,0.0,0
2012-05-01,10.07,10.16,10.02,10.13,16400,0.109,0
2012-05-02,10.02,10.12,10.01,10.12,60000,0.0,0
2012-05-03,10.12,10.15,9.99,10.02,60000,0.0,0
2012-05-04,10.03,10.03,9.83,9.85,127600,0.0,0
2012-05-07,9.86,9.92,9.8,9.86,34000,0.0,0
2012-05-08,9.73,9.82,9.68,9.8,57500,0.0,0
2012-05-09,9.74,9.76,9.67,9.7,67400,0.0,0
2012-05-10,9.74,9.82,9.71,9.8,64100,0.0,0
2012-05-11,9.81,9.85,9.71,9.83,89000,0.0,0
2012-05-14,9.8,9.8,9.67,9.68,71200,0.0,0
2012-05-15,9.7,9.7,9.58,9.6,69000,0.0,0
2012-05-16,9.64,9.67,9.53,9.57,103300,0.0,0
2012-05-17,9.61,9.61,9.32,9.37,98100,0.0,0
2012-05-18,9.31,9.37,9.23,9.26,41200,0.0,0
2012-05-21,9.22,9.37,9.2,9.37,56200,0.0,0
2012-05-22,9.44,9.44,9.37,9.41,54300,0.0,0
2012-05-23,9.47,9.47,9.29,9.37,90000,0.0,0
2012-05-24,9.31,9.37,9.25,9.33,95300,0.0,0
2012-05-25,9.4,9.44,9.36,9.4,67900,0.0,0
2012-05-29,9.39,9.52,9.39,9.5,82000,0.0,0
2012-05-30,9.47,9.47,9.37,9.44,41900,0.0,0
2012-05-31,9.44,9.46,9.34,9.45,55100,0.0,0
2012-06-01,9.34,9.39,9.33,9.38,5800,0.109,0
2012-06-04,9.35,9.37,9.25,9.27,73500,0.0,0
2012-06-05,9.29,9.34,9.26,9.33,4400,0.0,0
2012-06-06,9.44,9.51,9.37,9.47,10200,0.0,0
2012-06-07,9.52,9.52,9.43,9.44,54000,0.0,0
2012-06-08,9.46,9.48,9.39,9.43,30800,0.0,0
2012-06-11,9.45,9.45,9.36,9.36,31600,0.0,0
2012-06-12,9.37,9.44,9.25,9.4,74200,0.0,0
2012-06-13,9.43,9.43,9.32,9.41,43900,0.0,0
2012-06-14,9.46,9.46,9.32,9.36,57900,0.0,0
2012-06-15,9.4,9.4,9.33,9.33,34400,0.0,0
2012-06-18,9.34,9.39,9.28,9.34,77500,0.0,0
2012-06-19,9.39,9.43,9.34,9.38,108000,0.0,0
2012-06-20,9.38,9.45,9.38,9.42,69200,0.0,0
2012-06-21,9.38,9.45,9.31,9.35,86700,0.0,0
2012-06-22,9.36,9.4,9.24,9.33,78700,0.0,0
2012-06-25,9.32,9.32,9.14,9.26,64800,0.0,0
2012-06-26,9.32,9.38,9.21,9.33,86400,0.0,0
2012-06-27,9.3,9.48,9.29,9.46,83000,0.0,0
2012-06-28,9.46,9.48,9.41,9.45,33200,0.0,0
2012-06-29,9.63,9.79,9.61,9.74,78700,0.0,0
2012-07-02,9.82,9.84,9.67,9.72,50200,0.109,0
2012-07-03,9.75,9.84,9.72,9.83,31300,0.0,0
2012-07-05,9.78,9.87,9.76,9.87,27200,0.0,0
2012-07-06,9.86,9.86,9.79,9.85,30000,0.0,0
2012-07-09,9.9,9.98,9.83,9.98,43300,0.0,0
2012-07-10,10.02,10.05,9.87,9.88,57200,0.0,0
2012-07-11,9.94,9.99,9.86,9.97,62300,0.0,0
2012-07-12,9.97,9.97,9.86,9.88,64300,0.0,0
2012-07-13,9.94,10.07,9.92,10.06,45000,0.0,0
2012-07-16,10.12,10.12,10.05,10.07,54100,0.0,0
2012-07-17,10.07,10.22,10.06,10.22,59700,0.0,0
2012-07-18,10.27,10.27,10.14,10.17,71800,0.0,0
2012-07-19,10.09,10.19,10.0,10.14,86300,0.0,0
2012-07-20,10.14,10.14,10.07,10.14,58200,0.0,0
2012-07-23,10.08,10.16,9.96,10.15,53100,0.0,0
2012-07-24,10.17,10.17,10.05,10.08,53400,0.0,0
2012-07-25,10.03,10.16,10.03,10.14,64500,0.0,0
2012-07-26,10.26,10.26,9.87,10.1,148100,0.0,0
2012-07-27,10.12,10.23,10.03,10.18,79600,0.0,0
2012-07-30,10.12,10.25,10.12,10.25,48000,0.0,0
2012-07-31,10.3,10.32,10.2,10.24,66700,0.0,0
2012-08-01,10.32,10.32,10.21,10.29,49700,0.109,0
2012-08-02,10.26,10.27,10.16,10.22,44600,0.0,0
2012-08-03,10.32,10.35,10.26,10.29,47500,0.0,0
2012-08-06,10.23,10.38,10.18,10.35,54100,0.0,0
2012-08-07,10.29,10.38,10.29,10.32,29500,0.0,0
2012-08-08,10.39,10.39,10.24,10.26,53200,0.0,0
2012-08-09,10.19,10.38,10.19,10.29,90100,0.0,0
2012-08-10,10.31,10.33,10.2,10.26,43600,0.0,0
2012-08-13,10.26,10.33,10.26,10.32,39800,0.0,0
2012-08-14,10.26,10.42,10.26,10.4,73700,0.0,0
2012-08-15,10.41,10.45,10.34,10.41,55900,0.0,0
2012-08-16,10.41,10.51,10.35,10.41,98900,0.0,0
2012-08-17,10.42,10.45,10.4,10.4,56700,0.0,0
2012-08-20,10.4,10.41,10.34,10.41,39300,0.0,0
2012-08-21,10.37,10.44,10.37,10.43,51400,0.0,0
2012-08-22,10.41,10.44,10.38,10.39,51900,0.0,0
2012-08-23,10.36,10.38,10.32,10.37,37200,0.0,0
2012-08-24,10.38,10.38,10.32,10.37,61100,0.0,0
2012-08-27,10.37,10.37,10.28,10.29,96700,0.0,0
2012-08-28,10.34,10.34,10.25,10.29,59300,0.0,0
2012-08-29,10.33,10.38,10.3,10.35,52100,0.0,0
2012-08-30,10.35,10.35,10.28,10.3,40800,0.0,0
2012-08-31,10.36,10.36,10.29,10.32,28600,0.0,0
2012-09-04,10.31,10.37,10.31,10.36,43000,0.109,0
2012-09-05,10.4,10.4,10.31,10.36,25600,0.0,0
2012-09-06,10.4,10.4,10.29,10.36,53900,0.0,0
2012-09-07,10.32,10.42,10.3,10.38,63500,0.0,0
2012-09-10,10.35,10.41,10.34,10.39,40700,0.0,0
2012-09-11,10.39,10.5,10.35,10.49,65300,0.0,0
2012-09-12,10.49,10.5,10.39,10.46,53700,0.0,0
2012-09-13,10.48,10.49,10.41,10.49,45400,0.0,0
2012-09-14,10.55,10.55,10.49,10.55,57600,0.0,0
2012-09-17,10.61,10.61,10.52,10.6,64600,0.0,0
2012-09-18,10.61,10.85,10.6,10.74,100800,0.0,0
2012-09-19,10.8,10.82,10.53,10.57,89100,0.0,0
2012-09-20,10.5,10.59,10.48,10.58,41900,0.0,0
2012-09-21,10.6,10.6,10.45,10.49,63100,0.0,0
2012-09-24,10.53,10.55,10.43,10.5,64200,0.0,0
2012-09-25,10.55,10.58,10.41,10.41,74700,0.0,0
2012-09-26,10.34,10.41,10.33,10.41,52500,0.0,0
2012-09-27,10.4,10.49,10.4,10.48,33300,0.0,0
2012-09-28,10.49,10.49,10.32,10.48,70000,0.0,0
2012-10-01,10.56,10.58,10.31,10.47,91900,0.109,0
2012-10-02,10.52,10.53,10.44,10.46,50100,0.0,0
2012-10-03,10.51,10.51,10.43,10.48,80700,0.0,0
2012-10-04,10.49,10.59,10.48,10.54,62000,0.0,0
2012-10-05,10.61,10.7,10.57,10.6,67100,0.0,0
2012-10-08,10.61,10.63,10.57,10.58,49600,0.0,0
2012-10-09,10.62,10.62,10.47,10.54,105600,0.0,0
2012-10-10,10.57,10.57,10.39,10.47,76100,0.0,0
2012-10-11,10.47,10.48,10.39,10.4,97500,0.0,0
2012-10-12,10.42,10.43,10.29,10.34,75200,0.0,0
2012-10-15,10.39,10.42,10.28,10.36,73100,0.0,0
2012-10-16,10.37,10.5,10.37,10.5,84400,0.0,0
2012-10-17,10.53,10.58,10.5,10.54,62000,0.0,0
2012-10-18,10.55,10.58,10.52,10.54,78300,0.0,0
2012-10-19,10.56,10.58,10.46,10.48,56500,0.0,0
2012-10-22,10.51,10.51,10.42,10.44,35200,0.0,0
2012-10-23,10.46,10.46,10.29,10.39,66600,0.0,0
2012-10-24,10.44,10.57,10.36,10.44,135300,0.0,0
2012-10-25,10.52,10.52,10.25,10.33,75900,0.0,0
2012-10-26,10.39,10.39,10.29,10.33,43900,0.0,0
2012-10-31,10.28,10.33,10.22,10.26,141200,0.0,0
2012-11-01,10.28,10.38,10.25,10.28,68100,0.109,0
2012-11-02,10.34,10.34,10.26,10.29,73500,0.0,0
2012-11-05,10.29,10.3,10.21,10.25,49200,0.0,0
2012-11-06,10.26,10.27,10.14,10.24,87500,0.0,0
2012-11-07,10.22,10.22,9.95,10.02,150600,0.0,0
2012-11-08,10.05,10.05,9.86,9.91,118700,0.0,0
