Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-15,11.24,11.5,10.74,11.365,38900,0,0
2017-06-16,11.5,11.7,11.0,11.0,60500,0,0
2017-06-19,11.01,11.27,10.42,10.53,37800,0,0
2017-06-20,10.75,10.75,10.5,10.5,7600,0,0
2017-06-21,10.4,10.48,10.258,10.48,9200,0,0
2017-06-22,10.26,10.48,10.14,10.47,10400,0,0
2017-06-23,10.37,10.5,10.37,10.4,4900,0,0
2017-06-26,9.98,9.98,9.3,9.49,54500,0,0
2017-06-27,8.91,8.98,8.7,8.7,9000,0,0
2017-06-28,8.27,8.45,8.03,8.26,19800,0,0
2017-06-29,8.42,8.48,8.25,8.48,12900,0,0
2017-06-30,8.621,8.76,8.36,8.36,17000,0,0
2017-07-03,8.97,9.06,8.96,9.06,2200,0,0
2017-07-05,9.93,10.45,9.7,10.1,20700,0,0
2017-07-06,9.57,10.1,9.17,10.0,13100,0,0
2017-07-07,10.1,10.1,9.85,10.08,800,0,0
2017-07-10,9.79,9.995,9.74,9.99,3400,0,0
2017-07-11,9.55,9.55,9.342,9.5,3400,0,0
2017-07-12,8.93,9.19,8.81,8.96,15100,0,0
2017-07-13,8.81,8.81,8.567,8.602,32600,0,0
2017-07-14,8.8,8.96,8.793,8.793,4300,0,0
2017-07-17,9.07,9.07,8.9,9.0,4200,0,0
2017-07-18,8.79,9.0,8.742,8.75,20200,0,0
2017-07-19,8.86,8.86,8.51,8.75,9500,0,0
2017-07-20,8.53,8.95,8.46,8.6,10800,0,0
2017-07-21,8.81,8.81,8.55,8.55,1600,0,0
2017-07-24,8.45,8.45,8.42,8.42,3800,0,0
2017-07-25,8.41,8.42,8.38,8.4,5100,0,0
2017-07-26,8.02,8.19,7.72,8.0,21400,0,0
2017-07-27,7.7,7.9,7.7,7.799,19900,0,0
2017-07-28,7.78,7.8,7.6,7.6,2900,0,0
2017-07-31,7.65,7.85,7.37,7.4,35700,0,0
2017-08-01,7.49,7.5,7.2,7.38,16800,0,0
2017-08-02,7.0,7.1,6.93,6.99,37300,0,0
