Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-17,10.1,10.29,9.75,9.75,500900,0,0
2019-07-18,9.81,9.9,9.6,9.75,108700,0,0
2019-07-19,9.71,9.71,9.5,9.52,60700,0,0
2019-07-22,9.54,9.59,9.2,9.2,39900,0,0
2019-07-23,9.25,9.33,8.74,9.23,130000,0,0
2019-07-24,9.02,9.2,8.95,9.14,62600,0,0
2019-07-25,9.14,9.14,9.01,9.04,29700,0,0
2019-07-26,8.9,8.94,8.85,8.91,66200,0,0
2019-07-29,8.93,8.93,8.85,8.87,22600,0,0
2019-07-30,8.86,9.0,8.86,8.98,52600,0,0
2019-07-31,8.92,9.19,8.92,9.05,14000,0,0
2019-08-01,9.05,9.12,9.0,9.09,29800,0,0
2019-08-02,9.1,9.2,9.1,9.15,9200,0,0
2019-08-05,9.18,9.23,9.15,9.15,29800,0,0
2019-08-06,9.14,9.15,9.09,9.09,2700,0,0
2019-08-07,9.14,9.15,9.09,9.09,2700,0,0
2019-08-08,8.99,9.0,8.97,8.97,900,0,0
2019-08-09,9.0,9.07,9.0,9.04,10200,0,0
2019-08-12,9.0,9.1,8.95,9.09,4100,0,0
2019-08-13,9.0,9.12,9.0,9.05,8800,0,0
2019-08-14,9.01,9.03,8.91,9.0,28500,0,0
2019-08-15,8.95,9.0,8.88,8.93,41600,0,0
2019-08-16,8.94,8.95,8.91,8.93,15200,0,0
2019-08-19,8.92,8.94,8.9,8.91,31600,0,0
2019-08-20,8.91,8.94,8.9,8.91,17100,0,0
2019-08-21,8.9,8.94,8.88,8.91,16600,0,0
2019-08-22,8.97,8.99,8.9,8.9,2800,0,0
2019-08-23,8.9,8.93,8.9,8.93,1200,0,0
2019-08-26,8.94,8.99,8.94,8.99,1500,0,0
2019-08-27,8.93,8.99,8.93,8.98,2300,0,0
2019-08-28,9.0,9.0,8.98,8.98,2000,0,0
2019-08-29,8.98,8.99,8.93,8.95,4700,0,0
2019-08-30,8.98,8.99,8.91,8.99,7800,0,0
2019-09-03,8.99,8.99,8.9,8.98,4100,0,0
2019-09-04,8.99,8.99,8.9,8.94,6400,0,0
2019-09-05,8.99,8.99,8.9,8.99,7100,0,0
2019-09-06,8.99,9.15,8.91,9.05,26200,0,0
2019-09-09,9.2,9.22,9.0,9.01,18000,0,0
2019-09-10,9.17,9.22,8.99,9.11,3100,0,0
2019-09-11,9.25,9.25,9.0,9.17,10500,0,0
2019-09-12,9.22,9.5,9.14,9.43,7200,0,0
2019-09-13,9.48,9.48,9.34,9.46,4900,0,0
2019-09-16,9.44,9.44,9.19,9.25,5900,0,0
2019-09-17,9.32,9.5,9.31,9.43,9500,0,0
2019-09-18,9.49,9.49,9.18,9.2,6100,0,0
2019-09-19,9.49,9.49,9.03,9.03,25100,0,0
2019-09-20,9.32,9.36,8.83,8.83,71600,0,0
2019-09-23,8.95,9.15,8.87,8.87,12900,0,0
2019-09-24,8.99,9.13,8.9,8.92,6900,0,0
2019-09-25,9.17,9.27,9.05,9.05,5200,0,0
2019-09-26,9.4,9.4,9.08,9.39,1500,0,0
2019-09-27,9.39,9.39,9.06,9.1,2200,0,0
2019-09-30,9.39,9.39,9.28,9.37,1600,0,0
2019-10-01,9.37,9.37,9.17,9.18,3500,0,0
2019-10-02,9.0,9.0,9.0,9.0,400,0,0
2019-10-03,9.0,9.0,9.0,9.0,200,0,0
2019-10-04,9.15,9.3,9.15,9.3,600,0,0
2019-10-07,9.29,9.29,9.03,9.03,400,0,0
2019-10-08,9.3,9.3,9.25,9.25,400,0,0
2019-10-09,9.25,9.25,9.25,9.25,100,0,0
2019-10-10,9.25,9.25,9.25,9.25,100,0,0
2019-10-11,9.25,9.25,9.25,9.25,0,0,0
2019-10-14,9.25,9.25,9.25,9.25,100,0,0
2019-10-15,9.25,9.25,9.25,9.25,100,0,0
2019-10-16,9.25,9.25,9.25,9.25,100,0,0
2019-10-17,9.19,9.25,9.15,9.15,3000,0,0
2019-10-18,9.3,9.3,9.1,9.1,3600,0,0
2019-10-21,9.15,9.15,9.01,9.05,13400,0,0
2019-10-22,9.15,9.15,8.99,8.99,4200,0,0
2019-10-23,9.28,9.28,9.01,9.01,9400,0,0
2019-10-24,9.23,9.23,9.01,9.02,1600,0,0
2019-10-25,9.2,9.2,9.08,9.09,5000,0,0
2019-10-28,9.2,9.2,9.0,9.02,3300,0,0
2019-10-29,9.2,9.2,9.0,9.01,7600,0,0
2019-10-30,9.2,9.2,9.0,9.0,2200,0,0
2019-10-31,9.15,9.15,9.15,9.15,600,0,0
2019-11-01,9.15,9.15,9.14,9.14,1600,0,0
2019-11-04,9.19,9.19,9.01,9.01,800,0,0
2019-11-05,9.17,9.17,9.07,9.07,2900,0,0
2019-11-06,9.15,9.17,9.02,9.15,13000,0,0
2019-11-07,9.18,9.19,9.15,9.17,4800,0,0
2019-11-08,9.2,9.2,9.15,9.17,1800,0,0
2019-11-11,9.2,9.2,9.15,9.16,4100,0,0
2019-11-12,9.22,9.22,9.15,9.18,2400,0,0
2019-11-13,9.11,9.2,9.11,9.2,1100,0,0
2019-11-14,9.15,9.2,9.07,9.2,1600,0,0
2019-11-15,9.2,9.2,9.15,9.15,2200,0,0
2019-11-18,9.15,9.15,9.15,9.15,200,0,0
2019-11-19,9.15,9.15,9.15,9.15,100,0,0
2019-11-20,9.19,9.19,9.05,9.05,3400,0,0
2019-11-21,9.19,9.2,9.19,9.19,5600,0,0
2019-11-22,9.19,9.19,9.19,9.19,200,0,0
2019-11-25,9.19,9.19,9.19,9.19,300,0,0
2019-11-26,9.2,9.2,9.06,9.11,7700,0,0
2019-11-27,9.2,9.2,9.08,9.08,1200,0,0
2019-11-29,9.08,9.08,9.08,9.08,0,0,0
2019-12-02,9.15,9.15,9.11,9.15,1700,0,0
2019-12-03,9.24,9.25,9.12,9.25,12000,0,0
2019-12-04,9.34,9.34,9.02,9.02,35400,0,0
2019-12-05,9.02,9.02,9.02,9.02,0,0,0
2019-12-06,9.1,9.3,9.1,9.1,26300,0,0
2019-12-09,9.27,9.27,9.11,9.24,2700,0,0
2019-12-10,9.2,9.29,9.15,9.28,18600,0,0
2019-12-11,9.16,9.35,9.16,9.35,4000,0,0
2019-12-12,9.32,9.32,9.2,9.26,5600,0,0
2019-12-13,9.27,9.35,9.2,9.35,12400,0,0
2019-12-16,9.34,9.4,9.27,9.4,11000,0,0
2019-12-17,9.35,9.45,9.35,9.44,7800,0,0
2019-12-18,9.4,9.45,9.4,9.45,4400,0,0
2019-12-19,9.4,9.5,9.4,9.48,7600,0,0
2019-12-20,9.46,9.5,9.46,9.5,4500,0,0
2019-12-23,9.5,9.5,9.5,9.5,0,0,0
2019-12-24,9.45,9.56,9.45,9.45,6800,0,0
2019-12-26,9.45,9.49,9.43,9.49,22800,0,0
2019-12-27,9.49,9.49,9.4,9.4,19700,0,0
2019-12-30,9.4,9.4,9.4,9.4,0,0,0
2019-12-31,9.53,9.53,9.4,9.42,6000,0,0
2020-01-02,9.5,9.5,9.5,9.5,1900,0,0
2020-01-03,9.56,9.56,9.45,9.45,6200,0,0
2020-01-06,9.49,9.49,9.49,9.49,1200,0,0
2020-01-07,9.49,9.49,9.49,9.49,0,0,0
2020-01-08,9.49,9.49,9.49,9.49,0,0,0
2020-01-09,9.47,9.48,9.44,9.44,3200,0,0
2020-01-10,9.44,9.44,9.44,9.44,0,0,0
2020-01-13,9.45,9.45,9.44,9.44,1000,0,0
2020-01-14,9.43,9.43,9.41,9.41,1100,0,0
2020-01-15,9.44,9.44,9.41,9.41,600,0,0
2020-01-16,9.41,9.41,9.41,9.41,0,0,0
2020-01-17,9.43,9.43,9.43,9.43,200,0,0
2020-01-21,9.49,9.5,9.49,9.5,1500,0,0
2020-01-22,9.49,9.5,9.49,9.5,1100,0,0
2020-01-23,9.5,10.37,9.5,10.37,600,0,0
2020-01-24,10.3,10.3,10.2,10.2,300,0,0
2020-01-27,10.19,10.19,9.99,9.99,300,0,0
2020-01-28,9.88,9.88,9.6,9.6,4100,0,0
2020-01-29,9.6,9.6,9.6,9.6,0,0,0
2020-01-30,9.6,9.6,9.6,9.6,0,0,0
2020-01-31,9.74,9.75,9.74,9.75,1000,0,0
2020-02-03,9.74,9.75,9.6,9.6,2600,0,0
2020-02-04,9.6,9.6,9.6,9.6,0,0,0
2020-02-05,9.6,9.6,9.6,9.6,0,0,0
2020-02-06,9.6,9.6,9.6,9.6,0,0,0
2020-02-07,9.7,9.7,9.7,9.7,3100,0,0
2020-02-10,9.68,9.68,9.68,9.68,800,0,0
2020-02-11,9.68,9.68,9.68,9.68,0,0,0
2020-02-12,9.68,9.68,9.68,9.68,0,0,0
2020-02-13,9.68,9.68,9.68,9.68,0,0,0
2020-02-14,9.68,9.68,9.68,9.68,0,0,0
2020-02-18,9.69,9.69,9.6,9.6,3100,0,0
2020-02-19,9.55,9.6,9.55,9.6,2700,0,0
2020-02-20,9.76,9.76,9.76,9.76,100,0,0
2020-02-21,9.73,9.77,9.73,9.75,7700,0,0
2020-02-24,9.8,9.8,9.8,9.8,100,0,0
2020-02-25,9.75,9.75,9.47,9.47,4700,0,0
2020-02-26,9.64,9.64,9.5,9.5,10800,0,0
2020-02-27,9.41,9.41,9.28,9.35,11200,0,0
2020-02-28,9.26,9.26,9.26,9.26,600,0,0
2020-03-02,9.26,9.26,9.26,9.26,0,0,0
2020-03-03,9.25,9.27,9.16,9.16,9200,0,0
2020-03-04,9.0,9.0,8.98,8.98,600,0,0
2020-03-05,8.84,8.84,8.8,8.81,14800,0,0
2020-03-06,8.93,9.0,8.81,8.81,13700,0,0
2020-03-09,8.79,8.79,8.5,8.5,7500,0,0
2020-03-10,8.64,8.64,8.25,8.35,6100,0,0
2020-03-11,8.29,8.29,8.29,8.29,200,0,0
2020-03-12,8.1,8.1,7.75,7.75,12200,0,0
