Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,7.94,8.15,7.94,8.05,537200,0.0,0
2010-01-05,7.96,8.03,7.82,7.88,497900,0.0,0
2010-01-06,7.82,8.05,7.74,7.77,452000,0.0,0
2010-01-07,7.76,7.82,7.65,7.72,517000,0.0,0
2010-01-08,7.74,7.74,7.54,7.66,242200,0.0,0
2010-01-11,7.78,7.78,7.54,7.59,240200,0.0,0
2010-01-12,7.53,7.57,7.39,7.42,322200,0.0,0
2010-01-13,7.47,7.51,7.37,7.45,381300,0.0,0
2010-01-14,7.53,7.53,7.35,7.36,211600,0.0,0
2010-01-15,7.36,7.4,7.21,7.28,461600,0.0,0
2010-01-19,7.32,7.33,7.03,7.19,830400,0.0,0
2010-01-20,7.06,7.18,7.06,7.12,346100,0.0,0
2010-01-21,7.16,7.23,6.95,6.96,490800,0.0,0
2010-01-22,6.93,7.09,6.8,6.83,566300,0.0,0
2010-01-25,6.87,6.88,6.76,6.81,378600,0.0,0
2010-01-26,6.74,6.82,6.68,6.68,229100,0.0,0
2010-01-27,6.72,6.88,6.67,6.88,278200,0.19,0
2010-01-28,6.91,6.93,6.84,6.89,497200,0.0,0
2010-01-29,6.94,6.97,6.84,6.93,511400,0.0,0
2010-02-01,6.97,7.08,6.89,7.08,423900,0.0,0
2010-02-02,7.07,7.13,6.99,7.12,385000,0.0,0
2010-02-03,7.1,7.11,6.88,6.94,347500,0.0,0
2010-02-04,6.89,6.89,6.72,6.73,582100,0.0,0
2010-02-05,6.73,6.84,6.61,6.84,424100,0.0,0
2010-02-08,6.72,6.85,6.51,6.51,395400,0.0,0
2010-02-09,6.62,6.65,6.42,6.6,352400,0.0,0
2010-02-10,6.58,6.62,6.46,6.6,246700,0.0,0
2010-02-11,6.56,6.78,6.53,6.78,284300,0.0,0
2010-02-12,6.7,6.9,6.66,6.89,248800,0.0,0
2010-02-16,6.97,7.1,6.88,7.1,393600,0.0,0
2010-02-17,7.11,7.16,7.05,7.06,218800,0.0,0
2010-02-18,7.08,7.12,7.0,7.11,236100,0.0,0
2010-02-19,7.12,7.29,7.09,7.2,276000,0.0,0
2010-02-22,7.23,7.27,7.15,7.17,293400,0.0,0
2010-02-23,7.18,7.27,7.14,7.21,224600,0.0,0
2010-02-24,7.25,7.39,7.25,7.29,426500,0.0,0
2010-02-25,7.2,7.27,7.15,7.26,270700,0.0,0
2010-02-26,7.36,7.36,7.12,7.15,392100,0.0,0
2010-03-01,7.22,7.22,7.1,7.17,370800,0.0,0
2010-03-02,7.09,7.17,7.0,7.02,285000,0.0,0
2010-03-03,7.01,7.05,6.93,6.93,228400,0.0,0
2010-03-04,6.97,7.01,6.86,7.01,231400,0.0,0
2010-03-05,7.03,7.29,6.98,7.28,491400,0.0,0
2010-03-08,7.28,7.58,7.28,7.55,319300,0.0,0
2010-03-09,7.52,7.63,7.28,7.58,430700,0.0,0
2010-03-10,7.65,7.65,7.51,7.56,261700,0.0,0
2010-03-11,7.49,7.54,7.43,7.54,238400,0.0,0
2010-03-12,7.58,7.58,7.45,7.52,215600,0.0,0
2010-03-15,7.5,7.53,7.33,7.39,211100,0.0,0
2010-03-16,7.43,7.56,7.38,7.52,426300,0.0,0
2010-03-17,7.58,7.61,7.5,7.6,451400,0.0,0
2010-03-18,7.61,7.69,7.58,7.65,377700,0.0,0
2010-03-19,7.62,7.71,7.47,7.62,485700,0.0,0
2010-03-22,7.69,8.0,7.59,8.0,436900,0.0,0
2010-03-23,8.07,8.07,7.96,7.96,354800,0.0,0
2010-03-24,7.96,8.01,7.8,7.9,291800,0.0,0
2010-03-25,7.9,8.02,7.8,7.9,367000,0.0,0
2010-03-26,7.99,7.99,7.84,7.9,449600,0.0,0
2010-03-29,7.88,7.96,7.83,7.92,188100,0.0,0
2010-03-30,7.94,8.0,7.91,8.0,234800,0.0,0
2010-03-31,7.97,8.1,7.94,7.96,332400,0.0,0
2010-04-01,8.02,8.08,7.96,8.01,223400,0.0,0
2010-04-05,8.05,8.12,8.0,8.12,243900,0.0,0
2010-04-06,8.05,8.27,8.05,8.24,314700,0.0,0
2010-04-07,8.24,8.27,8.13,8.14,196600,0.0,0
2010-04-08,8.03,8.19,8.03,8.19,195800,0.0,0
2010-04-09,8.21,8.24,8.11,8.18,275400,0.0,0
2010-04-12,8.22,8.22,8.09,8.12,257300,0.0,0
2010-04-13,8.12,8.27,8.08,8.26,365600,0.0,0
2010-04-14,8.27,8.27,8.16,8.27,218700,0.0,0
2010-04-15,8.2,8.27,8.15,8.15,286800,0.0,0
2010-04-16,8.13,8.26,8.01,8.03,362700,0.0,0
2010-04-19,8.04,8.18,7.97,8.14,214000,0.0,0
2010-04-20,8.17,8.23,8.08,8.23,208800,0.0,0
2010-04-21,8.22,8.34,8.19,8.33,505200,0.0,0
2010-04-22,8.24,8.41,8.17,8.4,64600,0.0,0
2010-04-23,8.44,8.57,8.33,8.57,311800,0.0,0
2010-04-26,8.6,8.63,8.52,8.56,287300,0.0,0
2010-04-27,8.53,8.66,8.31,8.31,338700,0.0,0
2010-04-28,8.45,8.45,8.27,8.39,198900,0.19,0
2010-04-29,8.38,8.62,8.38,8.62,434900,0.0,0
2010-04-30,8.55,8.64,8.23,8.23,415800,0.0,0
2010-05-03,8.35,8.44,8.27,8.38,489500,0.0,0
2010-05-04,8.26,8.29,7.97,8.04,468600,0.0,0
2010-05-05,7.95,8.03,7.68,7.73,446600,0.0,0
2010-05-06,7.54,7.75,6.92,7.31,896700,0.0,0
2010-05-07,7.16,7.4,7.02,7.09,499400,0.0,0
2010-05-10,7.48,7.53,7.29,7.41,638900,0.0,0
2010-05-11,7.34,7.44,7.23,7.35,260400,0.0,0
2010-05-12,7.34,7.43,7.3,7.37,341700,0.0,0
2010-05-13,7.35,7.38,7.24,7.31,280600,0.0,0
2010-05-14,7.23,7.25,7.06,7.14,341200,0.0,0
2010-05-17,7.15,7.25,6.92,7.16,301900,0.0,0
2010-05-18,7.34,7.34,7.04,7.07,412100,0.0,0
2010-05-19,7.0,7.15,6.92,7.1,296900,0.0,0
