Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2016-07-05,49.4,54.34,48.4,48.6,47.8,6230700,0.0,0
2016-07-06,47.07,48.6,46.29,47.75,46.96,6706500,0.0,0
2016-07-07,47.62,48.0,47.35,47.74,46.95,5486800,0.0,0
2016-07-08,47.96,50.61,47.53,50.2,49.37,4243500,0.0,0
2016-07-11,49.21,51.23,48.98,51.12,50.28,6042300,0.0,0
2016-07-12,51.0,51.06,50.26,50.57,49.74,5552900,0.0,0
2016-07-13,50.57,51.1,49.83,50.62,49.79,4864700,0.0,0
2016-07-14,50.33,51.74,49.95,51.57,50.72,3481600,0.0,0
2016-07-15,51.78,51.91,50.61,51.23,50.39,3689800,0.0,0
2016-07-18,50.77,51.58,50.51,51.29,50.45,1557500,0.0,0
2016-07-19,51.04,51.56,50.44,51.55,50.7,1954700,0.0,0
2016-07-20,51.84,51.92,50.01,50.34,49.51,3351700,0.0,0
2016-07-21,50.4,50.62,49.99,50.24,49.41,3029900,0.0,0
2016-07-22,50.0,50.29,49.29,49.4,48.59,2450600,0.0,0
2016-07-25,49.22,49.45,47.86,48.98,48.17,3044800,0.0,0
2016-07-26,48.56,49.42,48.28,49.28,48.47,1571400,0.0,0
2016-07-27,49.08,49.5,48.72,48.92,48.11,1628600,0.0,0
2016-07-28,48.74,49.09,48.35,48.65,47.85,2923100,0.0,0
2016-07-29,48.46,48.8,48.01,48.21,47.42,4484100,0.0,0
2016-08-01,48.11,48.51,47.59,47.8,47.01,2981000,0.0,0
2016-08-02,47.5,48.02,47.18,47.5,46.72,3267300,0.0,0
2016-08-03,47.5,49.48,47.35,49.28,48.47,4709900,0.0,0
2016-08-04,49.59,50.11,49.48,50.03,49.21,3046800,0.0,0
2016-08-05,50.26,50.98,50.26,50.58,49.75,2665900,0.0,0
2016-08-08,50.63,50.87,49.94,50.05,49.23,2116500,0.0,0
2016-08-09,48.73,50.53,48.42,50.46,49.63,1077900,0.0,0
2016-08-10,50.47,50.8,50.1,50.45,49.62,1182400,0.0,0
2016-08-11,50.73,52.71,50.7,52.55,51.68,1992700,0.0,0
2016-08-12,52.0,52.87,51.8,52.71,51.84,1287800,0.0,0
2016-08-15,52.95,53.77,52.86,53.66,52.78,1457900,0.0,0
2016-08-16,53.58,53.95,53.27,53.55,52.67,1002300,0.0,0
2016-08-17,53.67,53.73,53.34,53.41,52.53,1032100,0.0,0
2016-08-18,53.22,53.52,52.93,53.16,52.28,874700,0.0,0
2016-08-19,52.95,52.95,51.71,51.92,51.07,1196100,0.0,0
2016-08-22,51.92,52.04,51.08,51.26,50.42,1081700,0.0,0
2016-08-23,51.36,52.1,51.14,51.9,51.05,2513600,0.0,0
2016-08-24,51.26,51.78,50.6,51.37,50.59,692800,0.07,0
2016-08-25,51.18,51.89,50.98,51.62,50.84,1384900,0.0,0
2016-08-26,51.64,52.34,51.53,51.87,51.08,937600,0.0,0
2016-08-29,51.78,52.79,51.56,52.41,51.62,1044800,0.0,0
2016-08-30,52.19,53.47,52.19,52.61,51.81,952100,0.0,0
2016-08-31,52.47,52.82,52.0,52.67,51.87,1653600,0.0,0
2016-09-01,52.96,53.11,52.14,52.63,51.83,959400,0.0,0
2016-09-02,53.02,53.47,52.81,53.38,52.57,840800,0.0,0
2016-09-06,53.5,53.55,52.29,52.73,51.93,1293800,0.0,0
2016-09-07,52.43,53.12,52.02,52.94,52.14,1743200,0.0,0
2016-09-08,52.68,52.96,52.27,52.33,51.54,1097800,0.0,0
2016-09-09,51.77,52.01,50.55,50.55,49.78,2170700,0.0,0
2016-09-12,50.02,51.44,49.86,51.21,50.43,1862400,0.0,0
2016-09-13,50.86,51.4,49.97,50.04,49.28,1607100,0.0,0
2016-09-14,50.05,50.5,49.64,50.02,49.26,1152300,0.0,0
2016-09-15,49.98,50.6,49.5,50.49,49.73,1410100,0.0,0
2016-09-16,50.11,50.39,49.42,50.26,49.5,2351900,0.0,0
2016-09-19,50.41,51.4,50.38,50.78,50.01,975300,0.0,0
2016-09-20,50.78,51.08,50.21,50.25,49.49,1070400,0.0,0
2016-09-21,50.47,51.01,50.22,50.98,50.21,850800,0.0,0
2016-09-22,51.35,51.99,51.29,51.64,50.86,1649200,0.0,0
2016-09-23,51.3,51.58,50.65,50.88,50.11,807200,0.0,0
2016-09-26,50.66,51.49,50.3,51.22,50.44,1066300,0.0,0
2016-09-27,51.1,51.78,51.05,51.61,50.83,1196400,0.0,0
2016-09-28,51.74,51.77,51.35,51.72,50.94,905700,0.0,0
2016-09-29,51.09,51.61,50.63,50.7,49.93,1458100,0.0,0
2016-09-30,51.12,51.27,50.28,50.9,50.13,1952400,0.0,0
2016-10-03,50.61,51.66,50.61,51.39,50.61,1360700,0.0,0
2016-10-04,51.26,51.45,50.56,50.81,50.04,1212800,0.0,0
2016-10-05,51.02,51.29,50.6,50.94,50.17,884500,0.0,0
2016-10-06,50.83,50.97,50.5,50.7,49.93,764000,0.0,0
2016-10-07,50.5,50.81,49.87,49.93,49.17,1055600,0.0,0
2016-10-10,50.23,50.32,49.9,49.95,49.19,1021200,0.0,0
2016-10-11,49.92,50.16,49.02,49.22,48.48,1401900,0.0,0
2016-10-12,49.4,49.4,48.65,48.99,48.25,1620000,0.0,0
2016-10-13,48.63,49.68,48.0,48.82,48.08,1209600,0.0,0
2016-10-14,49.07,49.94,48.81,49.46,48.71,872300,0.0,0
2016-10-17,49.56,49.59,48.91,49.06,48.32,1116500,0.0,0
2016-10-18,49.65,50.32,49.0,49.09,48.35,1152600,0.0,0
2016-10-19,49.27,49.8,48.46,49.39,48.64,759900,0.0,0
2016-10-20,49.14,49.18,48.44,48.7,47.96,1419300,0.0,0
2016-10-21,48.22,48.89,48.13,48.67,47.93,1707000,0.0,0
2016-10-24,48.87,49.26,48.36,48.55,47.82,1269600,0.0,0
2016-10-25,48.5,48.5,47.86,47.92,47.19,1279400,0.0,0
2016-10-26,47.8,48.12,47.54,47.77,47.05,1574700,0.0,0
2016-10-27,47.69,47.69,46.81,47.49,46.77,3144200,0.0,0
2016-10-28,50.23,51.69,49.73,50.21,49.45,3978800,0.0,0
2016-10-31,50.21,51.35,50.04,51.05,50.28,1561700,0.0,0
2016-11-01,50.94,51.02,49.99,50.49,49.73,1775800,0.0,0
2016-11-02,50.45,51.15,50.28,50.32,49.56,866600,0.0,0
2016-11-03,50.29,51.2,49.99,50.98,50.21,1145700,0.0,0
2016-11-04,51.02,51.66,50.54,51.11,50.34,1568200,0.0,0
2016-11-07,51.57,52.07,51.03,51.79,51.01,1413900,0.0,0
2016-11-08,51.88,52.8,51.37,52.65,51.85,1165900,0.0,0
2016-11-09,51.99,53.93,51.9,53.46,52.65,1673900,0.0,0
2016-11-10,53.95,55.34,53.69,54.2,53.38,1796200,0.0,0
2016-11-11,54.09,54.74,53.28,53.4,52.59,1431400,0.0,0
2016-11-14,53.66,54.06,53.49,53.82,53.01,2630400,0.0,0
2016-11-15,53.94,54.45,53.69,54.12,53.3,1703400,0.0,0
2016-11-16,53.79,54.46,53.71,54.44,53.62,1533500,0.0,0
2016-11-17,54.38,54.66,53.92,54.5,53.68,932400,0.0,0
2016-11-18,54.48,54.75,54.09,54.63,53.8,1214900,0.0,0
2016-11-21,54.25,55.16,54.0,54.83,54.0,1391300,0.0,0
2016-11-22,54.74,55.77,54.56,55.37,54.6,1333200,0.07,0
2016-11-23,55.61,55.93,55.27,55.8,55.1,985100,0.07,0
2016-11-25,56.08,56.15,55.45,55.97,55.26,489300,0.0,0
2016-11-28,56.08,56.24,55.32,55.59,54.89,1054100,0.0,0
2016-11-29,55.36,55.98,55.21,55.28,54.58,1078000,0.0,0
2016-11-30,55.65,56.15,54.8,54.99,54.3,4718900,0.0,0
2016-12-01,55.14,55.21,54.0,54.19,53.51,3325300,0.0,0
2016-12-02,54.29,55.03,54.01,54.48,53.79,2545400,0.0,0
2016-12-05,54.77,54.89,53.57,53.91,53.23,1420800,0.0,0
2016-12-06,53.97,54.12,53.54,54.0,53.32,2281300,0.0,0
2016-12-07,54.0,54.4,53.41,54.24,53.56,3285700,0.0,0
2016-12-08,54.37,54.46,53.44,53.68,53.0,2203200,0.0,0
2016-12-09,53.51,54.16,53.32,54.0,53.32,1441400,0.0,0
2016-12-12,53.88,54.37,53.74,53.99,53.31,1533200,0.0,0
2016-12-13,54.28,54.45,53.25,53.85,53.17,2752000,0.0,0
2016-12-14,53.89,55.33,53.87,54.25,53.56,1559700,0.0,0
2016-12-15,54.21,55.29,53.93,54.81,54.12,1578100,0.0,0
2016-12-16,54.86,55.02,54.4,54.83,54.14,2646100,0.0,0
2016-12-19,54.81,55.03,54.39,54.96,54.27,1169300,0.0,0
2016-12-20,55.24,55.46,54.81,55.05,54.35,1187900,0.0,0
2016-12-21,54.97,54.97,53.92,54.12,53.44,1469800,0.0,0
2016-12-22,54.12,54.98,53.69,54.09,53.41,1543300,0.0,0
2016-12-23,54.33,54.76,53.77,54.51,53.82,511900,0.0,0
2016-12-27,54.75,54.84,54.11,54.46,53.77,915400,0.0,0
2016-12-28,54.66,54.66,53.47,53.75,53.07,602700,0.0,0
2016-12-29,53.99,54.14,53.59,54.01,53.33,497200,0.0,0
2016-12-30,54.2,54.48,53.39,53.63,52.95,705100,0.0,0
2017-01-03,53.89,54.18,52.99,53.73,53.05,1615100,0.0,0
2017-01-04,54.12,54.53,53.97,54.25,53.56,1487100,0.0,0
2017-01-05,54.33,54.7,53.71,53.94,53.26,1430000,0.0,0
2017-01-06,53.9,54.2,53.39,53.87,53.19,1260000,0.0,0
2017-01-09,54.02,54.2,53.59,53.73,53.05,743300,0.0,0
2017-01-10,53.73,54.08,53.48,53.8,53.12,1311600,0.0,0
2017-01-11,53.78,53.88,53.26,53.66,52.98,3691700,0.0,0
2017-01-12,53.47,53.89,53.36,53.67,52.99,2030200,0.0,0
2017-01-13,54.4,55.16,54.4,54.76,54.07,1439400,0.0,0
2017-01-17,54.44,54.53,53.67,54.13,53.45,1234900,0.0,0
2017-01-18,54.11,54.4,53.85,54.14,53.46,1346100,0.0,0
2017-01-19,54.23,54.68,54.0,54.27,53.58,821100,0.0,0
2017-01-20,54.42,54.68,54.21,54.52,53.83,1822900,0.0,0
2017-01-23,54.32,54.81,53.59,54.11,53.43,1372800,0.0,0
2017-01-24,54.31,54.99,54.09,54.7,54.01,1710500,0.0,0
2017-01-25,54.94,55.34,54.7,55.17,54.47,1755900,0.0,0
2017-01-26,55.0,55.98,54.76,55.69,54.99,2298600,0.0,0
2017-01-27,55.73,56.0,55.55,55.93,55.22,1568700,0.0,0
2017-01-30,55.93,55.93,54.75,55.44,54.74,1570600,0.0,0
2017-01-31,55.24,55.54,54.91,55.31,54.61,1792800,0.0,0
2017-02-01,55.47,55.65,54.81,55.13,54.43,1159700,0.0,0
2017-02-02,54.8,55.5,54.5,55.21,54.51,1895200,0.0,0
2017-02-03,55.56,56.65,55.07,56.02,55.31,1447400,0.0,0
2017-02-06,55.7,55.94,55.51,55.81,55.11,879600,0.0,0
2017-02-07,56.0,56.12,55.56,55.64,54.94,1898000,0.0,0
2017-02-08,54.97,56.39,54.88,56.18,55.47,4628200,0.0,0
2017-02-09,56.16,57.15,56.16,57.02,56.3,1128300,0.0,0
2017-02-10,57.19,57.42,56.68,57.15,56.43,1250800,0.0,0
2017-02-13,57.46,58.04,57.38,57.53,56.8,1187800,0.0,0
2017-02-14,57.5,57.53,56.92,57.29,56.57,1008600,0.0,0
2017-02-15,57.24,57.75,57.08,57.58,56.85,1022000,0.0,0
2017-02-16,57.66,58.24,56.8,57.39,56.67,1120400,0.0,0
