Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,28.95,29.25,28.74,28.99,21.69,496900,0.0,0
2010-01-05,29.07,29.51,28.71,29.06,21.75,716900,0.0,0
2010-01-06,29.0,29.61,28.91,29.18,21.84,1017800,0.0,0
2010-01-07,29.2,29.57,28.8,29.3,21.93,597000,0.0,0
2010-01-08,29.32,29.36,29.05,29.31,21.93,637300,0.0,0
2010-01-11,29.4,29.62,29.14,29.36,21.97,524100,0.0,0
2010-01-12,29.2,29.4,28.5,28.61,21.41,517900,0.0,0
2010-01-13,28.69,29.28,28.5,29.22,21.87,754400,0.0,0
2010-01-14,29.2,29.37,29.03,29.11,21.78,330800,0.0,0
2010-01-15,29.14,29.14,28.45,28.66,21.45,280800,0.0,0
2010-01-19,28.65,28.87,28.44,28.7,21.48,326500,0.0,0
2010-01-20,28.41,28.58,27.92,28.5,21.33,614000,0.0,0
2010-01-21,28.68,28.8,26.75,28.0,20.95,1343400,0.0,0
2010-01-22,27.63,28.0,26.79,26.88,20.11,1056100,0.0,0
2010-01-25,27.17,27.24,26.36,26.62,19.92,560500,0.0,0
2010-01-26,26.5,26.5,25.8,26.02,19.47,708200,0.0,0
2010-01-27,26.02,26.44,25.75,26.37,19.73,504200,0.0,0
2010-01-28,26.53,26.63,25.68,25.96,19.43,494600,0.0,0
2010-01-29,26.11,26.36,25.93,26.22,19.62,620300,0.0,0
2010-02-01,26.43,26.58,26.12,26.42,19.77,441500,0.0,0
2010-02-02,26.4,27.2,26.39,27.2,20.35,613100,0.0,0
2010-02-03,27.12,27.44,26.49,26.84,20.08,364200,0.0,0
2010-02-04,26.6,26.73,25.78,25.95,19.42,467100,0.0,0
2010-02-05,25.99,26.46,25.75,26.43,19.78,443300,0.0,0
2010-02-08,26.47,26.6,25.98,26.03,19.48,237700,0.0,0
2010-02-09,26.44,26.59,26.04,26.37,19.73,220300,0.0,0
2010-02-10,26.4,26.54,25.95,26.18,19.59,335000,0.0,0
2010-02-11,26.2,26.61,25.87,26.39,19.75,328100,0.0,0
2010-02-12,26.01,26.48,26.01,26.41,19.76,425000,0.0,0
2010-02-16,26.6,26.72,26.36,26.63,19.93,351100,0.0,0
2010-02-17,26.8,27.08,26.5,27.05,20.24,265300,0.0,0
2010-02-18,27.1,27.29,26.92,27.28,20.41,264700,0.0,0
2010-02-19,27.24,27.51,27.2,27.49,20.57,240600,0.0,0
2010-02-22,27.66,27.8,27.47,27.73,20.75,213100,0.0,0
2010-02-23,27.61,27.8,27.33,27.54,20.61,389300,0.0,0
2010-02-24,27.48,27.55,26.94,27.17,20.54,282700,0.28,0
2010-02-25,26.59,26.92,26.28,26.84,20.29,382600,0.0,0
2010-02-26,26.8,26.8,26.32,26.65,20.15,344900,0.0,0
2010-03-01,26.68,27.12,26.44,26.9,20.34,479700,0.0,0
2010-03-02,26.98,27.01,26.58,26.81,20.27,512200,0.0,0
2010-03-03,26.9,27.19,26.6,26.84,20.29,434400,0.0,0
2010-03-04,26.89,27.1,26.73,27.02,20.43,471200,0.0,0
2010-03-05,27.18,28.19,27.0,28.17,21.3,641700,0.0,0
2010-03-08,28.13,28.94,28.13,28.9,21.85,356400,0.0,0
2010-03-09,28.78,29.3,28.78,29.0,21.92,386100,0.0,0
2010-03-10,28.97,29.32,28.75,29.06,21.97,511300,0.0,0
2010-03-11,28.96,29.12,28.6,29.12,22.01,236700,0.0,0
2010-03-12,29.14,29.14,28.62,29.06,21.97,569500,0.0,0
2010-03-15,28.94,29.27,28.91,29.25,22.11,424300,0.0,0
2010-03-16,29.26,29.51,29.05,29.47,22.28,352100,0.0,0
2010-03-17,29.62,29.74,29.38,29.46,22.27,299700,0.0,0
2010-03-18,29.62,29.9,29.52,29.73,22.48,356900,0.0,0
2010-03-19,29.16,30.0,29.03,29.16,22.05,568400,0.0,0
