Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,26.39,26.83,26.11,26.3,23.76,38800,0.0,0.0
2010-01-05,26.31,26.68,25.77,26.06,23.54,51600,0.0,0.0
2010-01-06,26.05,26.05,25.46,25.52,23.05,35600,0.0,0.0
2010-01-07,25.56,25.86,25.18,25.57,23.1,24300,0.0,0.0
2010-01-08,25.41,25.43,24.81,25.33,22.88,46600,0.0,0.0
2010-01-11,25.54,25.58,25.06,25.12,22.69,38400,0.0,0.0
2010-01-12,24.86,25.21,24.37,24.45,22.09,33000,0.0,0.0
2010-01-13,24.61,24.85,24.47,24.74,22.35,13100,0.0,0.0
2010-01-14,24.6,24.71,24.37,24.61,22.23,36700,0.0,0.0
2010-01-15,24.68,24.68,24.23,24.31,21.96,31100,0.0,0.0
2010-01-19,24.31,24.52,23.94,24.51,22.14,31900,0.0,0.0
2010-01-20,24.33,24.33,23.93,24.14,21.8,17800,0.0,0.0
2010-01-21,24.14,24.34,23.75,23.75,21.45,23900,0.0,0.0
2010-01-22,23.73,24.05,23.33,23.41,21.15,33900,0.0,0.0
2010-01-25,23.58,23.72,22.87,23.28,21.03,42700,0.0,0.0
2010-01-26,23.17,23.6,22.62,22.62,20.43,51800,0.0,0.0
2010-01-27,22.48,23.93,22.48,23.63,21.35,23700,0.0,0.0
2010-01-28,23.75,23.93,22.99,23.24,21.0,27100,0.0,0.0
2010-01-29,23.24,23.69,21.96,22.12,19.98,54700,0.0,0.0
2010-02-01,22.19,22.95,22.19,22.7,20.5,31500,0.0,0.0
2010-02-02,22.64,22.9,22.55,22.56,20.38,38000,0.0,0.0
2010-02-03,22.53,23.07,22.25,22.63,20.44,22000,0.0,0.0
2010-02-04,21.35,21.92,20.99,21.69,19.59,61200,0.0,0.0
2010-02-05,21.69,22.06,21.46,22.02,19.9,20700,0.0,0.0
2010-02-08,21.9,21.96,21.25,21.39,19.33,43200,0.0,0.0
2010-02-09,21.71,22.06,21.3,21.88,19.77,38200,0.0,0.0
2010-02-10,21.73,21.95,21.18,21.74,19.64,34100,0.0,0.0
2010-02-11,22.4,23.19,22.4,23.05,20.82,58100,0.0,0.0
2010-02-12,22.89,23.12,21.69,22.5,20.33,63600,0.0,0.0
2010-02-16,22.73,22.91,22.37,22.72,20.53,22000,0.0,0.0
2010-02-17,22.86,23.11,22.73,22.87,20.66,17200,0.0,0.0
2010-02-18,22.81,23.18,22.81,23.18,20.94,12000,0.0,0.0
2010-02-19,23.19,23.33,22.88,23.23,20.99,26100,0.0,0.0
2010-02-22,23.23,23.5,23.05,23.3,21.04,43600,0.0,0.0
2010-02-23,23.33,23.45,22.96,23.02,20.8,39300,0.0,0.0
2010-02-24,23.06,23.65,23.05,23.16,20.92,26300,0.0,0.0
