Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,20.0,20.01,20.0,20.0,8.95,27900,0.0,0
2010-01-05,20.0,20.01,20.0,20.0,8.95,7100,0.0,0
2010-01-06,20.0,20.02,20.0,20.0,8.95,22500,0.0,0
2010-01-07,20.0,20.01,19.28,19.28,8.62,199000,0.0,0
2010-01-08,19.26,19.84,19.21,19.83,8.87,31800,0.0,0
2010-01-11,19.82,19.85,19.7,19.79,8.85,36700,0.0,0
2010-01-12,19.76,19.83,19.68,19.7,8.81,38000,0.0,0
2010-01-13,19.73,20.09,19.73,19.81,8.86,25900,0.0,0
2010-01-14,19.81,19.86,19.81,19.85,8.88,12500,0.0,0
2010-01-15,19.88,19.91,19.58,19.58,8.76,19600,0.0,0
2010-01-19,19.78,19.8,19.67,19.7,8.81,27100,0.0,0
2010-01-20,19.94,19.94,19.39,19.56,8.81,33200,0.13,0
2010-01-21,19.66,19.69,19.39,19.55,8.8,36000,0.0,0
2010-01-22,19.69,19.69,19.1,19.13,8.61,53900,0.0,0
2010-01-25,19.24,19.28,18.82,19.1,8.6,32200,0.0,0
2010-01-26,19.18,19.22,18.8,18.95,8.53,39000,0.0,0
2010-01-27,18.6,18.68,18.12,18.67,8.41,156500,0.0,0
2010-01-28,18.72,18.9,18.33,18.75,8.44,49100,0.0,0
2010-01-29,18.52,18.75,18.36,18.58,8.37,42200,0.0,0
2010-02-01,18.62,18.78,18.62,18.77,8.45,10700,0.0,0
2010-02-02,18.73,18.76,18.25,18.3,8.24,67800,0.0,0
2010-02-03,18.61,18.76,18.36,18.49,8.33,53500,0.0,0
2010-02-04,18.48,18.67,17.93,18.15,8.17,129800,0.0,0
2010-02-05,18.2,18.48,17.65,18.11,8.16,209800,0.0,0
2010-02-08,18.18,18.3,17.75,18.15,8.17,48200,0.0,0
2010-02-09,18.29,18.45,18.11,18.18,8.19,61300,0.0,0
2010-02-10,18.12,18.2,17.92,18.05,8.13,33000,0.0,0
2010-02-11,18.05,18.19,17.91,18.18,8.19,33000,0.0,0
2010-02-12,18.24,18.24,17.91,18.08,8.14,36700,0.0,0
2010-02-16,18.04,18.5,18.04,18.2,8.2,138700,0.0,0
2010-02-17,18.06,18.45,18.05,18.3,8.3,151800,0.13,0
2010-02-18,18.33,18.56,18.25,18.42,8.35,99400,0.0,0
2010-02-19,18.44,18.63,18.3,18.33,8.31,184000,0.0,0
2010-02-22,18.37,18.57,18.16,18.37,8.33,45900,0.0,0
2010-02-23,18.38,18.61,18.27,18.56,8.42,38000,0.0,0
2010-02-24,18.6,18.75,18.37,18.74,8.5,36000,0.0,0
2010-02-25,18.74,18.74,18.64,18.71,8.49,27000,0.0,0
2010-02-26,18.71,18.97,18.65,18.93,8.59,24000,0.0,0
2010-03-01,19.05,19.13,18.68,18.7,8.48,41400,0.0,0
2010-03-02,18.73,19.05,18.73,19.03,8.63,20800,0.0,0
2010-03-03,19.03,19.22,19.01,19.01,8.62,21300,0.0,0
2010-03-04,19.04,19.18,18.94,18.94,8.59,24500,0.0,0
2010-03-05,18.99,19.05,18.6,18.75,8.5,44500,0.0,0
2010-03-08,18.71,18.8,18.58,18.61,8.44,29700,0.0,0
2010-03-09,18.66,18.77,18.49,18.59,8.43,30800,0.0,0
2010-03-10,18.58,18.74,18.58,18.71,8.49,22600,0.0,0
2010-03-11,18.71,18.78,18.56,18.61,8.44,36900,0.0,0
2010-03-12,18.62,18.82,18.5,18.66,8.46,58000,0.0,0
2010-03-15,18.61,18.86,18.52,18.72,8.49,48200,0.0,0
2010-03-16,18.73,18.83,18.52,18.56,8.42,46100,0.0,0
2010-03-17,18.44,18.65,18.36,18.42,8.41,41500,0.13,0
