Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-09-26,11.0794,11.2179,11.0518,11.0794,1794700,0.0,0
2014-09-29,11.0961,11.2456,11.0794,11.1071,306500,0.0,0
2014-09-30,11.1515,11.2456,11.1182,11.1659,223800,0.0,0
2014-10-01,11.1459,11.1459,11.0518,11.0794,345700,0.0,0
2014-10-02,11.085,11.0983,11.0518,11.0794,297300,0.0,0
2014-10-03,11.0905,11.0905,11.0573,11.0794,330400,0.0,0
2014-10-06,11.0794,11.085,11.0573,11.085,155100,0.0,0
2014-10-07,11.0905,11.1071,11.0573,11.085,212200,0.0,0
2014-10-08,11.0794,11.3509,11.0794,11.1182,265400,0.0,0
2014-10-09,11.1348,11.1348,11.0517,11.085,232900,0.0,0
2014-10-10,11.0794,11.1016,11.0628,11.0794,248300,0.0,0
2014-10-13,11.0296,11.0794,10.8357,11.024,408100,0.0,0
2014-10-14,11.024,11.0462,10.387,10.6086,1266100,0.0,0
2014-10-15,10.5255,11.0794,10.1654,11.0794,494500,0.0,0
2014-10-16,10.7692,11.2179,10.7083,11.0905,248900,0.0,0
2014-10-17,11.2179,11.301,10.8745,11.2124,288500,0.0,0
2014-10-20,10.9797,11.0794,10.8579,11.0794,155700,0.0,0
2014-10-21,11.1847,11.1847,11.085,11.1515,67100,0.0,0
2014-10-22,11.1902,11.301,11.0794,11.0961,65300,0.0,0
2014-10-23,10.8911,11.0961,10.8025,11.0794,171100,0.0,0
2014-10-24,11.013,11.1792,11.013,11.1348,81100,0.0,0
2014-10-27,11.0905,11.0905,11.013,11.0794,80500,0.0,0
2014-10-28,11.0795,11.1071,11.029,11.1016,105100,0.0,0
2014-10-29,11.1293,11.1625,11.0628,11.1293,253400,0.0,0
2014-10-30,10.9133,10.9687,10.6141,10.9687,878700,0.0,0
2014-10-31,10.9631,10.9964,10.808,10.88,249600,0.0,0
2014-11-03,10.808,10.9022,10.7415,10.7803,152200,0.0,0
2014-11-04,10.7249,10.7914,10.4258,10.6861,316900,0.0,0
2014-11-05,10.6861,10.6861,10.3593,10.3593,294400,0.0,0
