Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2013-05-20,102.25,102.5,102.05,102.5,54.83,19200,0.0,0
2013-05-21,102.53,103.0,102.0,102.0,54.57,4400,0.0,0
2013-05-22,103.0,103.0,103.0,103.0,55.1,200,0.0,0
2013-05-23,103.0,103.0,102.0,102.0,54.57,1700,0.0,0
2013-05-24,102.5,102.75,102.25,102.75,54.97,2100,0.0,0
2013-05-28,102.78,102.78,102.65,102.68,54.93,1800,0.0,0
2013-05-29,105.0,105.0,103.0,103.0,55.1,2600,0.0,0
2013-05-30,103.75,103.75,103.49,103.49,55.36,500,0.0,0
2013-05-31,102.75,102.75,102.14,102.52,54.84,3300,0.0,0
2013-06-03,102.8,102.8,101.7,101.7,54.41,3400,0.0,0
2013-06-04,102.5,102.5,101.75,101.75,54.43,1400,0.0,0
2013-06-05,105.0,105.0,101.01,101.01,54.04,1500,0.0,0
2013-06-06,101.33,101.33,100.52,100.52,53.77,5600,0.0,0
2013-06-07,101.09,101.4,101.0,101.1,54.08,2000,0.0,0
2013-06-10,105.0,105.0,100.52,101.63,54.37,600,0.0,0
2013-06-11,101.6,101.6,101.6,101.6,54.35,200,0.0,0
2013-06-12,101.25,101.25,100.0,100.0,53.5,1200,0.0,0
2013-06-13,100.23,100.5,100.23,100.47,53.75,2200,0.0,0
2013-06-14,100.5,101.0,100.5,101.0,54.03,700,0.0,0
2013-06-17,101.25,101.25,101.2,101.25,54.17,2900,0.0,0
2013-06-18,104.99,104.99,102.49,102.49,54.83,400,0.0,0
2013-06-19,102.49,102.49,102.49,102.49,54.83,0,0.0,0
2013-06-20,102.75,102.75,101.55,101.55,54.33,800,0.0,0
2013-06-21,101.94,101.94,101.85,101.85,54.49,700,0.0,0
2013-06-24,101.85,101.85,101.85,101.85,54.49,0,0.0,0
2013-06-25,100.51,100.51,100.0,100.0,53.5,800,0.0,0
2013-06-26,100.75,100.75,100.3,100.3,53.66,2600,0.0,0
2013-06-27,100.3,100.3,100.3,100.3,53.66,0,0.0,0
2013-06-28,100.03,100.1,100.03,100.1,53.55,400,0.0,0
2013-07-01,101.0,101.49,100.9,101.49,54.29,1000,0.0,0
2013-07-02,101.49,101.49,101.49,101.49,54.29,0,0.0,0
2013-07-03,101.49,101.49,101.49,101.49,54.29,0,0.0,0
2013-07-05,100.78,101.49,100.78,101.49,54.29,300,0.0,0
2013-07-08,101.49,101.49,101.49,101.49,54.29,0,0.0,0
2013-07-09,102.25,102.25,101.0,101.0,54.03,600,0.0,0
2013-07-10,102.0,102.0,100.51,100.51,53.77,700,0.0,0
2013-07-11,101.0,101.0,101.0,101.0,54.03,700,0.0,0
2013-07-12,101.0,101.24,100.9,101.24,54.16,1000,0.0,0
2013-07-15,101.24,101.24,101.24,101.24,54.16,0,0.0,0
2013-07-16,101.5,101.5,101.5,101.5,54.3,200,0.0,0
2013-07-17,101.01,101.01,100.52,100.75,53.9,600,0.0,0
2013-07-18,102.18,102.24,102.0,102.0,54.57,1200,0.0,0
2013-07-19,102.0,102.0,102.0,102.0,54.57,200,0.0,0
2013-07-22,101.11,102.75,101.11,102.75,54.97,2400,0.0,0
2013-07-23,102.75,102.75,102.75,102.75,54.97,0,0.0,0
2013-07-24,102.08,102.1,102.0,102.1,54.62,1300,0.0,0
2013-07-25,102.1,102.1,102.1,102.1,54.62,0,0.0,0
2013-07-26,101.12,101.3,100.0,100.54,54.79,1800,1.875,0
2013-07-29,100.54,100.54,100.54,100.54,54.79,0,0.0,0
2013-07-30,100.1,100.1,100.0,100.0,54.5,400,0.0,0
2013-07-31,100.1,100.1,100.1,100.1,54.55,100,0.0,0
2013-08-01,100.75,100.75,99.25,99.29,54.11,1800,0.0,0
2013-08-02,99.3,101.83,99.3,101.83,55.49,1600,0.0,0
2013-08-05,101.83,101.83,101.83,101.83,55.49,0,0.0,0
2013-08-06,101.83,101.83,101.83,101.83,55.49,0,0.0,0
2013-08-07,101.83,101.83,101.83,101.83,55.49,0,0.0,0
2013-08-08,101.83,101.83,101.83,101.83,55.49,0,0.0,0
2013-08-09,101.83,101.83,101.83,101.83,55.49,0,0.0,0
2013-08-12,100.05,100.05,100.0,100.0,54.5,200,0.0,0
2013-08-13,100.0,100.0,100.0,100.0,54.5,0,0.0,0
2013-08-14,99.11,99.99,99.11,99.98,54.49,500,0.0,0
2013-08-15,99.11,99.11,98.62,98.78,53.83,500,0.0,0
2013-08-16,98.25,99.59,98.25,99.59,54.27,500,0.0,0
2013-08-19,98.25,98.83,97.0,97.0,52.86,500,0.0,0
2013-08-20,99.0,99.0,99.0,99.0,53.95,100,0.0,0
2013-08-21,95.5,99.29,95.5,95.75,52.18,300,0.0,0
2013-08-22,95.75,95.75,95.75,95.75,52.18,0,0.0,0
2013-08-23,95.75,95.75,95.75,95.75,52.18,200,0.0,0
2013-08-26,97.49,97.49,97.49,97.49,53.13,100,0.0,0
2013-08-27,97.48,99.28,97.48,98.75,53.82,400,0.0,0
2013-08-28,98.75,98.75,98.75,98.75,53.82,0,0.0,0
2013-08-29,98.75,98.75,98.75,98.75,53.82,0,0.0,0
2013-08-30,99.05,99.05,99.0,99.0,53.95,1600,0.0,0
2013-09-03,99.69,99.69,99.69,99.69,54.33,100,0.0,0
2013-09-04,99.01,99.01,99.01,99.01,53.96,100,0.0,0
2013-09-05,99.01,99.01,99.01,99.01,53.96,0,0.0,0
2013-09-06,99.01,99.01,99.01,99.01,53.96,0,0.0,0
2013-09-09,99.01,99.01,99.01,99.01,53.96,0,0.0,0
2013-09-10,99.0,99.0,99.0,99.0,53.95,700,0.0,0
2013-09-11,99.0,99.0,99.0,99.0,53.95,0,0.0,0
2013-09-12,99.61,99.61,99.61,99.61,54.28,300,0.0,0
2013-09-13,99.61,99.61,99.0,99.0,53.95,1900,0.0,0
2013-09-16,99.0,99.0,99.0,99.0,53.95,0,0.0,0
2013-09-17,98.41,98.41,98.41,98.41,53.63,500,0.0,0
2013-09-18,99.89,99.89,97.8,97.8,53.3,400,0.0,0
2013-09-19,99.0,99.0,99.0,99.0,53.95,200,0.0,0
2013-09-20,99.0,99.0,99.0,99.0,53.95,0,0.0,0
2013-09-23,99.89,99.89,99.89,99.89,54.44,100,0.0,0
2013-09-24,99.0,99.7,99.0,99.7,54.33,400,0.0,0
2013-09-25,99.84,99.84,98.41,98.41,53.63,400,0.0,0
2013-09-26,98.41,98.41,98.41,98.41,53.63,0,0.0,0
2013-09-27,99.89,99.89,99.89,99.89,54.44,300,0.0,0
2013-09-30,99.89,99.89,99.89,99.89,54.44,0,0.0,0
2013-10-01,98.21,99.89,98.21,99.89,54.44,500,0.0,0
2013-10-02,98.02,98.02,98.02,98.02,53.42,200,0.0,0
2013-10-03,98.02,98.02,98.02,98.02,53.42,0,0.0,0
2013-10-04,98.02,98.02,98.02,98.02,53.42,0,0.0,0
2013-10-07,97.9,98.0,97.9,98.0,53.41,300,0.0,0
2013-10-08,98.0,98.0,98.0,98.0,53.41,0,0.0,0
2013-10-09,98.0,98.0,98.0,98.0,53.41,0,0.0,0
