Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-08-17,9.25,9.25,9.25,9.25,400,0.0,0.0
2012-08-20,9.33,9.33,9.27,9.27,2000,0.0,0.0
2012-08-21,9.27,9.27,9.27,9.27,0,0.0,0.0
2012-08-22,9.27,9.27,9.27,9.27,0,0.0,0.0
2012-08-23,9.27,9.27,9.27,9.27,0,0.0,0.0
2012-08-24,9.27,9.27,9.27,9.27,0,0.0,0.0
2012-08-27,10.45,10.45,10.45,10.45,400,0.0,0.0
2012-08-28,10.45,10.45,10.45,10.45,0,0.0,0.0
2012-08-29,10.45,10.45,10.45,10.45,0,0.0,0.0
2012-08-30,10.45,10.45,10.45,10.45,0,0.0,0.0
2012-08-31,10.45,10.45,10.45,10.45,0,0.0,0.0
2012-09-04,10.45,10.45,10.45,10.45,0,0.0,0.0
2012-09-05,10.45,10.45,10.45,10.45,0,0.0,0.0
2012-09-06,10.45,10.45,10.45,10.45,0,0.0,0.0
2012-09-07,10.45,10.45,10.45,10.45,0,0.0,0.0
2012-09-10,10.45,10.45,10.45,10.45,0,0.0,0.0
2012-09-11,11.03,11.03,11.03,11.03,400,0.0,0.0
2012-09-12,11.03,11.03,11.03,11.03,0,0.0,0.0
2012-09-13,11.03,11.03,11.03,11.03,0,0.0,0.0
2012-09-14,11.03,11.03,11.03,11.03,0,0.0,0.0
2012-09-17,11.03,11.03,11.03,11.03,0,0.0,0.0
2012-09-18,11.03,11.03,11.03,11.03,0,0.0,0.0
2012-09-19,11.03,11.03,11.03,11.03,0,0.0,0.0
2012-09-20,11.03,11.03,11.03,11.03,0,0.0,0.0
2012-09-21,11.07,11.07,10.44,10.44,2400,0.0,0.0
2012-09-24,10.87,10.87,10.87,10.87,400,0.0,0.0
2012-09-25,10.56,10.56,10.56,10.56,400,0.0,0.0
2012-09-26,10.56,10.56,10.56,10.56,0,0.0,0.0
2012-09-27,10.56,10.56,10.56,10.56,0,0.0,0.0
2012-09-28,10.74,10.74,10.74,10.74,1600,0.0,0.0
2012-10-01,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-02,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-03,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-04,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-05,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-08,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-09,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-10,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-11,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-12,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-15,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-16,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-17,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-18,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-19,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-22,10.74,10.74,10.74,10.74,0,0.0,0.0
2012-10-23,10.74,10.74,10.74,10.74,0,0.0,0.0
