Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2018-12-20,51.0,51.5,50.13,50.13,50.13,14533,0,0
2018-12-21,50.75,51.39,50.75,51.27,51.27,14597,0,0
2018-12-24,51.27,51.33,51.02,51.3,51.3,8770,0,0
2018-12-26,51.15,51.3,51.07,51.3,51.3,4458,0,0
2018-12-27,50.77,51.2,50.77,51.2,51.2,9433,0,0
2018-12-28,50.96,51.4,50.94,51.38,51.38,13925,0,0
2018-12-31,51.38,51.38,51.38,51.38,51.38,0,0,0
2019-01-02,51.25,51.5,51.25,51.5,51.5,1603,0,0
2019-01-03,51.24,51.58,51.24,51.58,51.58,900,0,0
2019-01-04,51.6,51.6,51.6,51.6,51.6,100,0,0
2019-01-07,51.5,51.5,51.45,51.5,51.5,16450,0,0
2019-01-08,51.5,51.5,51.41,51.49,51.49,2500,0,0
2019-01-09,51.41,51.6,51.4,51.6,51.6,2800,0,0
2019-01-10,51.59,51.59,51.5,51.59,51.59,900,0,0
2019-01-11,51.59,51.59,51.59,51.59,51.59,0,0,0
2019-01-14,51.69,51.75,51.69,51.75,51.75,500,0,0
2019-01-15,51.75,51.75,51.75,51.75,51.75,0,0,0
2019-01-16,51.79,51.79,51.79,51.79,51.79,200,0,0
2019-01-17,51.83,51.83,51.83,51.83,51.83,100,0,0
2019-01-18,51.97,51.97,51.97,51.97,51.97,209,0,0
2019-01-22,51.94,51.94,51.94,51.94,51.94,100,0,0
2019-01-23,51.94,51.94,51.94,51.94,51.94,0,0,0
2019-01-24,51.56,51.93,51.56,51.8,51.8,904,0,0
2019-01-25,51.71,51.95,51.71,51.95,51.95,205,0,0
2019-01-28,51.95,51.95,51.95,51.95,51.95,0,0,0
2019-01-29,51.95,51.95,51.95,51.95,51.95,0,0,0
2019-01-30,51.85,51.95,51.85,51.95,51.95,497,0,0
2019-01-31,51.84,51.9,51.75,51.9,51.9,5716,0,0
2019-02-01,51.95,51.95,51.95,51.95,51.95,200,0,0
2019-02-04,51.83,51.97,51.72,51.97,51.97,820,0,0
2019-02-05,51.97,51.97,51.97,51.97,51.97,200,0,0
2019-02-06,51.95,51.95,51.95,51.95,51.95,200,0,0
2019-02-07,51.95,51.97,51.93,51.96,51.96,3211,0,0
2019-02-08,51.97,52.0,51.97,52.0,52.0,2200,0,0
2019-02-11,51.95,52.1,51.85,52.1,52.1,8300,0,0
2019-02-12,52.0,52.19,52.0,52.17,52.17,8400,0,0
2019-02-13,52.15,52.2,52.15,52.2,52.2,1601,0,0
2019-02-14,52.17,52.25,52.1,52.25,52.25,1967,0,0
2019-02-15,52.25,52.25,52.25,52.25,52.25,0,0,0
2019-02-19,52.25,52.25,52.25,52.25,52.25,0,0,0
2019-02-20,52.25,52.25,52.19,52.25,52.25,2298,0,0
2019-02-21,52.25,52.25,52.25,52.25,52.25,0,0,0
2019-02-22,52.25,52.25,52.25,52.25,52.25,0,0,0
2019-02-25,52.26,52.3,52.25,52.3,52.3,5625,0,0
2019-02-26,52.3,52.3,52.3,52.3,52.3,0,0,0
2019-02-27,52.3,52.3,52.3,52.3,52.3,0,0,0
2019-02-28,52.3,52.3,52.3,52.3,52.3,1747,0,0
2019-03-01,52.35,52.35,52.26,52.35,52.35,390,0,0
2019-03-04,52.35,52.4,52.34,52.35,52.35,6650,0,0
2019-03-05,52.4,52.4,52.4,52.4,52.4,455,0,0
2019-03-06,52.43,52.43,52.43,52.43,52.43,100,0,0
2019-03-07,52.45,52.45,52.45,52.45,52.45,100,0,0
2019-03-08,52.45,52.45,52.45,52.45,52.45,0,0,0
2019-03-11,52.38,52.57,52.38,52.57,52.57,1300,0,0
2019-03-12,52.67,52.78,52.67,52.78,52.78,7476,0,0
2019-03-13,52.78,52.78,52.78,52.78,52.78,0,0,0
2019-03-14,52.78,52.78,52.78,52.78,52.78,0,0,0
2019-03-15,52.78,52.78,52.78,52.78,52.78,0,0,0
2019-03-18,51.85,51.85,51.85,51.85,51.85,150,0,0
2019-03-19,51.9,51.9,51.9,51.9,51.9,700,0,0
2019-03-20,51.85,51.9,51.85,51.9,51.9,300,0,0
2019-03-21,51.95,51.98,51.95,51.98,51.98,200,0,0
2019-03-22,52.0,52.0,52.0,52.0,52.0,200,0,0
2019-03-25,52.24,52.24,52.24,52.24,52.24,300,0,0
2019-03-26,52.24,52.24,52.24,52.24,52.24,0,0,0
2019-03-27,52.24,52.24,52.24,52.24,52.24,0,0,0
2019-03-28,52.24,52.24,52.24,52.24,52.24,0,0,0
2019-03-29,52.24,52.24,52.24,52.24,52.24,0,0,0
2019-04-01,52.24,52.24,52.24,52.24,52.24,0,0,0
2019-04-02,52.05,52.22,52.05,52.22,52.22,250,0,0
2019-04-03,52.22,52.22,52.22,52.22,52.22,0,0,0
2019-04-04,52.22,52.22,52.22,52.22,52.22,200,0,0
2019-04-05,52.22,52.22,52.22,52.22,52.22,0,0,0
2019-04-08,52.22,52.22,52.22,52.22,52.22,0,0,0
2019-04-09,52.22,52.22,52.22,52.22,52.22,0,0,0
2019-04-10,52.14,52.24,52.14,52.24,52.24,200,0,0
2019-04-11,52.24,52.24,52.2,52.2,52.2,950,0,0
2019-04-12,52.2,52.2,52.2,52.2,52.2,0,0,0
2019-04-15,52.47,52.47,52.47,52.47,52.47,100,0,0
2019-04-16,52.47,52.47,52.47,52.47,52.47,0,0,0
2019-04-17,52.47,52.47,52.47,52.47,52.47,0,0,0
2019-04-18,52.47,52.47,52.47,52.47,52.47,0,0,0
2019-04-22,52.35,52.35,52.35,52.35,52.35,300,0,0
2019-04-23,52.3,52.35,52.3,52.35,52.35,1050,0,0
2019-04-24,52.3,52.3,52.2,52.2,52.2,1349,0,0
2019-04-25,52.3,52.3,52.3,52.3,52.3,100,0,0
2019-04-26,52.25,52.3,52.25,52.3,52.3,6867,0,0
2019-04-29,52.3,52.3,52.3,52.3,52.3,100,0,0
2019-04-30,52.46,52.46,52.46,52.46,52.46,133,0,0
2019-05-01,52.47,52.5,52.47,52.5,52.5,1000,0,0
2019-05-02,52.5,52.5,52.5,52.5,52.5,0,0,0
2019-05-03,52.5,52.5,52.5,52.5,52.5,0,0,0
2019-05-06,52.4,52.4,52.4,52.4,52.4,100,0,0
2019-05-07,52.3,52.49,52.25,52.25,52.25,400,0,0
2019-05-08,52.25,52.4,52.25,52.4,52.4,300,0,0
2019-05-09,52.4,52.4,52.4,52.4,52.4,0,0,0
2019-05-10,52.4,52.4,52.4,52.4,52.4,200,0,0
2019-05-13,52.4,52.4,52.4,52.4,52.4,100,0,0
2019-05-14,52.4,52.4,52.4,52.4,52.4,100,0,0
2019-05-15,52.54,52.54,52.54,52.54,52.54,100,0,0
2019-05-16,52.49,52.49,52.49,52.49,52.49,100,0,0
2019-05-17,52.55,52.55,52.5,52.5,52.5,1100,0,0
2019-05-20,52.5,52.5,52.5,52.5,52.5,0,0,0
2019-05-21,52.48,52.48,52.48,52.48,52.48,980,0,0
2019-05-22,52.48,52.48,52.48,52.48,52.48,700,0,0
2019-05-23,52.48,52.48,52.48,52.48,52.48,0,0,0
2019-05-24,52.48,52.48,52.48,52.48,52.48,0,0,0
2019-05-28,52.48,52.48,52.48,52.48,52.48,0,0,0
2019-05-29,52.62,52.62,52.61,52.61,52.61,569,0,0
2019-05-30,52.62,52.62,52.62,52.62,52.62,100,0,0
2019-05-31,52.62,52.62,52.62,52.62,52.62,0,0,0
2019-06-03,52.62,52.62,52.62,52.62,52.62,100,0,0
2019-06-04,52.61,52.61,52.61,52.61,52.61,1000,0,0
2019-06-05,52.61,52.61,52.61,52.61,52.61,0,0,0
2019-06-06,52.26,52.66,52.26,52.6,52.6,318,0,0
2019-06-07,52.5,52.66,52.5,52.6,52.6,400,0,0
2019-06-10,52.6,52.6,52.6,52.6,52.6,0,0,0
2019-06-11,52.6,52.6,52.6,52.6,52.6,0,0,0
2019-06-12,52.6,52.6,52.6,52.6,52.6,0,0,0
2019-06-13,52.6,52.6,52.6,52.6,52.6,0,0,0
2019-06-14,52.6,52.6,52.6,52.6,52.6,0,0,0
2019-06-17,52.6,52.67,52.5,52.67,52.67,22806,0,0
2019-06-18,51.8,51.8,51.7,51.7,51.7,697,0,0
2019-06-19,51.7,51.7,51.7,51.7,51.7,0,0,0
2019-06-20,51.7,51.7,51.7,51.7,51.7,0,0,0
2019-06-21,51.71,51.71,51.69,51.69,51.69,1470,0,0
2019-06-24,51.4,51.89,51.4,51.84,51.84,3036,0,0
2019-06-25,51.84,51.84,51.84,51.84,51.84,0,0,0
2019-06-26,51.8,51.8,51.8,51.8,51.8,151,0,0
2019-06-27,51.81,51.81,51.8,51.8,51.8,604,0,0
2019-06-28,51.88,51.9,51.75,51.83,51.83,5200,0,0
2019-07-01,51.83,51.83,51.83,51.83,51.83,0,0,0
2019-07-02,51.88,51.88,51.83,51.83,51.83,200,0,0
2019-07-03,51.83,51.83,51.83,51.83,51.83,100,0,0
2019-07-05,51.83,51.83,51.83,51.83,51.83,100,0,0
2019-07-08,51.83,51.83,51.83,51.83,51.83,0,0,0
2019-07-09,51.83,51.83,51.83,51.83,51.83,0,0,0
2019-07-10,51.7,51.92,51.7,51.92,51.92,500,0,0
2019-07-11,51.92,51.92,51.92,51.92,51.92,0,0,0
2019-07-12,51.94,51.94,51.94,51.94,51.94,100,0,0
2019-07-15,51.92,51.94,51.6,51.6,51.6,1300,0,0
2019-07-16,51.95,51.99,51.95,51.99,51.99,1030,0,0
2019-07-17,51.97,51.97,51.7,51.7,51.7,800,0,0
2019-07-18,51.98,51.98,51.98,51.98,51.98,100,0,0
2019-07-19,51.98,51.98,51.98,51.98,51.98,0,0,0
2019-07-22,51.93,52.0,51.93,52.0,52.0,500,0,0
2019-07-23,52.0,52.0,52.0,52.0,52.0,0,0,0
2019-07-24,51.95,51.95,51.8,51.8,51.8,600,0,0
2019-07-25,52.0,52.0,51.9,51.9,51.9,400,0,0
2019-07-26,51.95,51.95,51.9,51.9,51.9,500,0,0
2019-07-29,51.9,51.9,51.72,51.72,51.72,934,0,0
2019-07-30,51.9,52.0,51.9,52.0,52.0,200,0,0
2019-07-31,52.0,52.0,52.0,52.0,52.0,0,0,0
2019-08-01,52.0,52.0,52.0,52.0,52.0,0,0,0
2019-08-02,52.0,52.0,52.0,52.0,52.0,0,0,0
2019-08-05,51.89,51.96,51.89,51.9,51.9,855,0,0
2019-08-06,51.9,51.9,51.9,51.9,51.9,0,0,0
2019-08-07,51.9,51.9,51.9,51.9,51.9,1965,0,0
2019-08-08,51.9,51.9,51.85,51.85,51.85,1147,0,0
2019-08-09,51.95,51.95,51.95,51.95,51.95,100,0,0
2019-08-12,51.95,51.95,51.95,51.95,51.95,100,0,0
2019-08-13,51.87,52.2,51.87,52.2,52.2,3016,0,0
2019-08-14,52.29,52.29,52.29,52.29,52.29,400,0,0
2019-08-15,52.3,52.35,52.24,52.35,52.35,3800,0,0
2019-08-16,52.35,52.35,52.34,52.34,52.34,690,0,0
2019-08-19,52.34,52.34,52.34,52.34,52.34,0,0,0
2019-08-20,52.34,52.34,52.34,52.34,52.34,0,0,0
2019-08-21,52.34,52.34,52.34,52.34,52.34,0,0,0
2019-08-22,52.4,52.45,52.38,52.45,52.45,3500,0,0
2019-08-23,52.46,52.49,52.36,52.4,52.4,11032,0,0
2019-08-26,52.4,52.4,52.4,52.4,52.4,0,0,0
2019-08-27,52.48,52.48,52.48,52.48,52.48,100,0,0
2019-08-28,52.45,52.49,52.45,52.49,52.49,1000,0,0
2019-08-29,52.5,52.5,52.49,52.5,52.5,4646,0,0
2019-08-30,52.6,52.6,52.6,52.6,52.6,100,0,0
2019-09-03,52.6,52.6,52.6,52.6,52.6,0,0,0
2019-09-04,52.65,52.65,52.65,52.65,52.65,100,0,0
2019-09-05,52.7,52.7,52.7,52.7,52.7,100,0,0
2019-09-06,52.6,52.7,52.6,52.7,52.7,1100,0,0
2019-09-09,52.7,52.78,52.7,52.78,52.78,706,0,0
2019-09-10,52.7,52.7,52.7,52.7,52.7,100,0,0
2019-09-11,52.71,52.71,52.7,52.7,52.7,1000,0,0
2019-09-12,52.7,52.7,52.7,52.7,52.7,500,0,0
2019-09-13,52.7,52.7,52.7,52.7,52.7,0,0,0
2019-09-16,52.7,52.75,52.59,52.75,52.75,400,0,0
2019-09-17,52.73,52.76,52.73,52.75,52.75,3000,0,0
2019-09-18,52.0,52.05,51.9,51.95,51.95,2167,0,0
2019-09-19,51.95,51.95,51.95,51.95,51.95,100,0,0
2019-09-20,51.99,51.99,51.99,51.99,51.99,700,0,0
2019-09-23,51.8,51.95,51.8,51.95,51.95,200,0,0
2019-09-24,52.0,52.0,51.95,51.95,51.95,1296,0,0
2019-09-25,51.99,51.99,51.85,51.85,51.85,600,0,0
2019-09-26,51.99,51.99,51.92,51.95,51.95,475,0,0
2019-09-27,51.95,51.95,51.95,51.95,51.95,101,0,0
2019-09-30,51.85,51.95,51.85,51.95,51.95,200,0,0
2019-10-01,51.95,51.95,51.95,51.95,51.95,0,0,0
2019-10-02,51.95,51.95,51.95,51.95,51.95,0,0,0
2019-10-03,51.95,51.95,51.95,51.95,51.95,0,0,0
2019-10-04,52.0,52.0,51.95,52.0,52.0,9400,0,0
2019-10-07,52.0,52.0,52.0,52.0,52.0,0,0,0
2019-10-08,52.0,52.0,52.0,52.0,52.0,0,0,0
2019-10-09,52.0,52.0,51.97,51.97,51.97,4383,0,0
2019-10-10,52.0,52.0,51.99,52.0,52.0,2727,0,0
2019-10-11,52.05,52.05,52.04,52.04,52.04,2103,0,0
2019-10-14,52.04,52.04,52.04,52.04,52.04,0,0,0
2019-10-15,52.04,52.04,52.04,52.04,52.04,0,0,0
2019-10-16,52.04,52.04,52.04,52.04,52.04,0,0,0
2019-10-17,52.0,52.0,52.0,52.0,52.0,241,0,0
2019-10-18,52.2,52.2,52.11,52.11,52.11,400,0,0
2019-10-21,52.14,52.14,52.14,52.14,52.14,110,0,0
2019-10-22,52.17,52.17,52.17,52.17,52.17,100,0,0
2019-10-23,52.17,52.17,52.17,52.17,52.17,0,0,0
2019-10-24,52.15,52.15,52.15,52.15,52.15,300,0,0
2019-10-25,52.15,52.15,52.15,52.15,52.15,0,0,0
2019-10-28,51.97,52.15,51.97,52.15,52.15,400,0,0
2019-10-29,52.15,52.15,52.15,52.15,52.15,0,0,0
2019-10-30,52.15,52.15,52.15,52.15,52.15,0,0,0
2019-10-31,52.15,52.15,52.15,52.15,52.15,0,0,0
2019-11-01,52.15,52.15,52.15,52.15,52.15,0,0,0
2019-11-04,52.15,52.15,52.15,52.15,52.15,0,0,0
2019-11-05,52.04,52.15,52.04,52.15,52.15,1127,0,0
2019-11-06,52.15,52.15,52.15,52.15,52.15,0,0,0
2019-11-07,52.15,52.2,52.07,52.2,52.2,950,0,0
2019-11-08,52.04,52.04,52.04,52.04,52.04,200,0,0
2019-11-11,52.04,52.04,52.04,52.04,52.04,0,0,0
2019-11-12,52.02,52.15,52.02,52.15,52.15,302,0,0
2019-11-13,52.15,52.15,52.15,52.15,52.15,200,0,0
2019-11-14,52.15,52.15,52.15,52.15,52.15,100,0,0
2019-11-15,52.15,52.15,52.15,52.15,52.15,0,0,0
2019-11-18,51.92,51.92,51.92,51.92,51.92,1343,0,0
2019-11-19,52.05,52.1,52.05,52.1,52.1,1634,0,0
2019-11-20,52.15,52.15,52.1,52.15,52.15,8800,0,0
2019-11-21,52.15,52.15,52.15,52.15,52.15,2266,0,0
2019-11-22,52.15,52.2,52.1,52.1,52.1,3033,0,0
2019-11-25,52.1,52.1,52.1,52.1,52.1,0,0,0
2019-11-26,52.1,52.1,52.1,52.1,52.1,0,0,0
2019-11-27,52.1,52.1,52.1,52.1,52.1,0,0,0
2019-11-29,52.1,52.1,52.1,52.1,52.1,0,0,0
2019-12-02,52.15,52.2,52.15,52.19,52.19,1846,0,0
2019-12-03,52.15,52.15,52.15,52.15,52.15,782,0,0
2019-12-04,52.15,52.15,52.15,52.15,52.15,0,0,0
2019-12-05,52.27,52.27,52.25,52.25,52.25,985,0,0
2019-12-06,52.25,52.25,52.25,52.25,52.25,0,0,0
2019-12-09,52.25,52.25,52.25,52.25,52.25,0,0,0
2019-12-10,52.25,52.25,52.25,52.25,52.25,0,0,0
2019-12-11,52.25,52.25,52.25,52.25,52.25,500,0,0
2019-12-12,52.3,52.3,52.3,52.3,52.3,303,0,0
2019-12-13,52.24,52.26,52.24,52.24,52.24,5093,0,0
2019-12-16,52.24,52.29,52.22,52.24,52.24,7633,0,0
