Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-18,29.0,29.0,20.83,21.1,7118500,0,0
2019-04-22,22.04,22.39,17.5,19.49,1529900,0,0
2019-04-23,20.05,21.98,19.38,20.7,738100,0,0
2019-04-24,21.0,21.5,19.7,19.85,372600,0,0
2019-04-25,20.0,20.865,19.0,19.05,242200,0,0
2019-04-26,19.11,19.32,18.0,18.05,484700,0,0
2019-04-29,18.26,19.0,17.25,17.49,570400,0,0
2019-04-30,17.46,17.54,16.99,17.0,913800,0,0
2019-05-01,17.01,17.43,14.64,14.84,1340300,0,0
2019-05-02,14.76,15.0,12.9,13.34,1275100,0,0
2019-05-03,13.79,14.6,12.9,14.23,1047500,0,0
2019-05-06,14.22,16.279,14.068,15.53,1131300,0,0
2019-05-07,15.51,16.19,15.139,16.19,594300,0,0
2019-05-08,16.14,16.58,15.56,16.5,229800,0,0
2019-05-09,16.55,17.31,15.76,17.27,577500,0,0
2019-05-10,17.09,17.132,15.25,16.25,510900,0,0
2019-05-13,16.16,16.2,15.28,15.54,304600,0,0
2019-05-14,15.66,16.52,15.15,16.32,240800,0,0
2019-05-15,16.31,16.75,16.13,16.61,160500,0,0
2019-05-16,16.29,16.83,15.89,16.0,269200,0,0
2019-05-17,16.05,16.75,15.28,15.53,179900,0,0
2019-05-20,15.52,15.87,15.28,15.8,197700,0,0
2019-05-21,15.73,16.77,15.295,15.65,262700,0,0
2019-05-22,15.84,16.12,15.45,15.74,122000,0,0
2019-05-23,15.61,16.12,14.39,15.17,265800,0,0
2019-05-24,15.24,15.98,15.13,15.21,74500,0,0
2019-05-28,15.14,15.8,14.72,15.38,90900,0,0
2019-05-29,15.35,15.745,15.05,15.18,98800,0,0
2019-05-30,15.01,15.68,15.01,15.15,106400,0,0
2019-05-31,15.11,15.4,14.5,15.24,72400,0,0
2019-06-03,15.37,15.84,15.25,15.58,181900,0,0
2019-06-04,15.83,15.98,15.119,15.75,174800,0,0
2019-06-05,15.83,15.98,14.845,15.27,157600,0,0
2019-06-06,15.18,15.61,15.05,15.08,106300,0,0
2019-06-07,15.09,15.73,15.09,15.55,147200,0,0
2019-06-10,15.61,15.75,14.77,15.01,183100,0,0
2019-06-11,15.22,15.25,14.32,15.02,180100,0,0
2019-06-12,14.96,15.33,14.47,14.5,134000,0,0
2019-06-13,14.53,14.97,14.0,14.02,99200,0,0
2019-06-14,14.15,14.32,13.43,13.91,223900,0,0
2019-06-17,13.82,14.05,13.36,13.51,219600,0,0
2019-06-18,13.61,13.91,13.26,13.27,102000,0,0
2019-06-19,13.11,13.21,10.38,11.0,1297900,0,0
2019-06-20,11.5,12.41,11.25,11.25,391900,0,0
2019-06-21,11.25,11.345,10.05,10.32,510100,0,0
2019-06-24,10.18,10.33,9.3,9.32,643400,0,0
2019-06-25,9.37,10.166,8.68,9.65,276100,0,0
2019-06-26,9.73,9.97,9.0,9.06,169800,0,0
2019-06-27,9.17,10.1,9.17,9.95,360200,0,0
2019-06-28,9.9,10.16,9.49,9.59,941900,0,0
2019-07-01,9.95,9.97,8.9,9.03,220200,0,0
2019-07-02,9.02,9.265,8.25,8.49,245300,0,0
2019-07-03,8.49,8.538,7.95,7.96,393100,0,0
2019-07-05,8.0,8.45,7.95,8.32,258300,0,0
2019-07-08,8.35,8.9,7.86,8.02,263100,0,0
2019-07-09,8.07,8.32,7.8,8.08,130200,0,0
2019-07-10,8.22,8.395,7.96,8.11,183300,0,0
2019-07-11,8.15,8.279,7.87,8.0,107800,0,0
2019-07-12,8.01,8.026,7.39,7.77,268000,0,0
2019-07-15,7.81,7.87,7.48,7.71,140400,0,0
2019-07-16,7.74,8.13,7.5,7.75,333400,0,0
2019-07-17,7.77,8.04,7.518,8.0,381700,0,0
2019-07-18,8.05,8.76,8.0,8.25,405000,0,0
2019-07-19,8.22,8.29,7.8,7.92,258800,0,0
2019-07-22,7.99,8.01,7.61,7.69,153500,0,0
2019-07-23,7.68,7.75,7.5,7.61,250200,0,0
2019-07-24,7.57,7.7,7.31,7.47,273100,0,0
2019-07-25,7.44,7.68,7.35,7.38,345600,0,0
2019-07-26,7.45,7.89,7.38,7.76,174000,0,0
2019-07-29,7.8,7.949,7.71,7.84,244800,0,0
2019-07-30,7.87,8.33,7.8,8.26,247800,0,0
2019-07-31,8.2,8.476,8.17,8.43,201500,0,0
2019-08-01,8.41,8.41,7.71,7.98,414700,0,0
2019-08-02,8.0,8.03,7.7,8.01,156600,0,0
2019-08-05,7.88,7.99,7.674,7.85,102900,0,0
2019-08-06,7.96,8.08,7.835,7.95,104300,0,0
2019-08-07,7.81,8.1,7.75,7.97,86700,0,0
2019-08-08,8.77,9.36,8.21,9.08,394200,0,0
2019-08-09,9.03,9.079,8.52,8.57,173300,0,0
2019-08-12,8.58,9.035,8.52,8.86,209200,0,0
2019-08-13,9.11,9.68,7.58,7.59,600900,0,0
2019-08-14,7.62,7.7,6.76,6.95,294900,0,0
2019-08-15,7.0,7.18,6.9,6.97,166200,0,0
2019-08-16,7.11,7.22,6.35,6.49,419500,0,0
2019-08-19,6.6,6.82,6.205,6.41,206700,0,0
2019-08-20,6.41,6.6,6.21,6.42,204600,0,0
2019-08-21,6.64,6.85,6.51,6.69,172800,0,0
2019-08-22,6.69,7.09,6.63,7.02,140100,0,0
2019-08-23,7.01,7.11,6.48,6.52,148300,0,0
2019-08-26,6.63,6.72,6.12,6.61,174000,0,0
2019-08-27,6.63,6.683,6.201,6.39,153800,0,0
2019-08-28,6.39,6.55,6.22,6.44,148600,0,0
2019-08-29,6.5,6.65,6.36,6.54,110100,0,0
2019-08-30,6.56,6.56,6.05,6.2,239300,0,0
2019-09-03,6.25,6.35,5.87,6.14,191300,0,0
2019-09-04,6.18,6.25,5.98,6.0,135200,0,0
2019-09-05,6.08,6.25,6.05,6.22,113600,0,0
2019-09-06,6.21,6.314,5.98,5.99,137800,0,0
2019-09-09,6.0,6.053,5.29,5.34,366000,0,0
2019-09-10,5.34,5.41,5.0,5.21,481300,0,0
2019-09-11,5.24,5.74,5.05,5.6,364500,0,0
2019-09-12,5.52,5.52,4.95,4.99,537600,0,0
2019-09-13,4.97,5.34,4.46,4.64,374100,0,0
2019-09-16,4.59,4.615,3.94,3.98,527100,0,0
2019-09-17,3.97,4.09,3.55,3.71,523300,0,0
2019-09-18,3.7,4.537,3.655,4.25,503200,0,0
2019-09-19,4.31,4.53,4.15,4.44,343300,0,0
2019-09-20,4.42,4.65,4.2,4.54,371900,0,0
2019-09-23,4.55,4.6,4.1,4.24,197200,0,0
2019-09-24,4.27,4.55,3.795,3.795,366600,0,0
2019-09-25,3.9,4.128,3.73,3.87,412500,0,0
2019-09-26,3.9,4.0,3.61,3.7,229400,0,0
2019-09-27,3.73,3.744,3.45,3.48,209600,0,0
2019-09-30,3.45,3.53,3.17,3.39,235300,0,0
2019-10-01,3.37,3.59,3.25,3.27,373000,0,0
2019-10-02,3.25,3.49,3.15,3.31,281000,0,0
2019-10-03,3.32,3.51,3.21,3.47,260900,0,0
2019-10-04,3.51,3.628,3.41,3.58,455900,0,0
2019-10-07,3.56,3.56,3.39,3.45,156900,0,0
2019-10-08,3.42,3.623,3.22,3.29,294500,0,0
2019-10-09,3.29,3.58,3.29,3.4,311500,0,0
2019-10-10,3.39,3.56,3.375,3.44,132100,0,0
2019-10-11,3.5,3.52,3.35,3.35,216000,0,0
2019-10-14,3.35,3.37,3.22,3.3,101800,0,0
2019-10-15,3.31,3.4,3.2,3.37,144500,0,0
2019-10-16,3.37,3.39,3.17,3.19,110000,0,0
2019-10-17,3.22,3.37,3.12,3.33,149400,0,0
2019-10-18,3.32,3.32,3.12,3.21,139600,0,0
2019-10-21,3.22,3.6,3.22,3.53,179400,0,0
2019-10-22,3.56,3.82,3.33,3.79,167700,0,0
2019-10-23,3.78,4.15,3.71,4.03,244200,0,0
2019-10-24,4.08,4.23,3.85,3.94,207900,0,0
2019-10-25,3.94,4.0,3.6,3.94,196900,0,0
2019-10-28,3.95,4.14,3.9,4.03,115200,0,0
2019-10-29,4.02,4.02,3.75,3.79,93100,0,0
2019-10-30,3.79,4.23,3.78,4.21,136300,0,0
2019-10-31,4.2,4.25,3.79,3.93,101300,0,0
2019-11-01,3.97,4.14,3.88,3.94,51700,0,0
2019-11-04,4.0,4.048,3.83,3.93,63900,0,0
2019-11-05,3.93,4.25,3.9,4.07,146100,0,0
2019-11-06,4.1,4.49,4.05,4.3,198200,0,0
2019-11-07,4.35,4.45,3.91,3.91,104800,0,0
2019-11-08,3.42,4.11,3.42,3.81,627300,0,0
2019-11-11,3.78,3.78,3.47,3.55,260000,0,0
2019-11-12,3.54,3.54,3.1,3.32,303000,0,0
2019-11-13,3.26,3.43,3.23,3.36,346900,0,0
2019-11-14,3.34,3.45,3.22,3.4,570300,0,0
2019-11-15,3.39,3.53,3.221,3.36,84200,0,0
2019-11-18,3.43,3.66,3.4,3.63,190300,0,0
2019-11-19,3.6,3.69,3.51,3.54,92300,0,0
2019-11-20,3.56,3.812,3.23,3.39,246100,0,0
2019-11-21,3.38,3.53,3.346,3.38,177200,0,0
2019-11-22,3.284,3.37,3.17,3.26,171500,0,0
2019-11-25,3.3,3.36,3.17,3.22,65200,0,0
2019-11-26,3.17,3.4,3.1,3.31,101800,0,0
2019-11-27,3.32,3.4,3.15,3.21,99700,0,0
2019-11-29,3.27,3.473,3.17,3.39,95800,0,0
2019-12-02,3.303,3.45,3.23,3.39,53600,0,0
2019-12-03,3.35,3.35,3.11,3.13,101600,0,0
2019-12-04,3.14,3.24,3.05,3.14,188200,0,0
2019-12-05,3.15,3.208,2.84,2.88,306500,0,0
2019-12-06,2.89,2.94,2.58,2.67,463000,0,0
2019-12-09,2.7,2.981,2.7,2.77,365500,0,0
2019-12-10,2.77,2.875,2.55,2.68,463300,0,0
2019-12-11,2.7,2.8,2.6,2.63,256500,0,0
2019-12-12,2.66,3.03,2.35,2.9,846500,0,0
2019-12-13,2.9,2.93,2.75,2.82,229200,0,0
2019-12-16,2.88,3.33,2.8,2.99,499200,0,0
2019-12-17,2.99,3.14,2.81,2.91,359000,0,0
2019-12-18,2.91,2.98,2.65,2.82,314800,0,0
2019-12-19,2.82,2.884,2.7,2.75,208600,0,0
2019-12-20,2.77,2.97,2.61,2.8,822900,0,0
2019-12-23,2.86,2.86,2.61,2.69,272000,0,0
2019-12-24,2.74,2.856,2.61,2.61,118500,0,0
2019-12-26,2.75,3.1,2.64,3.06,229600,0,0
2019-12-27,3.0,3.37,2.85,3.2,229700,0,0
2019-12-30,3.22,3.31,3.05,3.13,98200,0,0
2019-12-31,3.13,3.53,3.05,3.255,415500,0,0
