Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-06-18,18.82,18.91,18.69,18.69,13.14,74542,0.0,0
2012-06-19,18.78,18.98,18.73,18.95,13.32,36694,0.0,0
2012-06-20,18.95,19.0,18.89,18.96,13.33,44844,0.0,0
2012-06-21,18.93,19.04,18.73,18.73,13.17,28046,0.0,0
2012-06-22,18.93,19.12,18.25,19.05,13.39,817349,0.0,0
2012-06-25,19.0,19.05,18.7,18.89,13.28,61466,0.0,0
2012-06-26,18.89,18.95,18.62,18.62,13.09,111949,0.0,0
2012-06-27,18.8,18.8,18.58,18.65,13.11,88172,0.0,0
2012-06-28,18.6,18.69,18.43,18.56,13.05,70682,0.0,0
2012-06-29,18.68,18.78,17.77,17.85,12.55,192542,0.0,0
2012-07-02,18.07,18.55,18.07,18.47,12.99,81237,0.0,0
2012-07-03,18.56,18.63,18.36,18.49,13.0,65686,0.0,0
2012-07-05,18.59,18.74,18.5,18.7,13.15,70350,0.0,0
2012-07-06,18.55,18.72,18.55,18.65,13.11,40419,0.0,0
2012-07-09,18.75,18.75,18.5,18.52,13.02,105167,0.0,0
2012-07-10,18.68,18.71,18.5,18.58,13.06,75609,0.0,0
2012-07-11,18.55,18.72,18.55,18.66,13.12,55870,0.0,0
2012-07-12,18.74,18.88,18.67,18.67,13.13,175090,0.0,0
2012-07-13,18.75,18.99,18.7,18.83,13.24,146212,0.0,0
2012-07-16,18.9,18.9,18.77,18.77,13.2,65550,0.0,0
2012-07-17,18.85,19.13,18.85,18.92,13.3,173698,0.0,0
2012-07-18,18.9,18.99,18.9,18.98,13.34,186867,0.0,0
2012-07-19,19.05,19.05,18.85,18.93,13.31,88027,0.0,0
2012-07-20,18.81,18.92,18.73,18.73,13.17,133588,0.0,0
2012-07-23,18.78,18.85,18.66,18.67,13.13,194254,0.0,0
2012-07-24,18.48,18.77,18.48,18.75,13.35,58338,0.23958,0
2012-07-25,18.86,18.92,18.78,18.8,13.39,117937,0.0,0
2012-07-26,18.76,18.98,18.76,18.84,13.42,309032,0.0,0
2012-07-27,18.93,19.22,18.92,19.17,13.65,95928,0.0,0
2012-07-30,19.08,19.25,19.08,19.13,13.63,122194,0.0,0
2012-07-31,19.19,19.2,19.07,19.12,13.62,165221,0.0,0
2012-08-01,19.2,19.21,19.0,19.13,13.63,203006,0.0,0
2012-08-02,19.13,19.14,19.05,19.14,13.63,121805,0.0,0
2012-08-03,19.14,19.18,19.13,19.15,13.64,90042,0.0,0
2012-08-06,19.2,19.25,19.12,19.12,13.62,137440,0.0,0
2012-08-07,19.17,19.25,19.16,19.24,13.7,480615,0.0,0
2012-08-08,19.27,19.35,19.26,19.27,13.72,201475,0.0,0
2012-08-09,19.32,19.43,19.27,19.27,13.72,205226,0.0,0
2012-08-10,19.33,19.38,19.28,19.3,13.75,117829,0.0,0
2012-08-13,19.37,19.4,19.25,19.25,13.71,182094,0.0,0
2012-08-14,19.31,19.35,19.27,19.31,13.75,152602,0.0,0
2012-08-15,19.37,19.38,19.27,19.27,13.72,156872,0.0,0
2012-08-16,19.29,19.41,19.25,19.37,13.8,527380,0.0,0
2012-08-17,19.48,19.72,19.4,19.67,14.01,102084,0.0,0
2012-08-20,19.67,19.85,19.67,19.75,14.07,81926,0.0,0
2012-08-21,19.83,19.88,19.72,19.75,14.07,75965,0.0,0
2012-08-22,19.8,19.82,19.69,19.73,14.05,45688,0.0,0
2012-08-23,19.75,19.75,19.68,19.68,14.02,85714,0.0,0
2012-08-24,19.75,19.79,19.71,19.74,14.06,78579,0.0,0
2012-08-27,19.75,19.78,19.61,19.61,13.97,61418,0.0,0
2012-08-28,19.67,19.79,19.67,19.77,14.08,44393,0.0,0
2012-08-29,19.75,19.99,19.75,19.89,14.17,100465,0.0,0
2012-08-30,19.92,19.93,19.79,19.85,14.14,38117,0.0,0
2012-08-31,19.9,19.9,19.83,19.83,14.12,38330,0.0,0
2012-09-04,19.88,19.91,19.82,19.82,14.12,64060,0.0,0
2012-09-05,19.82,19.95,19.82,19.89,14.17,79828,0.0,0
2012-09-06,19.9,20.0,19.85,19.9,14.17,82693,0.0,0
2012-09-07,19.9,19.95,19.88,19.95,14.21,43254,0.0,0
2012-09-10,20.0,20.04,19.91,19.91,14.18,98596,0.0,0
2012-09-11,19.98,20.12,19.98,20.08,14.3,63018,0.0,0
2012-09-12,20.1,20.15,20.1,20.14,14.34,40460,0.0,0
2012-09-13,20.14,20.16,20.09,20.09,14.31,47465,0.0,0
