Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,12.73,13.22,12.66,13.14,3905600,0.0,0
2010-01-05,13.13,14.11,13.13,14.0,6883000,0.0,0
2010-01-06,14.01,14.19,13.86,14.07,3111400,0.0,0
2010-01-07,14.05,14.13,13.73,13.87,2950500,0.0,0
2010-01-08,13.84,14.38,13.73,14.17,3449000,0.0,0
2010-01-11,14.32,14.57,14.12,14.16,3391400,0.0,0
2010-01-12,14.02,14.02,13.44,13.77,2887400,0.0,0
2010-01-13,13.77,13.79,12.97,13.17,5061900,0.0,0
2010-01-14,13.22,13.52,12.99,13.5,2812500,0.0,0
2010-01-15,13.5,13.61,13.14,13.35,3755900,0.0,0
2010-01-19,13.25,13.37,13.06,13.12,3330600,0.0,0
2010-01-20,12.97,13.02,12.71,12.77,2804900,0.0,0
2010-01-21,12.75,12.78,12.17,12.22,7301300,0.0,0
2010-01-22,12.25,12.37,11.69,11.77,3920100,0.0,0
2010-01-25,12.01,12.11,11.72,11.75,2430400,0.0,0
2010-01-26,11.7,12.05,11.57,11.91,3795800,0.0,0
2010-01-27,11.98,12.75,11.86,12.55,7413100,0.0,0
2010-01-28,12.73,12.77,11.74,11.86,4296800,0.0,0
2010-01-29,12.1,12.35,11.7,11.86,3955200,0.0,0
2010-02-01,11.98,12.13,11.82,12.06,2698600,0.0,0
2010-02-02,12.1,12.51,12.08,12.38,2592900,0.0,0
2010-02-03,12.31,12.41,12.13,12.21,2396200,0.0,0
2010-02-04,12.02,12.02,11.45,11.46,3560900,0.0,0
2010-02-05,11.44,11.52,10.72,11.23,4587400,0.0,0
2010-02-08,11.2,11.43,10.95,11.11,2701500,0.0,0
2010-02-09,11.37,11.55,11.25,11.45,2963300,0.0,0
2010-02-10,11.43,11.62,11.25,11.41,2409500,0.0,0
2010-02-11,11.37,11.81,11.3,11.78,3548400,0.0,0
2010-02-12,11.55,11.85,11.44,11.8,2562000,0.0,0
2010-02-16,11.94,12.0,11.72,11.92,3063900,0.0,0
2010-02-17,11.86,12.43,11.86,12.35,4430500,0.0,0
2010-02-18,12.76,13.14,12.49,12.71,7640400,0.0,0
2010-02-19,12.6,12.65,11.82,11.96,9206100,0.0,0
2010-02-22,12.02,12.06,11.64,11.69,5198100,0.0,0
2010-02-23,11.61,11.75,11.31,11.32,5942200,0.0,0
2010-02-24,11.41,11.62,11.3,11.62,5817900,0.0,0
2010-02-25,11.36,11.4,11.17,11.32,7262800,0.0,0
2010-02-26,11.38,11.63,11.33,11.54,6597000,0.0,0
2010-03-01,11.61,11.99,11.61,11.81,4401900,0.0,0
2010-03-02,11.96,12.05,11.77,11.84,4780900,0.0,0
2010-03-03,11.88,11.98,11.76,11.83,2854100,0.0,0
2010-03-04,11.79,11.86,11.67,11.85,3652900,0.0,0
2010-03-05,12.0,12.22,11.77,12.18,5240900,0.0,0
2010-03-08,12.26,12.26,12.02,12.16,2080400,0.0,0
2010-03-09,12.1,12.24,12.0,12.12,2472000,0.0,0
2010-03-10,12.16,12.21,11.89,12.09,3635100,0.0,0
2010-03-11,12.05,12.22,11.91,12.13,3017600,0.0,0
2010-03-12,12.35,12.45,12.17,12.28,3214300,0.0,0
2010-03-15,12.26,12.34,12.02,12.21,2144000,0.0,0
2010-03-16,12.15,12.24,12.02,12.04,3198400,0.0,0
2010-03-17,12.05,12.16,11.95,12.02,3923500,0.0,0
2010-03-18,12.05,12.07,11.77,11.86,3577100,0.0,0
2010-03-19,11.56,11.92,11.42,11.56,5915400,0.0,0
2010-03-22,11.45,11.55,11.33,11.49,5883300,0.0,0
2010-03-23,11.54,11.96,11.46,11.85,5856700,0.0,0
2010-03-24,11.74,11.91,11.69,11.8,2729100,0.0,0
2010-03-25,11.96,12.03,11.68,11.72,3326300,0.0,0
2010-03-26,11.81,11.87,11.42,11.58,4440400,0.0,0
2010-03-29,11.68,11.79,11.54,11.69,3875500,0.0,0
2010-03-30,11.68,11.75,11.46,11.5,3926700,0.0,0
2010-03-31,11.37,11.46,11.2,11.23,4564500,0.0,0
2010-04-01,11.36,11.62,11.35,11.45,3122400,0.0,0
2010-04-05,11.61,11.67,11.5,11.58,3051100,0.0,0
2010-04-06,11.47,11.61,11.42,11.53,2926200,0.0,0
2010-04-07,11.56,11.56,11.36,11.37,4102800,0.0,0
2010-04-08,11.38,11.58,11.29,11.53,5171100,0.0,0
2010-04-09,11.6,11.61,11.44,11.44,5018600,0.0,0
2010-04-12,11.45,11.57,11.44,11.52,3900300,0.0,0
2010-04-13,11.55,12.5,11.46,12.4,10746200,0.0,0
2010-04-14,12.48,12.76,12.02,12.66,8453100,0.0,0
2010-04-15,12.63,13.14,12.54,13.02,6660200,0.0,0
2010-04-16,13.0,13.16,12.48,12.68,5393800,0.0,0
2010-04-19,12.58,12.83,12.25,12.54,4570600,0.0,0
2010-04-20,12.66,12.82,12.61,12.72,4394400,0.0,0
2010-04-21,12.8,13.03,12.67,12.95,6084500,0.0,0
