Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,14.9,14.96,14.2,14.91,12.71,291300,0.0,0
2010-01-05,14.92,15.08,14.89,15.07,12.85,245400,0.0,0
2010-01-06,15.09,15.38,14.95,15.3,13.04,721500,0.0,0
2010-01-07,15.26,15.34,14.98,15.21,12.97,355400,0.0,0
2010-01-08,15.06,15.11,14.68,14.77,12.59,428900,0.0,0
2010-01-11,14.97,15.09,14.72,15.0,12.79,225200,0.0,0
2010-01-12,14.88,14.94,14.78,14.86,12.67,214200,0.0,0
2010-01-13,14.87,15.0,14.79,14.97,12.76,153600,0.0,0
2010-01-14,14.97,15.49,14.9,15.35,13.09,402200,0.0,0
2010-01-15,15.35,15.38,15.11,15.13,12.9,128200,0.0,0
2010-01-19,15.04,15.36,14.92,15.05,12.83,478700,0.0,0
2010-01-20,15.07,15.07,14.72,14.81,12.62,117000,0.0,0
2010-01-21,14.89,14.89,14.36,14.5,12.36,290700,0.0,0
2010-01-22,14.17,14.24,13.57,13.96,11.9,255500,0.0,0
2010-01-25,14.05,14.16,13.85,14.01,11.94,132800,0.0,0
2010-01-26,14.01,14.13,13.9,14.1,12.02,165200,0.0,0
2010-01-27,14.15,14.21,13.92,14.21,12.11,144200,0.0,0
2010-01-28,14.17,14.28,14.03,14.14,12.05,269700,0.0,0
2010-01-29,14.14,14.18,13.84,13.87,11.82,226400,0.0,0
2010-02-01,14.25,14.77,14.25,14.67,12.51,360400,0.0,0
2010-02-02,14.78,14.87,14.56,14.85,12.66,273700,0.0,0
2010-02-03,14.84,15.05,14.64,14.98,12.77,261100,0.0,0
2010-02-04,14.77,15.0,14.52,14.65,12.49,283300,0.0,0
2010-02-05,14.67,14.69,13.3,14.48,12.34,930400,0.0,0
2010-02-08,14.55,14.6,14.2,14.45,12.32,405200,0.0,0
2010-02-09,14.75,14.75,14.33,14.63,12.47,407200,0.0,0
2010-02-10,14.57,14.88,14.33,14.75,12.57,366500,0.0,0
