Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,8.62,8.72,8.54,8.69,8.69,716600,0,0.0
2010-01-05,8.69,8.74,8.67,8.69,8.69,576200,0,0.0
2010-01-06,8.71,9.01,8.67,9.0,9.0,1286800,0,0.0
2010-01-07,9.02,9.07,8.88,9.04,9.04,757600,0,0.0
2010-01-08,8.98,9.02,8.85,8.96,8.96,870600,0,0.0
2010-01-11,9.02,9.09,8.76,8.9,8.9,653600,0,0.0
2010-01-12,8.81,8.98,8.73,8.78,8.78,522200,0,0.0
2010-01-13,8.84,8.84,8.74,8.8,8.8,567200,0,0.0
2010-01-14,8.74,8.84,8.72,8.8,8.8,715000,0,0.0
2010-01-15,8.84,8.84,8.35,8.45,8.45,1115400,0,0.0
2010-01-19,8.45,8.53,8.41,8.51,8.51,716000,0,0.0
2010-01-20,8.42,8.56,8.3,8.38,8.38,540000,0,0.0
2010-01-21,8.36,8.46,8.19,8.24,8.24,704600,0,0.0
2010-01-22,8.25,8.37,8.18,8.3,8.3,683800,0,0.0
2010-01-25,8.39,8.43,8.25,8.26,8.26,590600,0,0.0
2010-01-26,8.2,8.32,7.97,8.02,8.02,908400,0,0.0
2010-01-27,8.01,8.2,7.95,8.19,8.19,462800,0,0.0
2010-01-28,8.19,8.31,7.99,8.12,8.12,465400,0,0.0
2010-01-29,8.17,8.22,7.99,7.99,7.99,392800,0,0.0
2010-02-01,8.05,8.07,7.9,7.99,7.99,393600,0,0.0
2010-02-02,8.0,8.18,8.0,8.12,8.12,582800,0,0.0
2010-02-03,8.06,8.07,7.68,7.7,7.7,1314600,0,0.0
2010-02-04,7.66,7.66,7.25,7.26,7.26,2334000,0,0.0
2010-02-05,7.74,7.74,7.3,7.41,7.41,3540600,0,0.0
2010-02-08,7.38,7.38,7.24,7.26,7.26,1120800,0,0.0
2010-02-09,7.32,7.42,7.22,7.29,7.29,1343600,0,0.0
2010-02-10,7.3,7.45,7.28,7.42,7.42,1500000,0,0.0
2010-02-11,7.39,7.49,7.28,7.35,7.35,860200,0,0.0
2010-02-12,7.3,7.39,7.26,7.38,7.38,632600,0,0.0
2010-02-16,7.47,7.52,7.3,7.52,7.52,612200,0,0.0
2010-02-17,7.52,7.74,7.51,7.68,7.68,683600,0,0.0
2010-02-18,7.7,7.82,7.7,7.8,7.8,776000,0,0.0
2010-02-19,7.8,7.87,7.76,7.81,7.81,430200,0,0.0
2010-02-22,7.86,7.91,7.78,7.87,7.87,412400,0,0.0
2010-02-23,7.94,8.1,7.94,8.02,8.02,870000,0,0.0
2010-02-24,8.03,8.14,8.01,8.04,8.04,457200,0,0.0
2010-02-25,7.95,7.99,7.81,7.89,7.89,398400,0,0.0
