Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,24.37,24.54,24.21,24.38,1652600,0.0,0
2010-01-05,24.45,24.45,23.86,24.11,1646900,0.0,0
2010-01-06,24.14,24.14,23.75,24.09,1307500,0.0,0
2010-01-07,24.02,24.17,23.5,23.74,3140300,0.0,0
2010-01-08,24.04,24.23,23.58,23.8,2699600,0.0,0
2010-01-11,23.9,23.97,23.6,23.78,1082500,0.0,0
2010-01-12,23.71,23.74,23.26,23.41,3105500,0.0,0
2010-01-13,23.39,23.8,23.38,23.74,1277300,0.0,0
2010-01-14,23.68,24.03,23.61,23.99,1269000,0.0,0
2010-01-15,23.97,24.15,23.75,24.09,2017200,0.0,0
2010-01-19,24.11,24.3,23.96,24.22,998500,0.0,0
2010-01-20,24.03,24.21,23.83,24.17,1499100,0.0,0
2010-01-21,24.09,24.38,23.97,24.05,2252400,0.0,0
2010-01-22,23.97,24.18,23.4,23.44,1615100,0.0,0
2010-01-25,23.56,23.69,23.38,23.54,1101000,0.0,0
2010-01-26,23.45,23.67,23.41,23.44,1045500,0.0,0
2010-01-27,23.38,23.62,23.23,23.59,1042300,0.0,0
2010-01-28,23.65,23.77,23.39,23.63,971500,0.0,0
2010-01-29,23.84,23.84,23.02,23.03,2446200,0.2,0
2010-02-01,23.16,23.66,23.03,23.52,2397600,0.0,0
2010-02-02,23.58,24.14,23.43,24.1,2635000,0.0,0
2010-02-03,24.01,24.3,23.89,24.18,1631600,0.0,0
2010-02-04,24.01,24.15,23.54,23.57,2043400,0.0,0
2010-02-05,23.52,23.64,22.77,23.22,2782800,0.0,0
2010-02-08,25.37,26.53,25.28,26.17,11443600,0.0,0
2010-02-09,26.21,26.6,25.99,26.44,4256100,0.0,0
2010-02-10,26.42,26.85,26.31,26.62,3308300,0.0,0
2010-02-11,26.64,27.29,26.44,27.25,2432600,0.0,0
2010-02-12,27.08,27.14,26.74,26.8,4321800,0.0,0
2010-02-16,27.02,27.13,26.21,26.41,3858100,0.0,0
2010-02-17,26.5,26.77,26.4,26.71,1485800,0.0,0
2010-02-18,26.64,27.01,26.53,26.96,1821500,0.0,0
2010-02-19,26.86,27.14,26.67,26.99,1565200,0.0,0
2010-02-22,27.08,27.08,26.71,26.78,1627800,0.0,0
2010-02-23,26.77,26.8,26.43,26.6,1283800,0.0,0
2010-02-24,26.75,26.8,26.47,26.75,1461100,0.0,0
2010-02-25,26.54,26.95,26.13,26.91,2058100,0.0,0
2010-02-26,26.79,27.14,26.7,26.98,1570700,0.0,0
