Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,33.57,35.39,33.57,34.58,27.68,51400,0.0,0
2010-01-05,34.55,34.8,33.94,34.52,27.63,46000,0.0,0
2010-01-06,34.41,35.31,34.41,35.1,28.09,48500,0.0,0
2010-01-07,35.35,35.56,33.8,34.0,27.21,59400,0.0,0
2010-01-08,33.95,35.17,33.95,34.86,27.9,30300,0.0,0
2010-01-11,35.21,35.62,33.73,34.0,27.21,42100,0.0,0
2010-01-12,33.58,33.64,32.95,33.36,26.7,44800,0.0,0
2010-01-13,33.6,33.65,33.0,33.47,26.79,26100,0.0,0
2010-01-14,33.23,33.39,32.51,32.83,26.28,33700,0.0,0
2010-01-15,32.99,33.24,31.64,32.21,25.78,47200,0.0,0
2010-01-19,31.73,33.41,31.73,33.0,26.41,50000,0.0,0
2010-01-20,32.73,32.73,31.22,31.51,25.22,89600,0.0,0
2010-01-21,31.51,31.74,30.28,30.71,24.58,68700,0.0,0
2010-01-22,31.72,31.72,30.43,30.47,24.39,64900,0.0,0
2010-01-25,30.75,31.74,30.54,31.42,25.15,40700,0.0,0
2010-01-26,31.19,31.45,30.44,30.54,24.44,43200,0.0,0
2010-01-27,30.43,31.11,30.24,31.04,24.84,30200,0.0,0
2010-01-28,31.04,31.98,29.7,29.97,23.99,65800,0.0,0
2010-01-29,30.2,30.68,29.29,29.29,23.44,61500,0.0,0
2010-02-01,29.47,29.88,29.24,29.55,23.65,45700,0.0,0
2010-02-02,29.53,31.13,29.51,30.81,24.66,44100,0.0,0
2010-02-03,30.74,31.24,29.95,31.0,24.81,51600,0.0,0
2010-02-04,30.79,30.79,28.89,29.02,23.23,127300,0.0,0
2010-02-05,29.01,29.47,28.16,28.96,23.18,37500,0.0,0
2010-02-08,28.93,29.22,27.05,27.17,21.75,105800,0.0,0
2010-02-09,27.06,29.0,27.06,28.57,22.87,57300,0.0,0
2010-02-10,28.5,28.68,27.04,28.13,22.51,57500,0.0,0
2010-02-11,27.93,29.98,27.8,29.67,23.75,66700,0.0,0
2010-02-12,29.29,30.12,29.21,29.79,23.84,51500,0.0,0
2010-02-16,29.99,29.99,29.11,29.5,23.61,44600,0.0,0
2010-02-17,29.71,30.29,28.97,29.56,23.66,59500,0.0,0
2010-02-18,29.59,29.69,28.86,29.6,23.69,35400,0.0,0
2010-02-19,29.59,29.73,29.24,29.54,23.64,128500,0.0,0
2010-02-22,29.6,29.67,29.2,29.6,23.69,53400,0.0,0
2010-02-23,29.6,29.6,28.2,28.53,22.83,72500,0.0,0
2010-02-24,28.71,29.12,28.12,28.87,23.11,120900,0.0,0
2010-02-25,28.3,29.47,27.54,29.2,23.53,45400,0.2,0
2010-02-26,29.17,29.32,28.18,29.04,23.4,40500,0.0,0
2010-03-01,29.33,29.72,28.84,29.46,23.74,37700,0.0,0
2010-03-02,29.6,29.6,29.1,29.57,23.83,46700,0.0,0
2010-03-03,29.55,29.98,29.45,29.91,24.11,301200,0.0,0
2010-03-04,30.15,31.49,29.76,31.0,24.98,120300,0.0,0
2010-03-05,31.15,32.89,31.15,32.75,26.39,161800,0.0,0
2010-03-08,32.84,33.99,32.84,33.57,27.06,99900,0.0,0
2010-03-09,33.57,34.58,33.57,33.96,27.37,75300,0.0,0
2010-03-10,34.18,34.97,34.0,34.17,27.54,35000,0.0,0
2010-03-11,33.8,34.36,33.17,34.32,27.66,77300,0.0,0
2010-03-12,33.21,34.85,33.21,34.5,27.8,38300,0.0,0
2010-03-15,34.33,34.33,33.53,34.04,27.43,27000,0.0,0
2010-03-16,34.32,34.34,33.77,34.25,27.6,35000,0.0,0
2010-03-17,34.42,34.79,34.0,34.26,27.61,28300,0.0,0
