Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2017-10-26,10.67,10.67,10.67,10.67,9.08,0,0.0,0
2017-11-06,15.5,15.7,15.4,15.5,13.19,504200,0.0,0
2017-11-07,15.53,15.71,15.48,15.65,13.31,232100,0.0,0
2017-11-08,15.55,15.65,15.36,15.4,13.1,105500,0.0,0
2017-11-09,15.17,15.65,15.17,15.5,13.19,89400,0.0,0
2017-11-10,15.35,15.42,15.2,15.31,13.02,600100,0.0,0
2017-11-13,15.15,15.25,15.0,15.14,12.88,319500,0.0,0
2017-11-14,15.1,15.14,15.0,15.13,12.87,489100,0.0,0
2017-11-15,15.33,15.33,15.02,15.05,12.8,690800,0.0,0
2017-11-16,15.0,15.1,15.0,15.02,12.78,393300,0.0,0
2017-11-17,15.02,15.3,15.01,15.3,13.02,151600,0.0,0
2017-11-20,15.25,15.28,15.16,15.2,12.93,135600,0.0,0
2017-11-21,15.2,15.4,15.12,15.4,13.1,172600,0.0,0
2017-11-22,15.4,15.44,15.32,15.35,13.06,90100,0.0,0
2017-11-24,15.3,15.41,15.2,15.28,13.0,51400,0.0,0
2017-11-27,15.0,15.28,15.0,15.23,13.02,598300,0.077,0
2017-11-28,15.25,15.33,15.23,15.28,13.06,246800,0.0,0
2017-11-29,15.25,15.4,15.25,15.33,13.11,511100,0.0,0
2017-11-30,15.33,15.38,15.31,15.37,13.14,294000,0.0,0
2017-12-01,15.36,15.4,15.23,15.35,13.12,328900,0.0,0
2017-12-04,15.4,15.45,15.31,15.45,13.21,223100,0.0,0
2017-12-05,15.53,15.53,15.25,15.3,13.08,180400,0.0,0
2017-12-06,15.3,15.35,15.26,15.3,13.08,116800,0.0,0
2017-12-07,15.3,15.4,15.26,15.35,13.12,152700,0.0,0
2017-12-08,15.3,15.43,15.25,15.3,13.08,215100,0.0,0
2017-12-11,15.26,15.31,15.24,15.26,13.05,191000,0.0,0
2017-12-12,15.23,15.32,15.2,15.23,13.02,176800,0.0,0
2017-12-13,15.2,15.41,15.2,15.36,13.13,177400,0.0,0
2017-12-14,15.3,15.5,15.3,15.38,13.15,124700,0.0,0
2017-12-15,15.36,15.43,15.33,15.35,13.12,98600,0.0,0
2017-12-18,15.37,15.43,15.3,15.38,13.15,203600,0.0,0
2017-12-19,15.35,15.43,15.33,15.42,13.18,136100,0.0,0
2017-12-20,15.38,15.47,15.35,15.45,13.21,94100,0.0,0
2017-12-21,15.4,15.55,15.4,15.48,13.3,112700,0.077,0
2017-12-22,15.5,15.63,15.5,15.55,13.36,81100,0.0,0
2017-12-26,15.43,15.55,15.42,15.54,13.35,81100,0.0,0
2017-12-27,15.59,15.61,15.5,15.52,13.33,129600,0.0,0
2017-12-28,15.51,15.6,15.29,15.52,13.34,288000,0.0,0
2017-12-29,15.55,15.6,15.2,15.5,13.32,342800,0.0,0
2018-01-02,15.29,15.56,15.29,15.55,13.36,89100,0.0,0
2018-01-03,15.38,15.62,15.37,15.4,13.23,150100,0.0,0
2018-01-04,15.47,15.59,15.43,15.59,13.4,200500,0.0,0
2018-01-05,15.5,15.59,15.35,15.52,13.34,154600,0.0,0
2018-01-08,15.59,15.65,15.48,15.48,13.3,369200,0.0,0
2018-01-09,15.5,15.7,15.5,15.7,13.49,158400,0.0,0
2018-01-10,15.7,15.7,15.55,15.63,13.43,65300,0.0,0
2018-01-11,15.6,15.71,15.55,15.68,13.47,80300,0.0,0
2018-01-12,15.72,15.75,15.55,15.57,13.38,148800,0.0,0
2018-01-16,15.46,15.65,15.46,15.63,13.43,110300,0.0,0
2018-01-17,15.64,15.64,15.54,15.55,13.36,246300,0.0,0
2018-01-18,15.65,15.7,15.5,15.7,13.49,172600,0.0,0
2018-01-19,15.7,15.7,15.51,15.58,13.39,265700,0.0,0
2018-01-22,15.5,15.75,15.5,15.64,13.51,170400,0.077,0
2018-01-23,15.6,15.65,15.56,15.61,13.48,120800,0.0,0
2018-01-24,15.58,15.67,15.45,15.56,13.44,269600,0.0,0
2018-01-25,15.52,15.63,15.5,15.63,13.5,138200,0.0,0
2018-01-26,15.53,15.63,15.5,15.62,13.49,184600,0.0,0
2018-01-29,15.6,15.75,15.6,15.69,13.55,108100,0.0,0
2018-01-30,15.73,15.73,15.59,15.65,13.52,244700,0.0,0
2018-01-31,15.71,15.76,15.56,15.76,13.61,151200,0.0,0
2018-02-01,15.74,15.76,15.67,15.76,13.61,90700,0.0,0
2018-02-02,15.75,15.75,15.53,15.6,13.47,68200,0.0,0
2018-02-05,15.54,15.58,15.35,15.52,13.4,162100,0.0,0
2018-02-06,15.5,15.6,15.31,15.6,13.47,158100,0.0,0
2018-02-07,15.6,15.6,15.47,15.54,13.42,248700,0.0,0
2018-02-08,15.59,15.59,15.35,15.45,13.34,165400,0.0,0
2018-02-09,15.4,15.53,15.3,15.35,13.26,200900,0.0,0
2018-02-12,15.32,15.45,15.25,15.36,13.26,125600,0.0,0
2018-02-13,15.26,15.53,15.26,15.3,13.21,126700,0.0,0
2018-02-14,15.33,15.6,15.3,15.48,13.37,103900,0.0,0
2018-02-15,15.45,15.52,15.37,15.4,13.3,127300,0.0,0
2018-02-16,15.4,15.5,15.4,15.45,13.34,110500,0.0,0
2018-02-20,15.48,15.56,15.37,15.51,13.46,165600,0.077,0
2018-02-21,15.6,16.6,15.59,16.23,14.09,1894400,0.0,0
2018-02-22,16.33,16.42,16.1,16.18,14.04,725000,0.0,0
2018-02-23,16.14,16.3,16.0,16.24,14.09,304500,0.0,0
2018-02-26,16.25,16.25,16.1,16.21,14.07,353900,0.0,0
2018-02-27,16.2,16.22,16.0,16.11,13.98,253500,0.0,0
2018-02-28,16.15,16.15,15.83,16.03,13.91,447200,0.0,0
2018-03-01,16.0,16.14,15.95,16.04,13.92,234700,0.0,0
2018-03-02,16.01,16.07,15.83,15.85,13.76,359100,0.0,0
2018-03-05,15.92,16.2,15.85,15.95,13.84,216400,0.0,0
2018-03-06,15.9,16.06,15.88,15.9,13.8,352800,0.0,0
2018-03-07,15.91,16.14,15.85,15.87,13.77,130600,0.0,0
