Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,15.07,15.09,14.95,14.99,6.6,154900,0.0,0
2010-01-05,15.07,15.3,15.01,15.2,6.69,84100,0.0,0
2010-01-06,15.17,15.27,15.17,15.17,6.68,43400,0.0,0
2010-01-07,15.17,15.25,15.16,15.18,6.68,44400,0.0,0
2010-01-08,15.21,15.38,15.21,15.37,6.76,69600,0.0,0
2010-01-11,15.45,15.54,15.4,15.54,6.84,58600,0.0,0
2010-01-12,15.35,15.36,15.26,15.34,6.8,56000,0.112,0
2010-01-13,15.31,15.32,15.25,15.3,6.78,81700,0.0,0
2010-01-14,15.27,15.36,15.26,15.35,6.8,71500,0.0,0
2010-01-15,15.27,15.35,15.26,15.31,6.79,47900,0.0,0
2010-01-19,15.23,15.37,15.23,15.35,6.8,64600,0.0,0
2010-01-20,15.27,15.35,15.17,15.21,6.74,71900,0.0,0
2010-01-21,15.17,15.25,15.15,15.22,6.75,78300,0.0,0
2010-01-22,15.17,15.27,15.11,15.27,6.77,91900,0.0,0
2010-01-25,15.3,15.3,15.08,15.19,6.73,65600,0.0,0
2010-01-26,15.11,15.22,15.09,15.1,6.69,90000,0.0,0
2010-01-27,15.16,15.2,15.08,15.1,6.69,47700,0.0,0
2010-01-28,15.18,15.19,14.59,14.63,6.49,153000,0.0,0
2010-01-29,14.84,14.84,14.55,14.63,6.49,83000,0.0,0
2010-02-01,14.67,15.03,14.67,15.03,6.66,80100,0.0,0
2010-02-02,15.03,15.21,14.97,15.18,6.73,73400,0.0,0
2010-02-03,15.12,15.27,15.1,15.15,6.72,78500,0.0,0
2010-02-04,15.11,15.15,14.78,14.85,6.58,84200,0.0,0
2010-02-05,14.74,14.82,14.34,14.55,6.45,107100,0.0,0
2010-02-08,14.5,14.55,14.48,14.48,6.42,75600,0.0,0
2010-02-09,14.41,14.65,14.41,14.63,6.54,47900,0.112,0
2010-02-10,14.63,14.68,14.57,14.67,6.55,51400,0.0,0
2010-02-11,14.71,14.79,14.67,14.71,6.57,53200,0.0,0
2010-02-12,14.67,14.78,14.63,14.73,6.58,70500,0.0,0
2010-02-16,14.76,14.93,14.76,14.91,6.66,76400,0.0,0
2010-02-17,14.89,14.99,14.89,14.99,6.7,75300,0.0,0
2010-02-18,15.09,15.16,14.94,15.16,6.77,63100,0.0,0
2010-02-19,14.75,15.27,14.75,15.27,6.82,60000,0.0,0
2010-02-22,15.34,15.34,15.19,15.29,6.83,49700,0.0,0
2010-02-23,15.31,15.35,15.21,15.34,6.85,74700,0.0,0
2010-02-24,15.41,15.44,15.33,15.39,6.88,38000,0.0,0
2010-02-25,15.32,15.58,15.27,15.58,6.96,52800,0.0,0
2010-02-26,15.54,15.68,15.51,15.6,6.97,77200,0.0,0
2010-03-01,15.68,15.86,15.59,15.7,7.01,122800,0.0,0
2010-03-02,15.74,15.87,15.67,15.83,7.07,105700,0.0,0
2010-03-03,15.75,15.87,15.75,15.78,7.05,72100,0.0,0
2010-03-04,15.82,15.87,15.77,15.83,7.07,37500,0.0,0
2010-03-05,15.9,16.0,15.89,16.0,7.15,44300,0.0,0
2010-03-08,16.0,16.04,15.85,16.0,7.15,53000,0.0,0
2010-03-09,15.86,15.93,15.8,15.83,7.12,48100,0.112,0
2010-03-10,15.81,15.88,15.8,15.85,7.13,43000,0.0,0
2010-03-11,15.86,15.97,15.81,15.88,7.14,56000,0.0,0
2010-03-12,15.9,15.96,15.83,15.96,7.18,44500,0.0,0
2010-03-15,15.84,16.06,15.84,15.92,7.16,48800,0.0,0
2010-03-16,15.91,16.11,15.91,15.96,7.18,63800,0.0,0
2010-03-17,16.03,16.07,16.0,16.07,7.23,54600,0.0,0
2010-03-18,16.1,16.2,16.02,16.2,7.29,66200,0.0,0
2010-03-19,16.18,16.24,16.09,16.18,7.28,44600,0.0,0
2010-03-22,16.08,16.2,16.08,16.13,7.26,55500,0.0,0
2010-03-23,16.19,16.2,16.14,16.2,7.29,56300,0.0,0
2010-03-24,16.16,16.23,16.15,16.2,7.29,43100,0.0,0
2010-03-25,16.22,16.27,16.16,16.27,7.32,62200,0.0,0
2010-03-26,16.27,16.42,16.27,16.39,7.37,70900,0.0,0
2010-03-29,16.64,16.64,16.4,16.41,7.38,62700,0.0,0
2010-03-30,16.4,16.44,16.18,16.21,7.29,65900,0.0,0
2010-03-31,16.28,16.28,16.14,16.15,7.27,50700,0.0,0
2010-04-01,16.25,16.35,16.14,16.35,7.36,52100,0.0,0
2010-04-05,16.35,16.44,16.35,16.35,7.36,59000,0.0,0
2010-04-06,16.46,16.46,16.2,16.23,7.3,78600,0.0,0
2010-04-07,16.28,16.44,16.15,16.18,7.28,68800,0.0,0
2010-04-08,16.13,16.19,16.02,16.19,7.33,80100,0.112,0
2010-04-09,16.24,16.24,15.9,16.0,7.25,91100,0.0,0
2010-04-12,16.07,16.13,16.0,16.04,7.27,68400,0.0,0
2010-04-13,15.98,16.1,15.85,15.86,7.19,76700,0.0,0
2010-04-14,15.93,15.94,15.86,15.92,7.21,97000,0.0,0
2010-04-15,15.9,15.97,15.84,15.97,7.24,60700,0.0,0
2010-04-16,15.89,15.97,15.75,15.8,7.16,46300,0.0,0
2010-04-19,15.77,15.8,15.51,15.6,7.07,84200,0.0,0
2010-04-20,15.66,15.8,15.66,15.75,7.14,71800,0.0,0
2010-04-21,15.72,15.75,15.64,15.67,7.1,65600,0.0,0
2010-04-22,15.72,15.73,15.64,15.66,7.09,65600,0.0,0
2010-04-23,15.66,15.83,15.66,15.83,7.17,42200,0.0,0
2010-04-26,15.9,15.99,15.87,15.98,7.24,67800,0.0,0
2010-04-27,15.95,16.0,15.76,15.78,7.15,54300,0.0,0
2010-04-28,15.78,15.9,15.76,15.78,7.15,52800,0.0,0
2010-04-29,15.86,15.94,15.81,15.91,7.21,31100,0.0,0
2010-04-30,15.98,15.98,15.81,15.91,7.21,63600,0.0,0
2010-05-03,15.87,15.97,15.76,15.93,7.22,142100,0.0,0
2010-05-04,15.83,15.86,15.75,15.75,7.14,72200,0.0,0
2010-05-05,15.56,15.71,15.22,15.25,6.91,100100,0.0,0
2010-05-06,15.18,15.2,13.0,14.11,6.39,477000,0.0,0
2010-05-07,14.1,14.3,13.6,14.27,6.46,254100,0.0,0
2010-05-10,14.64,14.98,14.61,14.71,6.66,152200,0.0,0
2010-05-11,14.48,15.05,14.46,14.92,6.81,115900,0.112,0
2010-05-12,15.02,15.1,14.94,14.98,6.84,71800,0.0,0
2010-05-13,15.04,15.16,14.95,15.06,6.88,99800,0.0,0
2010-05-14,15.04,15.04,14.75,14.89,6.8,111900,0.0,0
2010-05-17,14.82,14.87,14.36,14.75,6.73,73300,0.0,0
2010-05-18,14.85,14.85,14.5,14.56,6.65,93000,0.0,0
2010-05-19,14.55,14.59,14.01,14.38,6.56,128700,0.0,0
2010-05-20,14.24,14.24,13.63,13.81,6.3,208800,0.0,0
2010-05-21,13.68,14.17,13.31,14.01,6.4,174000,0.0,0
2010-05-24,14.07,14.32,14.02,14.15,6.46,70800,0.0,0
2010-05-25,13.91,13.96,13.4,13.95,6.37,130800,0.0,0
2010-05-26,14.12,14.3,14.07,14.19,6.48,123700,0.0,0
2010-05-27,14.54,14.67,14.42,14.6,6.67,77600,0.0,0
2010-05-28,14.74,14.78,14.63,14.74,6.73,61800,0.0,0
2010-06-01,14.66,14.93,14.49,14.93,6.82,86900,0.0,0
2010-06-02,14.86,15.22,14.8,15.22,6.95,79500,0.0,0
2010-06-03,15.11,15.23,15.07,15.21,6.94,77700,0.0,0
2010-06-04,15.06,15.24,14.95,14.97,6.83,79800,0.0,0
2010-06-07,14.98,15.03,14.9,14.92,6.81,36300,0.0,0
2010-06-08,14.91,15.11,14.78,15.11,6.9,52000,0.0,0
2010-06-09,15.02,15.08,14.94,14.97,6.89,62600,0.112,0
2010-06-10,15.06,15.17,15.03,15.09,6.94,44300,0.0,0
2010-06-11,15.03,15.13,14.95,15.05,6.92,164000,0.0,0
2010-06-14,15.07,15.17,15.04,15.16,6.97,60000,0.0,0
2010-06-15,15.17,15.25,15.13,15.25,7.01,87200,0.0,0
2010-06-16,15.22,15.3,15.13,15.16,6.97,56900,0.0,0
2010-06-17,15.16,15.28,15.11,15.27,7.02,38100,0.0,0
2010-06-18,15.32,15.41,15.26,15.37,7.07,74700,0.0,0
2010-06-21,15.43,15.58,15.4,15.58,7.17,74200,0.0,0
2010-06-22,15.61,15.63,15.43,15.51,7.13,49000,0.0,0
2010-06-23,15.52,15.73,15.48,15.73,7.23,57900,0.0,0
2010-06-24,15.67,15.67,15.5,15.6,7.17,75200,0.0,0
2010-06-25,15.68,15.79,15.59,15.79,7.26,47500,0.0,0
2010-06-28,15.76,15.89,15.7,15.8,7.27,58800,0.0,0
2010-06-29,15.7,15.7,15.29,15.39,7.08,62700,0.0,0
2010-06-30,15.43,15.57,15.4,15.43,7.1,54700,0.0,0
2010-07-01,15.4,15.56,15.17,15.52,7.14,66500,0.0,0
2010-07-02,15.52,15.57,15.39,15.56,7.16,35600,0.0,0
2010-07-06,15.57,15.61,15.25,15.32,7.05,63300,0.0,0
2010-07-07,15.3,15.63,15.26,15.63,7.19,50900,0.0,0
2010-07-08,15.52,15.55,15.42,15.53,7.19,36000,0.112,0
2010-07-09,15.52,15.71,15.48,15.71,7.28,49300,0.0,0
2010-07-12,15.7,15.71,15.48,15.54,7.2,89500,0.0,0
2010-07-13,15.56,15.61,15.51,15.53,7.19,80600,0.0,0
2010-07-14,15.5,15.6,15.38,15.57,7.21,79200,0.0,0
2010-07-15,15.63,15.65,15.51,15.6,7.23,63800,0.0,0
2010-07-16,15.63,15.68,15.51,15.63,7.24,100600,0.0,0
2010-07-19,15.6,15.62,15.48,15.56,7.21,48300,0.0,0
2010-07-20,15.52,15.86,15.52,15.85,7.34,51000,0.0,0
2010-07-21,15.89,16.12,15.84,16.12,7.47,80900,0.0,0
2010-07-22,16.23,16.25,16.07,16.2,7.5,59100,0.0,0
2010-07-23,16.14,16.25,16.11,16.25,7.53,43700,0.0,0
2010-07-26,16.21,16.49,16.21,16.46,7.63,66600,0.0,0
2010-07-27,16.59,16.75,16.42,16.75,7.76,135300,0.0,0
2010-07-28,16.67,16.68,16.45,16.59,7.69,67500,0.0,0
2010-07-29,16.56,16.75,16.54,16.75,7.76,53700,0.0,0
2010-07-30,16.74,16.89,16.66,16.89,7.82,43400,0.0,0
2010-08-02,16.9,16.91,16.74,16.8,7.78,69500,0.0,0
2010-08-03,16.79,16.93,16.73,16.85,7.81,101300,0.0,0
2010-08-04,16.94,17.0,16.86,16.98,7.87,61100,0.0,0
2010-08-05,16.91,17.13,16.91,17.0,7.88,71000,0.0,0
2010-08-06,16.95,17.2,16.95,17.15,7.94,115100,0.0,0
2010-08-09,17.25,17.33,17.19,17.25,7.99,94400,0.0,0
2010-08-10,17.06,17.14,16.96,17.12,7.98,120800,0.112,0
2010-08-11,17.02,17.02,16.81,16.82,7.84,135400,0.0,0
2010-08-12,16.77,16.99,16.77,16.85,7.86,179200,0.0,0
2010-08-13,16.93,17.0,16.88,16.95,7.9,130400,0.0,0
2010-08-16,16.92,17.25,16.92,17.18,8.01,114300,0.0,0
2010-08-17,17.21,17.38,17.17,17.28,8.06,251900,0.0,0
2010-08-18,17.23,17.33,17.18,17.31,8.07,107600,0.0,0
2010-08-19,17.34,17.36,17.12,17.24,8.04,141300,0.0,0
2010-08-20,16.79,17.35,16.79,17.35,8.09,77100,0.0,0
2010-08-23,17.35,17.39,17.24,17.31,8.07,87700,0.0,0
2010-08-24,17.16,17.22,16.94,16.99,7.92,137400,0.0,0
2010-08-25,16.95,17.03,16.87,16.99,7.92,61500,0.0,0
2010-08-26,16.95,17.29,16.79,16.82,7.84,147200,0.0,0
2010-08-27,16.95,17.06,16.75,17.06,7.95,58700,0.0,0
2010-08-30,16.98,17.24,16.98,17.09,7.97,52100,0.0,0
2010-08-31,17.12,17.34,17.1,17.3,8.07,72600,0.0,0
2010-09-01,17.26,17.39,17.23,17.38,8.1,96400,0.0,0
2010-09-02,17.43,17.57,17.23,17.3,8.07,105800,0.0,0
2010-09-03,17.35,17.37,17.3,17.31,8.07,98100,0.0,0
2010-09-07,17.34,17.53,17.31,17.53,8.17,181800,0.0,0
2010-09-08,17.5,17.82,17.49,17.77,8.29,197900,0.0,0
2010-09-09,17.69,17.8,17.61,17.72,8.31,156300,0.112,0
2010-09-10,17.79,17.83,17.59,17.62,8.27,142700,0.0,0
2010-09-13,17.78,17.78,17.51,17.64,8.28,216100,0.0,0
2010-09-14,17.6,17.65,17.44,17.46,8.19,236400,0.0,0
2010-09-15,17.37,17.49,17.18,17.33,8.13,192100,0.0,0
2010-09-16,17.33,17.44,17.19,17.44,8.18,194500,0.0,0
2010-09-17,17.51,17.51,17.33,17.4,8.16,118500,0.0,0
2010-09-20,17.35,17.59,17.35,17.5,8.21,134600,0.0,0
2010-09-21,17.5,17.64,17.46,17.64,8.28,161400,0.0,0
2010-09-22,17.6,17.75,17.44,17.47,8.2,173500,0.0,0
2010-09-23,17.45,17.7,17.41,17.7,8.31,194700,0.0,0
2010-09-24,17.73,17.8,17.67,17.77,8.34,95800,0.0,0
2010-09-27,17.72,17.83,17.69,17.7,8.31,99000,0.0,0
2010-09-28,17.69,17.82,17.67,17.76,8.33,320600,0.0,0
2010-09-29,17.7,17.77,17.39,17.5,8.21,267200,0.0,0
2010-09-30,17.57,17.67,17.42,17.47,8.2,170000,0.0,0
2010-10-01,17.54,17.69,17.52,17.61,8.26,164700,0.0,0
2010-10-04,17.58,17.7,17.4,17.45,8.19,369100,0.0,0
2010-10-05,17.45,17.72,17.44,17.71,8.31,193000,0.0,0
2010-10-06,17.67,17.81,17.65,17.76,8.33,146400,0.0,0
2010-10-07,17.61,17.64,17.49,17.56,8.29,138800,0.112,0
2010-10-08,17.51,17.52,17.43,17.48,8.25,60500,0.0,0
2010-10-11,17.47,17.55,17.38,17.5,8.26,150900,0.0,0
2010-10-12,17.51,17.58,17.42,17.58,8.3,108400,0.0,0
2010-10-13,17.71,17.71,17.44,17.44,8.24,143000,0.0,0
2010-10-14,17.36,17.46,17.2,17.27,8.16,486000,0.0,0
2010-10-15,17.28,17.34,16.89,16.99,8.02,214100,0.0,0
2010-10-18,17.01,17.04,16.57,16.82,7.94,284400,0.0,0
2010-10-19,16.78,17.02,16.74,16.78,7.92,160100,0.0,0
2010-10-20,16.79,17.03,16.79,17.03,8.04,134700,0.0,0
