Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-07-11,11.25,11.82,11.24,11.7,11.53,6851700,0.0,0
2012-07-12,11.61,12.0,11.61,11.93,11.76,712800,0.0,0
2012-07-13,12.09,12.15,11.8,12.0,11.83,443700,0.0,0
2012-07-16,12.0,12.0,11.83,11.93,11.76,99100,0.0,0
2012-07-17,11.98,12.0,11.91,12.0,11.83,253800,0.0,0
2012-07-18,12.0,12.05,11.98,12.01,11.84,175000,0.0,0
2012-07-19,12.01,12.03,11.97,12.0,11.83,193800,0.0,0
2012-07-20,12.0,12.04,11.99,12.04,11.87,356300,0.0,0
2012-07-23,11.96,12.26,11.96,12.24,12.06,143700,0.0,0
2012-07-24,12.25,12.25,12.17,12.24,12.06,61200,0.0,0
2012-07-25,12.25,12.41,12.25,12.41,12.23,86200,0.0,0
2012-07-26,12.49,12.58,12.44,12.5,12.32,163500,0.0,0
2012-07-27,12.58,12.59,12.28,12.46,12.28,56000,0.0,0
2012-07-30,12.4,12.49,12.34,12.34,12.16,36900,0.0,0
2012-07-31,12.49,12.49,12.39,12.42,12.24,42200,0.0,0
2012-08-01,12.49,12.5,12.41,12.45,12.27,45700,0.0,0
2012-08-02,12.43,12.48,12.42,12.48,12.3,36900,0.0,0
2012-08-03,12.48,12.49,12.43,12.47,12.29,25700,0.0,0
2012-08-06,12.37,12.46,12.35,12.37,12.19,53400,0.0,0
2012-08-07,12.3,12.45,12.25,12.43,12.25,102300,0.0,0
2012-08-08,12.39,12.45,12.35,12.42,12.24,67100,0.0,0
2012-08-09,12.44,12.44,12.38,12.41,12.23,28800,0.0,0
2012-08-10,12.44,12.45,12.4,12.45,12.27,51700,0.0,0
2012-08-13,12.27,12.43,12.27,12.31,12.13,24800,0.0,0
2012-08-14,12.39,12.43,12.3,12.35,12.17,16700,0.0,0
2012-08-15,12.35,12.42,12.35,12.36,12.18,43100,0.0,0
2012-08-16,12.36,12.42,12.35,12.4,12.22,53800,0.0,0
2012-08-17,12.44,12.46,12.36,12.46,12.28,58400,0.0,0
2012-08-20,12.45,12.46,12.41,12.43,12.25,25400,0.0,0
2012-08-21,12.48,12.52,12.41,12.46,12.28,91400,0.0,0
