Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-10-26,10.9554,10.9554,10.9554,10.9554,0,0.0,0
2017-11-03,14.4477,16.2657,11.5869,12.1131,476800,0.0,0
2017-11-06,11.4816,11.7687,10.3909,10.5057,247000,0.0,0
2017-11-07,10.6588,11.4338,10.5248,10.6014,170900,0.0,0
2017-11-08,10.6971,11.0032,10.4292,10.477,216300,0.0,0
2017-11-09,10.5248,10.8023,10.4674,10.5727,209900,0.0,0
2017-11-10,10.7545,11.5773,10.6636,11.2424,229800,0.0,0
2017-11-13,11.4816,12.1036,11.2042,12.1036,157100,0.0,0
2017-11-14,11.9983,12.582,11.2137,11.9792,141000,0.0,0
2017-11-15,11.96,13.1465,11.8835,13.0317,190000,0.0,0
2017-11-16,13.3952,13.3952,12.6776,13.3857,173500,0.0,0
2017-11-17,13.3952,13.3952,12.492,13.156,125500,0.0,0
2017-11-20,13.0125,13.0125,12.1801,12.2854,129900,0.0,0
2017-11-21,11.2903,12.6643,11.1085,12.4959,163000,0.0,0
2017-11-22,12.6011,12.802,11.5199,12.6681,137400,0.0,0
2017-11-24,12.8212,12.8212,12.2949,12.7351,32900,0.0,0
2017-11-27,12.5054,12.869,12.3007,12.582,49800,0.0,0
2017-11-28,12.4959,12.9168,12.405,12.4193,52900,0.0,0
2017-11-29,12.4193,12.582,11.805,11.8739,34700,0.0,0
2017-11-30,12.0749,12.4193,11.7495,11.8261,37300,0.0,0
2017-12-01,11.2903,12.1906,11.0319,11.1372,120000,0.0,0
2017-12-04,11.0989,11.1946,10.6301,11.0128,79700,0.0,0
2017-12-05,11.5008,12.139,10.9267,11.1085,152000,0.0,0
2017-12-06,11.0032,11.0032,10.6971,10.764,27200,0.0,0
2017-12-07,10.764,10.9554,10.5248,10.5248,168500,0.0,0
2017-12-08,10.6397,11.0511,10.5822,10.7832,77400,0.0,0
2017-12-11,10.9363,11.2233,10.8406,10.965,35400,0.0,0
2017-12-12,10.965,11.0042,10.6492,10.6492,94700,0.0,0
2017-12-13,10.6291,11.0702,10.6291,10.6875,33700,0.0,0
2017-12-14,10.9841,11.2998,10.7258,10.7353,33300,0.0,0
2017-12-15,11.0798,11.0798,10.6779,10.6875,12600,0.0,0
2017-12-18,10.8119,10.9449,10.5736,10.6301,34900,0.0,0
2017-12-19,10.6339,10.6339,10.5248,10.5248,55200,0.0,0
2017-12-20,10.5248,10.6779,10.5248,10.5248,55600,0.0,0
2017-12-21,10.5344,10.6205,10.5248,10.5248,16100,0.0,0
2017-12-22,10.5535,10.6052,10.5248,10.5248,59800,0.0,0
2017-12-26,10.6684,10.764,10.3335,10.3335,52400,0.0,0
2017-12-27,10.4292,10.8693,10.3526,10.8119,54200,0.0,0
2017-12-28,10.8119,10.8176,10.5248,10.5822,10800,0.0,0
2017-12-29,10.5344,10.6971,10.5344,10.5727,1800,0.0,0
2018-01-02,10.5248,10.9391,10.4292,10.7736,134900,0.0,0
2018-01-03,10.8119,11.9897,10.7832,10.8884,466200,0.0,0
2018-01-04,11.252,11.673,10.9631,11.1621,201300,0.0,0
2018-01-05,11.0798,11.3257,11.0511,11.1372,98300,0.0,0
2018-01-08,11.0415,11.1946,10.8119,10.831,69800,0.0,0
2018-01-09,10.9841,11.2424,10.8597,10.9076,65300,0.0,0
2018-01-10,10.9535,10.9535,10.3813,10.3813,58500,0.0,0
2018-01-11,10.3622,10.5248,10.3335,10.3335,110800,0.0,0
2018-01-12,10.343,10.5153,10.3335,10.3335,40500,0.0,0
2018-01-16,10.3335,10.5411,10.3335,10.3909,40400,0.0,0
2018-01-17,10.3909,10.3909,10.0464,10.0847,140700,0.0,0
2018-01-18,10.0464,10.2885,10.0464,10.1038,29600,0.0,0
2018-01-19,10.1038,10.2923,10.1038,10.2665,19300,0.0,0
2018-01-22,10.2665,10.4387,10.1708,10.1708,14500,0.0,0
2018-01-23,10.1421,10.1421,9.8742,9.9125,131600,0.0,0
2018-01-24,9.9508,10.0464,9.8933,9.9412,66100,0.0,0
2018-01-25,10.0464,10.2474,9.9508,10.0177,92700,0.0,0
2018-01-26,10.2091,10.3813,9.9986,10.0273,138300,0.0,0
2018-01-29,10.2378,10.3335,10.0464,10.056,52200,0.0,0
2018-01-30,10.0943,10.1134,10.0464,10.056,29800,0.0,0
2018-01-31,10.3335,10.3335,9.9508,10.0943,30400,0.0,0
2018-02-01,10.19,10.19,10.0321,10.056,10900,0.0,0
2018-02-02,9.9795,9.9795,9.769,9.8551,62500,0.0,0
2018-02-05,10.0464,11.2367,9.769,11.1946,165200,0.0,0
2018-02-06,10.6205,10.8033,10.1613,10.2856,88600,0.0,0
2018-02-07,10.2474,10.4866,10.2282,10.2665,45700,0.0,0
2018-02-08,10.0656,10.1038,9.7594,9.9316,40100,0.0,0
2018-02-09,9.8646,10.0082,9.8455,9.8551,18400,0.0,0
2018-02-12,9.8933,10.1038,9.8082,9.8933,45200,0.0,0
2018-02-13,10.0464,10.4292,9.7594,9.9412,71100,0.0,0
