Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,29.81,30.6,29.65,29.96,29.36,482700,0.0,0
2010-01-05,30.06,30.18,29.81,30.0,29.4,554100,0.0,0
2010-01-06,29.75,29.93,29.46,29.72,29.12,58000,0.0,0
2010-01-07,29.56,30.0,29.5,29.89,29.29,1140300,0.0,0
2010-01-08,29.98,30.0,29.59,29.71,29.11,745500,0.0,0
2010-01-11,29.8,29.91,29.52,29.81,29.21,970200,0.0,0
2010-01-12,29.9,29.97,29.39,29.83,29.23,490200,0.0,0
2010-01-13,29.9,30.74,29.88,30.73,30.11,1499800,0.0,0
2010-01-14,30.72,32.24,30.72,31.69,31.06,1012100,0.0,0
2010-01-15,31.82,31.93,31.54,31.75,31.11,736700,0.0,0
2010-01-19,31.75,31.93,31.41,31.72,31.08,861600,0.0,0
2010-01-20,31.45,31.72,31.21,31.3,30.67,585300,0.0,0
2010-01-21,31.39,31.48,30.39,30.5,29.89,282900,0.0,0
2010-01-22,30.7,30.7,29.37,29.57,28.98,722200,0.0,0
2010-01-25,29.68,30.14,29.52,30.05,29.45,499100,0.0,0
2010-01-26,30.0,30.13,29.87,29.87,29.27,199900,0.0,0
2010-01-27,29.9,30.02,29.47,29.48,28.89,94400,0.0,0
2010-01-28,29.64,30.7,29.56,29.82,29.22,1297900,0.0,0
2010-01-29,29.85,30.0,29.52,29.62,29.03,1155500,0.0,0
2010-02-01,29.9,30.19,29.39,29.85,29.25,601900,0.0,0
2010-02-02,29.81,30.51,29.62,29.85,29.25,604600,0.0,0
2010-02-03,29.79,29.83,29.41,29.5,28.91,336900,0.0,0
2010-02-04,29.55,30.25,28.89,29.04,28.46,657400,0.0,0
2010-02-05,29.18,29.21,28.16,28.63,28.06,587500,0.0,0
2010-02-08,28.6,29.3,28.33,28.93,28.35,209500,0.0,0
2010-02-09,29.14,29.35,28.8,29.0,28.42,184500,0.0,0
2010-02-10,29.05,29.4,28.85,29.22,28.63,258200,0.0,0
2010-02-11,29.25,29.35,28.96,29.23,28.64,181600,0.0,0
2010-02-12,29.21,29.34,28.94,29.34,28.75,347700,0.0,0
2010-02-16,29.64,31.47,29.64,29.69,29.1,537300,0.0,0
2010-02-17,29.77,30.46,29.77,30.25,29.64,78800,0.0,0
