Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,14.18,14.24,14.06,14.1,400600,0.0,0
2010-01-05,14.0,14.08,13.77,13.78,449600,0.0,0
2010-01-06,13.75,13.91,13.7,13.83,318500,0.0,0
2010-01-07,13.77,13.98,13.73,13.92,268100,0.0,0
2010-01-08,13.93,13.93,13.61,13.71,334200,0.0,0
2010-01-11,13.69,13.82,13.48,13.55,731000,0.0,0
2010-01-12,13.47,13.59,13.42,13.43,456300,0.0,0
2010-01-13,13.47,13.48,13.23,13.41,1123300,0.0,0
2010-01-14,13.44,13.44,13.32,13.33,503200,0.0,0
2010-01-15,13.34,13.35,13.01,13.02,643600,0.0,0
2010-01-19,13.01,13.17,12.99,13.1,553900,0.0,0
2010-01-20,12.99,13.09,12.9,12.95,733400,0.0,0
2010-01-21,13.01,13.26,12.88,13.11,1010000,0.0,0
2010-01-22,12.17,12.81,12.17,12.68,1835700,0.0,0
2010-01-25,12.84,12.84,12.65,12.68,634300,0.0,0
2010-01-26,12.68,12.73,12.45,12.55,497000,0.0,0
2010-01-27,12.51,12.85,12.48,12.82,361100,0.0,0
2010-01-28,12.82,12.84,12.59,12.78,338900,0.0,0
2010-01-29,12.78,12.91,12.6,12.63,334100,0.0,0
2010-02-01,12.73,12.85,12.68,12.82,347400,0.0,0
2010-02-02,12.84,13.09,12.78,13.01,617400,0.0,0
2010-02-03,12.89,12.99,12.85,12.91,565800,0.0,0
2010-02-04,12.89,12.94,12.68,12.68,440600,0.0,0
2010-02-05,12.68,13.13,12.56,13.11,780400,0.0,0
2010-02-08,13.11,13.24,12.89,12.9,454600,0.0,0
2010-02-09,12.95,13.04,12.82,12.92,422600,0.0,0
2010-02-10,12.86,13.05,12.71,13.03,272100,0.0,0
2010-02-11,13.0,13.13,12.9,13.11,487200,0.0,0
2010-02-12,12.94,13.53,12.94,13.45,583600,0.0,0
2010-02-16,13.45,13.51,13.25,13.38,267800,0.0,0
2010-02-17,13.43,13.58,13.25,13.34,456400,0.0,0
2010-02-18,13.27,13.63,13.27,13.62,342100,0.0,0
2010-02-19,13.63,13.83,13.4,13.75,398200,0.0,0
2010-02-22,13.78,13.82,13.51,13.55,210400,0.0,0
2010-02-23,13.51,13.55,13.22,13.23,471800,0.0,0
2010-02-24,13.28,13.37,13.2,13.32,155300,0.0,0
2010-02-25,13.2,13.51,13.2,13.48,175400,0.0,0
2010-02-26,13.53,13.72,13.46,13.69,222700,0.0,0
2010-03-01,13.69,13.9,13.65,13.69,265100,0.0,0
2010-03-02,13.7,13.74,13.59,13.67,358600,0.0,0
2010-03-03,13.63,13.74,13.42,13.47,345200,0.0,0
2010-03-04,13.43,13.63,13.43,13.57,139700,0.0,0
2010-03-05,13.62,13.71,13.51,13.61,166500,0.0,0
2010-03-08,13.65,13.67,13.5,13.57,197600,0.0,0
2010-03-09,13.51,13.62,13.28,13.31,314300,0.0,0
2010-03-10,13.29,13.39,13.11,13.15,545400,0.0,0
2010-03-11,13.12,13.28,13.09,13.26,300900,0.0,0
2010-03-12,13.27,13.32,13.17,13.23,247500,0.0,0
2010-03-15,12.93,12.99,12.61,12.97,624600,0.0,0
2010-03-16,12.95,13.05,12.89,13.05,149800,0.0,0
2010-03-17,13.03,13.25,13.02,13.08,200200,0.0,0
2010-03-18,13.09,13.25,13.09,13.1,161300,0.0,0
2010-03-19,13.26,13.31,12.99,13.26,392100,0.0,0
2010-03-22,12.84,13.18,12.84,13.09,502400,0.0,0
2010-03-23,12.85,13.04,12.74,12.92,334600,0.0,0
2010-03-24,12.83,12.98,12.82,12.89,157600,0.0,0
2010-03-25,12.93,12.99,12.79,12.8,183000,0.0,0
2010-03-26,12.87,12.91,12.76,12.81,149400,0.0,0
2010-03-29,12.87,12.95,12.79,12.82,81700,0.0,0
2010-03-30,12.78,12.96,12.78,12.84,121000,0.0,0
2010-03-31,12.82,12.89,12.82,12.83,130700,0.0,0
2010-04-01,12.89,13.06,12.86,13.05,232200,0.0,0
2010-04-05,13.09,13.09,12.86,12.92,248000,0.0,0
2010-04-06,12.87,12.96,12.87,12.92,209200,0.0,0
2010-04-07,12.91,13.03,12.91,12.99,266300,0.0,0
2010-04-08,12.89,13.02,12.89,13.01,181300,0.0,0
2010-04-09,13.01,13.2,13.01,13.18,614200,0.0,0
2010-04-12,13.17,13.39,13.11,13.19,329400,0.0,0
2010-04-13,13.14,13.21,12.99,13.09,222700,0.0,0
2010-04-14,13.1,13.31,13.08,13.12,326300,0.0,0
2010-04-15,13.09,13.27,13.05,13.14,251400,0.0,0
2010-04-16,13.09,13.24,12.83,12.94,237700,0.0,0
2010-04-19,12.94,13.11,12.81,13.09,269900,0.0,0
2010-04-20,13.14,13.14,12.88,12.95,272300,0.0,0
2010-04-21,13.01,13.01,12.82,12.85,464900,0.0,0
2010-04-22,12.83,12.88,12.73,12.83,474500,0.0,0
2010-04-23,12.58,13.68,12.51,13.51,1148800,0.0,0
2010-04-26,13.51,13.68,13.31,13.41,429500,0.0,0
2010-04-27,13.4,13.42,13.12,13.12,457200,0.0,0
2010-04-28,13.16,13.24,13.05,13.11,320200,0.0,0
2010-04-29,13.11,13.58,13.04,13.52,388300,0.0,0
2010-04-30,13.52,13.73,13.4,13.63,357700,0.0,0
2010-05-03,13.72,13.72,13.53,13.7,297900,0.0,0
2010-05-04,13.63,13.63,13.4,13.42,278400,0.0,0
2010-05-05,13.38,13.55,13.28,13.3,257800,0.0,0
2010-05-06,13.31,13.79,13.12,13.63,942000,0.0,0
2010-05-07,13.62,13.69,13.27,13.3,992600,0.0,0
2010-05-10,13.59,13.65,13.22,13.47,509600,0.0,0
2010-05-11,13.38,13.55,13.37,13.43,253300,0.0,0
2010-05-12,13.5,13.73,13.35,13.7,468000,0.0,0
2010-05-13,13.7,13.98,13.67,13.87,484700,0.0,0
2010-05-14,13.82,14.02,13.74,13.88,406400,0.0,0
2010-05-17,13.98,13.98,13.71,13.77,377600,0.0,0
2010-05-18,13.85,13.85,13.4,13.4,471000,0.0,0
2010-05-19,13.41,13.54,13.3,13.47,382600,0.0,0
2010-05-20,13.33,13.41,13.03,13.03,446900,0.0,0
2010-05-21,12.99,13.19,12.89,13.02,424400,0.0,0
2010-05-24,13.06,13.18,12.96,12.98,428900,0.0,0
2010-05-25,12.85,13.12,12.78,13.06,545000,0.0,0
2010-05-26,13.06,13.37,13.03,13.05,437400,0.0,0
2010-05-27,13.2,13.37,13.15,13.36,232500,0.0,0
2010-05-28,13.28,13.67,13.28,13.32,318300,0.0,0
2010-06-01,13.23,13.47,13.07,13.22,392200,0.0,0
2010-06-02,13.24,13.49,13.2,13.48,316100,0.0,0
2010-06-03,13.48,13.88,13.48,13.86,646000,0.0,0
2010-06-04,13.74,13.82,13.58,13.59,618700,0.0,0
2010-06-07,13.69,13.7,13.23,13.27,344400,0.0,0
2010-06-08,13.29,13.65,13.1,13.59,495200,0.0,0
2010-06-09,13.66,13.78,13.4,13.43,313600,0.0,0
2010-06-10,13.52,13.65,13.46,13.65,204700,0.0,0
2010-06-11,13.55,13.78,13.45,13.78,362900,0.0,0
2010-06-14,13.9,13.98,13.67,13.71,439000,0.0,0
2010-06-15,13.76,13.86,13.59,13.82,767100,0.0,0
2010-06-16,13.71,14.18,13.71,13.98,414200,0.0,0
2010-06-17,14.01,14.09,13.9,14.01,172000,0.0,0
2010-06-18,13.98,13.98,13.84,13.87,198500,0.0,0
2010-06-21,13.95,13.98,13.82,13.84,151500,0.0,0
2010-06-22,13.79,13.84,13.54,13.58,192000,0.0,0
2010-06-23,13.6,13.69,13.55,13.55,129600,0.0,0
2010-06-24,13.56,13.61,13.39,13.4,330300,0.0,0
2010-06-25,13.41,13.78,13.4,13.7,814900,0.0,0
2010-06-28,13.7,13.9,13.7,13.77,172900,0.0,0
2010-06-29,13.58,13.67,13.36,13.36,275300,0.0,0
2010-06-30,13.33,13.42,13.18,13.19,269100,0.0,0
2010-07-01,13.16,13.22,12.89,13.09,329500,0.0,0
2010-07-02,13.12,13.21,13.06,13.12,242900,0.0,0
2010-07-06,13.21,13.24,12.97,13.02,833800,0.0,0
2010-07-07,13.06,13.27,12.93,13.24,183800,0.0,0
2010-07-08,13.27,13.33,13.05,13.21,290200,0.0,0
2010-07-09,13.18,13.37,13.13,13.36,259300,0.0,0
2010-07-12,13.37,13.37,13.19,13.34,221300,0.0,0
2010-07-13,13.39,13.56,13.33,13.55,356100,0.0,0
2010-07-14,13.47,13.71,13.47,13.51,296000,0.0,0
2010-07-15,14.13,14.21,13.87,14.04,1710700,0.0,0
2010-07-16,13.97,14.04,13.75,13.8,645800,0.0,0
2010-07-19,13.82,14.11,13.77,14.02,669200,0.0,0
2010-07-20,13.94,14.03,13.9,13.98,5560700,0.0,0
2010-07-21,13.96,14.19,13.91,14.17,1188800,0.0,0
2010-07-22,14.19,14.53,14.18,14.37,848700,0.0,0
2010-07-23,14.05,14.05,13.2,13.27,1533400,0.0,0
2010-07-26,13.16,13.25,12.89,13.16,807200,0.0,0
2010-07-27,13.19,13.27,13.12,13.18,387400,0.0,0
2010-07-28,13.14,13.18,13.05,13.11,291000,0.0,0
2010-07-29,13.11,13.19,13.0,13.09,248800,0.0,0
2010-07-30,12.95,13.2,12.93,13.15,474600,0.0,0
2010-08-02,13.16,13.35,13.16,13.32,336100,0.0,0
2010-08-03,13.32,13.37,13.12,13.23,343600,0.0,0
2010-08-04,13.28,13.38,13.21,13.35,157400,0.0,0
2010-08-05,13.29,13.59,13.28,13.59,327500,0.0,0
2010-08-06,13.47,13.56,13.36,13.48,176800,0.0,0
2010-08-09,13.51,13.6,13.48,13.55,206800,0.0,0
2010-08-10,13.51,13.58,13.4,13.5,178400,0.0,0
2010-08-11,13.42,13.43,13.06,13.07,333500,0.0,0
2010-08-12,13.01,13.25,13.0,13.18,207500,0.0,0
2010-08-13,13.16,13.19,12.99,13.04,160400,0.0,0
2010-08-16,12.98,13.06,12.87,12.98,309700,0.0,0
2010-08-17,13.01,13.12,12.89,13.09,148900,0.0,0
2010-08-18,13.12,13.16,12.99,13.05,116600,0.0,0
2010-08-19,13.03,13.12,12.85,12.86,215300,0.0,0
2010-08-20,12.89,13.16,12.81,12.98,332600,0.0,0
2010-08-23,12.97,13.05,12.87,12.87,274700,0.0,0
2010-08-24,12.78,12.84,12.7,12.73,170000,0.0,0
2010-08-25,12.7,12.74,12.52,12.69,701000,0.0,0
2010-08-26,12.7,12.79,12.65,12.72,336900,0.0,0
2010-08-27,12.78,12.98,12.71,12.96,215000,0.0,0
