Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,6.91,7.06,6.89,7.05,4.21,9864800,0.0,0.0
2010-01-05,7.0,7.15,6.98,7.15,4.27,14232900,0.0,0.0
2010-01-06,7.1,7.13,7.02,7.03,4.2,16669400,0.0,0.0
2010-01-07,7.05,7.11,6.99,7.02,4.19,10411500,0.0,0.0
2010-01-08,6.94,6.95,6.84,6.87,4.11,14430900,0.0,0.0
2010-01-11,6.96,6.97,6.82,6.87,4.1,29638400,0.0,0.0
2010-01-12,6.69,6.7,6.55,6.57,3.93,11455900,0.0,0.0
2010-01-13,6.62,6.71,6.6,6.69,3.99,7931500,0.0,0.0
2010-01-14,6.75,6.76,6.59,6.67,3.98,9494100,0.0,0.0
2010-01-15,6.67,6.69,6.55,6.58,3.93,10796500,0.0,0.0
2010-01-19,6.79,6.96,6.79,6.93,4.14,14987500,0.0,0.0
2010-01-20,6.9,6.9,6.74,6.84,4.08,10685900,0.0,0.0
2010-01-21,6.7,6.77,6.47,6.52,3.9,17954200,0.0,0.0
2010-01-22,6.53,6.67,6.47,6.54,3.91,17412400,0.0,0.0
2010-01-25,6.6,6.74,6.4,6.71,4.01,25072300,0.0,0.0
2010-01-26,6.55,6.6,6.25,6.28,3.75,19339600,0.0,0.0
2010-01-27,6.15,6.26,5.98,6.24,3.72,23004300,0.0,0.0
2010-01-28,6.25,6.3,6.01,6.09,3.63,14039300,0.0,0.0
2010-01-29,6.48,6.58,6.37,6.41,3.83,35521700,0.0,0.0
2010-02-01,6.49,6.61,6.46,6.54,3.9,12983300,0.0,0.0
2010-02-02,6.51,6.55,6.44,6.51,3.89,9700300,0.0,0.0
2010-02-03,6.65,6.75,6.61,6.73,4.02,13225300,0.0,0.0
2010-02-04,6.47,6.51,6.31,6.32,3.78,17353000,0.0,0.0
2010-02-05,6.23,6.24,5.94,6.1,3.64,23851800,0.0,0.0
2010-02-08,6.2,6.21,6.09,6.11,3.65,13364400,0.0,0.0
2010-02-09,6.26,6.41,6.19,6.37,3.81,18282500,0.0,0.0
2010-02-10,6.29,6.4,6.27,6.34,3.79,13248900,0.0,0.0
2010-02-11,6.44,6.47,6.34,6.45,3.85,15131600,0.0,0.0
2010-02-12,6.33,6.45,6.33,6.44,3.85,7131800,0.0,0.0
2010-02-16,6.53,6.57,6.4,6.57,3.92,10142000,0.0,0.0
2010-02-17,6.63,6.72,6.57,6.61,3.95,11309100,0.0,0.0
2010-02-18,6.6,6.71,6.52,6.67,3.99,8852200,0.0,0.0
2010-02-19,6.56,6.64,6.55,6.64,3.97,6046100,0.0,0.0
2010-02-22,6.66,6.69,6.57,6.61,3.95,9489700,0.0,0.0
2010-02-23,6.63,6.69,6.58,6.61,3.95,15353800,0.0,0.0
2010-02-24,6.65,6.68,6.59,6.65,3.97,6772700,0.0,0.0
2010-02-25,6.57,6.7,6.57,6.7,4.0,6246900,0.0,0.0
2010-02-26,6.85,6.97,6.81,6.95,4.15,13378200,0.0,0.0
2010-03-01,6.94,7.07,6.94,7.07,4.22,11574200,0.0,0.0
2010-03-02,7.17,7.17,7.09,7.14,4.27,25284600,0.0,0.0
2010-03-03,7.17,7.32,7.17,7.28,4.35,17096200,0.0,0.0
2010-03-04,7.2,7.26,7.15,7.19,4.3,9486400,0.0,0.0
2010-03-05,7.28,7.45,7.27,7.45,4.45,17043400,0.0,0.0
2010-03-08,7.45,7.45,7.34,7.41,4.43,13598700,0.0,0.0
2010-03-09,7.39,7.48,7.34,7.43,4.44,11256800,0.0,0.0
2010-03-10,7.4,7.48,7.36,7.44,4.44,11254100,0.0,0.0
2010-03-11,7.42,7.53,7.41,7.53,4.49,9515500,0.0,0.0
2010-03-12,7.58,7.63,7.48,7.52,4.49,10122700,0.0,0.0
2010-03-15,7.45,7.45,7.26,7.36,4.39,13368800,0.0,0.0
2010-03-16,7.44,7.54,7.41,7.54,4.51,9614000,0.0,0.0
2010-03-17,7.61,7.81,7.61,7.74,4.62,23211100,0.0,0.0
2010-03-18,7.75,7.77,7.65,7.71,4.6,8881900,0.0,0.0
2010-03-19,7.41,7.69,7.31,7.41,4.43,26436800,0.0,0.0
2010-03-22,7.33,7.51,7.33,7.48,4.47,6728700,0.0,0.0
2010-03-23,7.4,7.45,7.32,7.4,4.42,12423400,0.0,0.0
2010-03-24,7.33,7.36,7.28,7.3,4.36,8769700,0.0,0.0
2010-03-25,7.44,7.58,7.44,7.46,4.46,13808300,0.0,0.0
2010-03-26,7.57,7.61,7.46,7.53,4.5,6853500,0.0,0.0
2010-03-29,7.67,7.8,7.63,7.8,4.66,11770000,0.0,0.0
2010-03-30,7.78,7.93,7.75,7.9,4.72,14241100,0.0,0.0
2010-03-31,7.75,7.82,7.73,7.76,4.64,10862500,0.0,0.0
2010-04-01,7.8,7.95,7.8,7.92,4.73,12716500,0.0,0.0
2010-04-05,8.08,8.25,8.04,8.25,4.92,14605800,0.0,0.0
2010-04-06,8.21,8.35,8.19,8.33,4.97,10636400,0.0,0.0
2010-04-07,8.11,8.19,8.08,8.09,4.83,15881200,0.0,0.0
2010-04-08,7.94,8.05,7.89,8.01,4.78,14325300,0.0,0.0
2010-04-09,8.08,8.18,8.03,8.18,4.89,8812600,0.0,0.0
2010-04-12,7.95,7.98,7.88,7.88,4.71,12966800,0.0,0.0
2010-04-13,7.77,7.8,7.66,7.76,4.64,22296400,0.0,0.0
2010-04-14,7.85,7.89,7.77,7.79,4.65,15501700,0.0,0.0
2010-04-15,7.63,7.7,7.59,7.61,4.54,15129400,0.0,0.0
2010-04-16,7.61,7.64,7.33,7.42,4.43,20488600,0.0,0.0
2010-04-19,7.44,7.55,7.35,7.46,4.45,12075800,0.0,0.0
2010-04-20,7.62,7.77,7.6,7.77,4.64,16169400,0.0,0.0
2010-04-21,7.82,7.88,7.67,7.74,4.62,9694800,0.0,0.0
2010-04-22,7.68,7.83,7.61,7.82,4.67,11076400,0.0,0.0
2010-04-23,7.95,8.17,7.86,8.17,4.88,14925300,0.0,0.0
2010-04-26,7.9,7.94,7.78,7.8,4.66,11860700,0.0,0.0
2010-04-27,7.83,7.86,7.44,7.45,4.45,18539400,0.0,0.0
2010-04-28,7.54,7.63,7.46,7.53,4.5,9188800,0.0,0.0
2010-04-29,7.7,7.76,7.67,7.71,4.61,10663400,0.0,0.0
2010-04-30,7.78,7.85,7.7,7.73,4.62,9491300,0.0,0.0
2010-05-03,7.74,7.76,7.65,7.7,4.6,5295900,0.0,0.0
2010-05-04,7.47,7.48,7.11,7.16,4.28,20199300,0.0,0.0
2010-05-05,7.25,7.39,7.22,7.37,4.4,21943900,0.0,0.0
2010-05-06,7.25,7.27,6.7,6.99,4.17,18473400,0.0,0.0
2010-05-07,6.98,7.12,6.73,6.97,4.17,17951400,0.0,0.0
2010-05-10,7.56,7.77,7.54,7.71,4.61,18735700,0.0,0.0
2010-05-11,7.43,7.5,7.37,7.42,4.43,20338400,0.0,0.0
2010-05-12,7.5,7.51,7.39,7.48,4.47,11076400,0.0,0.0
2010-05-13,7.51,7.56,7.39,7.43,4.44,9904400,0.0,0.0
2010-05-14,7.33,7.33,7.03,7.12,4.25,11609400,0.0,0.0
2010-05-17,7.15,7.2,6.99,7.18,4.29,14986400,0.0,0.0
2010-05-18,7.19,7.22,6.86,6.9,4.12,16013800,0.0,0.0
2010-05-19,6.6,6.72,6.54,6.65,3.97,23450900,0.0,0.0
