Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,6.35,6.49,6.35,6.42,3.02,587300,0.0,0
2010-01-05,6.4,6.51,6.36,6.5,3.06,433500,0.0,0
2010-01-06,6.45,6.58,6.45,6.57,3.09,588900,0.0,0
2010-01-07,6.54,6.75,6.53,6.75,3.18,580500,0.0,0
2010-01-08,6.74,6.84,6.7,6.84,3.22,530900,0.0,0
2010-01-11,6.79,6.85,6.79,6.84,3.22,449700,0.0,0
2010-01-12,6.81,6.85,6.78,6.8,3.2,532000,0.0,0
2010-01-13,6.79,7.03,6.79,7.03,3.31,623600,0.0,0
2010-01-14,6.94,7.0,6.84,6.96,3.27,550600,0.0,0
2010-01-15,6.96,6.99,6.85,6.98,3.28,353800,0.0,0
2010-01-19,6.96,7.05,6.95,7.02,3.3,502000,0.0,0
2010-01-20,6.94,6.94,6.83,6.89,3.26,351200,0.045,0
2010-01-21,6.93,6.95,6.75,6.77,3.21,425600,0.0,0
2010-01-22,6.77,6.81,6.61,6.64,3.14,512700,0.0,0
2010-01-25,6.79,6.8,6.61,6.74,3.19,347200,0.0,0
2010-01-26,6.7,6.79,6.65,6.75,3.2,347800,0.0,0
2010-01-27,6.75,6.76,6.51,6.57,3.11,368500,0.0,0
2010-01-28,6.58,6.69,6.51,6.62,3.13,388000,0.0,0
2010-01-29,6.75,6.79,6.59,6.62,3.13,428400,0.0,0
2010-02-01,6.75,6.8,6.62,6.73,3.19,477400,0.0,0
2010-02-02,6.77,7.0,6.73,6.96,3.3,511100,0.0,0
2010-02-03,6.86,6.97,6.84,6.97,3.3,363500,0.0,0
2010-02-04,6.9,6.9,6.6,6.6,3.13,406200,0.0,0
2010-02-05,6.5,6.71,6.12,6.35,3.01,872200,0.0,0
2010-02-08,6.35,6.49,6.26,6.39,3.03,313500,0.0,0
2010-02-09,6.44,6.49,6.35,6.45,3.05,268200,0.0,0
2010-02-10,6.49,6.49,6.33,6.46,3.06,203300,0.0,0
2010-02-11,6.48,6.55,6.36,6.42,3.04,321600,0.0,0
2010-02-12,6.39,6.58,6.37,6.58,3.12,264600,0.0,0
