Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-08-29,9.15,9.16,9.15,9.15,30300,0.0,0.0
2011-08-30,9.15,9.16,9.15,9.15,56500,0.0,0.0
2011-08-31,9.15,9.16,9.15,9.16,31800,0.0,0.0
2011-09-01,9.15,9.15,9.15,9.15,72400,0.0,0.0
2011-09-02,9.15,9.15,9.15,9.15,5200,0.0,0.0
2011-09-06,9.15,9.15,9.15,9.15,7500,0.0,0.0
2011-09-07,9.16,9.16,9.15,9.15,25300,0.0,0.0
2011-09-08,9.15,9.15,9.15,9.15,17200,0.0,0.0
2011-09-09,9.16,9.16,9.11,9.15,32900,0.0,0.0
2011-09-12,9.15,9.16,9.15,9.15,34800,0.0,0.0
2011-09-13,9.16,9.16,9.15,9.15,6100,0.0,0.0
2011-09-14,9.15,9.15,9.15,9.15,25900,0.0,0.0
2011-09-15,9.15,9.15,9.15,9.15,12100,0.0,0.0
2011-09-16,9.15,9.15,9.15,9.15,34800,0.0,0.0
2011-09-19,9.15,9.15,9.15,9.15,11600,0.0,0.0
2011-09-20,9.15,9.15,9.15,9.15,15300,0.0,0.0
2011-09-21,9.15,9.15,9.15,9.15,53400,0.0,0.0
2011-09-22,9.15,9.16,9.11,9.12,150500,0.0,0.0
2011-09-23,9.15,9.15,9.15,9.15,91000,0.0,0.0
2011-09-26,9.15,9.15,8.49,8.62,359500,0.0,0.0
2011-09-27,8.68,8.68,7.97,8.08,198700,0.0,0.0
2011-09-28,8.07,8.12,7.55,7.57,48600,0.0,0.0
2011-09-29,7.6,7.6,7.29,7.37,73400,0.0,0.0
2011-09-30,7.34,7.39,7.06,7.07,91400,0.0,0.0
2011-10-03,7.11,7.11,6.53,6.55,208000,0.0,0.0
2011-10-04,6.46,6.47,6.21,6.45,286000,0.0,0.0
2011-10-05,6.48,6.75,6.47,6.75,76800,0.0,0.0
2011-10-06,6.68,6.95,6.68,6.91,62400,0.0,0.0
2011-10-07,6.86,7.01,6.86,6.99,54800,0.0,0.0
2011-10-10,7.02,7.17,7.02,7.14,58100,0.0,0.0
2011-10-11,7.11,7.24,7.11,7.21,56500,0.0,0.0
2011-10-12,7.23,7.3,7.23,7.3,62100,0.0,0.0
2011-10-13,7.28,7.35,7.19,7.35,86500,0.0,0.0
2011-10-14,7.37,7.54,7.32,7.52,73700,0.0,0.0
2011-10-17,7.55,7.56,7.42,7.5,43900,0.0,0.0
2011-10-18,7.47,7.66,7.45,7.62,79000,0.0,0.0
2011-10-19,7.62,7.73,7.57,7.62,45200,0.11437,0.0
2011-10-20,7.6,7.7,7.49,7.66,26700,0.0,0.0
2011-10-21,7.68,7.9,7.68,7.86,22500,0.0,0.0
2011-10-24,7.81,7.93,7.81,7.88,47200,0.0,0.0
2011-10-25,7.88,7.88,7.66,7.83,76900,0.0,0.0
2011-10-26,7.88,7.88,7.69,7.78,54900,0.0,0.0
2011-10-27,7.88,8.26,7.83,8.17,45400,0.0,0.0
2011-10-28,8.17,8.29,8.17,8.22,36000,0.0,0.0
2011-10-31,8.06,8.14,7.97,8.07,31200,0.0,0.0
2011-11-01,7.96,8.06,7.65,8.0,39900,0.0,0.0
2011-11-02,7.99,8.21,7.95,8.2,26400,0.0,0.0
2011-11-03,8.1,8.5,8.05,8.4,82500,0.0,0.0
2011-11-04,8.41,8.43,8.34,8.37,30500,0.0,0.0
2011-11-07,8.4,8.5,8.13,8.15,34300,0.0,0.0
2011-11-08,8.16,8.4,8.12,8.22,33100,0.0,0.0
2011-11-09,8.1,8.29,8.06,8.21,27900,0.0,0.0
2011-11-10,8.4,8.4,8.11,8.29,27000,0.0,0.0
2011-11-11,8.24,9.09,8.16,8.61,31400,0.0,0.0
2011-11-14,8.75,8.75,8.1,8.17,58900,0.0,0.0
2011-11-15,8.19,8.54,8.17,8.23,46500,0.0,0.0
2011-11-16,8.22,8.22,8.08,8.11,22600,0.11437,0.0
2011-11-17,8.13,8.25,7.99,8.1,15800,0.0,0.0
2011-11-18,7.97,8.16,7.89,8.13,18800,0.0,0.0
2011-11-21,8.04,8.13,7.76,8.06,24300,0.0,0.0
2011-11-22,8.04,8.06,7.83,7.9,10700,0.0,0.0
2011-11-23,7.78,7.82,7.51,7.52,20100,0.0,0.0
2011-11-25,7.54,7.61,7.43,7.49,28000,0.0,0.0
2011-11-28,7.8,7.87,7.58,7.63,15200,0.0,0.0
2011-11-29,7.47,7.59,7.47,7.56,52800,0.0,0.0
2011-11-30,7.71,7.83,7.69,7.76,41600,0.0,0.0
2011-12-01,7.88,8.02,7.87,7.94,23400,0.0,0.0
2011-12-02,8.03,8.19,8.03,8.19,14600,0.0,0.0
2011-12-05,8.05,8.22,8.05,8.16,20300,0.0,0.0
2011-12-06,8.32,8.39,7.98,8.24,47600,0.0,0.0
2011-12-07,8.18,8.22,8.02,8.16,46800,0.0,0.0
2011-12-08,8.18,8.2,7.9,8.12,30900,0.0,0.0
2011-12-09,8.07,8.21,8.03,8.14,26700,0.0,0.0
2011-12-12,8.14,8.14,7.77,7.8,57100,0.0,0.0
2011-12-13,7.92,8.03,7.78,7.85,60100,0.0,0.0
2011-12-14,7.89,7.91,7.7,7.84,10400,0.11437,0.0
2011-12-15,7.86,8.07,7.84,7.84,44900,0.0,0.0
2011-12-16,7.94,7.94,7.75,7.82,42800,0.0,0.0
2011-12-19,7.82,8.01,7.79,7.9,54900,0.0,0.0
2011-12-20,7.85,8.11,7.85,8.01,40800,0.0,0.0
2011-12-21,8.06,8.1,7.94,8.05,53200,0.0,0.0
2011-12-22,8.01,8.19,7.96,8.19,63300,0.0,0.0
2011-12-23,8.14,8.23,8.12,8.13,68500,0.0,0.0
2011-12-27,8.05,8.3,8.05,8.17,63000,0.0,0.0
2011-12-28,8.24,8.25,8.17,8.22,33500,0.0,0.0
2011-12-29,8.31,8.35,8.22,8.23,28800,0.0,0.0
2011-12-30,8.23,8.29,8.22,8.22,56400,0.0,0.0
2012-01-03,8.35,8.46,8.35,8.45,32400,0.0,0.0
2012-01-04,8.35,8.45,8.35,8.45,28300,0.0,0.0
2012-01-05,8.44,8.51,8.4,8.42,51800,0.0,0.0
2012-01-06,8.51,8.61,8.42,8.42,30300,0.0,0.0
2012-01-09,8.48,8.61,8.43,8.57,19900,0.0,0.0
2012-01-10,8.7,8.84,8.52,8.56,107000,0.0,0.0
2012-01-11,8.59,8.72,8.51,8.68,33300,0.0,0.0
2012-01-12,8.7,8.82,8.69,8.79,56800,0.0,0.0
2012-01-13,8.79,8.82,8.67,8.72,39700,0.0,0.0
2012-01-17,8.78,8.85,8.74,8.85,14300,0.11437,0.0
2012-01-18,8.82,9.0,8.76,8.88,42000,0.0,0.0
2012-01-19,8.95,8.95,8.67,8.95,66300,0.0,0.0
2012-01-20,8.77,8.92,8.77,8.86,50400,0.0,0.0
2012-01-23,8.76,8.91,8.76,8.91,47500,0.0,0.0
2012-01-24,8.83,8.89,8.68,8.71,74600,0.0,0.0
2012-01-25,8.71,8.91,8.71,8.9,53500,0.0,0.0
2012-01-26,8.93,8.93,8.68,8.87,49900,0.0,0.0
2012-01-27,8.9,8.92,8.79,8.88,47100,0.0,0.0
2012-01-30,8.87,8.89,8.67,8.88,52200,0.0,0.0
2012-01-31,8.83,8.91,8.81,8.87,32000,0.0,0.0
2012-02-01,8.92,8.98,8.85,8.95,58400,0.0,0.0
2012-02-02,9.0,9.06,8.93,9.03,34900,0.0,0.0
2012-02-03,9.03,9.08,8.93,8.99,58900,0.0,0.0
2012-02-06,9.01,9.09,9.0,9.04,18700,0.0,0.0
2012-02-07,9.0,9.08,9.0,9.07,43900,0.0,0.0
2012-02-08,9.09,9.15,9.01,9.09,80700,0.0,0.0
2012-02-09,9.14,9.15,9.06,9.11,45300,0.0,0.0
2012-02-10,9.1,9.16,9.01,9.12,63600,0.0,0.0
2012-02-13,9.21,9.28,9.18,9.22,7900,0.11437,0.0
2012-02-14,9.26,9.29,9.22,9.29,21200,0.0,0.0
2012-02-15,9.28,9.28,9.22,9.26,15100,0.0,0.0
2012-02-16,9.2,9.31,9.2,9.28,69800,0.0,0.0
2012-02-17,9.31,9.33,9.23,9.24,77400,0.0,0.0
2012-02-21,9.31,9.32,9.12,9.15,41000,0.0,0.0
2012-02-22,9.2,9.2,9.08,9.11,89400,0.0,0.0
2012-02-23,9.17,9.19,9.12,9.18,66900,0.0,0.0
2012-02-24,9.22,9.26,9.2,9.22,78100,0.0,0.0
2012-02-27,9.15,9.3,9.15,9.27,35100,0.0,0.0
2012-02-28,9.31,9.31,9.17,9.27,67900,0.0,0.0
2012-02-29,9.31,9.36,9.29,9.36,89500,0.0,0.0
2012-03-01,9.4,9.41,9.36,9.4,63400,0.0,0.0
2012-03-02,9.4,9.4,9.37,9.4,48100,0.0,0.0
2012-03-05,9.4,9.4,9.3,9.3,39800,0.0,0.0
2012-03-06,9.26,9.26,9.08,9.11,70700,0.0,0.0
2012-03-07,9.08,9.17,9.08,9.13,76300,0.0,0.0
2012-03-08,9.1,9.27,9.1,9.26,58800,0.0,0.0
2012-03-09,9.21,9.32,9.21,9.31,47700,0.0,0.0
2012-03-12,9.36,9.36,9.25,9.25,2600,0.11437,0.0
2012-03-13,9.2,9.32,9.16,9.22,13900,0.0,0.0
2012-03-14,9.28,9.29,9.2,9.26,21700,0.0,0.0
2012-03-15,9.3,9.3,9.2,9.24,39300,0.0,0.0
2012-03-16,9.3,9.3,9.2,9.24,41400,0.0,0.0
2012-03-19,9.29,9.29,9.15,9.19,49200,0.0,0.0
2012-03-20,9.13,9.15,9.09,9.11,33800,0.0,0.0
2012-03-21,9.04,9.12,9.04,9.09,34300,0.0,0.0
2012-03-22,9.01,9.08,9.0,9.05,45800,0.0,0.0
2012-03-23,9.06,9.06,9.01,9.06,51900,0.0,0.0
2012-03-26,9.06,9.18,9.05,9.17,58300,0.0,0.0
2012-03-27,9.13,9.19,9.13,9.13,28500,0.0,0.0
2012-03-28,9.1,9.14,9.05,9.11,25700,0.0,0.0
2012-03-29,9.14,9.15,9.02,9.13,21700,0.0,0.0
2012-03-30,9.18,9.23,9.15,9.19,35000,0.0,0.0
2012-04-02,9.18,9.34,9.18,9.27,50100,0.0,0.0
2012-04-03,9.31,9.37,9.28,9.31,47000,0.0,0.0
2012-04-04,9.19,9.31,9.19,9.28,51300,0.0,0.0
2012-04-05,9.22,9.33,9.22,9.26,35100,0.0,0.0
2012-04-09,9.23,9.28,9.21,9.22,34600,0.0,0.0
2012-04-10,9.28,9.29,9.08,9.09,41100,0.0,0.0
2012-04-11,9.14,9.22,9.14,9.19,30200,0.0,0.0
2012-04-12,9.17,9.28,9.15,9.21,34000,0.0,0.0
2012-04-13,9.13,9.22,9.11,9.15,36000,0.0,0.0
2012-04-16,9.12,9.18,9.11,9.18,24200,0.11437,0.0
2012-04-17,9.18,9.25,9.15,9.21,8100,0.0,0.0
2012-04-18,9.2,9.2,9.14,9.16,9700,0.0,0.0
2012-04-19,9.16,9.2,9.08,9.12,27300,0.0,0.0
2012-04-20,9.21,9.21,9.13,9.15,29900,0.0,0.0
2012-04-23,9.13,9.13,9.03,9.03,37200,0.0,0.0
2012-04-24,8.99,9.09,8.99,9.05,34500,0.0,0.0
2012-04-25,9.04,9.18,9.04,9.18,17200,0.0,0.0
2012-04-26,9.06,9.21,9.06,9.2,40400,0.0,0.0
2012-04-27,9.26,9.28,9.16,9.28,18400,0.0,0.0
2012-04-30,9.29,9.29,9.23,9.27,20400,0.0,0.0
2012-05-01,9.28,9.37,9.28,9.33,30100,0.0,0.0
2012-05-02,9.33,9.33,9.26,9.26,23500,0.0,0.0
2012-05-03,9.21,9.27,9.21,9.27,23500,0.0,0.0
2012-05-04,9.23,9.28,9.09,9.17,23300,0.0,0.0
2012-05-07,9.22,9.22,9.14,9.19,18400,0.0,0.0
2012-05-08,9.21,9.21,8.9,9.09,83700,0.0,0.0
2012-05-09,9.08,9.08,8.94,8.97,35900,0.0,0.0
2012-05-10,9.09,9.09,8.94,8.94,70600,0.0,0.0
2012-05-11,8.97,9.07,8.96,9.02,41900,0.0,0.0
2012-05-14,8.99,9.01,8.93,9.01,12800,0.11437,0.0
2012-05-15,8.96,8.98,8.9,8.91,26500,0.0,0.0
2012-05-16,8.99,8.99,8.67,8.77,68200,0.0,0.0
2012-05-17,8.73,8.73,8.55,8.62,41500,0.0,0.0
2012-05-18,8.56,8.62,8.45,8.54,53000,0.0,0.0
2012-05-21,8.62,8.66,8.45,8.66,33800,0.0,0.0
2012-05-22,8.66,8.7,8.6,8.62,18500,0.0,0.0
2012-05-23,8.63,8.65,8.47,8.63,30600,0.0,0.0
2012-05-24,8.56,8.65,8.53,8.58,36900,0.0,0.0
2012-05-25,8.63,8.63,8.55,8.61,11200,0.0,0.0
2012-05-29,8.65,8.7,8.6,8.66,28800,0.0,0.0
2012-05-30,8.65,8.65,8.54,8.57,12900,0.0,0.0
2012-05-31,8.57,8.59,8.46,8.55,21100,0.0,0.0
2012-06-01,8.49,8.49,8.31,8.37,69400,0.0,0.0
2012-06-04,8.32,8.38,8.28,8.38,19300,0.0,0.0
2012-06-05,8.36,8.42,8.32,8.39,38800,0.0,0.0
2012-06-06,8.42,8.59,8.42,8.59,37300,0.0,0.0
2012-06-07,8.62,8.71,8.52,8.54,26300,0.0,0.0
2012-06-08,8.59,8.59,8.48,8.56,48100,0.0,0.0
2012-06-11,8.61,8.63,8.45,8.48,25900,0.11437,0.0
2012-06-12,8.58,8.58,8.46,8.54,20200,0.0,0.0
2012-06-13,8.55,8.56,8.45,8.5,44000,0.0,0.0
2012-06-14,8.55,8.6,8.51,8.56,37200,0.0,0.0
2012-06-15,8.55,8.65,8.55,8.64,20700,0.0,0.0
2012-06-18,8.65,8.71,8.59,8.64,16000,0.0,0.0
2012-06-19,8.73,8.73,8.67,8.73,19000,0.0,0.0
2012-06-20,8.69,8.71,8.63,8.7,35800,0.0,0.0
2012-06-21,8.76,8.76,8.6,8.63,45200,0.0,0.0
2012-06-22,8.71,8.71,8.6,8.7,16200,0.0,0.0
2012-06-25,8.71,8.71,8.48,8.59,18800,0.0,0.0
2012-06-26,8.62,8.69,8.56,8.63,49800,0.0,0.0
2012-06-27,8.7,8.74,8.67,8.72,29300,0.0,0.0
2012-06-28,8.75,8.77,8.69,8.77,23100,0.0,0.0
2012-06-29,8.94,9.08,8.89,9.07,39000,0.0,0.0
2012-07-02,9.13,9.13,8.95,9.11,46000,0.0,0.0
2012-07-03,9.13,9.22,9.11,9.17,18400,0.0,0.0
2012-07-05,9.13,9.17,9.06,9.11,23300,0.0,0.0
2012-07-06,9.1,9.12,8.98,9.1,22100,0.0,0.0
2012-07-09,9.11,9.35,9.06,9.21,42300,0.0,0.0
2012-07-10,9.29,9.29,9.12,9.13,42400,0.0,0.0
2012-07-11,9.22,9.28,9.18,9.28,26200,0.0,0.0
2012-07-12,9.25,9.44,9.18,9.41,45500,0.0,0.0
2012-07-13,9.44,9.66,9.4,9.66,58700,0.0,0.0
2012-07-16,9.64,9.68,9.47,9.6,15300,0.11437,0.0
2012-07-17,9.56,9.56,9.45,9.5,38100,0.0,0.0
2012-07-18,9.45,9.56,9.45,9.5,22600,0.0,0.0
2012-07-19,9.6,9.75,9.42,9.5,38000,0.0,0.0
2012-07-20,9.57,9.57,9.29,9.51,46500,0.0,0.0
2012-07-23,9.48,9.55,9.41,9.5,49400,0.0,0.0
2012-07-24,9.57,9.57,9.26,9.31,50500,0.0,0.0
2012-07-25,9.32,9.44,9.28,9.28,24100,0.0,0.0
2012-07-26,9.44,9.5,9.26,9.31,58300,0.0,0.0
2012-07-27,9.38,9.52,9.35,9.52,20700,0.0,0.0
2012-07-30,9.58,9.61,9.46,9.47,14800,0.0,0.0
2012-07-31,9.55,9.6,9.51,9.57,28400,0.0,0.0
2012-08-01,9.58,9.63,9.54,9.54,17300,0.0,0.0
2012-08-02,9.55,9.57,9.19,9.34,50900,0.0,0.0
2012-08-03,9.5,9.54,9.45,9.5,10500,0.0,0.0
2012-08-06,9.55,9.59,9.5,9.54,28200,0.0,0.0
2012-08-07,9.63,9.63,9.5,9.6,38900,0.0,0.0
2012-08-08,9.58,9.62,9.33,9.57,42900,0.0,0.0
2012-08-09,9.6,9.61,9.5,9.51,21100,0.0,0.0
2012-08-10,9.52,9.58,9.45,9.53,28100,0.0,0.0
2012-08-13,9.58,9.58,9.47,9.48,16400,0.11437,0.0
2012-08-14,9.58,9.58,9.45,9.47,17100,0.0,0.0
2012-08-15,9.52,9.57,9.45,9.56,16900,0.0,0.0
2012-08-16,9.56,9.58,9.51,9.58,40500,0.0,0.0
2012-08-17,9.6,9.71,9.57,9.66,18000,0.0,0.0
2012-08-20,9.7,9.72,9.61,9.63,19700,0.0,0.0
2012-08-21,9.62,9.7,9.62,9.63,23900,0.0,0.0
2012-08-22,9.69,9.69,9.58,9.64,18800,0.0,0.0
2012-08-23,9.66,9.66,9.58,9.6,21100,0.0,0.0
2012-08-24,9.58,9.68,9.57,9.64,30400,0.0,0.0
2012-08-27,9.68,9.68,9.53,9.55,24900,0.0,0.0
2012-08-28,9.6,9.6,9.47,9.49,13600,0.0,0.0
2012-08-29,9.54,9.56,9.52,9.52,14100,0.0,0.0
2012-08-30,9.53,9.53,9.45,9.45,10700,0.0,0.0
2012-08-31,9.53,9.57,9.45,9.56,27100,0.0,0.0
2012-09-04,9.6,9.6,9.46,9.53,10700,0.0,0.0
2012-09-05,9.57,9.57,9.47,9.55,10700,0.0,0.0
2012-09-06,9.56,9.61,9.55,9.56,68000,0.0,0.0
2012-09-07,9.63,9.73,9.62,9.73,23400,0.0,0.0
2012-09-10,9.72,9.72,9.65,9.67,22100,0.0,0.0
2012-09-11,9.7,9.7,9.6,9.67,27800,0.0,0.0
2012-09-12,9.7,9.7,9.59,9.68,19800,0.0,0.0
2012-09-13,9.72,9.79,9.65,9.78,37100,0.0,0.0
2012-09-14,9.79,9.81,9.72,9.76,60000,0.0,0.0
2012-09-17,9.81,9.81,9.67,9.68,14800,0.11437,0.0
2012-09-18,9.73,9.78,9.68,9.7,23300,0.0,0.0
2012-09-19,9.78,9.79,9.71,9.79,30500,0.0,0.0
2012-09-20,9.7,9.78,9.7,9.78,25600,0.0,0.0
2012-09-21,9.81,9.83,9.72,9.78,55800,0.0,0.0
2012-09-24,9.79,9.79,9.68,9.78,54100,0.0,0.0
2012-09-25,9.8,9.82,9.7,9.71,44900,0.0,0.0
2012-09-26,9.75,9.78,9.67,9.71,24900,0.0,0.0
2012-09-27,9.79,9.8,9.7,9.73,41100,0.0,0.0
2012-09-28,9.73,9.8,9.71,9.8,27700,0.0,0.0
2012-10-01,9.79,9.83,9.79,9.82,28700,0.0,0.0
2012-10-02,9.82,9.89,9.78,9.82,74900,0.0,0.0
2012-10-03,9.82,9.87,9.8,9.85,25600,0.0,0.0
2012-10-04,9.87,9.91,9.84,9.86,41700,0.0,0.0
2012-10-05,9.91,9.92,9.88,9.91,27100,0.0,0.0
2012-10-08,9.93,9.97,9.84,9.89,45800,0.0,0.0
2012-10-09,9.92,9.93,9.7,9.88,44900,0.0,0.0
2012-10-10,9.92,9.92,9.66,9.66,44800,0.0,0.0
2012-10-11,9.79,9.79,9.71,9.79,60200,0.0,0.0
2012-10-12,9.86,9.86,9.77,9.86,33600,0.0,0.0
2012-10-15,9.98,9.98,9.84,9.86,36400,0.11437,0.0
