Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,21.16,21.31,20.96,21.16,10.82,995500.0,0.0,0.0
2010-01-05,21.1,21.28,20.98,21.22,10.85,1120100.0,0.0,0.0
2010-01-06,21.25,21.97,21.2,21.9,11.2,1974900.0,0.0,0.0
2010-01-07,21.86,22.26,21.82,22.26,11.38,1518900.0,0.0,0.0
2010-01-08,22.18,22.39,22.02,22.32,11.42,1048500.0,0.0,0.0
2010-01-11,22.37,22.55,22.17,22.49,11.5,1014100.0,0.0,0.0
2010-01-12,22.31,22.58,22.13,22.22,11.37,1605500.0,0.0,0.0
2010-01-13,22.26,22.81,22.26,22.79,11.66,1002300.0,0.0,0.0
2010-01-14,22.78,22.98,22.51,22.95,11.74,1214000.0,0.0,0.0
2010-01-15,22.87,23.04,22.41,22.53,11.53,1261200.0,0.0,0.0
2010-01-19,22.5,22.93,22.42,22.86,11.69,958900.0,0.0,0.0
2010-01-20,22.67,22.7,22.33,22.46,11.49,681200.0,0.0,0.0
2010-01-21,22.42,22.59,22.2,22.25,11.38,1418900.0,0.0,0.0
2010-01-22,22.26,22.28,21.91,21.94,11.22,1560100.0,0.0,0.0
2010-01-25,22.11,22.14,21.63,21.78,11.14,905800.0,0.0,0.0
2010-01-26,21.76,21.86,21.43,21.44,10.97,834600.0,0.0,0.0
2010-01-27,21.42,21.58,21.17,21.45,10.97,1289600.0,0.0,0.0
2010-01-28,21.5,21.5,21.07,21.16,10.83,784500.0,0.0,0.0
2010-01-29,21.34,21.44,21.09,21.13,10.81,1605100.0,0.0,0.0
2010-02-01,21.23,21.39,21.13,21.24,10.86,1015100.0,0.0,0.0
2010-02-02,21.24,21.52,21.16,21.47,10.98,1066500.0,0.0,0.0
2010-02-03,21.4,21.65,21.3,21.36,10.93,874100.0,0.0,0.0
2010-02-04,21.15,21.31,20.87,20.88,10.68,1499300.0,0.0,0.0
2010-02-05,20.8,21.03,20.29,20.43,10.45,2948200.0,0.0,0.0
2010-02-08,20.41,20.44,20.15,20.15,10.31,1330500.0,0.0,0.0
2010-02-09,20.37,20.5,20.13,20.28,10.37,1251600.0,0.0,0.0
2010-02-10,20.28,20.38,19.87,19.98,10.22,1705500.0,0.0,0.0
2010-02-11,19.94,20.26,19.7,20.08,10.27,1853500.0,0.0,0.0
2010-02-12,19.96,20.13,19.76,20.06,10.26,1668100.0,0.0,0.0
2010-02-16,20.19,20.71,20.05,20.7,10.59,1283900.0,0.0,0.0
2010-02-17,21.37,21.88,21.13,21.77,11.13,3238900.0,0.0,0.0
2010-02-18,21.8,22.08,21.72,22.03,11.27,1318900.0,0.0,0.0
2010-02-19,21.96,22.57,21.96,22.32,11.42,1933600.0,0.0,0.0
2010-02-22,22.44,22.59,21.89,22.06,11.28,1786200.0,0.0,0.0
2010-02-23,22.03,22.27,21.97,22.06,11.28,2021500.0,0.0,0.0
2010-02-24,22.16,22.6,22.13,22.46,11.49,2511400.0,0.0,0.0
2010-02-25,23.59,24.47,23.58,24.05,12.3,4288900.0,0.0,0.0
2010-02-26,24.14,24.25,23.85,23.92,12.23,2187500.0,0.0,0.0
2010-03-01,24.11,24.12,23.72,24.02,12.29,2250000.0,0.0,0.0
2010-03-02,24.14,24.17,23.76,23.87,12.21,1368500.0,0.0,0.0
2010-03-03,23.96,24.06,23.59,23.68,12.11,1506500.0,0.0,0.0
2010-03-04,23.74,23.75,23.44,23.7,12.12,1005000.0,0.0,0.0
2010-03-05,23.76,24.02,23.69,23.87,12.21,1192100.0,0.0,0.0
