Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,11.27,11.45,11.23,11.36,8334200,0.0,0.0
2010-01-05,11.34,11.4,11.24,11.3,4704000,0.0,0.0
2010-01-06,11.3,11.34,11.25,11.27,5095000,0.0,0.0
2010-01-07,11.28,11.37,11.21,11.35,6697700,0.0,0.0
2010-01-08,11.3,11.42,11.23,11.39,6177700,0.0,0.0
2010-01-11,11.45,11.7,11.44,11.68,7072800,0.0,0.0
2010-01-12,11.59,11.72,11.54,11.66,4880400,0.0,0.0
2010-01-13,11.66,11.74,11.54,11.56,5235200,0.0,0.0
2010-01-14,11.55,11.73,11.55,11.68,3614500,0.0,0.0
2010-01-15,11.69,11.8,11.51,11.76,6473200,0.0,0.0
2010-01-19,12.06,12.18,11.75,11.96,26371800,0.0,0.0
2010-01-20,11.93,12.01,11.82,11.95,13688400,0.0,0.0
2010-01-21,11.99,12.04,11.75,11.82,8785100,0.0,0.0
2010-01-22,11.81,11.86,11.58,11.6,10818900,0.0,0.0
2010-01-25,11.72,11.77,11.53,11.55,5772500,0.0,0.0
2010-01-26,11.44,11.56,11.42,11.45,7965100,0.0,0.0
2010-01-27,11.48,11.53,11.35,11.5,7212300,0.1041,0.0
2010-01-28,11.5,11.57,11.28,11.37,7451200,0.0,0.0
2010-01-29,11.41,11.43,11.1,11.16,8245200,0.0,0.0
2010-02-01,11.24,11.27,11.08,11.19,7287600,0.0,0.0
2010-02-02,11.24,11.52,11.24,11.49,9119900,0.0,0.0
2010-02-03,11.5,11.62,11.47,11.5,6606200,0.0,0.0
2010-02-04,11.39,11.4,11.04,11.04,6909300,0.0,0.0
2010-02-05,11.12,11.17,10.71,10.87,11036100,0.0,0.0
2010-02-08,10.9,10.93,10.69,10.69,6179100,0.0,0.0
2010-02-09,10.85,11.03,10.81,10.96,7954600,0.0,0.0
2010-02-10,10.95,11.03,10.87,10.89,5358900,0.0,0.0
2010-02-11,10.87,10.97,10.8,10.92,6031300,0.0,0.0
