Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2017-02-01,24.75,24.75,24.54,24.54,19.6497,135300,0.0,0
2017-02-02,24.5,24.83,24.5,24.83,19.8819,47618,0.0,0
2017-02-03,24.83,24.87,24.6,24.71,19.7859,86565,0.0,0
2017-02-06,24.8,24.9,24.71,24.72,19.7939,63320,0.0,0
2017-02-07,24.85,25.0,24.55,24.795,19.8539,298237,0.0,0
2017-02-08,24.85,25.1,24.78,24.95,19.978,188586,0.0,0
2017-02-09,24.885,25.0,24.8,24.95,19.978,82670,0.0,0
2017-02-10,24.95,25.01,24.85,24.9,19.938,15175,0.0,0
2017-02-13,24.9,24.9,24.9,24.9,19.938,0,0.0,0
2017-02-14,25.05,25.15,24.72,24.87,19.914,129422,0.0,0
2017-02-15,24.78,24.9,24.7,24.89,19.93,85453,0.0,0
2017-02-16,24.97,25.05,24.8673,25.01,20.0261,74501,0.0,0
2017-02-17,24.99,25.0,24.87,24.9,19.938,35806,0.0,0
2017-02-21,24.94,25.05,24.92,24.93,19.962,45050,0.0,0
2017-02-22,24.96,24.98,24.91,24.91,19.946,26219,0.0,0
2017-02-23,24.98,25.0,24.94,25.0,20.0181,63020,0.0,0
2017-02-24,25.02,25.02,24.97,24.97,19.9941,51989,0.0,0
2017-02-27,25.0,25.0,24.91,24.92,19.954,22047,0.0,0
2017-02-28,24.93,24.93,24.75,24.79,19.8499,63193,0.0,0
2017-03-01,24.64,24.68,24.5,24.57,19.6738,39634,0.0,0
2017-03-02,24.6,24.63,24.55,24.55,19.6577,56470,0.0,0
2017-03-03,24.53,24.7299,24.53,24.66,19.7458,35127,0.0,0
2017-03-06,24.69,24.69,24.5869,24.65,19.7378,24987,0.0,0
2017-03-07,24.57,24.69,24.4,24.51,19.6257,39478,0.0,0
2017-03-08,24.35,24.4599,24.24,24.43,19.5617,27496,0.0,0
2017-03-09,24.33,24.35,24.08,24.25,19.4175,18273,0.0,0
2017-03-10,24.2598,24.4,24.1601,24.39,19.5296,4802,0.0,0
2017-03-13,24.19,24.26,24.05,24.2393,19.6611,14225,0.3128,0
2017-03-14,24.28,24.3,24.23,24.29,19.7022,10606,0.0,0
2017-03-15,24.3,24.53,24.2401,24.53,19.8969,35395,0.0,0
2017-03-16,24.54,24.54,24.45,24.52,19.8888,24124,0.0,0
2017-03-17,24.52,24.65,24.43,24.65,19.9942,11640,0.0,0
2017-03-20,24.65,24.65,24.5234,24.63,19.978,7040,0.0,0
2017-03-21,24.63,24.63,24.48,24.54,19.905,9819,0.0,0
2017-03-22,24.55,24.64,24.5,24.6,19.9537,21993,0.0,0
2017-03-23,24.64,24.69,24.57,24.6,19.9537,18718,0.0,0
2017-03-24,24.6,24.75,24.56,24.69,20.0267,13680,0.0,0
2017-03-27,24.66,24.7899,24.6595,24.74,20.0672,10709,0.0,0
2017-03-28,24.8,24.88,24.76,24.86,20.1646,73080,0.0,0
2017-03-29,24.8858,24.9,24.83,24.9,20.197,54784,0.0,0
2017-03-30,24.9,25.07,24.85,25.02,20.2944,23908,0.0,0
2017-03-31,25.02,25.07,24.97,25.02,20.2944,18603,0.0,0
2017-04-03,25.07,25.18,25.001,25.14,20.3917,57120,0.0,0
2017-04-04,25.18,25.3,25.18,25.21,20.4485,37785,0.0,0
2017-04-05,25.19,25.3,25.08,25.17,20.416,38652,0.0,0
2017-04-06,25.08,25.2,25.08,25.17,20.416,20284,0.0,0
2017-04-07,25.21,25.34,25.17,25.33,20.5458,34934,0.0,0
2017-04-10,25.43,25.64,25.43,25.61,20.7729,45859,0.0,0
2017-04-11,25.63,25.79,25.35,25.73,20.8703,39849,0.0,0
2017-04-12,25.74,25.85,25.64,25.85,20.9676,26077,0.0,0
