Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,10.31,10.47,10.25,10.45,5.09,289400,0.0,0
2010-01-05,10.37,10.5,10.36,10.47,5.1,248900,0.0,0
2010-01-06,10.5,10.57,10.42,10.51,5.12,258100,0.0,0
2010-01-07,10.45,10.55,10.45,10.55,5.14,212200,0.0,0
2010-01-08,10.5,10.68,10.5,10.66,5.2,229400,0.0,0
2010-01-11,10.67,10.75,10.62,10.72,5.23,212000,0.0,0
2010-01-12,10.68,10.73,10.58,10.6,5.17,360400,0.0,0
2010-01-13,10.53,10.6,10.51,10.6,5.19,190800,0.051,0
2010-01-14,10.6,10.66,10.59,10.64,5.21,172800,0.0,0
2010-01-15,10.58,10.66,10.58,10.66,5.22,82100,0.0,0
2010-01-19,10.65,10.8,10.64,10.75,5.27,202800,0.0,0
2010-01-20,10.74,10.79,10.73,10.76,5.27,240900,0.0,0
2010-01-21,10.78,10.85,10.73,10.75,5.27,296000,0.0,0
2010-01-22,10.78,10.82,10.75,10.77,5.28,240900,0.0,0
2010-01-25,10.82,10.9,10.72,10.87,5.32,318700,0.0,0
2010-01-26,10.92,10.96,10.69,10.72,5.25,345400,0.0,0
2010-01-27,10.81,10.82,10.65,10.77,5.28,293300,0.0,0
2010-01-28,10.72,10.81,10.71,10.74,5.26,279200,0.0,0
2010-01-29,10.79,10.83,10.73,10.76,5.27,251800,0.0,0
2010-02-01,11.05,11.05,10.74,10.82,5.3,217700,0.0,0
2010-02-02,10.85,10.92,10.81,10.92,5.35,174200,0.0,0
2010-02-03,10.9,10.92,10.85,10.89,5.33,206800,0.0,0
2010-02-04,10.92,10.95,10.75,10.81,5.3,206000,0.0,0
2010-02-05,10.81,10.84,10.65,10.72,5.25,352500,0.0,0
2010-02-08,10.68,10.87,10.67,10.85,5.31,146600,0.0,0
2010-02-09,10.91,11.01,10.88,11.0,5.39,228100,0.0,0
2010-02-10,11.01,11.04,10.92,11.04,5.43,165100,0.051,0
2010-02-11,11.05,11.13,10.99,11.06,5.44,202200,0.0,0
2010-02-12,11.05,11.09,11.02,11.09,5.46,265800,0.0,0
2010-02-16,11.11,11.15,11.03,11.15,5.49,268300,0.0,0
2010-02-17,11.15,11.21,11.07,11.14,5.48,223700,0.0,0
2010-02-18,11.13,11.28,11.1,11.25,5.54,337400,0.0,0
2010-02-19,11.28,11.49,11.26,11.37,5.6,238900,0.0,0
