Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2017-05-30,30.75,31.0,30.57,30.6,26.51,1069300,0.0,0
2017-05-31,30.69,31.58,30.24,31.28,27.09,2893900,0.0,0
2017-06-01,31.15,34.11,31.15,33.94,29.4,5878900,0.0,0
2017-06-02,33.07,33.68,33.0,33.29,28.84,5127300,0.0,0
2017-06-05,33.67,34.85,32.74,33.09,28.66,2782700,0.0,0
2017-06-06,32.74,33.14,31.35,31.6,27.37,6027300,0.0,0
2017-06-07,31.96,32.18,31.18,31.7,27.46,2269400,0.0,0
2017-06-08,31.78,31.98,31.45,31.78,27.53,2107200,0.0,0
2017-06-09,31.5,32.05,31.34,31.71,27.47,2261400,0.0,0
2017-06-12,31.64,32.62,31.51,32.29,27.97,1863800,0.0,0
2017-06-13,32.56,33.25,32.26,32.74,28.36,1286500,0.0,0
2017-06-14,33.83,34.03,33.15,33.99,29.44,2342800,0.0,0
2017-06-15,33.36,33.44,32.75,33.11,28.68,1548600,0.0,0
2017-06-16,33.15,33.2,32.43,32.43,28.09,7133000,0.0,0
2017-06-19,32.78,33.2,32.74,33.15,28.71,908700,0.0,0
2017-06-20,32.94,33.31,32.57,32.89,28.49,907300,0.0,0
2017-06-21,32.94,33.4,32.83,32.87,28.47,896900,0.0,0
2017-06-22,32.86,33.14,32.82,33.09,28.66,1529100,0.0,0
2017-06-23,33.06,33.29,32.81,32.9,28.5,765800,0.0,0
2017-06-26,33.03,33.49,32.8,33.2,28.76,788400,0.0,0
2017-06-27,33.21,33.4,32.87,33.06,28.64,728200,0.0,0
2017-06-28,33.11,34.42,33.01,33.66,29.16,1533700,0.0,0
2017-06-29,34.0,34.15,32.71,33.56,29.07,1600200,0.0,0
2017-06-30,33.49,33.53,32.96,33.11,28.68,2260700,0.0,0
2017-07-03,32.92,33.12,32.02,32.5,28.15,1621800,0.0,0
2017-07-05,32.48,32.75,32.23,32.65,28.28,733300,0.0,0
2017-07-06,32.33,32.38,31.6,31.6,27.37,1204900,0.0,0
2017-07-07,31.78,32.51,31.67,32.49,28.14,608400,0.0,0
2017-07-10,32.57,33.61,32.57,33.58,29.09,639600,0.0,0
2017-07-11,33.58,33.58,32.8,33.24,28.79,941200,0.0,0
2017-07-12,33.27,33.95,33.16,33.78,29.26,503000,0.0,0
2017-07-13,33.79,34.25,33.5,34.08,29.52,447100,0.0,0
2017-07-14,34.04,34.25,33.76,34.0,29.45,1377100,0.0,0
2017-07-17,34.1,34.15,33.74,33.82,29.29,763800,0.0,0
2017-07-18,33.84,34.08,33.6,33.74,29.23,575600,0.0,0
2017-07-19,33.67,33.97,33.19,33.52,29.04,626200,0.0,0
2017-07-20,33.47,33.78,33.02,33.52,29.04,400600,0.0,0
2017-07-21,33.25,33.63,32.92,33.1,28.67,705000,0.0,0
2017-07-24,32.91,33.67,32.84,33.66,29.16,561000,0.0,0
2017-07-25,34.14,34.53,34.02,34.37,29.77,1099900,0.0,0
2017-07-26,34.37,34.52,33.93,34.0,29.45,449000,0.0,0
2017-07-27,34.22,34.34,32.88,33.19,28.75,807100,0.0,0
2017-07-28,33.28,33.38,32.72,32.86,28.46,450900,0.0,0
2017-07-31,32.86,33.56,32.86,33.49,29.01,603200,0.0,0
2017-08-01,33.72,34.11,33.59,34.02,29.47,435500,0.0,0
2017-08-02,33.42,33.88,32.5,33.53,29.04,754300,0.0,0
2017-08-03,33.22,33.75,33.19,33.52,29.04,540500,0.0,0
2017-08-04,33.72,34.43,33.72,34.13,29.56,699200,0.0,0
2017-08-07,34.17,34.24,33.81,34.08,29.52,840800,0.0,0
2017-08-08,35.7,35.85,34.7,35.48,30.73,1094200,0.0,0
2017-08-09,35.51,35.83,35.39,35.77,30.98,1380900,0.0,0
2017-08-10,35.64,35.64,35.11,35.3,30.58,1350500,0.0,0
2017-08-11,35.15,35.64,35.01,35.59,30.83,596200,0.0,0
2017-08-14,35.79,36.25,35.39,35.69,30.91,689900,0.0,0
2017-08-15,35.61,35.73,34.88,35.2,30.49,667000,0.0,0
2017-08-16,35.26,35.52,35.0,35.23,30.8,676400,0.32,0
2017-08-17,35.0,35.22,34.51,34.71,30.34,701000,0.0,0
2017-08-18,34.93,34.93,34.14,34.31,29.99,674600,0.0,0
2017-08-21,34.37,34.62,34.27,34.5,30.16,645200,0.0,0
2017-08-22,34.41,34.78,34.16,34.5,30.16,1135500,0.0,0
2017-08-23,34.21,34.85,34.21,34.74,30.37,442000,0.0,0
2017-08-24,34.91,34.97,34.52,34.82,30.44,418500,0.0,0
2017-08-25,35.0,35.54,35.0,35.28,30.84,434100,0.0,0
2017-08-28,35.26,35.51,34.94,35.13,30.71,503400,0.0,0
2017-08-29,34.42,34.43,33.86,34.16,29.86,581200,0.0,0
2017-08-30,34.13,34.23,33.69,34.17,29.87,406100,0.0,0
2017-08-31,34.13,34.71,34.02,34.56,30.21,357200,0.0,0
2017-09-01,34.64,34.88,34.64,34.79,30.41,349100,0.0,0
2017-09-05,34.74,34.74,33.08,33.42,29.21,821400,0.0,0
2017-09-06,32.96,33.7,32.86,33.42,29.21,428800,0.0,0
2017-09-07,33.5,33.5,33.09,33.21,29.03,484500,0.0,0
2017-09-08,33.15,33.47,32.99,33.39,29.19,639200,0.0,0
2017-09-11,33.87,34.32,33.49,33.59,29.36,580900,0.0,0
2017-09-12,34.04,34.04,33.65,34.0,29.72,331500,0.0,0
2017-09-13,33.73,33.73,32.79,33.04,28.88,961900,0.0,0
2017-09-14,32.81,33.37,32.81,33.22,29.04,355300,0.0,0
