Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,64.71,64.99,64.41,64.68,47.55,9506200,0.0,0
2010-01-05,64.58,64.62,63.82,63.93,47.0,10673100,0.0,0
2010-01-06,63.9,64.54,63.83,64.45,47.38,13171500,0.0,0
2010-01-07,64.25,64.35,63.74,63.99,47.04,10901600,0.0,0
2010-01-08,63.92,64.26,63.63,64.21,47.2,7898000,0.0,0
2010-01-11,64.75,64.75,64.01,64.22,47.21,7975700,0.0,0
2010-01-12,64.13,64.72,64.02,64.56,47.46,10820700,0.0,0
2010-01-13,64.54,65.23,64.54,64.97,47.76,13023800,0.0,0
2010-01-14,65.2,65.27,64.75,65.1,47.86,7899000,0.0,0
2010-01-15,65.14,65.2,63.98,64.56,47.46,20995000,0.0,0
2010-01-19,64.14,65.75,64.11,65.35,48.04,15181800,0.0,0
2010-01-20,65.47,65.95,64.47,65.15,47.9,13033000,0.0,0
2010-01-21,65.07,65.47,63.8,63.97,47.03,14473900,0.0,0
2010-01-22,63.91,64.19,63.09,63.2,46.46,14017200,0.0,0
2010-01-25,63.67,63.7,63.05,63.22,46.48,10001700,0.0,0
2010-01-26,62.64,63.01,62.22,62.79,46.16,15630300,0.0,0
2010-01-27,62.78,63.72,62.7,63.44,46.64,14982400,0.0,0
2010-01-28,63.57,64.07,63.04,63.8,46.9,17096000,0.0,0
2010-01-29,63.95,64.27,62.82,62.86,46.21,17844400,0.0,0
2010-02-01,63.26,63.26,62.77,63.09,46.38,10153400,0.0,0
2010-02-02,63.2,64.2,62.63,63.99,47.04,13609300,0.0,0
2010-02-03,63.87,63.87,63.29,63.63,46.78,9255900,0.0,0
2010-02-04,63.49,63.62,62.62,62.64,46.05,18397000,0.0,0
2010-02-05,62.69,63.6,61.89,62.64,46.05,16775200,0.0,0
2010-02-08,62.5,62.98,62.26,62.37,45.85,10081200,0.0,0
2010-02-09,62.55,63.47,62.47,62.76,46.14,11356400,0.0,0
2010-02-10,62.79,63.07,62.21,62.73,46.12,10115800,0.0,0
2010-02-11,62.62,63.21,62.26,62.91,46.25,8353600,0.0,0
2010-02-12,62.61,63.0,62.11,62.72,46.11,12335800,0.0,0
2010-02-16,63.25,63.71,62.82,63.61,46.76,10212400,0.0,0
2010-02-17,63.63,64.36,63.61,63.98,47.04,9485500,0.0,0
2010-02-18,63.98,64.7,63.95,64.53,47.44,8260600,0.0,0
2010-02-19,64.15,64.46,63.62,63.81,47.27,14222300,0.49,0
2010-02-22,63.81,64.1,63.39,63.49,47.03,9839700,0.0,0
2010-02-23,63.56,63.85,63.23,63.31,46.9,12481400,0.0,0
2010-02-24,63.55,63.85,63.25,63.45,47.0,8519300,0.0,0
2010-02-25,62.79,63.35,62.52,63.28,46.88,10528900,0.0,0
2010-02-26,63.46,63.59,63.0,63.0,46.67,9357800,0.0,0
2010-03-01,63.27,63.46,63.17,63.39,46.96,9219400,0.0,0
2010-03-02,63.31,63.64,63.02,63.44,47.0,9014000,0.0,0
2010-03-03,63.59,63.75,63.22,63.4,46.97,9360400,0.0,0
2010-03-04,63.53,63.7,63.37,63.57,47.09,8067200,0.0,0
2010-03-05,63.66,64.07,63.55,64.04,47.44,10633600,0.0,0
2010-03-08,64.08,64.41,64.02,64.2,47.56,33380500,0.0,0
2010-03-09,64.55,64.55,64.09,64.27,47.61,8827100,0.0,0
2010-03-10,64.49,64.56,64.15,64.29,47.63,8436600,0.0,0
2010-03-11,64.15,64.22,63.6,64.22,47.57,9957800,0.0,0
2010-03-12,64.26,64.26,63.85,64.18,47.54,8223000,0.0,0
2010-03-15,64.14,64.57,64.07,64.57,47.83,7444700,0.0,0
2010-03-16,64.7,64.72,64.23,64.53,47.8,8882000,0.0,0
2010-03-17,64.72,64.74,64.48,64.65,47.89,8060700,0.0,0
2010-03-18,64.58,65.15,64.37,65.06,48.2,11742100,0.0,0
2010-03-19,65.11,65.49,64.81,65.11,48.23,23117600,0.0,0
2010-03-22,65.07,65.44,64.98,65.1,48.23,8803800,0.0,0
2010-03-23,65.18,65.39,64.87,65.36,48.42,9453900,0.0,0
2010-03-24,65.31,65.31,64.75,64.75,47.97,9312500,0.0,0
2010-03-25,65.04,65.25,64.53,64.57,47.83,10496600,0.0,0
2010-03-26,64.68,64.72,64.33,64.38,47.69,9450400,0.0,0
2010-03-29,64.46,64.93,64.4,64.82,48.02,7812900,0.0,0
2010-03-30,64.95,64.98,64.56,64.9,48.08,8311600,0.0,0
2010-03-31,64.84,65.31,64.7,65.2,48.3,11939100,0.0,0
2010-04-01,65.37,65.77,65.24,65.77,48.72,10600600,0.0,0
2010-04-05,65.77,65.89,65.38,65.4,48.45,8617600,0.0,0
2010-04-06,65.13,65.45,65.0,65.31,48.38,8260100,0.0,0
2010-04-07,65.24,65.49,65.08,65.22,48.31,9409400,0.0,0
2010-04-08,65.19,65.19,64.77,64.93,48.1,8962600,0.0,0
2010-04-09,64.88,65.17,64.78,65.14,48.25,6972700,0.0,0
2010-04-12,65.11,65.21,64.93,65.11,48.23,8692200,0.0,0
2010-04-13,65.06,65.85,64.91,65.68,48.66,12481600,0.0,0
2010-04-14,65.43,65.6,65.18,65.49,48.51,10501900,0.0,0
2010-04-15,65.29,65.54,65.13,65.51,48.53,8656900,0.0,0
2010-04-16,65.34,65.65,64.89,65.02,48.17,15742500,0.0,0
2010-04-19,65.06,66.1,65.06,66.03,48.91,14626300,0.0,0
2010-04-20,66.03,66.2,65.73,65.99,48.88,11916400,0.0,0
2010-04-21,65.98,65.98,65.07,65.39,48.44,13355700,0.0,0
2010-04-22,65.18,65.24,64.33,64.78,47.99,19583000,0.0,0
2010-04-23,64.71,65.04,64.33,65.04,48.18,11674900,0.0,0
2010-04-26,64.99,65.2,64.72,64.76,47.97,9281500,0.0,0
2010-04-27,64.57,64.88,64.21,64.28,47.62,11862200,0.0,0
2010-04-28,64.43,64.86,64.25,64.62,47.87,12476600,0.0,0
2010-04-29,64.85,65.34,64.85,65.01,48.16,7930100,0.0,0
2010-04-30,65.13,65.34,64.3,64.3,47.63,14255900,0.0,0
2010-05-03,65.16,65.62,64.54,65.33,48.4,15310500,0.0,0
2010-05-04,65.07,65.28,64.41,64.7,47.93,14895700,0.0,0
2010-05-05,64.58,65.29,64.44,65.14,48.25,13143700,0.0,0
2010-05-06,65.04,65.1,60.03,63.4,46.97,24410000,0.0,0
2010-05-07,63.26,63.6,62.09,63.31,46.9,20467100,0.0,0
