Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,23.44,23.74,23.15,23.49,19.73,187600,0.0,0
2010-01-05,23.49,23.49,22.71,23.33,19.6,145700,0.0,0
2010-01-06,23.25,23.79,23.25,23.54,19.78,166300,0.0,0
2010-01-07,23.48,23.84,23.18,23.84,20.03,82300,0.0,0
2010-01-08,23.72,24.03,23.57,23.99,20.15,47100,0.0,0
2010-01-11,24.19,24.91,23.7,24.81,20.84,130400,0.0,0
2010-01-12,24.55,25.31,24.41,24.91,20.93,167300,0.0,0
2010-01-13,25.06,25.65,24.72,25.55,21.46,105300,0.0,0
2010-01-14,25.39,25.81,25.33,25.67,21.56,129600,0.0,0
2010-01-15,25.76,25.76,25.23,25.43,21.36,189900,0.0,0
2010-01-19,25.41,25.96,25.39,25.85,21.72,192300,0.0,0
2010-01-20,25.56,25.69,25.25,25.41,21.35,85600,0.0,0
2010-01-21,25.53,25.62,24.64,25.05,21.04,106600,0.0,0
2010-01-22,25.04,25.61,24.72,24.9,20.92,80300,0.0,0
2010-01-25,25.08,25.08,24.5,24.79,20.83,65400,0.0,0
2010-01-26,24.67,24.98,24.45,24.61,20.67,82400,0.0,0
2010-01-27,24.41,25.54,24.41,25.44,21.37,53600,0.0,0
2010-01-28,25.54,25.55,24.49,24.95,20.96,110000,0.0,0
2010-01-29,25.01,25.43,24.89,24.89,20.91,93700,0.0,0
2010-02-01,24.98,25.25,24.88,24.98,20.99,51200,0.0,0
2010-02-02,24.97,25.29,24.87,24.96,20.97,96200,0.0,0
2010-02-03,24.93,25.18,24.71,25.04,21.04,94600,0.0,0
2010-02-04,24.92,25.1,24.71,24.75,20.79,103000,0.0,0
2010-02-05,24.74,24.97,23.66,24.37,20.47,129300,0.0,0
2010-02-08,24.3,24.44,23.68,23.71,19.92,44400,0.0,0
2010-02-09,24.1,24.5,23.84,24.33,20.44,94200,0.0,0
2010-02-10,24.17,24.38,23.91,24.3,20.41,67200,0.0,0
2010-02-11,24.24,25.0,23.87,24.94,20.95,80600,0.0,0
2010-02-12,24.62,25.26,24.49,25.23,21.2,88800,0.0,0
2010-02-16,25.41,25.57,25.29,25.51,21.43,56400,0.0,0
2010-02-17,25.58,25.59,25.28,25.59,21.5,183600,0.0,0
2010-02-18,25.63,26.0,25.59,25.89,21.75,111100,0.0,0
2010-02-19,25.89,26.29,25.31,26.03,21.87,181100,0.0,0
2010-02-22,26.28,26.29,25.85,26.02,21.86,118400,0.0,0
2010-02-23,26.03,26.14,25.38,25.43,21.36,97100,0.0,0
2010-02-24,25.5,26.25,25.33,26.18,21.99,148200,0.0,0
2010-02-25,25.8,25.93,25.51,25.86,21.72,143200,0.0,0
2010-02-26,25.77,25.91,23.87,23.95,20.12,212200,0.0,0
2010-03-01,24.01,24.11,23.77,24.0,20.16,252200,0.0,0
2010-03-02,23.96,24.06,23.69,23.9,20.08,90000,0.0,0
2010-03-03,23.9,24.02,23.33,23.63,19.85,155900,0.0,0
2010-03-04,23.79,24.17,23.54,23.94,20.11,130300,0.0,0
2010-03-05,24.0,24.66,23.97,24.45,20.54,149400,0.0,0
2010-03-08,24.52,24.52,24.11,24.36,20.46,103600,0.0,0
2010-03-09,24.35,25.01,24.34,24.81,20.84,138100,0.0,0
2010-03-10,24.72,25.15,24.62,25.13,21.11,132200,0.0,0
2010-03-11,24.91,25.67,24.79,25.64,21.54,162900,0.0,0
2010-03-12,25.95,25.95,25.27,25.78,21.66,172100,0.0,0
2010-03-15,25.78,26.23,25.72,25.86,21.72,66000,0.0,0
2010-03-16,26.01,26.06,25.57,25.91,21.77,51800,0.0,0
2010-03-17,26.04,26.23,25.71,25.82,21.69,43700,0.0,0
2010-03-18,25.61,25.74,25.31,25.52,21.56,51800,0.14,0
2010-03-19,25.67,25.67,24.98,25.09,21.19,90000,0.0,0
2010-03-22,25.01,25.8,24.82,25.64,21.66,48800,0.0,0
2010-03-23,25.71,26.35,25.44,26.29,22.21,45600,0.0,0
2010-03-24,25.69,25.69,24.84,24.96,21.08,88200,0.0,0
2010-03-25,25.17,25.38,24.38,24.43,20.64,94300,0.0,0
2010-03-26,24.58,24.76,23.86,24.18,20.42,82900,0.0,0
2010-03-29,24.25,24.82,24.14,24.77,20.92,55600,0.0,0
2010-03-30,24.73,25.4,24.43,24.78,20.93,55100,0.0,0
2010-03-31,24.55,25.17,24.55,25.01,21.12,82800,0.0,0
2010-04-01,25.22,25.44,24.7,24.92,21.05,62300,0.0,0
2010-04-05,25.1,25.73,24.79,25.45,21.5,58000,0.0,0
2010-04-06,25.21,25.62,25.21,25.32,21.39,26600,0.0,0
2010-04-07,25.13,25.46,24.89,25.07,21.18,52700,0.0,0
2010-04-08,24.92,24.99,24.73,24.77,20.92,27000,0.0,0
2010-04-09,24.8,25.01,24.34,24.82,20.96,45400,0.0,0
