Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,4.46,4.7,4.45,4.68,14901600,0.0,0
2010-01-05,4.63,4.88,4.63,4.86,16660800,0.0,0
2010-01-06,4.86,4.89,4.78,4.83,11785800,0.0,0
2010-01-07,4.78,5.11,4.76,5.04,25554700,0.0,0
2010-01-08,5.0,5.17,5.0,5.12,16513200,0.0,0
2010-01-11,5.12,5.2,5.04,5.15,14836600,0.0,0
2010-01-12,5.09,5.16,5.01,5.05,20207300,0.0,0
2010-01-13,5.08,5.23,4.96,5.11,16226500,0.0,0
2010-01-14,5.08,5.43,5.08,5.4,24101200,0.0,0
2010-01-15,5.35,5.47,5.13,5.42,29510700,0.0,0
2010-01-19,5.37,5.41,5.27,5.33,17897800,0.0,0
2010-01-20,5.26,5.51,5.26,5.49,20676700,0.0,0
2010-01-21,5.8,6.11,5.75,5.78,57005100,0.0,0
2010-01-22,5.64,5.9,5.31,5.71,27104500,0.0,0
2010-01-25,5.86,5.89,5.42,5.56,29787100,0.0,0
2010-01-26,5.6,5.68,5.42,5.43,36998500,0.0,0
2010-01-27,5.41,5.72,5.39,5.63,23381300,0.0,0
2010-01-28,5.72,5.89,5.67,5.73,27513800,0.0,0
2010-01-29,5.78,5.9,5.63,5.66,17818300,0.0,0
2010-02-01,5.7,5.81,5.62,5.78,17914300,0.0,0
2010-02-02,5.74,5.94,5.74,5.93,29768900,0.0,0
2010-02-03,5.89,5.89,5.71,5.84,30732000,0.0,0
2010-02-04,5.75,5.79,5.47,5.48,30016100,0.0,0
2010-02-05,5.47,5.55,5.23,5.43,35451500,0.0,0
2010-02-08,5.45,5.51,5.25,5.37,25541600,0.0,0
2010-02-09,5.46,5.54,5.39,5.45,12635000,0.0,0
2010-02-10,5.35,5.52,5.31,5.42,24267300,0.0,0
2010-02-11,5.42,5.46,5.36,5.41,9413300,0.0,0
2010-02-12,5.34,5.37,5.26,5.35,9090700,0.0,0
2010-02-16,5.41,5.49,5.4,5.45,9443500,0.0,0
2010-02-17,5.49,5.49,5.34,5.38,12498800,0.0,0
2010-02-18,5.36,5.37,5.26,5.31,14011800,0.0,0
2010-02-19,5.28,5.38,5.28,5.35,10628800,0.0,0
2010-02-22,5.34,5.51,5.34,5.49,20247300,0.0,0
2010-02-23,5.46,5.48,5.29,5.31,11928800,0.0,0
2010-02-24,5.34,5.61,5.33,5.6,19088100,0.0,0
2010-02-25,5.48,5.53,5.34,5.51,15527600,0.0,0
2010-02-26,5.52,5.67,5.49,5.64,14077600,0.01,0
2010-03-01,5.65,5.69,5.45,5.5,9943000,0.0,0
2010-03-02,5.5,5.64,5.5,5.56,7789700,0.0,0
2010-03-03,5.56,5.63,5.51,5.56,9324200,0.0,0
2010-03-04,5.58,5.66,5.52,5.6,6691200,0.0,0
2010-03-05,5.66,5.73,5.61,5.72,10951200,0.0,0
2010-03-08,5.69,5.8,5.67,5.74,8176000,0.0,0
2010-03-09,5.7,5.79,5.59,5.73,12701800,0.0,0
2010-03-10,5.8,6.07,5.76,5.97,20269700,0.0,0
2010-03-11,6.0,6.23,5.95,6.22,17572600,0.0,0
2010-03-12,6.36,6.46,5.9,5.96,31948000,0.0,0
2010-03-15,5.95,5.97,5.76,5.97,25890100,0.0,0
2010-03-16,6.01,6.09,5.9,6.08,17002300,0.0,0
2010-03-17,6.12,6.33,6.09,6.23,17953400,0.0,0
2010-03-18,6.17,6.17,5.92,5.97,19632900,0.0,0
2010-03-19,6.0,6.05,5.9,6.0,15160600,0.0,0
