Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2017-12-12,24.75,24.75,24.55,24.68,22.34,5172263,0.0,0
2017-12-13,24.85,24.95,24.55,24.95,22.58,902307,0.0,0
2017-12-14,24.95,24.95,24.6,24.69,22.34,420255,0.0,0
2017-12-15,24.7,24.75,24.65,24.66,22.32,425342,0.0,0
2017-12-18,24.67,24.89,24.62,24.74,22.39,358811,0.0,0
2017-12-19,24.75,24.75,24.62,24.62,22.28,194296,0.0,0
2017-12-20,24.6,24.75,24.6,24.65,22.31,375247,0.0,0
2017-12-21,24.7,24.84,24.68,24.83,22.47,272324,0.0,0
2017-12-22,24.85,24.85,24.77,24.85,22.49,113001,0.0,0
2017-12-26,24.86,24.96,24.75,24.92,22.55,157335,0.0,0
2017-12-27,24.88,24.95,24.86,24.89,22.53,207327,0.0,0
2017-12-28,24.89,25.06,24.87,25.06,22.68,144502,0.0,0
2017-12-29,25.05,25.1,24.94,24.94,22.57,180027,0.0,0
2018-01-02,25.0,25.04,24.8,24.86,22.5,192983,0.0,0
2018-01-03,24.91,25.05,24.88,25.04,22.66,263984,0.0,0
2018-01-04,25.0,25.1,24.99,25.1,22.72,316419,0.0,0
2018-01-05,25.06,25.19,25.06,25.19,22.8,148444,0.0,0
2018-01-08,25.22,25.25,25.07,25.14,22.75,312968,0.0,0
2018-01-09,25.12,25.12,25.0,25.05,22.67,398541,0.0,0
2018-01-10,24.92,25.0,24.79,24.99,22.62,424443,0.0,0
2018-01-11,25.02,25.03,24.87,25.0,22.62,61133,0.0,0
2018-01-12,25.0,25.0,24.82,24.99,22.62,117523,0.0,0
2018-01-16,25.0,25.0,24.92,24.99,22.62,108125,0.0,0
2018-01-17,24.97,25.03,24.9,24.93,22.56,147681,0.0,0
2018-01-18,24.89,24.96,24.68,24.75,22.4,231073,0.0,0
2018-01-19,24.8,24.8,24.12,24.12,21.83,2035106,0.0,0
2018-01-22,24.01,24.09,23.6,23.79,21.53,306308,0.0,0
