Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,31.12,32.02,30.89,31.91,27.87,125200,0.0,0
2010-01-05,31.76,33.0,31.34,32.53,28.41,211900,0.0,0
2010-01-06,32.5,33.32,31.23,31.36,27.39,311500,0.0,0
2010-01-07,31.36,31.49,30.55,31.2,27.25,172400,0.0,0
2010-01-08,31.21,31.91,30.81,31.81,27.78,146500,0.0,0
2010-01-11,32.17,32.82,31.92,32.68,28.54,169100,0.0,0
2010-01-12,32.4,32.46,32.08,32.42,28.32,200300,0.0,0
2010-01-13,32.48,33.05,32.09,32.61,28.48,72800,0.0,0
2010-01-14,32.56,32.81,32.12,32.36,28.26,104800,0.0,0
2010-01-15,32.52,32.52,31.29,31.41,27.43,171700,0.0,0
2010-01-19,31.59,32.29,31.37,31.99,27.94,94700,0.0,0
2010-01-20,31.56,31.8,31.08,31.61,27.61,115400,0.0,0
2010-01-21,31.61,31.88,29.3,30.05,26.25,211600,0.0,0
2010-01-22,30.0,30.0,28.59,28.7,25.07,116000,0.0,0
2010-01-25,28.93,29.04,28.3,28.7,25.07,82000,0.0,0
2010-01-26,28.49,29.08,28.0,28.1,24.54,64800,0.0,0
2010-01-27,28.0,28.37,27.62,28.17,24.6,231100,0.0,0
2010-01-28,28.18,28.3,27.52,27.97,24.43,164600,0.0,0
2010-01-29,28.18,28.48,27.71,27.92,24.39,232400,0.0,0
2010-02-01,28.16,28.82,27.79,28.7,25.07,564400,0.0,0
2010-02-02,28.81,29.1,28.48,28.87,25.22,153700,0.0,0
2010-02-03,28.67,28.89,27.94,28.59,24.97,102800,0.0,0
2010-02-04,28.3,28.31,27.68,27.96,24.42,163300,0.0,0
2010-02-05,27.98,28.16,26.96,27.99,24.45,116300,0.0,0
2010-02-08,27.92,27.92,27.0,27.02,23.6,101500,0.0,0
2010-02-09,27.43,27.84,27.04,27.36,23.9,86700,0.0,0
2010-02-10,27.14,27.32,26.67,27.08,23.65,51800,0.0,0
2010-02-11,26.91,27.26,26.73,27.18,23.93,127600,0.22,0
2010-02-12,26.74,27.6,26.44,27.58,24.29,118700,0.0,0
2010-02-16,27.89,27.99,27.63,27.93,24.59,121500,0.0,0
2010-02-17,26.8,28.12,25.58,27.79,24.47,343600,0.0,0
2010-02-18,27.54,27.88,26.78,27.7,24.39,244500,0.0,0
2010-02-19,27.63,28.84,27.5,28.64,25.22,204300,0.0,0
2010-02-22,28.68,28.68,27.95,28.1,24.74,137200,0.0,0
2010-02-23,27.96,28.4,27.75,27.9,24.57,303700,0.0,0
2010-02-24,27.95,28.34,27.75,28.07,24.72,106700,0.0,0
2010-02-25,27.58,28.17,27.23,28.07,24.72,206000,0.0,0
2010-02-26,28.1,28.34,27.56,27.8,24.48,86000,0.0,0
2010-03-01,28.07,28.55,28.02,28.31,24.93,90900,0.0,0
2010-03-02,28.45,29.25,28.06,28.95,25.49,109900,0.0,0
2010-03-03,29.1,29.46,28.67,28.91,25.46,62300,0.0,0
2010-03-04,28.91,28.97,28.52,28.8,25.36,52500,0.0,0
2010-03-05,29.11,29.85,29.11,29.74,26.19,150800,0.0,0
2010-03-08,29.84,29.99,29.65,29.76,26.21,60300,0.0,0
2010-03-09,29.71,29.98,29.39,29.62,26.08,70400,0.0,0
2010-03-10,29.55,29.88,29.04,29.43,25.91,76100,0.0,0
2010-03-11,29.16,29.38,28.85,29.35,25.84,50300,0.0,0
2010-03-12,29.5,29.53,28.87,29.33,25.83,53200,0.0,0
