Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-06-18,25.02,25.24,25.02,25.24,18.92,700,0.0,0
2012-06-19,25.01,25.02,25.0,25.01,18.75,2230,0.0,0
2012-06-20,25.24,25.24,25.02,25.15,18.85,318,0.0,0
2012-06-21,25.15,25.15,25.15,25.15,18.85,0,0.0,0
2012-06-22,25.03,25.03,25.0,25.03,18.76,200,0.0,0
2012-06-25,25.03,25.03,25.03,25.03,18.76,0,0.0,0
2012-06-26,25.14,25.34,25.14,25.32,18.98,460,0.0,0
2012-06-27,25.32,25.32,25.32,25.32,18.98,0,0.0,0
2012-06-28,25.7,25.84,25.6,25.6,19.19,5138,0.0,0
2012-06-29,25.67,25.67,25.51,25.51,19.12,500,0.0,0
2012-07-02,25.56,25.9,25.56,25.9,19.41,409,0.0,0
2012-07-03,25.66,25.95,25.66,25.95,19.45,290,0.0,0
2012-07-05,25.9,25.95,25.75,25.75,19.3,923,0.0,0
2012-07-06,25.74,25.74,25.65,25.67,19.24,596,0.0,0
2012-07-09,25.67,25.67,25.67,25.67,19.24,0,0.0,0
2012-07-10,25.53,25.53,25.53,25.53,19.14,19,0.0,0
2012-07-11,25.53,25.53,25.53,25.53,19.14,0,0.0,0
2012-07-12,25.55,25.95,25.51,25.95,19.45,1990,0.0,0
2012-07-13,25.99,26.03,25.9,25.9,19.41,3301,0.0,0
2012-07-16,25.89,25.89,25.89,25.89,19.41,10,0.0,0
2012-07-17,25.89,25.89,25.89,25.89,19.41,0,0.0,0
2012-07-18,26.0,26.0,26.0,26.0,19.49,60,0.0,0
2012-07-19,26.32,26.75,26.21,26.21,19.65,600,0.0,0
2012-07-20,26.24,26.24,25.5,25.5,19.11,978,0.0,0
2012-07-23,25.5,25.5,25.5,25.5,19.11,0,0.0,0
2012-07-24,25.5,25.5,25.5,25.5,19.11,0,0.0,0
2012-07-25,25.5,25.5,25.5,25.5,19.11,0,0.0,0
2012-07-26,25.5,25.5,25.4,25.4,19.04,602,0.0,0
2012-07-27,25.4,25.4,25.4,25.4,19.04,0,0.0,0
2012-07-30,25.4,25.4,25.4,25.4,19.04,0,0.0,0
2012-07-31,25.4,25.4,25.4,25.4,19.04,0,0.0,0
2012-08-01,25.4,25.4,25.4,25.4,19.04,0,0.0,0
2012-08-02,25.27,25.27,25.27,25.27,18.94,100,0.0,0
2012-08-03,25.27,25.27,25.27,25.27,18.94,0,0.0,0
2012-08-06,25.27,25.27,25.27,25.27,18.94,0,0.0,0
2012-08-07,25.27,25.27,25.27,25.27,18.94,0,0.0,0
2012-08-08,25.27,25.27,25.27,25.27,18.94,0,0.0,0
2012-08-09,25.87,25.87,25.54,25.54,19.14,200,0.0,0
2012-08-10,25.34,25.34,25.29,25.29,18.96,141,0.0,0
2012-08-13,25.29,25.93,25.0,25.5,19.11,6675,0.0,0
2012-08-14,25.7,25.7,25.7,25.7,19.26,20,0.0,0
2012-08-15,25.69,25.69,25.58,25.58,19.17,334,0.0,0
2012-08-16,25.58,25.58,25.58,25.58,19.17,0,0.0,0
2012-08-17,25.5,25.9,25.5,25.9,19.42,30,0.0,0
2012-08-20,25.74,25.89,25.41,25.41,19.05,629,0.0,0
2012-08-21,25.75,25.75,25.7,25.72,19.28,80,0.0,0
2012-08-22,25.82,25.82,25.55,25.55,19.15,330,0.0,0
2012-08-23,25.55,25.55,25.55,25.55,19.15,0,0.0,0
2012-08-24,25.55,25.55,25.55,25.55,19.15,0,0.0,0
2012-08-27,25.54,25.54,25.45,25.52,19.13,70,0.0,0
2012-08-28,25.76,25.76,25.25,25.25,18.93,770,0.0,0
2012-08-29,25.25,25.25,25.25,25.25,18.93,0,0.0,0
2012-08-30,25.25,25.25,25.25,25.25,18.93,0,0.0,0
2012-08-31,25.52,25.6,25.49,25.6,19.19,1100,0.0,0
2012-09-04,25.6,25.6,25.6,25.6,19.19,0,0.0,0
2012-09-05,25.6,25.6,25.6,25.6,19.19,0,0.0,0
2012-09-06,25.59,25.6,25.45,25.6,19.38,1471,0.25,0
2012-09-07,25.6,25.6,25.6,25.6,19.38,0,0.0,0
2012-09-10,25.95,25.95,25.89,25.92,19.62,340,0.0,0
2012-09-11,25.92,25.92,25.92,25.92,19.62,0,0.0,0
2012-09-12,25.87,25.95,25.87,25.95,19.64,500,0.0,0
2012-09-13,25.66,25.95,25.65,25.65,19.42,294,0.0,0
2012-09-14,25.95,25.95,25.94,25.94,19.64,331,0.0,0
2012-09-17,25.94,25.94,25.94,25.94,19.64,100,0.0,0
2012-09-18,25.87,25.87,25.87,25.87,19.58,352,0.0,0
2012-09-19,25.85,25.85,25.85,25.85,19.57,1085,0.0,0
2012-09-20,25.95,25.95,25.68,25.95,19.64,1248,0.0,0
2012-09-21,27.0,27.0,25.66,25.77,19.51,2817,0.0,0
2012-09-24,25.77,25.77,25.77,25.77,19.51,0,0.0,0
2012-09-25,25.85,25.85,25.65,25.65,19.42,600,0.0,0
2012-09-26,25.84,25.84,25.84,25.84,19.56,10,0.0,0
2012-09-27,25.84,25.84,25.84,25.84,19.56,0,0.0,0
2012-09-28,25.65,25.85,25.65,25.85,19.57,368,0.0,0
2012-10-01,25.82,25.82,25.82,25.82,19.55,100,0.0,0
2012-10-02,25.82,25.82,25.82,25.82,19.55,0,0.0,0
2012-10-03,25.66,25.9,25.65,25.65,19.42,569,0.0,0
2012-10-04,25.7,25.79,25.7,25.79,19.52,2293,0.0,0
2012-10-05,25.79,25.79,25.79,25.79,19.52,0,0.0,0
2012-10-08,25.79,25.79,25.67,25.67,19.43,750,0.0,0
2012-10-09,25.67,25.67,25.67,25.67,19.43,0,0.0,0
2012-10-10,25.7,25.7,25.7,25.7,19.45,150,0.0,0
2012-10-11,25.39,25.39,25.39,25.39,19.22,10,0.0,0
2012-10-12,25.95,25.95,25.35,25.93,19.63,582,0.0,0
2012-10-15,25.94,26.5,25.8,26.4,19.98,2132,0.0,0
2012-10-16,25.95,25.95,25.95,25.95,19.64,302,0.0,0
2012-10-17,25.75,25.75,25.75,25.75,19.49,2782,0.0,0
2012-10-18,25.75,25.75,25.75,25.75,19.49,0,0.0,0
2012-10-19,25.15,26.0,25.15,25.7,19.45,1220,0.0,0
2012-10-22,25.7,25.7,25.7,25.7,19.45,0,0.0,0
2012-10-23,25.36,25.36,25.36,25.36,19.2,30,0.0,0
2012-10-24,25.36,25.36,25.36,25.36,19.2,0,0.0,0
2012-10-25,25.75,25.75,25.75,25.75,19.49,18,0.0,0
2012-10-26,25.75,25.75,25.75,25.75,19.49,0,0.0,0
2012-10-31,25.75,25.75,25.75,25.75,19.49,0,0.0,0
2012-11-01,25.75,25.75,25.75,25.75,19.49,0,0.0,0
2012-11-02,25.75,25.75,25.75,25.75,19.49,0,0.0,0
2012-11-05,25.75,25.75,25.75,25.75,19.49,410,0.0,0
2012-11-06,25.5,25.5,25.5,25.5,19.3,105,0.0,0
2012-11-07,25.5,25.5,25.5,25.5,19.3,0,0.0,0
2012-11-08,25.5,25.5,25.5,25.5,19.3,0,0.0,0
2012-11-09,25.5,25.5,25.5,25.5,19.3,0,0.0,0
2012-11-12,25.5,25.5,25.5,25.5,19.3,0,0.0,0
2012-11-13,25.5,25.5,25.5,25.5,19.3,0,0.0,0
2012-11-14,25.5,25.5,25.5,25.5,19.3,0,0.0,0
2012-11-15,25.51,25.53,25.51,25.53,19.33,100,0.0,0
2012-11-16,25.53,25.53,25.53,25.53,19.33,0,0.0,0
2012-11-19,25.94,25.94,25.94,25.94,19.64,450,0.0,0
2012-11-20,25.93,25.93,25.8,25.8,19.53,94,0.0,0
2012-11-21,25.8,25.8,25.8,25.8,19.53,0,0.0,0
2012-11-23,25.8,25.8,25.8,25.8,19.53,0,0.0,0
2012-11-26,25.94,25.94,25.9,25.9,19.61,516,0.0,0
2012-11-27,25.8,25.8,25.7,25.8,19.53,3726,0.0,0
2012-11-28,25.8,25.8,25.8,25.8,19.53,0,0.0,0
2012-11-29,25.8,25.8,25.8,25.8,19.53,0,0.0,0
2012-11-30,25.8,25.8,25.8,25.8,19.53,408,0.0,0
2012-12-03,25.8,25.8,25.75,25.75,19.49,610,0.0,0
2012-12-04,25.75,25.75,25.75,25.75,19.49,0,0.0,0
2012-12-05,26.25,26.25,25.75,26.0,19.68,1010,0.0,0
2012-12-06,25.75,25.75,25.55,25.59,19.56,768,0.25,0
2012-12-07,26.18,26.18,25.5,25.8,19.72,600,0.0,0
2012-12-10,25.5,25.7,25.5,25.53,19.51,757,0.0,0
2012-12-11,25.51,25.55,25.51,25.55,19.53,270,0.0,0
2012-12-12,25.55,25.55,25.55,25.55,19.53,0,0.0,0
2012-12-13,25.6,25.77,25.6,25.77,19.7,1125,0.0,0
2012-12-14,25.65,25.68,25.65,25.68,19.63,75,0.0,0
2012-12-17,25.68,25.68,25.68,25.68,19.63,0,0.0,0
2012-12-18,25.68,25.68,25.68,25.68,19.63,0,0.0,0
2012-12-19,25.68,25.68,25.68,25.68,19.63,0,0.0,0
2012-12-20,25.76,25.78,25.58,25.58,19.55,677,0.0,0
2012-12-21,25.58,25.58,25.58,25.58,19.55,0,0.0,0
2012-12-24,25.58,25.58,25.58,25.58,19.55,0,0.0,0
2012-12-26,25.78,25.78,25.78,25.78,19.7,400,0.0,0
2012-12-27,25.79,25.79,25.79,25.79,19.71,100,0.0,0
2012-12-28,25.77,25.79,25.58,25.58,19.55,116,0.0,0
2012-12-31,25.79,25.79,25.78,25.78,19.7,124,0.0,0
2013-01-02,25.8,25.8,25.78,25.78,19.7,624,0.0,0
2013-01-03,25.77,25.77,25.65,25.77,19.7,370,0.0,0
2013-01-04,25.8,25.8,25.75,25.75,19.68,511,0.0,0
2013-01-07,25.8,25.8,25.8,25.8,19.72,900,0.0,0
2013-01-08,25.8,25.8,25.8,25.8,19.72,270,0.0,0
2013-01-09,25.75,25.8,25.7,25.8,19.72,377,0.0,0
2013-01-10,25.8,25.8,25.65,25.65,19.6,980,0.0,0
2013-01-11,25.62,25.62,25.5,25.5,19.49,1745,0.0,0
2013-01-14,25.59,25.79,25.59,25.62,19.58,250,0.0,0
2013-01-15,25.62,25.62,25.62,25.62,19.58,0,0.0,0
2013-01-16,25.62,25.62,25.62,25.62,19.58,0,0.0,0
2013-01-17,25.7,25.75,25.7,25.75,19.68,320,0.0,0
2013-01-18,25.8,25.8,25.8,25.8,19.72,300,0.0,0
2013-01-22,25.8,25.8,25.8,25.8,19.72,590,0.0,0
2013-01-23,25.8,25.8,25.75,25.75,19.68,1685,0.0,0
2013-01-24,25.8,25.8,25.75,25.75,19.68,90,0.0,0
2013-01-25,25.8,25.9,25.8,25.9,19.8,80,0.0,0
2013-01-28,25.79,25.8,25.71,25.71,19.65,1762,0.0,0
2013-01-29,25.1,25.8,25.1,25.75,19.68,780,0.0,0
2013-01-30,25.79,25.8,25.79,25.8,19.72,230,0.0,0
2013-01-31,25.8,25.8,25.8,25.8,19.72,0,0.0,0
2013-02-01,25.8,25.8,25.75,25.75,19.68,1645,0.0,0
2013-02-04,25.75,25.75,25.75,25.75,19.68,10,0.0,0
2013-02-05,25.75,25.75,25.75,25.75,19.68,10,0.0,0
2013-02-06,25.8,25.8,25.7,25.76,19.69,445,0.0,0
2013-02-07,25.8,25.8,25.7,25.75,19.68,546,0.0,0
2013-02-08,25.8,26.55,25.8,26.55,20.29,153,0.0,0
2013-02-11,26.5,26.5,25.71,25.71,19.65,585,0.0,0
2013-02-12,25.77,25.77,25.77,25.77,19.7,375,0.0,0
2013-02-13,25.78,25.8,25.78,25.8,19.72,121,0.0,0
2013-02-14,25.8,25.8,25.78,25.79,19.71,2023,0.0,0
2013-02-15,25.8,25.8,25.8,25.8,19.72,400,0.0,0
2013-02-19,25.79,25.79,25.79,25.79,19.71,1710,0.0,0
2013-02-20,25.78,25.78,25.77,25.77,19.7,369,0.0,0
2013-02-21,25.77,25.77,25.77,25.77,19.7,0,0.0,0
2013-02-22,25.77,25.77,25.77,25.77,19.7,0,0.0,0
2013-02-25,25.79,25.79,25.79,25.79,19.71,100,0.0,0
2013-02-26,25.79,25.79,25.79,25.79,19.71,0,0.0,0
2013-02-27,25.77,25.8,25.76,25.78,19.7,2455,0.0,0
2013-02-28,25.76,25.76,25.76,25.76,19.69,3748,0.0,0
2013-03-01,25.76,25.76,25.76,25.76,19.69,0,0.0,0
2013-03-04,25.78,25.8,25.7,25.71,19.65,1260,0.0,0
2013-03-05,25.71,25.79,25.6,25.79,19.71,560,0.0,0
2013-03-06,27.71,27.71,25.72,25.98,19.86,6511,0.0,0
2013-03-07,25.79,25.8,25.7,25.8,19.91,1265,0.25,0
2013-03-08,25.75,25.75,25.7,25.75,19.87,405,0.0,0
2013-03-11,25.8,25.8,25.75,25.75,19.87,1490,0.0,0
2013-03-12,25.75,25.75,25.75,25.75,19.87,0,0.0,0
2013-03-13,25.7,25.7,25.7,25.7,19.83,57,0.0,0
2013-03-14,25.42,25.8,25.42,25.78,19.9,1220,0.0,0
2013-03-15,25.8,25.8,25.65,25.75,19.87,755,0.0,0
2013-03-18,25.8,25.8,25.65,25.7,19.83,2069,0.0,0
2013-03-19,25.85,25.85,25.2,25.2,19.45,2380,0.0,0
2013-03-20,25.26,25.85,25.24,25.8,19.91,2360,0.0,0
2013-03-21,25.85,25.95,25.41,25.43,19.62,2268,0.0,0
2013-03-22,25.71,25.74,25.71,25.74,19.86,190,0.0,0
2013-03-25,25.93,25.95,25.79,25.79,19.9,1720,0.0,0
2013-03-26,25.75,26.12,25.75,26.07,20.12,5055,0.0,0
2013-03-27,26.0,26.0,26.0,26.0,20.06,200,0.0,0
2013-03-28,26.0,26.0,26.0,26.0,20.06,260,0.0,0
