Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2016-08-19,25.68,26.49,25.6,25.7,20.51,50100,0.0,0
2016-08-22,25.89,27.05,25.66,26.02,20.77,22800,0.0,0
2016-08-23,26.25,26.25,26.03,26.08,20.82,17900,0.0,0
2016-08-24,26.07,26.14,25.82,26.0,20.75,18600,0.0,0
2016-08-25,26.25,26.25,25.92,26.16,20.88,6300,0.0,0
2016-08-26,26.17,26.17,26.0,26.08,20.82,3900,0.0,0
2016-08-29,26.0,26.2,26.0,26.05,20.79,17900,0.0,0
2016-08-30,26.12,26.45,26.1,26.45,21.11,50300,0.0,0
2016-08-31,26.2,26.39,26.1,26.39,21.07,16100,0.0,0
2016-09-01,26.4,26.4,26.1,26.4,21.07,19100,0.0,0
2016-09-02,26.4,26.4,26.35,26.35,21.03,21500,0.0,0
2016-09-06,26.35,26.4,26.01,26.05,20.79,22200,0.0,0
2016-09-07,26.39,26.4,26.01,26.03,20.78,9400,0.0,0
2016-09-08,26.1,26.14,26.06,26.07,20.81,6200,0.0,0
2016-09-09,26.05,26.05,25.85,26.02,20.77,7400,0.0,0
2016-09-12,26.01,26.38,25.88,25.88,20.66,2300,0.0,0
2016-09-13,25.91,26.05,25.89,25.9,20.67,5300,0.0,0
2016-09-14,26.0,26.26,26.0,26.25,20.95,2600,0.0,0
2016-09-15,26.19,26.19,26.19,26.19,20.91,1100,0.0,0
2016-09-16,26.0,26.0,26.0,26.0,20.76,2000,0.0,0
2016-09-19,26.24,26.24,25.62,25.95,20.87,13800,0.190365,0
2016-09-20,25.88,25.95,25.7,25.86,20.79,2700,0.0,0
2016-09-21,25.8,25.8,25.75,25.8,20.75,1600,0.0,0
2016-09-22,25.95,25.95,25.85,25.92,20.84,2800,0.0,0
2016-09-23,26.15,26.15,25.93,25.93,20.85,700,0.0,0
2016-09-26,25.92,25.93,25.92,25.93,20.85,2100,0.0,0
2016-09-27,25.92,25.95,25.92,25.92,20.84,1600,0.0,0
2016-09-28,25.92,25.99,25.7,25.75,20.71,10900,0.0,0
2016-09-29,25.75,25.99,25.73,25.99,20.9,5800,0.0,0
2016-09-30,25.7,25.8,25.66,25.8,20.75,6100,0.0,0
2016-10-03,25.8,25.8,25.7,25.77,20.72,3200,0.0,0
2016-10-04,25.7,25.7,25.7,25.7,20.67,400,0.0,0
2016-10-05,26.24,26.24,25.73,25.86,20.79,800,0.0,0
2016-10-06,25.8,26.16,25.71,26.08,20.97,6300,0.0,0
2016-10-07,25.8,25.8,25.8,25.8,20.75,500,0.0,0
