Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,14.2,14.2,14.2,14.2,12.71,4000,0.0,0.0
2010-01-05,14.21,14.99,14.21,14.99,13.42,3000,0.0,0.0
2010-01-06,14.21,14.21,14.2,14.2,12.71,3000,0.0,0.0
2010-01-07,14.0,14.2,14.0,14.2,12.71,2000,0.0,0.0
2010-01-08,14.2,14.2,14.0,14.2,12.71,2000,0.0,0.0
2010-01-11,14.1,14.2,14.05,14.2,12.71,4000,0.0,0.0
2010-01-12,14.5,14.5,14.0,14.1,12.62,3000,0.0,0.0
2010-01-13,13.81,14.2,13.81,14.2,12.71,3000,0.0,0.0
2010-01-14,14.0,14.2,14.0,14.2,12.71,2000,0.0,0.0
2010-01-15,14.2,14.2,14.0,14.0,12.53,4000,0.0,0.0
2010-01-19,13.8,14.0,13.7,14.0,12.53,4000,0.0,0.0
2010-01-20,13.7,14.0,13.7,14.0,12.53,5000,0.0,0.0
2010-01-21,14.0,14.0,14.0,14.0,12.53,2000,0.0,0.0
2010-01-22,14.0,14.0,13.8,13.8,12.35,2000,0.0,0.0
2010-01-25,14.0,14.0,13.6,13.6,12.18,5000,0.0,0.0
2010-01-26,13.7,13.7,13.7,13.7,12.26,4000,0.0,0.0
2010-01-27,14.0,14.0,13.7,13.7,12.26,1000,0.0,0.0
2010-01-28,13.7,13.7,13.7,13.7,12.26,0,0.0,0.0
2010-01-29,13.7,13.7,13.7,13.7,12.26,5000,0.0,0.0
2010-02-01,13.99,14.0,13.99,14.0,12.53,3000,0.0,0.0
2010-02-02,14.0,14.0,14.0,14.0,12.53,0,0.0,0.0
2010-02-03,14.0,14.0,13.52,13.52,12.11,4000,0.0,0.0
2010-02-04,13.52,13.52,13.5,13.5,12.09,3000,0.0,0.0
2010-02-05,13.5,14.0,13.5,13.5,12.09,3000,0.0,0.0
2010-02-08,13.5,13.55,13.4,13.4,12.0,6000,0.0,0.0
2010-02-09,13.5,13.5,13.5,13.5,12.09,4000,0.0,0.0
