Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,36.23,36.91,36.06,36.39,1856900,0.0,0
2010-01-05,36.31,36.32,35.67,36.14,1463300,0.0,0
2010-01-06,36.16,36.62,35.9,35.98,2158300,0.0,0
2010-01-07,35.82,36.27,35.51,35.92,1443400,0.0,0
2010-01-08,35.89,37.03,35.69,36.82,2022100,0.0,0
2010-01-11,37.33,37.92,37.15,37.8,3492100,0.0,0
2010-01-12,37.25,37.34,35.27,35.35,3604800,0.0,0
2010-01-13,35.59,35.73,34.38,35.46,2906400,0.0,0
2010-01-14,35.29,35.51,34.68,34.99,2222300,0.0,0
2010-01-15,35.1,35.12,33.42,33.6,2758300,0.0,0
2010-01-19,33.71,34.01,33.47,33.8,2290800,0.0,0
2010-01-20,33.4,33.88,32.8,33.76,2324500,0.0,0
2010-01-21,33.67,34.65,33.21,33.3,2155800,0.0,0
2010-01-22,32.85,33.39,31.28,31.29,3232400,0.0,0
2010-01-25,31.41,32.12,31.34,31.84,2261200,0.0,0
2010-01-26,31.72,32.52,31.47,31.94,3121600,0.0,0
2010-01-27,31.49,32.48,31.34,32.43,3020100,0.0,0
2010-01-28,32.52,32.78,30.3,30.46,7112200,0.0,0
2010-01-29,30.82,31.03,29.75,30.12,4418800,0.0,0
2010-02-01,30.25,30.82,30.14,30.68,2880300,0.0,0
2010-02-02,30.96,31.13,30.59,30.96,3957400,0.0,0
2010-02-03,30.71,31.03,30.11,30.3,4359200,0.0,0
2010-02-04,29.91,30.04,29.26,29.43,3513000,0.0,0
2010-02-05,29.54,30.41,29.35,30.38,3161100,0.0,0
2010-02-08,30.3,30.75,29.8,30.09,2090600,0.0,0
2010-02-09,30.37,31.03,30.13,30.74,2996400,0.0,0
2010-02-10,30.81,31.23,30.09,30.74,1588900,0.0,0
2010-02-11,30.66,31.9,30.37,31.73,2724300,0.0,0
2010-02-12,31.15,32.37,30.85,31.98,2727400,0.0,0
2010-02-16,32.35,32.61,32.24,32.59,2311600,0.0,0
2010-02-17,32.83,32.83,31.91,32.18,2059200,0.0,0
2010-02-18,32.02,32.12,31.26,32.06,2923700,0.0,0
2010-02-19,31.86,32.57,31.68,32.54,2385200,0.0,0
