Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,10.62,10.67,10.33,10.41,9625000,0.0,0
2010-01-05,10.48,10.98,10.43,10.96,13355100,0.0,0
2010-01-06,10.95,10.98,10.6,10.64,10523900,0.0,0
2010-01-07,10.61,10.93,10.5,10.79,10055100,0.0,0
2010-01-08,10.75,10.84,10.46,10.55,7894500,0.0,0
2010-01-11,10.57,10.78,10.46,10.67,5987200,0.0,0
2010-01-12,10.59,10.78,10.49,10.55,6162800,0.0,0
2010-01-13,10.54,10.85,10.49,10.74,5798800,0.0,0
2010-01-14,10.71,10.79,10.59,10.67,4768700,0.0,0
2010-01-15,10.7,10.75,10.43,10.51,6296700,0.0,0
2010-01-19,10.49,10.71,10.44,10.52,6703200,0.0,0
2010-01-20,10.47,10.6,10.16,10.55,12862100,0.0,0
2010-01-21,10.72,10.95,10.36,10.88,23729200,0.0,0
2010-01-22,10.97,11.15,10.74,10.88,14307800,0.0,0
2010-01-25,10.83,11.12,10.38,10.54,15228900,0.0,0
2010-01-26,10.41,11.13,10.34,10.81,12293100,0.0,0
2010-01-27,10.8,10.8,10.23,10.61,14414100,0.0,0
2010-01-28,10.67,10.93,10.58,10.66,12265800,0.0,0
2010-01-29,10.7,10.94,10.52,10.55,10968500,0.0,0
2010-02-01,10.59,10.84,10.53,10.78,7690200,0.0,0
2010-02-02,10.82,10.93,10.67,10.76,11319700,0.0,0
2010-02-03,10.72,10.83,10.61,10.68,8359700,0.0,0
2010-02-04,10.6,10.74,10.27,10.27,12613300,0.0,0
2010-02-05,10.28,10.56,10.26,10.51,12133600,0.0,0
2010-02-08,10.53,10.61,10.34,10.48,7988800,0.0,0
2010-02-09,10.57,11.04,10.57,10.85,13597100,0.0,0
2010-02-10,10.81,10.96,10.59,10.75,11550400,0.0,0
2010-02-11,10.72,11.18,10.72,11.06,14928300,0.0,0
2010-02-12,11.07,11.21,11.0,11.21,13841000,0.0,0
2010-02-16,11.27,11.59,11.19,11.59,10677900,0.0,0
2010-02-17,11.59,11.59,11.24,11.45,8076000,0.0,0
2010-02-18,11.46,11.63,11.45,11.59,9945300,0.0,0
2010-02-19,11.53,11.82,11.49,11.58,11230200,0.0,0
2010-02-22,11.59,11.86,11.59,11.64,10156200,0.0,0
2010-02-23,11.65,11.74,11.49,11.55,11993800,0.0,0
2010-02-24,11.57,11.75,11.49,11.59,11230000,0.0,0
2010-02-25,11.52,11.64,11.36,11.58,6476800,0.0,0
2010-02-26,11.55,11.83,11.55,11.72,7985500,0.0,0
2010-03-01,11.73,12.0,11.73,11.84,10934300,0.0,0
2010-03-02,11.93,11.97,11.76,11.77,8712700,0.0045,0
2010-03-03,11.79,11.87,11.69,11.69,9701900,0.0,0
2010-03-04,11.74,11.82,11.68,11.74,9861300,0.0,0
2010-03-05,11.75,11.88,11.69,11.81,10028900,0.0,0
2010-03-08,11.81,11.96,11.65,11.69,9748300,0.0,0
2010-03-09,11.74,11.97,11.69,11.81,12231800,0.0,0
2010-03-10,11.83,12.19,11.79,11.94,11039700,0.0,0
2010-03-11,11.88,12.06,11.79,11.96,8684200,0.0,0
2010-03-12,12.0,12.17,11.89,12.11,9520500,0.0,0
2010-03-15,12.1,12.19,11.9,12.11,10012400,0.0,0
2010-03-16,12.12,12.43,12.12,12.28,9229900,0.0,0
2010-03-17,12.28,12.34,12.07,12.14,7235200,0.0,0
2010-03-18,12.13,12.37,12.13,12.17,7053800,0.0,0
2010-03-19,11.93,12.31,11.86,11.93,10408300,0.0,0
2010-03-22,11.88,12.17,11.84,12.05,7060300,0.0,0
2010-03-23,12.07,12.19,11.93,12.14,6042500,0.0,0
2010-03-24,12.14,12.2,11.96,12.11,5795900,0.0,0
2010-03-25,12.16,12.39,12.14,12.18,6766100,0.0,0
2010-03-26,12.19,12.32,11.96,12.16,9135200,0.0,0
2010-03-29,12.21,12.35,12.2,12.28,7169500,0.0,0
2010-03-30,12.32,12.35,12.04,12.2,5799800,0.0,0
2010-03-31,12.17,12.5,12.17,12.32,8113800,0.0,0
2010-04-01,12.46,12.51,12.2,12.31,7826300,0.0,0
2010-04-05,12.37,12.46,12.19,12.26,7981900,0.0,0
2010-04-06,12.21,12.53,12.2,12.53,9833100,0.0,0
2010-04-07,12.49,12.55,12.28,12.39,14908500,0.0,0
2010-04-08,12.51,12.62,12.46,12.48,10384500,0.0,0
2010-04-09,12.52,12.52,12.31,12.39,10548100,0.0,0
2010-04-12,12.43,12.56,12.35,12.44,8588000,0.0,0
2010-04-13,12.47,12.51,12.24,12.43,6900100,0.0,0
2010-04-14,12.41,12.65,12.39,12.58,7695800,0.0,0
2010-04-15,12.51,12.63,12.45,12.61,9572700,0.0,0
2010-04-16,12.58,12.61,12.31,12.47,9006800,0.0,0
2010-04-19,12.65,13.0,12.58,12.81,15923800,0.0,0
2010-04-20,12.88,13.0,12.58,12.8,10432400,0.0,0
2010-04-21,12.88,12.88,12.48,12.65,10535500,0.0,0
2010-04-22,12.63,12.75,12.32,12.52,11900800,0.0,0
2010-04-23,12.56,13.02,12.53,13.01,9828200,0.0,0
2010-04-26,12.94,13.02,12.61,12.64,14974500,0.0,0
2010-04-27,12.67,12.68,12.24,12.28,13680900,0.0,0
2010-04-28,12.37,12.47,12.22,12.33,10956400,0.0,0
2010-04-29,12.44,12.66,12.41,12.5,10696200,0.0,0
2010-04-30,12.53,12.57,12.27,12.28,9388600,0.0,0
2010-05-03,12.41,12.53,12.3,12.48,12614000,0.0,0
2010-05-04,12.36,12.4,11.99,12.12,10092900,0.0,0
2010-05-05,12.08,12.48,11.93,12.14,15068800,0.0,0
2010-05-06,12.33,12.33,11.09,11.72,15622000,0.0,0
2010-05-07,11.71,12.09,11.46,11.54,16301500,0.0,0
2010-05-10,11.95,12.08,11.88,12.07,8185400,0.0,0
2010-05-11,11.94,12.04,11.71,11.98,9920400,0.0,0
2010-05-12,12.0,12.28,11.98,12.24,9007000,0.0,0
2010-05-13,12.23,12.44,11.98,12.01,8129200,0.0,0
2010-05-14,12.0,12.06,11.77,11.91,8655300,0.0,0
2010-05-17,11.93,12.09,11.73,12.01,8054200,0.0,0
2010-05-18,12.08,12.14,11.75,11.78,8656600,0.0,0
2010-05-19,11.72,11.76,11.31,11.44,13401800,0.0,0
2010-05-20,11.22,11.27,10.87,10.87,11533400,0.0,0
2010-05-21,10.71,11.14,10.58,11.1,10371800,0.0,0
2010-05-24,11.06,11.22,11.0,11.04,6802100,0.0,0
2010-05-25,10.75,11.33,10.67,11.33,14016400,0.0,0
2010-05-26,11.36,11.69,11.28,11.46,13468100,0.0,0
2010-05-27,11.7,11.78,11.54,11.78,6323300,0.0,0
2010-05-28,11.78,11.78,11.47,11.59,8796100,0.0,0
2010-06-01,11.46,11.62,11.36,11.37,8680400,0.0,0
2010-06-02,11.55,11.76,11.5,11.76,7003800,0.0,0
2010-06-03,11.83,11.9,11.56,11.75,8917700,0.0,0
2010-06-04,11.5,11.53,11.16,11.2,8929200,0.0,0
2010-06-07,11.21,11.21,10.82,10.87,10398000,0.0045,0
2010-06-08,10.94,11.11,10.8,11.08,8015000,0.0,0
2010-06-09,11.12,11.38,10.98,11.03,9334800,0.0,0
2010-06-10,11.25,11.36,11.16,11.23,8294000,0.0,0
2010-06-11,11.1,11.3,11.03,11.25,7337100,0.0,0
2010-06-14,11.42,11.55,11.19,11.22,7904000,0.0,0
2010-06-15,11.29,11.52,11.26,11.51,9283700,0.0,0
2010-06-16,11.44,11.5,11.21,11.27,5783000,0.0,0
2010-06-17,11.28,11.54,11.16,11.53,9015800,0.0,0
2010-06-18,11.52,11.56,11.31,11.43,7188100,0.0,0
2010-06-21,11.53,11.6,11.29,11.37,6845600,0.0,0
2010-06-22,11.36,11.48,11.04,11.06,6035200,0.0,0
2010-06-23,11.06,11.17,10.86,11.03,5360100,0.0,0
2010-06-24,10.99,11.14,10.86,10.89,6276900,0.0,0
2010-06-25,10.9,10.94,10.7,10.85,7782600,0.0,0
2010-06-28,10.79,10.95,10.73,10.82,6263900,0.0,0
2010-06-29,10.69,10.69,10.31,10.35,7296800,0.0,0
2010-06-30,10.35,10.56,10.31,10.35,7743800,0.0,0
2010-07-01,10.3,10.56,9.98,10.24,8917700,0.0,0
2010-07-02,10.28,10.3,9.87,10.02,5719600,0.0,0
2010-07-06,10.26,10.26,9.83,9.91,8779200,0.0,0
2010-07-07,9.86,10.53,9.71,10.52,9879100,0.0,0
2010-07-08,10.55,10.74,10.55,10.65,8956400,0.0,0
2010-07-09,10.64,10.9,10.64,10.8,6138700,0.0,0
2010-07-12,10.72,11.11,10.72,11.05,9074300,0.0,0
2010-07-13,11.18,11.33,11.12,11.28,7928000,0.0,0
2010-07-14,11.18,11.4,10.99,11.24,7487200,0.0,0
2010-07-15,11.2,11.21,10.98,11.21,7701100,0.0,0
2010-07-16,11.11,11.19,10.93,10.96,6927300,0.0,0
2010-07-19,11.0,11.0,10.44,10.72,11930700,0.0,0
2010-07-20,10.56,10.7,10.46,10.69,9922500,0.0,0
2010-07-21,10.78,10.86,10.53,10.6,6480200,0.0,0
2010-07-22,10.77,11.02,10.73,10.9,6251500,0.0,0
2010-07-23,10.89,11.08,10.8,11.02,7791900,0.0,0
2010-07-26,11.11,11.29,10.99,11.25,9002000,0.0,0
2010-07-27,11.31,11.37,11.13,11.18,6161200,0.0,0
2010-07-28,11.18,11.31,11.1,11.19,4587300,0.0,0
2010-07-29,11.51,11.55,11.02,11.19,5862900,0.0,0
2010-07-30,10.99,11.3,10.92,11.23,4833600,0.0,0
2010-08-02,11.31,11.48,11.24,11.47,4916500,0.0,0
2010-08-03,11.42,11.44,11.16,11.25,5026200,0.0,0
2010-08-04,11.3,11.44,11.23,11.32,5607900,0.0,0
2010-08-05,11.23,11.42,11.18,11.24,3050400,0.0,0
2010-08-06,11.12,11.29,11.0,11.14,4141900,0.0,0
2010-08-09,11.17,11.32,11.14,11.31,4438700,0.0,0
2010-08-10,11.18,11.22,10.89,11.09,6103600,0.0,0
2010-08-11,10.9,10.9,10.64,10.65,4565500,0.0,0
2010-08-12,10.45,10.81,10.36,10.65,5090000,0.0,0
2010-08-13,10.61,10.71,10.52,10.62,2976900,0.0,0
2010-08-16,10.55,10.68,10.47,10.57,3330300,0.0,0
2010-08-17,10.68,10.78,10.61,10.72,2548300,0.0,0
2010-08-18,10.71,10.84,10.62,10.76,3981100,0.0,0
2010-08-19,10.68,10.76,10.31,10.44,6323800,0.0,0
2010-08-20,10.35,10.51,10.27,10.5,4780800,0.0,0
2010-08-23,10.53,10.68,10.29,10.3,4878500,0.0,0
2010-08-24,10.16,10.38,10.05,10.27,6790600,0.0045,0
2010-08-25,10.16,10.27,10.05,10.2,7676100,0.0,0
2010-08-26,10.23,10.36,10.03,10.09,6700100,0.0,0
