Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-06-18,43.83,43.95,43.55,43.91,27.23,3730.0,0.0,0
2012-06-19,44.69,44.69,44.0,44.0,27.28,2871.0,0.0,0
2012-06-20,44.0,44.1,44.0,44.1,27.34,1575.0,0.0,0
2012-06-21,44.5,44.8,44.0,44.5,27.59,3214.0,0.0,0
2012-06-22,44.45,44.79,44.45,44.79,27.77,3023.0,0.0,0
2012-06-25,44.68,44.75,44.45,44.75,27.75,1770.0,0.0,0
2012-06-26,44.65,44.65,43.82,44.4,27.53,599.0,0.0,0
2012-06-27,43.86,43.86,43.86,43.86,27.2,210.0,0.0,0
2012-06-28,43.86,43.86,43.86,43.86,27.2,0.0,0.0,0
2012-06-29,44.5,44.79,44.5,44.79,27.77,750.0,0.0,0
2012-07-02,44.75,45.38,44.5,45.38,28.14,5350.0,0.0,0
2012-07-03,44.6,44.6,44.6,44.6,27.65,2850.0,0.0,0
2012-07-05,44.75,45.39,44.75,45.0,27.9,4325.0,0.0,0
2012-07-06,45.8,45.8,45.49,45.49,28.21,2300.0,0.0,0
2012-07-09,45.49,45.49,45.49,45.49,28.21,0.0,0.0,0
2012-07-10,45.22,45.65,45.22,45.65,28.31,2525.0,0.0,0
2012-07-11,45.65,46.94,45.65,46.66,28.93,6090.0,0.0,0
2012-07-12,46.85,47.34,46.81,47.34,29.35,4496.0,0.0,0
2012-07-13,48.0,48.18,47.7,48.18,29.87,500.0,0.0,0
2012-07-16,47.98,50.2,47.8,47.8,29.64,2552.0,0.0,0
2012-07-17,48.68,48.68,48.09,48.1,29.82,1086.0,0.0,0
2012-07-18,47.5,47.9,47.5,47.72,29.59,1750.0,0.0,0
2012-07-19,47.15,47.42,46.88,47.42,29.4,1604.0,0.0,0
2012-07-20,47.35,48.08,47.35,48.0,29.76,1786.0,0.0,0
2012-07-23,48.22,48.56,47.76,48.33,29.97,2959.0,0.0,0
2012-07-24,48.7,49.99,48.7,49.8,30.88,1045.0,0.0,0
2012-07-25,48.75,48.75,47.6,47.6,29.51,3177.0,0.0,0
2012-07-26,48.0,48.27,47.65,48.1,29.82,3264.0,0.0,0
2012-07-27,48.04,48.05,45.01,46.12,29.09,17504.0,0.8125,0
2012-07-30,46.51,46.75,46.05,46.6,29.39,4400.0,0.0,0
2012-07-31,46.6,55.34,46.16,47.87,30.19,3451.0,0.0,0
2012-08-01,46.21,47.01,46.18,47.0,29.64,16720.0,0.0,0
2012-08-02,47.0,47.0,47.0,47.0,29.64,300.0,0.0,0
2012-08-03,47.0,47.0,47.0,47.0,29.64,0.0,0.0,0
2012-08-06,46.96,46.96,46.95,46.95,29.61,500.0,0.0,0
2012-08-07,47.0,47.5,47.0,47.5,29.96,2800.0,0.0,0
2012-08-08,47.03,47.3,47.0,47.24,29.79,2825.0,0.0,0
2012-08-09,47.02,47.19,47.0,47.0,29.64,800.0,0.0,0
2012-08-10,47.14,47.88,47.14,47.55,29.99,1669.0,0.0,0
2012-08-13,47.5,47.71,47.5,47.5,29.96,7325.0,0.0,0
2012-08-14,47.26,47.6,47.0,47.06,29.68,1940.0,0.0,0
