Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,14.75,14.94,14.56,14.94,6.2099,2100,0.0,0
2010-01-05,14.91,14.94,14.91,14.94,6.2099,1200,0.0,0
2010-01-06,15.05,15.21,15.05,15.21,6.3221,1000,0.0,0
2010-01-07,15.25,15.69,15.2,15.5,6.4427,5500,0.0,0
2010-01-08,15.7,15.7,15.6,15.6,6.4842,1100,0.0,0
2010-01-11,15.5,16.9,15.5,15.97,6.638,9800,0.0,0
2010-01-12,15.83,16.2,15.83,16.15,6.7128,1500,0.0,0
2010-01-13,16.0,16.25,16.0,16.25,6.7544,1700,0.0,0
2010-01-14,16.26,16.26,16.25,16.25,6.7544,1200,0.0,0
2010-01-15,16.49,16.49,16.25,16.25,6.7544,1100,0.0,0
2010-01-19,16.25,16.25,15.79,15.79,6.5632,3800,0.0,0
2010-01-20,15.84,15.84,15.84,15.84,6.584,100,0.0,0
2010-01-21,15.82,15.82,15.82,15.82,6.5757,100,0.0,0
2010-01-22,15.85,16.2,15.85,16.18,6.7253,11500,0.0,0
2010-01-25,16.14,16.15,16.14,16.15,6.7128,4100,0.0,0
2010-01-26,16.15,16.15,16.15,16.15,6.7128,4500,0.0,0
2010-01-27,16.0,16.0,16.0,16.0,6.6505,200,0.0,0
2010-01-28,16.15,16.15,16.0,16.0,6.6505,300,0.0,0
2010-01-29,16.19,16.47,16.02,16.2,6.7336,4100,0.0,0
2010-02-01,16.56,16.65,16.01,16.08,6.6838,4600,0.0,0
2010-02-02,16.09,16.75,16.09,16.5,6.8583,3800,0.0,0
2010-02-03,16.72,16.72,16.72,16.72,6.9498,200,0.0,0
2010-02-04,16.7,16.71,16.7,16.71,6.9456,300,0.0,0
2010-02-05,16.38,16.75,16.03,16.74,6.9581,1600,0.0,0
2010-02-08,16.0,16.0,16.0,16.0,6.6505,300,0.0,0
2010-02-09,16.75,16.95,16.08,16.08,6.6838,1300,0.0,0
2010-02-10,16.13,16.13,16.13,16.13,6.7045,500,0.0,0
