Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,35.56,36.3,35.56,35.87,31.61,215100,0.0,0
2010-01-05,35.73,35.73,34.45,34.79,30.65,140100,0.0,0
2010-01-06,34.63,34.68,33.72,34.0,29.96,121400,0.0,0
2010-01-07,33.93,34.49,33.76,34.44,30.35,154700,0.0,0
2010-01-08,34.36,34.53,34.04,34.53,30.43,92700,0.0,0
2010-01-11,34.73,34.73,34.38,34.59,30.48,183300,0.0,0
2010-01-12,34.39,34.63,34.39,34.6,30.49,155800,0.0,0
2010-01-13,34.75,34.99,34.52,34.82,30.68,90800,0.0,0
2010-01-14,34.64,35.16,34.48,35.07,30.9,70700,0.0,0
2010-01-15,35.2,35.2,34.06,34.44,30.35,107900,0.0,0
2010-01-19,34.59,35.28,34.58,35.02,30.86,118800,0.0,0
2010-01-20,34.7,34.91,33.97,34.29,30.21,168400,0.0,0
2010-01-21,34.42,34.42,33.92,34.01,29.97,103300,0.0,0
2010-01-22,34.01,35.57,33.97,34.19,30.13,155500,0.0,0
2010-01-25,34.55,34.55,33.85,34.33,30.25,110200,0.0,0
2010-01-26,34.14,34.6,33.43,34.29,30.21,128900,0.0,0
2010-01-27,34.05,34.79,33.9,34.66,30.54,98200,0.0,0
2010-01-28,34.59,34.59,33.91,34.01,30.03,124100,0.07,0
2010-01-29,34.0,34.35,33.71,33.85,29.89,138700,0.0,0
2010-02-01,33.85,34.15,33.68,34.05,30.06,93600,0.0,0
2010-02-02,34.0,34.37,33.93,33.95,29.97,97800,0.0,0
2010-02-03,33.73,34.02,32.95,33.15,29.27,75800,0.0,0
2010-02-04,33.29,33.29,32.41,32.43,28.63,101600,0.0,0
2010-02-05,32.4,32.54,31.81,32.37,28.58,91100,0.0,0
2010-02-08,32.33,32.33,31.59,31.8,28.08,73000,0.0,0
2010-02-09,32.13,32.33,31.69,32.22,28.45,77000,0.0,0
2010-02-10,32.05,32.05,31.38,31.85,28.12,73500,0.0,0
2010-02-11,31.72,32.04,31.33,31.73,28.01,108100,0.0,0
2010-02-12,31.83,32.57,31.73,32.5,28.69,82400,0.0,0
2010-02-16,32.53,32.55,32.01,32.31,28.53,64500,0.0,0
2010-02-17,32.46,32.76,32.14,32.75,28.92,114700,0.0,0
2010-02-18,32.82,33.35,32.63,33.2,29.31,112600,0.0,0
2010-02-19,33.26,34.29,32.97,34.17,30.17,108400,0.0,0
2010-02-22,34.05,34.2,33.65,34.03,30.05,51300,0.0,0
2010-02-23,34.05,34.37,33.43,33.98,30.0,97200,0.0,0
2010-02-24,33.98,34.22,33.8,34.17,30.17,40000,0.0,0
2010-02-25,33.7,34.26,33.6,34.09,30.1,48000,0.0,0
2010-02-26,34.2,34.2,33.51,33.52,29.59,79000,0.0,0
2010-03-01,33.68,34.13,33.6,33.75,29.8,90700,0.0,0
2010-03-02,33.71,33.88,33.61,33.78,29.82,87400,0.0,0
2010-03-03,33.95,34.09,33.78,33.88,29.91,82200,0.0,0
2010-03-04,33.8,33.95,33.55,33.6,29.67,73500,0.0,0
2010-03-05,33.56,33.95,33.56,33.91,29.94,146400,0.0,0
2010-03-08,33.8,34.09,33.61,34.05,30.06,71600,0.0,0
2010-03-09,33.87,34.54,33.73,34.19,30.19,94100,0.0,0
2010-03-10,34.08,34.58,33.78,34.52,30.48,89700,0.0,0
2010-03-11,34.21,34.45,34.0,34.43,30.4,78800,0.0,0
2010-03-12,34.42,34.58,34.01,34.58,30.53,76800,0.0,0
2010-03-15,34.58,34.93,34.43,34.93,30.84,57800,0.0,0
2010-03-16,34.9,35.27,34.83,35.25,31.12,52300,0.0,0
2010-03-17,35.41,35.66,35.34,35.53,31.37,44700,0.0,0
2010-03-18,35.59,35.71,35.41,35.46,31.31,35100,0.0,0
2010-03-19,35.65,37.0,34.99,35.08,30.97,181200,0.0,0
2010-03-22,34.81,35.46,34.81,35.36,31.22,59800,0.0,0
2010-03-23,35.25,36.14,35.1,36.05,31.83,61400,0.0,0
2010-03-24,36.03,36.19,35.69,35.94,31.73,105300,0.0,0
2010-03-25,36.2,36.25,35.14,35.23,31.1,88200,0.0,0
2010-03-26,35.38,35.48,34.82,34.99,30.89,40700,0.0,0
2010-03-29,35.16,35.3,34.99,35.17,31.05,50700,0.0,0
2010-03-30,35.28,35.62,35.09,35.62,31.45,55300,0.0,0
2010-03-31,35.41,36.03,35.19,35.5,31.34,86900,0.0,0
2010-04-01,35.7,35.7,34.65,35.12,31.01,54400,0.0,0
2010-04-05,35.05,35.89,35.01,35.6,31.43,64000,0.0,0
2010-04-06,35.38,36.13,35.38,36.0,31.78,45800,0.0,0
2010-04-07,35.83,36.06,34.31,35.73,31.55,66600,0.0,0
2010-04-08,35.54,35.88,35.47,35.7,31.52,44800,0.0,0
2010-04-09,35.81,35.81,35.28,35.46,31.31,50200,0.0,0
2010-04-12,35.5,35.74,35.36,35.54,31.38,61500,0.0,0
2010-04-13,35.56,35.93,35.2,35.87,31.67,38200,0.0,0
2010-04-14,35.94,36.2,35.22,36.15,31.92,77300,0.0,0
2010-04-15,36.06,36.58,35.99,36.38,32.12,42600,0.0,0
2010-04-16,36.39,36.39,35.58,36.14,31.91,83900,0.0,0
2010-04-19,36.15,36.21,35.36,35.87,31.67,89800,0.0,0
2010-04-20,35.92,36.26,35.75,35.9,31.7,70500,0.0,0
2010-04-21,36.44,36.44,36.0,36.17,31.93,76300,0.0,0
2010-04-22,35.87,35.87,34.78,35.24,31.11,150300,0.0,0
2010-04-23,35.36,36.46,34.55,36.1,31.87,233000,0.0,0
2010-04-26,36.15,36.44,35.46,35.96,31.75,124900,0.0,0
2010-04-27,35.74,36.32,35.37,35.71,31.53,113500,0.0,0
2010-04-28,35.77,36.07,35.41,35.51,31.35,105700,0.0,0
2010-04-29,35.59,35.75,35.13,35.65,31.54,129900,0.07,0
2010-04-30,35.59,36.15,35.0,35.0,30.96,197500,0.0,0
2010-05-03,35.1,35.47,34.75,35.31,31.24,74600,0.0,0
2010-05-04,34.85,35.04,34.26,34.39,30.42,147500,0.0,0
2010-05-05,34.13,34.51,33.83,34.18,30.24,103000,0.0,0
2010-05-06,34.03,34.69,31.34,33.69,29.8,149400,0.0,0
2010-05-07,32.69,33.5,32.39,32.51,28.76,144700,0.0,0
2010-05-10,33.58,34.07,33.06,33.67,29.79,224900,0.0,0
2010-05-11,33.34,34.1,33.12,33.58,29.71,130300,0.0,0
2010-05-12,33.73,34.78,33.26,34.28,30.33,209900,0.0,0
2010-05-13,34.12,34.66,33.96,34.15,30.21,110900,0.0,0
2010-05-14,33.91,34.17,33.51,33.89,29.98,100700,0.0,0
2010-05-17,34.07,34.59,33.66,34.28,30.33,160000,0.0,0
2010-05-18,34.64,34.66,33.51,33.54,29.67,147200,0.0,0
2010-05-19,33.54,33.95,32.95,33.43,29.57,164000,0.0,0
2010-05-20,32.8,33.47,32.5,32.66,28.89,219200,0.0,0
2010-05-21,32.19,32.91,31.71,32.78,29.0,192000,0.0,0
2010-05-24,32.66,32.69,32.02,32.09,28.39,72500,0.0,0
2010-05-25,31.37,32.06,31.17,31.95,28.26,114100,0.0,0
2010-05-26,31.98,32.52,31.68,31.92,28.24,106500,0.0,0
2010-05-27,32.5,32.96,32.0,32.94,29.14,86200,0.0,0
2010-05-28,32.8,32.81,32.18,32.38,28.64,103400,0.0,0
2010-06-01,32.24,32.65,31.89,31.92,28.24,120600,0.0,0
2010-06-02,31.98,32.85,31.69,32.83,29.04,114600,0.0,0
2010-06-03,32.69,32.69,31.81,32.3,28.57,201300,0.0,0
2010-06-04,31.66,32.02,31.18,31.36,27.74,172500,0.0,0
2010-06-07,31.27,31.37,30.43,30.56,27.03,123300,0.0,0
2010-06-08,30.69,30.86,30.0,30.45,26.94,134400,0.0,0
2010-06-09,30.75,30.75,29.89,30.1,26.63,124700,0.0,0
2010-06-10,30.43,30.59,30.04,30.53,27.01,128400,0.0,0
2010-06-11,30.21,30.96,30.16,30.96,27.39,85100,0.0,0
2010-06-14,31.23,31.48,30.74,30.85,27.29,135700,0.0,0
2010-06-15,31.15,31.68,30.85,31.6,27.95,126000,0.0,0
2010-06-16,31.36,31.98,31.11,31.77,28.11,52300,0.0,0
2010-06-17,31.94,32.09,31.68,31.84,28.17,124800,0.0,0
2010-06-18,32.0,32.23,31.5,31.56,27.92,200800,0.0,0
2010-06-21,31.94,31.98,31.03,31.16,27.57,88800,0.0,0
2010-06-22,31.29,31.59,30.55,30.67,27.13,120600,0.0,0
2010-06-23,30.57,30.68,30.25,30.41,26.9,108900,0.0,0
2010-06-24,30.2,30.49,29.47,29.67,26.25,181800,0.0,0
2010-06-25,29.69,30.0,29.26,29.53,26.12,397400,0.0,0
2010-06-28,29.42,30.17,28.91,29.95,26.5,208900,0.0,0
2010-06-29,29.5,30.02,29.05,29.34,25.96,175300,0.0,0
2010-06-30,29.39,29.84,29.03,29.28,25.9,161300,0.0,0
2010-07-01,29.18,29.18,28.58,28.93,25.59,127300,0.0,0
2010-07-02,29.11,29.19,28.64,28.86,25.53,114600,0.0,0
2010-07-06,29.11,29.19,28.29,28.44,25.16,147600,0.0,0
2010-07-07,28.55,29.26,28.49,29.22,25.85,199600,0.0,0
2010-07-08,29.38,29.47,28.91,29.38,25.99,108000,0.0,0
2010-07-09,29.32,29.71,29.2,29.69,26.27,62600,0.0,0
2010-07-12,29.55,29.81,29.44,29.5,26.1,145400,0.0,0
