Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,28.94,29.06,28.31,28.75,19.44,649800,0.0,0.0
2010-01-05,28.61,29.42,27.79,29.41,19.88,1087000,0.0,0.0
2010-01-06,29.31,30.91,29.25,30.38,20.54,1606500,0.0,0.0
2010-01-07,30.6,32.37,30.6,31.78,21.49,1537500,0.0,0.0
2010-01-08,31.72,32.33,31.62,32.0,21.64,1305100,0.0,0.0
2010-01-11,32.06,32.42,32.04,32.28,21.83,734600,0.0,0.0
2010-01-12,31.99,32.24,31.31,31.64,21.39,1040700,0.0,0.0
2010-01-13,31.84,32.41,31.41,32.21,21.78,653900,0.0,0.0
2010-01-14,32.24,32.37,32.02,32.14,21.73,422000,0.0,0.0
2010-01-15,32.16,32.19,31.42,31.46,21.27,633900,0.0,0.0
2010-01-19,31.42,31.54,31.06,31.42,21.24,511300,0.0,0.0
2010-01-20,31.19,31.73,30.91,31.67,21.41,819900,0.0,0.0
2010-01-21,31.75,31.81,30.84,30.87,20.87,761800,0.0,0.0
2010-01-22,30.94,31.19,29.92,29.99,20.28,825700,0.0,0.0
2010-01-25,30.37,30.37,29.56,30.24,20.45,655000,0.0,0.0
2010-01-26,30.21,30.75,30.1,30.37,20.54,908600,0.0,0.0
2010-01-27,30.21,30.81,29.88,30.77,20.8,895200,0.0,0.0
2010-01-28,31.06,31.46,30.72,31.06,21.01,1096200,0.0,0.0
2010-01-29,31.19,31.78,30.94,31.11,21.04,545500,0.0,0.0
2010-02-01,31.26,31.27,30.73,30.92,20.91,783500,0.0,0.0
2010-02-02,31.36,33.41,31.36,33.31,22.52,1985700,0.0,0.0
2010-02-03,33.11,33.14,32.45,32.96,22.29,626700,0.0,0.0
2010-02-04,32.57,32.7,31.97,32.05,21.67,716900,0.0,0.0
2010-02-05,32.33,32.87,29.39,30.61,20.7,2394700,0.0,0.0
2010-02-08,30.51,32.37,30.19,32.03,21.83,1496100,0.25,0.0
2010-02-09,32.34,32.34,31.32,32.07,21.87,799700,0.0,0.0
2010-02-10,32.11,32.31,31.09,32.23,21.97,809300,0.0,0.0
2010-02-11,32.22,33.14,31.96,32.9,22.43,590700,0.0,0.0
2010-02-12,32.58,33.15,32.39,32.61,22.23,671500,0.0,0.0
2010-02-16,32.67,32.75,32.35,32.75,22.33,572200,0.0,0.0
2010-02-17,33.11,33.96,32.41,32.67,22.27,646200,0.0,0.0
2010-02-18,32.58,32.76,31.94,32.01,21.82,541700,0.0,0.0
2010-02-19,31.85,32.29,31.81,32.17,21.93,560000,0.0,0.0
2010-02-22,32.19,32.39,31.67,31.95,21.78,481500,0.0,0.0
2010-02-23,31.8,31.93,30.62,30.7,20.93,956100,0.0,0.0
2010-02-24,30.87,31.07,30.04,31.02,21.15,977200,0.0,0.0
2010-02-25,30.62,30.96,30.02,30.95,21.1,821900,0.0,0.0
2010-02-26,30.9,31.7,30.35,31.69,21.6,860800,0.0,0.0
2010-03-01,31.87,32.57,31.65,32.56,22.19,817600,0.0,0.0
2010-03-02,32.6,32.87,32.28,32.62,22.24,746100,0.0,0.0
2010-03-03,32.58,33.35,32.46,33.06,22.54,707700,0.0,0.0
2010-03-04,32.98,33.27,32.26,32.33,22.04,386800,0.0,0.0
2010-03-05,32.4,32.82,32.26,32.64,22.25,436900,0.0,0.0
2010-03-08,32.64,33.02,32.55,32.89,22.42,364700,0.0,0.0
2010-03-09,32.82,33.31,32.64,33.1,22.57,631400,0.0,0.0
