Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,12.81,13.35,12.79,13.32,9.34,3528400.0,0.0,0.0
2010-01-05,13.36,14.45,13.23,14.33,10.05,5802800.0,0.0,0.0
2010-01-06,14.7,15.27,14.42,14.59,10.23,10186000.0,0.0,0.0
2010-01-07,14.48,14.99,14.42,14.73,10.33,6253200.0,0.0,0.0
2010-01-08,14.61,14.79,14.53,14.62,10.26,2488000.0,0.0,0.0
2010-01-11,14.72,15.06,14.61,14.94,10.48,4509200.0,0.0,0.0
2010-01-12,14.76,15.06,14.73,15.0,10.52,5668000.0,0.0,0.0
2010-01-13,14.97,15.0,14.39,14.46,10.14,4860000.0,0.0,0.0
2010-01-14,14.55,14.8,14.38,14.64,10.27,4708000.0,0.0,0.0
2010-01-15,14.74,14.77,14.45,14.5,10.17,2068800.0,0.0,0.0
2010-01-19,14.41,14.6,14.41,14.55,10.21,3556000.0,0.0,0.0
2010-01-20,14.44,14.61,14.3,14.33,10.05,2385200.0,0.0,0.0
2010-01-21,14.31,14.56,14.25,14.27,10.01,3360800.0,0.0,0.0
2010-01-22,14.19,14.37,14.17,14.2,9.96,3513600.0,0.0,0.0
2010-01-25,14.26,14.36,14.13,14.22,9.97,2682000.0,0.0,0.0
2010-01-26,14.19,14.19,13.95,14.07,9.87,2081600.0,0.0,0.0
2010-01-27,14.03,14.09,13.85,13.95,9.78,4365200.0,0.0,0.0
2010-01-28,14.06,14.11,13.67,13.74,9.64,2929200.0,0.0,0.0
2010-01-29,13.73,13.96,13.69,13.77,9.66,2101600.0,0.0,0.0
2010-02-01,13.86,14.0,13.78,13.98,9.81,1707600.0,0.0,0.0
2010-02-02,14.07,14.28,13.97,14.25,10.0,2213600.0,0.0,0.0
2010-02-03,14.21,14.44,14.13,14.35,10.06,1924400.0,0.0,0.0
2010-02-04,14.24,14.24,13.99,13.99,9.81,2723200.0,0.0,0.0
2010-02-05,14.0,14.2,13.81,14.13,9.91,5074400.0,0.0,0.0
2010-02-08,14.07,14.31,13.92,14.0,9.82,2037200.0,0.0,0.0
2010-02-09,14.18,14.33,14.07,14.24,9.99,1562400.0,0.0,0.0
2010-02-10,14.22,14.4,14.07,14.25,10.0,2696800.0,0.0,0.0
2010-02-11,14.27,14.27,13.99,14.21,9.97,2165600.0,0.0,0.0
2010-02-12,14.22,14.23,14.02,14.19,9.95,1696000.0,0.0,0.0
2010-02-16,14.39,14.48,14.16,14.42,10.12,2179200.0,0.0,0.0
