Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,18.18,18.2,18.0,18.16,53500,0.0,0.0
2010-01-05,18.19,18.2,17.6,17.62,272100,0.0,0.0
2010-01-06,17.65,17.74,17.56,17.61,84900,0.0,0.0
2010-01-07,17.64,17.65,17.48,17.6,62500,0.0,0.0
2010-01-08,17.65,17.72,17.57,17.71,51100,0.0,0.0
2010-01-11,17.84,17.85,17.61,17.71,34200,0.0,0.0
2010-01-12,17.62,17.85,17.62,17.76,57700,0.0,0.0
2010-01-13,17.83,17.91,17.71,17.87,52000,0.0,0.0
2010-01-14,17.87,17.96,17.82,17.84,29400,0.0,0.0
2010-01-15,17.94,17.94,17.44,17.65,92800,0.0,0.0
2010-01-19,17.63,17.74,17.54,17.74,92700,0.0,0.0
2010-01-20,17.62,17.62,17.17,17.49,77500,0.0,0.0
2010-01-21,17.57,17.69,16.98,17.12,114400,0.0,0.0
2010-01-22,17.16,17.21,16.86,16.93,80400,0.0,0.0
2010-01-25,17.13,17.17,16.72,17.1,76300,0.0,0.0
2010-01-26,17.03,17.11,16.96,16.97,66400,0.0,0.0
2010-01-27,16.86,17.04,16.81,17.03,36600,0.0,0.0
2010-01-28,17.05,17.05,16.67,16.82,93600,0.0,0.0
2010-01-29,16.92,16.92,16.71,16.81,229800,0.0,0.0
2010-02-01,16.85,16.86,16.68,16.83,68500,0.0,0.0
2010-02-02,16.89,16.89,16.67,16.67,103800,0.0,0.0
2010-02-03,16.66,16.74,16.57,16.62,108400,0.0,0.0
2010-02-04,16.59,16.62,16.24,16.29,180600,0.0,0.0
2010-02-05,16.37,16.41,16.16,16.41,134500,0.0,0.0
2010-02-08,16.45,16.45,16.15,16.18,88900,0.0,0.0
2010-02-09,16.36,16.36,16.16,16.32,125500,0.0,0.0
2010-02-10,16.24,16.37,16.12,16.37,62800,0.0,0.0
2010-02-11,16.29,16.51,16.17,16.49,60000,0.0,0.0
2010-02-12,16.38,16.54,16.35,16.49,58600,0.0,0.0
2010-02-16,16.57,16.7,16.53,16.7,62500,0.0,0.0
2010-02-17,16.8,16.88,16.69,16.86,85900,0.0,0.0
