Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-02-15,21.75,22.03,21.75,22.0,7176,0.0,0
2018-02-16,21.72,22.0,21.72,21.94,2010,0.0,0
2018-02-20,22.04,22.09,21.77,22.04,7070,0.0,0
2018-02-21,21.82,22.25,21.77,22.05,8991,0.0,0
2018-02-22,22.16,22.47,22.16,22.39,14350,0.0,0
2018-02-23,22.36,22.44,22.31,22.43,4466,0.0,0
2018-02-26,22.27,22.5,22.27,22.5,6846,0.0,0
2018-02-27,22.64,22.64,22.37,22.49,2520,0.51563,0
2018-02-28,22.24,22.36,22.2,22.36,1700,0.0,0
2018-03-01,22.32,22.39,22.32,22.39,634,0.0,0
2018-03-02,22.32,22.37,22.32,22.37,727,0.0,0
2018-03-05,22.37,22.37,22.37,22.37,0,0.0,0
2018-03-06,22.42,22.42,22.33,22.33,1000,0.0,0
2018-03-07,22.32,22.44,22.32,22.36,3020,0.0,0
2018-03-08,22.36,22.81,22.36,22.81,5050,0.0,0
2018-03-09,22.72,22.73,22.32,22.44,4005,0.0,0
2018-03-12,22.62,22.62,22.33,22.49,3537,0.0,0
2018-03-13,22.44,22.51,22.44,22.51,350,0.0,0
2018-03-14,22.57,22.63,22.56,22.63,920,0.0,0
2018-03-15,22.66,22.66,22.4,22.54,3002,0.0,0
2018-03-16,22.54,22.58,22.37,22.37,2864,0.0,0
2018-03-19,22.56,22.72,22.41,22.51,3956,0.0,0
2018-03-20,22.62,22.62,22.37,22.37,1329,0.0,0
2018-03-21,22.44,22.46,22.4,22.44,1577,0.0,0
2018-03-22,22.26,22.51,22.26,22.51,1815,0.0,0
2018-03-23,22.55,22.7,22.55,22.7,1578,0.0,0
2018-03-26,22.58,22.72,22.3,22.35,5200,0.0,0
2018-03-27,22.35,22.35,22.35,22.35,0,0.0,0
2018-03-28,22.54,22.54,22.54,22.54,100,0.0,0
2018-03-29,22.46,22.64,22.46,22.48,1035,0.0,0
2018-04-02,22.5,22.58,22.46,22.58,702,0.0,0
2018-04-03,22.54,22.62,22.52,22.52,1990,0.0,0
2018-04-04,22.46,22.46,22.29,22.35,2991,0.0,0
2018-04-05,22.39,22.59,22.32,22.32,2200,0.0,0
2018-04-06,22.41,22.41,22.32,22.36,1870,0.0,0
2018-04-09,22.39,22.51,22.39,22.47,5101,0.0,0
2018-04-10,22.47,22.47,22.37,22.37,5002,0.0,0
2018-04-11,22.48,22.6,22.48,22.6,3500,0.0,0
