Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,12.59,12.66,12.55,12.65,11.23,261600,0.0,0.0
2010-01-05,12.64,13.04,12.5,12.7,11.27,493200,0.0,0.0
2010-01-06,12.72,13.06,12.67,12.77,11.34,310800,0.0,0.0
2010-01-07,12.77,12.85,12.56,12.71,11.29,165600,0.0,0.0
2010-01-08,12.65,12.67,12.54,12.6,11.19,150800,0.0,0.0
2010-01-11,12.62,12.77,12.54,12.61,11.2,172400,0.0,0.0
2010-01-12,12.56,12.77,12.55,12.64,11.22,182400,0.0,0.0
2010-01-13,12.65,12.74,12.6,12.67,11.25,180000,0.0,0.0
2010-01-14,12.67,12.78,12.6,12.64,11.22,196800,0.0,0.0
2010-01-15,12.66,12.66,12.42,12.5,11.1,459200,0.0,0.0
2010-01-19,12.56,12.7,12.48,12.57,11.17,594800,0.0,0.0
2010-01-20,12.49,12.52,12.25,12.37,10.98,394400,0.0,0.0
2010-01-21,12.42,12.44,12.25,12.34,10.95,324400,0.0,0.0
2010-01-22,12.38,12.43,12.09,12.11,10.76,367200,0.0,0.0
2010-01-25,12.19,12.22,12.11,12.14,10.78,372800,0.0,0.0
2010-01-26,12.1,12.1,11.89,12.05,10.7,265200,0.0,0.0
2010-01-27,12.01,12.12,12.01,12.12,10.76,340800,0.0,0.0
2010-01-28,12.15,12.15,11.97,11.97,10.63,320800,0.0,0.0
2010-01-29,12.02,12.07,11.93,11.97,10.62,288000,0.0,0.0
2010-02-01,11.97,12.02,11.96,12.02,10.67,402000,0.0,0.0
2010-02-02,12.0,12.07,11.94,12.0,10.65,238000,0.0,0.0
2010-02-03,12.0,12.1,11.97,12.04,10.69,254400,0.0,0.0
2010-02-04,12.63,13.14,12.63,12.93,11.48,850800,0.0,0.0
2010-02-05,13.02,13.62,12.97,13.49,11.98,1924000,0.0,0.0
2010-02-08,13.6,13.86,13.44,13.5,11.98,1419600,0.0,0.0
2010-02-09,13.6,13.72,13.5,13.64,12.11,1064800,0.0,0.0
2010-02-10,13.59,13.73,13.59,13.71,12.28,504400,0.12,0.0
2010-02-11,13.71,14.01,13.6,13.93,12.48,401200,0.0,0.0
2010-02-12,13.81,14.02,13.81,13.94,12.49,348800,0.0,0.0
2010-02-16,14.06,14.08,13.85,14.03,12.57,667200,0.0,0.0
2010-02-17,14.03,14.31,14.03,14.31,12.82,593200,0.0,0.0
2010-02-18,14.32,14.35,14.23,14.34,12.84,331600,0.0,0.0
2010-02-19,14.27,14.42,14.2,14.36,12.87,351200,0.0,0.0
2010-02-22,14.25,14.6,14.23,14.51,13.0,843200,0.0,0.0
2010-02-23,14.47,14.59,14.47,14.5,12.99,609600,0.0,0.0
2010-02-24,14.5,14.56,14.42,14.52,13.0,369600,0.0,0.0
2010-02-25,14.4,14.53,14.36,14.4,12.9,428400,0.0,0.0
2010-02-26,14.46,14.56,14.35,14.4,12.89,294800,0.0,0.0
2010-03-01,14.47,15.11,14.43,14.85,13.3,1070400,0.0,0.0
2010-03-02,14.93,15.2,14.85,15.08,13.51,1426400,0.0,0.0
2010-03-03,15.06,15.18,14.94,15.02,13.46,527200,0.0,0.0
2010-03-04,15.02,15.08,14.95,15.04,13.47,316800,0.0,0.0
2010-03-05,15.06,15.13,15.04,15.09,13.52,426400,0.0,0.0
2010-03-08,15.09,15.15,14.87,14.92,13.36,268400,0.0,0.0
2010-03-09,14.92,15.33,14.87,15.31,13.72,806800,0.0,0.0
2010-03-10,15.33,15.45,15.3,15.36,13.76,413200,0.0,0.0
2010-03-11,15.27,15.41,15.18,15.4,13.79,166800,0.0,0.0
2010-03-12,15.5,15.5,15.14,15.27,13.68,248800,0.0,0.0
2010-03-15,15.2,15.26,15.06,15.17,13.59,272800,0.0,0.0
2010-03-16,15.16,15.26,14.98,15.21,13.62,278000,0.0,0.0
2010-03-17,15.26,15.44,15.23,15.33,13.73,274000,0.0,0.0
2010-03-18,15.28,15.42,15.18,15.19,13.6,162000,0.0,0.0
2010-03-19,15.12,15.26,15.05,15.12,13.55,326400,0.0,0.0
2010-03-22,15.07,15.41,15.03,15.36,13.76,396000,0.0,0.0
2010-03-23,15.34,15.5,15.24,15.48,13.87,380000,0.0,0.0
2010-03-24,15.41,15.5,15.17,15.19,13.6,212800,0.0,0.0
2010-03-25,15.18,15.5,15.05,15.19,13.61,351200,0.0,0.0
2010-03-26,15.24,15.47,15.24,15.31,13.72,302400,0.0,0.0
2010-03-29,15.31,15.31,15.03,15.12,13.55,281600,0.0,0.0
2010-03-30,15.1,15.41,15.1,15.32,13.72,236400,0.0,0.0
2010-03-31,15.21,15.5,15.17,15.23,13.64,296000,0.0,0.0
2010-04-01,15.18,15.37,15.07,15.22,13.63,261200,0.0,0.0
2010-04-05,15.22,15.46,15.12,15.28,13.69,155600,0.0,0.0
2010-04-06,15.18,15.37,15.18,15.3,13.7,173600,0.0,0.0
2010-04-07,15.33,15.4,15.21,15.39,13.78,365600,0.0,0.0
2010-04-08,15.47,15.55,15.24,15.47,13.85,214800,0.0,0.0
2010-04-09,15.41,15.6,15.38,15.58,13.96,225200,0.0,0.0
2010-04-12,15.54,15.6,15.42,15.58,13.96,264400,0.0,0.0
2010-04-13,15.51,15.65,15.41,15.65,14.02,212800,0.0,0.0
2010-04-14,15.66,15.86,15.63,15.86,14.21,200400,0.0,0.0
2010-04-15,15.86,16.13,15.78,16.04,14.37,491200,0.0,0.0
2010-04-16,16.05,16.08,15.88,15.92,14.26,310400,0.0,0.0
2010-04-19,15.92,15.99,15.75,15.91,14.25,407200,0.0,0.0
2010-04-20,15.91,15.96,15.84,15.91,14.26,997600,0.0,0.0
2010-04-21,15.9,15.98,15.84,15.97,14.3,550000,0.0,0.0
2010-04-22,15.91,16.0,15.76,15.98,14.32,464800,0.0,0.0
2010-04-23,15.97,16.22,15.85,16.2,14.51,379200,0.0,0.0
2010-04-26,16.24,16.3,16.14,16.18,14.49,266800,0.0,0.0
2010-04-27,16.19,16.27,15.85,15.88,14.22,971200,0.0,0.0
2010-04-28,15.93,16.05,15.8,15.91,14.25,216400,0.0,0.0
2010-04-29,15.95,16.19,15.76,16.16,14.47,647600,0.0,0.0
2010-04-30,16.18,16.18,15.48,15.48,13.86,471200,0.0,0.0
2010-05-03,15.58,15.62,15.11,15.59,13.96,431600,0.0,0.0
2010-05-04,15.5,15.5,15.26,15.39,13.78,283600,0.0,0.0
2010-05-05,15.31,15.42,15.11,15.18,13.6,326000,0.0,0.0
2010-05-06,15.15,15.82,14.75,15.2,13.61,750400,0.0,0.0
2010-05-07,15.2,15.21,14.25,14.81,13.27,1407600,0.0,0.0
2010-05-10,15.13,15.35,15.03,15.18,13.59,413200,0.0,0.0
2010-05-11,15.07,15.7,15.04,15.5,13.89,446800,0.0,0.0
2010-05-12,15.47,15.69,15.29,15.6,14.09,284400,0.12,0.0
2010-05-13,15.57,15.66,15.47,15.58,14.06,432400,0.0,0.0
2010-05-14,15.57,15.61,15.47,15.59,14.08,415600,0.0,0.0
2010-05-17,15.62,15.91,15.52,15.69,14.17,651600,0.0,0.0
2010-05-18,15.84,15.84,15.61,15.64,14.12,455600,0.0,0.0
2010-05-19,15.63,15.68,15.44,15.62,14.1,453600,0.0,0.0
2010-05-20,15.35,15.44,14.89,14.89,13.44,598800,0.0,0.0
2010-05-21,14.69,15.04,14.55,14.98,13.53,555200,0.0,0.0
2010-05-24,14.93,15.03,14.88,14.94,13.49,335600,0.0,0.0
2010-05-25,14.7,14.99,14.7,14.95,13.5,574000,0.0,0.0
2010-05-26,15.0,15.15,14.84,14.86,13.42,952400,0.0,0.0
2010-05-27,15.09,15.18,14.96,15.16,13.68,229200,0.0,0.0
2010-05-28,15.22,15.24,14.87,14.98,13.52,286000,0.0,0.0
2010-06-01,14.91,15.12,14.73,14.75,13.32,314000,0.0,0.0
2010-06-02,14.78,15.06,14.68,15.05,13.59,598000,0.0,0.0
2010-06-03,15.15,15.5,15.04,15.44,13.94,292000,0.0,0.0
2010-06-04,15.2,15.2,14.76,14.81,13.37,275600,0.0,0.0
2010-06-07,14.82,14.88,14.43,14.45,13.04,345600,0.0,0.0
2010-06-08,14.48,14.55,14.38,14.48,13.08,312000,0.0,0.0
