Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,2.78,2.79,2.78,2.79,189900,0.0,0
2010-01-05,2.81,2.81,2.78,2.8,74600,0.0,0
2010-01-06,2.8,2.81,2.79,2.8,118100,0.0,0
2010-01-07,2.8,2.82,2.79,2.81,139100,0.0,0
2010-01-08,2.81,2.83,2.8,2.82,124500,0.0,0
2010-01-11,2.82,2.83,2.81,2.83,160900,0.0,0
2010-01-12,2.83,2.84,2.82,2.83,174300,0.045,0
2010-01-13,2.83,2.83,2.8,2.81,128500,0.0,0
2010-01-14,2.82,2.82,2.79,2.81,222600,0.0,0
2010-01-15,2.81,2.85,2.79,2.83,264400,0.0,0
2010-01-19,2.82,2.82,2.81,2.82,134300,0.0,0
2010-01-20,2.83,2.83,2.79,2.79,226900,0.0,0
2010-01-21,2.87,2.87,2.79,2.8,137800,0.0,0
2010-01-22,2.8,2.81,2.79,2.8,113500,0.0,0
2010-01-25,2.82,2.82,2.79,2.8,139700,0.0,0
2010-01-26,2.81,2.81,2.79,2.8,222100,0.0,0
2010-01-27,2.81,2.81,2.78,2.79,137000,0.0,0
2010-01-28,2.8,2.8,2.78,2.78,195500,0.0,0
2010-01-29,2.79,2.79,2.76,2.76,224200,0.0,0
2010-02-01,2.76,2.82,2.76,2.81,193600,0.0,0
2010-02-02,2.8,2.81,2.79,2.81,223400,0.0,0
2010-02-03,2.81,2.82,2.78,2.82,184900,0.0,0
2010-02-04,2.79,2.81,2.76,2.77,155100,0.0,0
2010-02-05,2.78,2.78,2.7,2.73,331500,0.0,0
2010-02-08,2.72,2.77,2.71,2.76,261000,0.0,0
2010-02-09,2.77,2.81,2.76,2.79,107000,0.045,0
2010-02-10,2.81,2.81,2.74,2.74,176200,0.0,0
2010-02-11,2.76,2.76,2.72,2.74,350000,0.0,0
2010-02-12,2.76,2.76,2.73,2.73,115400,0.0,0
2010-02-16,2.74,2.76,2.73,2.76,148700,0.0,0
2010-02-17,2.77,2.77,2.74,2.74,113500,0.0,0
2010-02-18,2.74,2.76,2.74,2.74,220500,0.0,0
2010-02-19,2.74,2.76,2.74,2.75,186100,0.0,0
2010-02-22,2.76,2.77,2.75,2.77,217200,0.0,0
2010-02-23,2.77,2.79,2.75,2.79,289200,0.0,0
2010-02-24,2.79,2.79,2.75,2.79,278800,0.0,0
2010-02-25,2.78,2.8,2.77,2.8,128400,0.0,0
2010-02-26,2.81,2.81,2.8,2.81,320100,0.0,0
2010-03-01,2.8,2.83,2.8,2.82,174200,0.0,0
2010-03-02,2.82,2.83,2.81,2.82,116100,0.0,0
2010-03-03,2.83,2.84,2.82,2.84,215000,0.0,0
2010-03-04,2.84,2.84,2.83,2.84,171000,0.0,0
2010-03-05,2.85,2.85,2.84,2.84,143400,0.0,0
2010-03-08,2.84,2.86,2.84,2.86,151000,0.0,0
2010-03-09,2.87,2.88,2.86,2.87,236200,0.045,0
2010-03-10,2.88,2.88,2.86,2.87,134500,0.0,0
2010-03-11,2.86,2.89,2.85,2.88,186300,0.0,0
2010-03-12,2.89,2.89,2.86,2.87,166400,0.0,0
2010-03-15,2.88,2.89,2.87,2.89,147600,0.0,0
2010-03-16,2.89,2.89,2.86,2.89,149200,0.0,0
2010-03-17,2.89,2.89,2.87,2.87,129700,0.0,0
2010-03-18,2.88,2.88,2.85,2.86,125800,0.0,0
2010-03-19,2.87,2.87,2.85,2.87,139400,0.0,0
2010-03-22,2.86,2.87,2.86,2.86,233000,0.0,0
2010-03-23,2.89,2.89,2.86,2.86,197500,0.0,0
2010-03-24,2.86,2.88,2.86,2.87,177800,0.0,0
2010-03-25,2.87,2.89,2.87,2.88,209000,0.0,0
2010-03-26,2.89,2.89,2.88,2.89,174900,0.0,0
2010-03-29,2.89,2.91,2.88,2.91,142500,0.0,0
2010-03-30,2.9,2.91,2.89,2.9,169400,0.0,0
2010-03-31,2.9,2.91,2.89,2.91,175800,0.0,0
2010-04-01,2.9,2.92,2.9,2.9,191600,0.0,0
2010-04-05,2.9,2.92,2.9,2.9,118600,0.0,0
2010-04-06,2.91,2.91,2.9,2.9,167300,0.0,0
2010-04-07,2.92,2.92,2.91,2.91,182200,0.0,0
2010-04-08,2.91,2.92,2.91,2.92,190400,0.0,0
2010-04-09,2.92,2.92,2.91,2.92,198900,0.0,0
