Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,7.24,7.31,7.09,7.12,6.3,228100,0.0,0.0
2010-01-05,7.12,7.12,6.82,7.02,6.21,478500,0.0,0.0
2010-01-06,7.03,7.09,6.79,6.8,6.01,1019000,0.0,0.0
2010-01-07,6.82,6.9,6.82,6.86,6.06,203100,0.0,0.0
2010-01-08,6.86,7.17,6.84,7.14,6.32,759100,0.0,0.0
2010-01-11,7.16,7.32,7.14,7.18,6.35,216500,0.0,0.0
2010-01-12,7.17,7.2,7.05,7.2,6.37,198000,0.0,0.0
2010-01-13,7.22,7.32,7.14,7.26,6.42,105000,0.0,0.0
2010-01-14,7.22,7.28,7.19,7.28,6.43,102500,0.0,0.0
2010-01-15,7.3,7.3,7.02,7.15,6.32,153100,0.0,0.0
2010-01-19,7.16,7.23,7.12,7.18,6.35,94600,0.0,0.0
2010-01-20,7.16,7.2,6.94,7.09,6.27,162500,0.0,0.0
2010-01-21,7.11,7.12,6.84,7.02,6.2,216600,0.0,0.0
2010-01-22,6.99,7.05,6.84,6.86,6.06,134500,0.0,0.0
2010-01-25,6.89,6.94,6.82,6.83,6.04,146000,0.0,0.0
2010-01-26,6.8,6.9,6.72,6.76,5.97,108000,0.0,0.0
2010-01-27,6.8,7.31,6.8,7.14,6.31,944500,0.0,0.0
2010-01-28,7.13,7.13,6.94,7.06,6.25,612000,0.0,0.0
2010-01-29,7.09,7.14,6.94,7.04,6.23,528500,0.0,0.0
2010-02-01,7.05,7.1,6.9,7.02,6.21,333100,0.0,0.0
2010-02-02,7.03,7.09,6.91,6.95,6.14,261100,0.0,0.0
2010-02-03,6.93,6.97,6.89,6.9,6.1,269500,0.0,0.0
2010-02-04,6.87,6.89,6.79,6.8,6.01,370100,0.0,0.0
2010-02-05,6.8,6.86,6.74,6.84,6.05,237500,0.0,0.0
2010-02-08,6.82,6.89,6.74,6.82,6.03,229000,0.0,0.0
2010-02-09,6.88,6.94,6.79,6.91,6.11,380600,0.0,0.0
2010-02-10,6.88,6.94,6.77,6.92,6.12,133000,0.0,0.0
2010-02-11,6.88,6.92,6.78,6.89,6.1,184000,0.0,0.0
2010-02-12,6.83,6.91,6.78,6.9,6.11,736500,0.0,0.0
