Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,5.1,5.15,5.07,5.15,138200,0.0,0
2010-01-05,5.16,5.19,5.14,5.19,65700,0.0,0
2010-01-06,5.15,5.23,5.15,5.18,52900,0.0,0
2010-01-07,5.15,5.2,5.15,5.2,59100,0.0,0
2010-01-08,5.2,5.26,5.19,5.26,136400,0.0,0
2010-01-11,5.24,5.28,5.24,5.27,60900,0.0,0
2010-01-12,5.28,5.29,5.23,5.29,135400,0.0,0
2010-01-13,5.28,5.28,5.24,5.25,95100,0.0,0
2010-01-14,5.26,5.27,5.21,5.25,99600,0.0,0
2010-01-15,5.21,5.25,5.21,5.23,49300,0.0,0
2010-01-19,5.2,5.24,5.17,5.23,149200,0.0,0
2010-01-20,5.24,5.25,5.19,5.22,127100,0.0,0
2010-01-21,5.24,5.24,5.19,5.21,71700,0.0,0
2010-01-22,5.18,5.19,5.15,5.19,64200,0.0,0
2010-01-25,5.18,5.18,5.11,5.13,63900,0.0,0
2010-01-26,5.13,5.19,5.11,5.14,65900,0.0,0
2010-01-27,5.16,5.17,5.13,5.14,78900,0.0,0
2010-01-28,5.16,5.17,5.12,5.15,61400,0.0,0
2010-01-29,5.14,5.17,5.07,5.1,93300,0.0,0
2010-02-01,5.07,5.18,5.07,5.17,65400,0.0,0
2010-02-02,5.13,5.19,5.13,5.17,61900,0.0,0
2010-02-03,5.14,5.21,5.14,5.18,112900,0.0,0
2010-02-04,5.13,5.17,4.97,5.0,220100,0.0,0
2010-02-05,4.97,4.97,4.67,4.87,490200,0.0,0
2010-02-08,4.92,4.92,4.87,4.91,154100,0.0,0
2010-02-09,4.96,5.04,4.91,5.04,112600,0.0,0
2010-02-10,5.06,5.07,4.91,5.05,74400,0.0,0
2010-02-11,5.02,5.07,5.02,5.06,82100,0.0,0
2010-02-12,5.03,5.06,5.02,5.06,78500,0.0,0
2010-02-16,5.1,5.15,5.05,5.14,105300,0.0,0
2010-02-17,5.12,5.15,5.12,5.14,55200,0.0,0
2010-02-18,5.15,5.15,5.13,5.15,55600,0.0,0
2010-02-19,5.1,5.15,5.06,5.13,40000,0.0,0
2010-02-22,5.15,5.15,5.13,5.15,55900,0.0,0
2010-02-23,5.13,5.14,5.1,5.14,98100,0.0,0
2010-02-24,5.15,5.17,5.13,5.15,76600,0.0,0
2010-02-25,5.13,5.18,5.1,5.17,86500,0.0,0
2010-02-26,5.18,5.2,5.12,5.2,110300,0.0,0
2010-03-01,5.2,5.25,5.17,5.23,95500,0.0,0
2010-03-02,5.24,5.28,5.22,5.28,68200,0.0,0
2010-03-03,5.3,5.3,5.24,5.27,78000,0.0,0
2010-03-04,5.28,5.3,5.26,5.3,55300,0.0,0
2010-03-05,5.3,5.36,5.29,5.35,94900,0.0,0
2010-03-08,5.37,5.37,5.31,5.32,97500,0.0,0
2010-03-09,5.29,5.38,5.29,5.29,169000,0.0,0
2010-03-10,5.3,5.3,5.28,5.29,110200,0.0,0
2010-03-11,5.28,5.39,5.28,5.34,116800,0.0,0
2010-03-12,5.32,5.36,5.32,5.33,77400,0.0,0
2010-03-15,5.3,5.32,5.3,5.31,72300,0.0,0
2010-03-16,5.3,5.37,5.3,5.37,160600,0.0,0
2010-03-17,5.39,5.4,5.33,5.35,147800,0.0,0
2010-03-18,5.34,5.35,5.33,5.34,80700,0.0,0
2010-03-19,5.34,5.37,5.33,5.34,64400,0.0,0
2010-03-22,5.36,5.37,5.34,5.37,39000,0.0,0
2010-03-23,5.37,5.38,5.35,5.37,101900,0.0,0
2010-03-24,5.38,5.4,5.36,5.38,80600,0.0,0
2010-03-25,5.38,5.41,5.36,5.39,92800,0.0,0
2010-03-26,5.42,5.42,5.38,5.39,75400,0.0,0
2010-03-29,5.44,5.44,5.41,5.42,68500,0.16,0
2010-03-30,5.4,5.43,5.36,5.38,92100,0.0,0
2010-03-31,5.36,5.41,5.35,5.38,61900,0.0,0
2010-04-01,5.41,5.44,5.36,5.41,86700,0.0,0
2010-04-05,5.47,5.47,5.43,5.46,67000,0.0,0
2010-04-06,5.34,5.47,5.34,5.44,91900,0.0,0
2010-04-07,5.45,5.46,5.35,5.36,82100,0.0,0
2010-04-08,5.36,5.43,5.36,5.42,43600,0.0,0
2010-04-09,5.43,5.45,5.4,5.43,70500,0.0,0
2010-04-12,5.44,5.47,5.39,5.46,62800,0.0,0
2010-04-13,5.46,5.49,5.43,5.48,62300,0.0,0
2010-04-14,5.46,5.51,5.4,5.51,85100,0.0,0
