Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,12.9,12.96,12.88,12.96,7.69,1200,0.0,0
2010-01-05,13.02,13.29,13.02,13.29,7.89,11300,0.0,0
2010-01-06,13.32,13.4,13.32,13.4,7.95,7300,0.0,0
2010-01-07,13.41,13.5,13.34,13.46,7.99,4200,0.0,0
2010-01-08,13.45,13.55,13.45,13.55,8.04,5400,0.0,0
2010-01-11,13.58,13.81,13.58,13.8,8.19,3800,0.0,0
2010-01-12,13.88,14.05,13.88,13.88,8.24,12500,0.0,0
2010-01-13,13.88,13.95,13.88,13.91,8.29,9300,0.059,0
2010-01-14,13.95,14.01,13.95,14.01,8.35,5100,0.0,0
2010-01-15,13.74,13.9,13.73,13.89,8.28,15600,0.0,0
2010-01-19,13.81,13.97,13.81,13.97,8.33,11900,0.0,0
2010-01-20,13.99,14.02,13.99,14.0,8.34,3800,0.0,0
2010-01-21,14.02,14.02,14.0,14.0,8.34,6600,0.0,0
2010-01-22,13.99,14.0,13.83,13.95,8.31,9500,0.0,0
2010-01-25,13.92,13.92,13.78,13.79,8.22,4400,0.0,0
2010-01-26,13.79,13.82,13.78,13.78,8.21,1400,0.0,0
2010-01-27,13.79,13.82,13.79,13.82,8.24,700,0.0,0
2010-01-28,13.8,13.8,13.78,13.78,8.21,3300,0.0,0
2010-01-29,13.84,13.84,13.77,13.84,8.25,1900,0.0,0
2010-02-01,13.89,13.89,13.77,13.77,8.21,2300,0.0,0
2010-02-02,13.82,13.89,13.8,13.88,8.27,6300,0.0,0
2010-02-03,13.9,14.02,13.9,13.98,8.33,2600,0.0,0
2010-02-04,13.97,13.98,13.89,13.89,8.28,2500,0.0,0
2010-02-05,13.95,13.95,13.68,13.68,8.15,5400,0.0,0
2010-02-08,13.7,13.7,13.65,13.7,8.16,7300,0.0,0
2010-02-09,13.7,13.76,13.61,13.64,8.13,6100,0.0,0
2010-02-10,13.64,13.7,13.6,13.6,8.14,3200,0.059,0
2010-02-11,13.58,13.58,13.55,13.55,8.11,2500,0.0,0
2010-02-12,13.52,13.52,13.31,13.32,7.97,15800,0.0,0
2010-02-16,13.31,13.52,13.31,13.44,8.04,8400,0.0,0
