Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,13.08,13.14,13.08,13.13,8.01,2300,0.0,0
2010-01-05,13.1,13.22,13.08,13.22,8.06,3400,0.0,0
2010-01-06,13.1,13.22,13.08,13.1,7.99,8100,0.0,0
2010-01-07,13.1,13.24,13.1,13.22,8.06,9800,0.0,0
2010-01-08,13.21,13.24,13.14,13.19,8.04,4800,0.0,0
2010-01-11,13.14,13.24,13.14,13.24,8.07,5700,0.0,0
2010-01-12,13.17,13.86,13.17,13.28,8.1,35300,0.0,0
2010-01-13,13.26,13.3,13.25,13.25,8.08,4100,0.0,0
2010-01-14,13.29,13.29,13.21,13.21,8.05,9600,0.0,0
2010-01-15,13.31,13.33,13.14,13.18,8.04,18700,0.0,0
2010-01-19,13.15,13.33,13.15,13.27,8.09,14200,0.0,0
2010-01-20,13.32,13.49,13.13,13.28,8.1,30600,0.0,0
2010-01-21,13.27,13.69,13.23,13.3,8.11,38800,0.0,0
2010-01-22,13.25,13.5,13.25,13.35,8.14,24600,0.0,0
2010-01-25,13.34,13.35,13.32,13.35,8.14,3900,0.0,0
2010-01-26,13.32,13.49,13.32,13.4,8.17,7800,0.0,0
2010-01-27,13.39,13.43,13.35,13.36,8.19,15300,0.065,0
2010-01-28,13.48,13.49,13.4,13.45,8.24,23000,0.0,0
2010-01-29,13.41,13.44,13.37,13.37,8.19,11500,0.0,0
2010-02-01,13.44,13.5,13.35,13.42,8.22,12600,0.0,0
2010-02-02,13.41,13.45,13.41,13.43,8.23,7300,0.0,0
2010-02-03,13.35,13.45,13.35,13.42,8.22,14400,0.0,0
2010-02-04,13.5,13.52,13.46,13.51,8.28,24000,0.0,0
2010-02-05,13.42,13.63,13.42,13.61,8.34,23900,0.0,0
2010-02-08,13.64,13.67,13.61,13.65,8.36,6200,0.0,0
2010-02-09,13.68,13.7,13.58,13.58,8.32,8500,0.0,0
2010-02-10,13.51,13.66,13.51,13.65,8.36,23700,0.0,0
2010-02-11,13.63,13.7,13.61,13.61,8.34,6700,0.0,0
2010-02-12,13.55,13.65,13.55,13.65,8.36,5400,0.0,0
2010-02-16,13.64,13.64,13.49,13.49,8.26,11400,0.0,0
2010-02-17,13.63,13.63,13.44,13.52,8.28,15700,0.0,0
2010-02-18,13.61,13.61,13.59,13.59,8.33,2400,0.0,0
2010-02-19,13.61,13.61,13.48,13.48,8.26,6700,0.0,0
2010-02-22,13.54,13.6,13.5,13.55,8.3,9600,0.0,0
2010-02-23,13.69,13.7,13.55,13.56,8.31,29500,0.0,0
2010-02-24,13.54,13.6,13.54,13.59,8.37,3500,0.065,0
2010-02-25,13.6,13.6,13.52,13.6,8.37,18100,0.0,0
2010-02-26,13.65,13.67,13.61,13.61,8.38,7600,0.0,0
2010-03-01,13.74,13.74,13.55,13.56,8.35,12600,0.0,0
2010-03-02,13.55,13.84,13.51,13.74,8.46,26700,0.0,0
2010-03-03,13.69,13.76,13.55,13.65,8.4,13300,0.0,0
2010-03-04,13.64,13.72,13.62,13.65,8.4,17200,0.0,0
2010-03-05,13.54,13.64,13.54,13.61,8.38,8600,0.0,0
2010-03-08,13.67,13.73,13.57,13.72,8.45,16600,0.0,0
2010-03-09,13.9,13.9,13.72,13.82,8.51,21200,0.0,0
2010-03-10,13.81,13.92,13.74,13.8,8.5,11400,0.0,0
2010-03-11,13.87,13.87,13.71,13.81,8.5,11700,0.0,0
2010-03-12,14.05,14.05,13.78,13.92,8.57,15900,0.0,0
2010-03-15,14.0,14.09,13.89,14.09,8.67,16000,0.0,0
2010-03-16,14.2,14.26,14.08,14.08,8.67,14700,0.0,0
2010-03-17,14.13,14.48,14.07,14.27,8.78,14900,0.0,0
2010-03-18,14.42,14.42,14.19,14.19,8.74,17100,0.0,0
2010-03-19,14.11,14.22,14.08,14.11,8.69,6400,0.0,0
2010-03-22,14.17,14.2,14.03,14.03,8.64,5400,0.0,0
2010-03-23,14.17,14.25,14.04,14.05,8.65,8700,0.0,0
2010-03-24,14.23,14.23,14.08,14.2,8.74,7200,0.0,0
2010-03-25,14.2,14.2,14.18,14.18,8.73,2200,0.0,0
2010-03-26,14.24,14.25,14.13,14.19,8.74,10700,0.0,0
2010-03-29,14.2,14.25,14.13,14.15,8.75,6900,0.065,0
2010-03-30,14.22,14.25,14.19,14.25,8.81,5200,0.0,0
2010-03-31,14.19,14.42,14.19,14.42,8.92,9100,0.0,0
2010-04-01,14.52,14.53,14.24,14.3,8.84,13400,0.0,0
2010-04-05,14.41,14.69,14.38,14.63,9.05,15400,0.0,0
2010-04-06,14.63,14.78,14.49,14.52,8.98,9900,0.0,0
2010-04-07,14.65,14.8,14.5,14.5,8.97,17100,0.0,0
2010-04-08,14.6,14.6,14.22,14.35,8.87,17700,0.0,0
2010-04-09,14.48,14.48,14.25,14.44,8.93,10900,0.0,0
2010-04-12,14.39,14.45,14.35,14.35,8.87,16300,0.0,0
2010-04-13,14.85,14.85,14.3,14.43,8.92,10300,0.0,0
2010-04-14,14.49,15.02,14.48,14.53,8.99,17700,0.0,0
2010-04-15,14.54,14.71,14.54,14.69,9.09,9000,0.0,0
2010-04-16,14.73,14.73,14.64,14.65,9.06,8700,0.0,0
2010-04-19,14.68,14.8,14.61,14.61,9.04,8600,0.0,0
2010-04-20,14.63,14.88,14.53,14.75,9.12,16600,0.0,0
2010-04-21,14.75,14.75,14.66,14.73,9.11,1900,0.0,0
2010-04-22,14.72,14.72,14.65,14.65,9.06,4100,0.0,0
2010-04-23,14.68,14.69,14.64,14.64,9.05,5600,0.0,0
2010-04-26,14.68,14.69,14.53,14.57,9.01,10700,0.0,0
2010-04-27,14.62,14.64,14.55,14.58,9.02,6300,0.0,0
2010-04-28,14.55,14.58,14.54,14.57,9.05,2300,0.065,0
2010-04-29,14.57,14.8,14.56,14.72,9.14,11300,0.0,0
2010-04-30,14.72,14.72,14.54,14.54,9.03,10300,0.0,0
2010-05-03,14.62,14.68,14.53,14.64,9.09,7900,0.0,0
2010-05-04,14.54,14.65,14.54,14.61,9.08,5600,0.0,0
2010-05-05,14.56,14.61,14.55,14.55,9.04,5300,0.0,0
2010-05-06,14.61,14.64,14.22,14.22,8.83,4200,0.0,0
2010-05-07,14.15,14.31,14.14,14.27,8.86,7700,0.0,0
2010-05-10,14.34,14.45,14.34,14.43,8.96,4700,0.0,0
2010-05-11,14.43,14.48,14.42,14.48,9.0,11700,0.0,0
2010-05-12,14.67,14.67,14.49,14.49,9.0,6000,0.0,0
2010-05-13,14.45,14.57,14.39,14.5,9.01,8500,0.0,0
2010-05-14,14.5,14.53,14.39,14.47,8.99,14300,0.0,0
2010-05-17,14.52,14.52,14.46,14.48,9.0,1100,0.0,0
2010-05-18,14.43,14.6,14.43,14.6,9.07,4800,0.0,0
