Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-09-18,11.39,17.48,10.8,13.24,13.24,1906600,0,0.0
2015-09-21,14.26,14.83,12.58,12.62,12.62,489500,0,0.0
2015-09-22,12.35,12.89,10.62,10.81,10.81,354200,0,0.0
2015-09-23,10.93,11.2,10.7,10.79,10.79,68100,0,0.0
2015-09-24,10.54,10.72,9.63,9.67,9.67,176500,0,0.0
2015-09-25,9.83,10.35,9.65,9.73,9.73,136100,0,0.0
2015-09-28,9.68,9.99,9.51,9.77,9.77,25600,0,0.0
2015-09-29,9.52,9.8,9.22,9.3,9.3,19000,0,0.0
2015-09-30,9.45,10.65,8.754,9.5,9.5,96600,0,0.0
2015-10-01,9.25,9.52,9.02,9.23,9.23,82900,0,0.0
2015-10-02,9.5,9.5,9.0,9.01,9.01,43500,0,0.0
2015-10-05,9.16,9.979,9.16,9.75,9.75,59300,0,0.0
2015-10-06,10.18,10.36,9.95,10.27,10.27,61100,0,0.0
2015-10-07,10.02,10.538,9.81,10.27,10.27,126700,0,0.0
2015-10-08,10.08,10.08,9.56,9.775,9.775,20300,0,0.0
2015-10-09,9.6,9.99,9.6,9.86,9.86,12000,0,0.0
2015-10-12,9.61,10.0,9.61,10.0,10.0,15300,0,0.0
2015-10-13,9.81,10.33,9.81,10.06,10.06,34700,0,0.0
2015-10-14,9.96,10.433,9.96,10.24,10.24,12900,0,0.0
2015-10-15,10.04,10.25,10.0,10.0,10.0,14100,0,0.0
2015-10-16,10.35,10.52,9.89,10.24,10.24,127300,0,0.0
2015-10-19,10.28,10.28,9.92,9.92,9.92,11700,0,0.0
2015-10-20,9.71,10.23,9.5,10.23,10.23,9000,0,0.0
2015-10-21,10.27,10.27,9.5,10.04,10.04,14000,0,0.0
2015-10-22,9.72,10.13,9.01,9.53,9.53,21400,0,0.0
2015-10-23,9.76,10.16,8.92,9.57,9.57,29600,0,0.0
2015-10-26,9.66,10.12,9.62,9.87,9.87,12200,0,0.0
2015-10-27,9.796,10.16,9.52,9.83,9.83,10100,0,0.0
2015-10-28,9.3,10.2,9.11,10.15,10.15,9900,0,0.0
2015-10-29,9.99,10.16,9.96,9.96,9.96,3100,0,0.0
2015-10-30,10.197,10.2,9.73,9.95,9.95,6600,0,0.0
2015-11-02,10.11,10.2,9.99,10.087,10.087,4100,0,0.0
2015-11-03,10.09,10.1,10.0,10.03,10.03,2100,0,0.0
2015-11-04,10.03,10.149,10.0,10.0,10.0,3100,0,0.0
2015-11-05,10.1,10.1,10.0,10.0,10.0,1000,0,0.0
2015-11-06,10.0,10.08,9.916,10.01,10.01,4200,0,0.0
2015-11-09,10.09,10.19,9.99,10.045,10.045,10000,0,0.0
2015-11-10,10.0,10.19,9.99,10.11,10.11,3400,0,0.0
2015-11-11,10.24,10.24,9.49,9.99,9.99,11900,0,0.0
2015-11-12,9.99,10.0,9.52,9.52,9.52,24800,0,0.0
2015-11-13,9.86,9.95,9.34,9.68,9.68,332100,0,0.0
2015-11-16,9.61,9.99,9.29,9.65,9.65,18500,0,0.0
2015-11-17,9.78,9.98,9.75,9.87,9.87,10900,0,0.0
2015-11-18,9.89,9.99,9.2,9.92,9.92,24800,0,0.0
2015-11-19,9.91,9.98,9.81,9.98,9.98,25300,0,0.0
2015-11-20,9.97,10.34,9.97,10.34,10.34,12700,0,0.0
2015-11-23,10.15,10.255,10.0,10.23,10.23,12600,0,0.0
2015-11-24,9.8,10.34,9.8,10.205,10.205,2000,0,0.0
2015-11-25,9.99,10.24,9.99,10.01,10.01,6600,0,0.0
2015-11-27,10.17,10.17,10.06,10.06,10.06,400,0,0.0
2015-11-30,9.66,10.25,9.66,10.192,10.192,8400,0,0.0
2015-12-01,10.2,10.25,9.93,9.93,9.93,13500,0,0.0
2015-12-02,10.2,10.22,10.069,10.21,10.21,8800,0,0.0
2015-12-03,10.3,10.69,10.08,10.239,10.239,9800,0,0.0
2015-12-04,9.95,10.25,9.524,10.23,10.23,18200,0,0.0
2015-12-07,10.09,10.09,9.53,9.67,9.67,24400,0,0.0
2015-12-08,9.95,10.055,9.91,10.0,10.0,1900,0,0.0
2015-12-09,9.74,10.11,9.54,9.67,9.67,17100,0,0.0
2015-12-10,9.51,9.98,9.05,9.5,9.5,42500,0,0.0
2015-12-11,9.32,9.7,9.04,9.17,9.17,24400,0,0.0
2015-12-14,9.16,9.7,8.92,9.13,9.13,21200,0,0.0
2015-12-15,9.39,9.64,8.79,9.04,9.04,43000,0,0.0
2015-12-16,9.39,9.94,8.83,8.83,8.83,30600,0,0.0
2015-12-17,8.51,9.326,8.51,8.66,8.66,46600,0,0.0
2015-12-18,8.76,9.4,8.61,8.82,8.82,45300,0,0.0
2015-12-21,9.07,9.35,8.99,9.19,9.19,14000,0,0.0
2015-12-22,9.3,9.34,8.97,9.16,9.16,44400,0,0.0
2015-12-23,9.03,9.41,8.89,9.18,9.18,55000,0,0.0
2015-12-24,9.09,9.59,9.08,9.26,9.26,11600,0,0.0
2015-12-28,9.3,9.45,9.01,9.06,9.06,8800,0,0.0
2015-12-29,9.3,9.69,8.74,9.235,9.235,14800,0,0.0
2015-12-30,9.37,9.51,8.88,9.005,9.005,33900,0,0.0
2015-12-31,9.08,9.62,8.9,9.62,9.62,13700,0,0.0
2016-01-04,9.55,9.8,8.7,9.515,9.515,8300,0,0.0
2016-01-05,9.55,9.65,9.14,9.29,9.29,5800,0,0.0
2016-01-06,8.9,9.23,8.9,9.09,9.09,32000,0,0.0
2016-01-07,9.1,9.28,8.61,9.011,9.011,22400,0,0.0
2016-01-08,9.1,9.28,8.72,9.28,9.28,22700,0,0.0
2016-01-11,9.36,9.48,9.04,9.35,9.35,5600,0,0.0
2016-01-12,9.405,9.57,9.0,9.11,9.11,19500,0,0.0
2016-01-13,9.27,9.4,7.48,7.93,7.93,124700,0,0.0
2016-01-14,8.01,8.97,7.69,7.86,7.86,23900,0,0.0
2016-01-15,7.74,7.97,6.75,7.4,7.4,72400,0,0.0
2016-01-19,7.47,8.0,7.05,7.29,7.29,37100,0,0.0
2016-01-20,7.11,7.4,6.91,7.25,7.25,30300,0,0.0
2016-01-21,7.78,8.25,7.15,7.15,7.15,28200,0,0.0
2016-01-22,7.29,8.314,7.15,7.8,7.8,37400,0,0.0
2016-01-25,7.75,7.995,7.32,7.32,7.32,17500,0,0.0
