Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2017-09-28,15.5,16.93,15.0,16.15,16.15,1869500,0,0
2017-09-29,16.15,19.95,16.15,18.37,18.37,413300,0,0
2017-10-02,18.54,18.54,16.9,18.05,18.05,105900,0,0
2017-10-03,18.11,18.98,18.05,18.61,18.61,217500,0,0
2017-10-04,18.6,19.44,18.3,18.72,18.72,120200,0,0
2017-10-05,19.2,19.87,17.5,17.9,17.9,202400,0,0
2017-10-06,18.15,18.25,16.59,17.0,17.0,218400,0,0
2017-10-09,16.86,17.85,16.01,16.53,16.53,53900,0,0
2017-10-10,16.3,16.98,16.05,16.25,16.25,57900,0,0
2017-10-11,16.89,16.89,15.3,15.49,15.49,20500,0,0
2017-10-12,15.57,15.57,14.06,14.45,14.45,286600,0,0
2017-10-13,14.35,14.63,14.0,14.38,14.38,106000,0,0
2017-10-16,14.42,14.7,14.08,14.21,14.21,83500,0,0
2017-10-17,14.52,14.52,13.05,14.05,14.05,80900,0,0
2017-10-18,14.08,14.54,13.93,14.41,14.41,16400,0,0
2017-10-19,14.97,14.97,13.79,14.38,14.38,9800,0,0
2017-10-20,14.46,14.46,13.63,14.08,14.08,43100,0,0
2017-10-23,14.34,14.34,13.75,13.91,13.91,64300,0,0
2017-10-24,13.99,14.5,13.8,13.8,13.8,57900,0,0
2017-10-25,14.1,14.28,12.71,12.88,12.88,60200,0,0
2017-10-26,12.57,13.0,12.0,12.5,12.5,125100,0,0
2017-10-27,12.6,13.12,11.74,12.5,12.5,101100,0,0
2017-10-30,12.24,12.75,12.16,12.5,12.5,42800,0,0
2017-10-31,12.42,12.79,11.03,11.36,11.36,61600,0,0
2017-11-01,11.47,12.75,11.35,11.89,11.89,97100,0,0
2017-11-02,11.61,12.16,10.25,10.45,10.45,60800,0,0
2017-11-03,10.34,10.65,9.64,10.25,10.25,183500,0,0
2017-11-06,10.1,10.57,9.99,10.28,10.28,66300,0,0
2017-11-07,10.19,11.32,10.19,11.0,11.0,46700,0,0
2017-11-08,11.16,11.69,11.05,11.15,11.15,72000,0,0
2017-11-09,11.18,11.6,11.0,11.04,11.04,62100,0,0
2017-11-10,11.0,11.4,11.0,11.0,11.0,45900,0,0
2017-11-13,11.02,11.3,10.77,11.02,11.02,37200,0,0
2017-11-14,11.05,11.85,10.68,11.31,11.31,60500,0,0
2017-11-15,11.31,11.45,11.1,11.37,11.37,10800,0,0
2017-11-16,11.26,11.63,11.03,11.03,11.03,3600,0,0
2017-11-17,11.03,11.35,11.0,11.31,11.31,27200,0,0
2017-11-20,11.0,11.4,10.56,11.0,11.0,41100,0,0
2017-11-21,10.82,11.58,10.75,11.37,11.37,25100,0,0
2017-11-22,11.38,12.5,11.38,12.17,12.17,55400,0,0
2017-11-24,12.45,13.63,11.75,13.01,13.01,51600,0,0
2017-11-27,13.04,13.41,12.02,12.17,12.17,52100,0,0
2017-11-28,12.05,12.62,11.65,12.07,12.07,7000,0,0
2017-11-29,12.12,12.12,11.44,11.56,11.56,6000,0,0
2017-11-30,12.18,12.5,11.67,12.3,12.3,3400,0,0
2017-12-01,11.95,12.6,11.75,11.86,11.86,26600,0,0
2017-12-04,11.44,12.41,11.43,12.4,12.4,35800,0,0
2017-12-05,12.48,12.73,11.07,12.14,12.14,83700,0,0
2017-12-06,11.79,12.25,11.5,11.82,11.82,30400,0,0
2017-12-07,11.55,11.99,11.25,11.6,11.6,20300,0,0
2017-12-08,11.45,11.8,10.78,11.5,11.5,173000,0,0
2017-12-11,11.4,12.01,10.99,11.27,11.27,58900,0,0
2017-12-12,11.03,11.13,10.68,11.13,11.13,22100,0,0
2017-12-13,10.8,12.29,10.8,11.28,11.28,97900,0,0
2017-12-14,11.0,11.25,10.66,10.68,10.68,14500,0,0
2017-12-15,10.76,11.6,10.66,11.0,11.0,76700,0,0
2017-12-18,11.15,11.26,10.76,10.76,10.76,4100,0,0
2017-12-19,10.84,11.3,10.75,10.75,10.75,51800,0,0
2017-12-20,10.6,10.98,10.6,10.65,10.65,5800,0,0
2017-12-21,10.76,10.87,10.3,10.75,10.75,31600,0,0
2017-12-22,10.6,10.75,10.5,10.58,10.58,29900,0,0
2017-12-26,10.56,10.7,10.37,10.37,10.37,7400,0,0
2017-12-27,11.01,11.23,10.02,10.41,10.41,56700,0,0
2017-12-28,10.24,10.72,9.32,10.0,10.0,146000,0,0
2017-12-29,9.93,10.73,9.86,10.11,10.11,64700,0,0
2018-01-02,10.35,10.82,9.89,10.05,10.05,95300,0,0
2018-01-03,10.1,10.48,9.58,10.04,10.04,59200,0,0
2018-01-04,9.74,10.22,9.48,10.17,10.17,118700,0,0
2018-01-05,9.94,11.61,9.85,11.01,11.01,34500,0,0
2018-01-08,11.1,12.44,11.09,12.29,12.29,47600,0,0
2018-01-09,12.25,13.49,12.2,12.72,12.72,96100,0,0
2018-01-10,12.83,13.5,12.7,13.23,13.23,37300,0,0
2018-01-11,13.73,13.8,13.01,13.72,13.72,131300,0,0
2018-01-12,13.8,14.56,13.8,14.3,14.3,116300,0,0
2018-01-16,14.4,14.8,12.7,13.32,13.32,60300,0,0
2018-01-17,12.55,13.81,11.61,13.21,13.21,23400,0,0
2018-01-18,13.99,14.8,13.98,14.49,14.49,25000,0,0
2018-01-19,14.46,25.68,13.61,20.51,20.51,958300,0,0
2018-01-22,20.95,22.17,18.87,21.8,21.8,528000,0,0
2018-01-23,21.47,23.97,20.8,22.86,22.86,360500,0,0
2018-01-24,23.01,24.45,22.34,24.22,24.22,491700,0,0
2018-01-25,25.05,29.07,24.17,27.78,27.78,367800,0,0
2018-01-26,27.88,29.23,26.25,28.25,28.25,298400,0,0
2018-01-29,28.45,29.75,24.25,26.65,26.65,350800,0,0
2018-01-30,26.5,27.17,23.98,24.77,24.77,181300,0,0
2018-01-31,24.76,25.19,24.08,24.51,24.51,114500,0,0
2018-02-01,24.5,24.58,23.91,24.25,24.25,64600,0,0
2018-02-02,23.9,24.2,21.0,23.13,23.13,246400,0,0
2018-02-05,22.77,24.19,22.25,22.94,22.94,52900,0,0
2018-02-06,22.07,25.27,22.05,22.95,22.95,88600,0,0
2018-02-07,23.28,23.28,21.24,22.02,22.02,56600,0,0
2018-02-08,22.21,22.21,20.0,21.17,21.17,108700,0,0
2018-02-09,21.62,22.14,20.1,20.56,20.56,168100,0,0
2018-02-12,20.8,21.14,18.31,18.95,18.95,153700,0,0
2018-02-13,19.0,20.69,19.0,20.01,20.01,147100,0,0
2018-02-14,20.0,22.49,19.74,20.68,20.68,63200,0,0
2018-02-15,20.7,24.05,19.0,19.86,19.86,118500,0,0
2018-02-16,19.68,21.14,19.17,19.87,19.87,95400,0,0
2018-02-20,19.84,20.94,19.48,19.98,19.98,58500,0,0
2018-02-21,20.04,20.56,19.61,20.27,20.27,83700,0,0
2018-02-22,20.3,21.36,19.59,20.18,20.18,29200,0,0
2018-02-23,20.52,20.97,19.8,20.78,20.78,65400,0,0
2018-02-26,21.0,22.38,19.35,20.15,20.15,134100,0,0
2018-02-27,20.03,21.09,19.7,19.75,19.75,36300,0,0
2018-02-28,19.95,20.23,18.9,19.43,19.43,48900,0,0
2018-03-01,19.55,19.74,17.51,18.35,18.35,90000,0,0
2018-03-02,18.28,19.3,18.28,18.74,18.74,143100,0,0
2018-03-05,18.52,19.5,18.11,19.5,19.5,97100,0,0
2018-03-06,19.46,20.22,18.2,18.55,18.55,90700,0,0
2018-03-07,18.54,19.81,17.75,18.27,18.27,129800,0,0
2018-03-08,18.48,18.72,17.73,17.91,17.91,112200,0,0
2018-03-09,18.14,19.98,17.84,19.49,19.49,164500,0,0
2018-03-12,19.68,21.91,19.0,20.0,20.0,356700,0,0
2018-03-13,20.27,20.27,18.33,19.5,19.5,143200,0,0
2018-03-14,19.48,19.94,18.0,18.09,18.09,201400,0,0
2018-03-15,18.05,19.5,18.05,18.98,18.98,204200,0,0
2018-03-16,18.75,19.62,18.08,18.74,18.74,52100,0,0
2018-03-19,18.76,19.43,18.11,18.2,18.2,64300,0,0
2018-03-20,18.33,19.88,18.08,19.24,19.24,43600,0,0
2018-03-21,19.16,19.48,18.57,19.0,19.0,60600,0,0
2018-03-22,18.81,19.31,17.4,17.43,17.43,118600,0,0
2018-03-23,18.18,18.52,17.05,17.69,17.69,45700,0,0
2018-03-26,18.12,18.12,17.06,17.5,17.5,82400,0,0
2018-03-27,17.66,18.99,17.66,18.68,18.68,184500,0,0
2018-03-28,18.92,19.78,18.27,18.7,18.7,116100,0,0
2018-03-29,18.4,19.39,18.0,18.92,18.92,150000,0,0
2018-04-02,19.0,20.49,18.66,20.49,20.49,26200,0,0
2018-04-03,20.49,21.49,20.32,21.17,21.17,43500,0,0
2018-04-04,21.4,22.93,20.57,22.93,22.93,46200,0,0
2018-04-05,23.71,23.71,21.21,22.43,22.43,116500,0,0
2018-04-06,22.19,26.3,21.97,26.23,26.23,617700,0,0
2018-04-09,26.69,28.53,25.04,27.4,27.4,370500,0,0
2018-04-10,27.51,30.41,26.5,29.5,29.5,176100,0,0
2018-04-11,28.98,28.98,24.21,24.82,24.82,134500,0,0
2018-04-12,24.73,27.0,23.46,23.83,23.83,129800,0,0
2018-04-13,24.22,29.11,23.68,25.23,25.23,526900,0,0
2018-04-16,25.75,26.78,22.54,23.88,23.88,120100,0,0
2018-04-17,24.78,25.7,22.16,22.51,22.51,64600,0,0
2018-04-18,22.33,23.59,21.38,23.47,23.47,63200,0,0
2018-04-19,23.47,24.0,22.18,22.83,22.83,70800,0,0
2018-04-20,22.65,24.8,21.52,23.64,23.64,60000,0,0
2018-04-23,24.0,24.34,22.05,22.99,22.99,51500,0,0
2018-04-24,23.76,23.99,21.96,22.2,22.2,71100,0,0
2018-04-25,21.86,24.62,21.85,23.55,23.55,43900,0,0
2018-04-26,23.41,24.4,22.58,23.76,23.76,21600,0,0
2018-04-27,25.4,25.4,21.85,23.0,23.0,43800,0,0
